,ベンチマーク,12-1ヶ月モメンタム(古典),6-1ヶ月モメンタム,3-1ヶ月モメンタム,12-0ヶ月(直近含む・比較用)
1999-05-06,1.0,1.0,1.0,1.0,1.0
1999-05-07,0.9691593841826394,1.0,1.0,1.0,1.0
1999-05-10,0.9925522917201484,1.0,1.0,1.0,1.0
1999-05-11,1.0061230770391154,1.0,1.0,1.0,1.0
1999-05-12,1.0037382340903265,1.0,1.0,1.0,1.0
1999-05-13,0.9978857873517449,1.0,1.0,1.0,1.0
1999-05-14,0.9782848245307805,1.0,1.0,1.0,1.0
1999-05-17,0.9668513280044563,1.0,1.0,1.0,1.0
1999-05-18,1.006140158807193,1.0,1.0,1.0,1.0
1999-05-19,0.9855443755109428,1.0,1.0,1.0,1.0
1999-05-20,0.9940557867478209,1.0,1.0,1.0,1.0
1999-05-21,1.0416060630212756,1.0,1.0,1.0,1.0
1999-05-24,1.0394863476546892,1.0,1.0,1.0,1.0
1999-05-25,1.0347635445240726,1.0,1.0,1.0,1.0
1999-05-26,1.0128788708854661,1.0,1.0,1.0,1.0
1999-05-27,1.0022462769466454,1.0,1.0,1.0,1.0
1999-05-28,1.0047244940207523,1.0,1.0,1.0,1.0
1999-05-31,1.0178286220406279,1.0,1.0,1.0,1.0
1999-06-01,1.0438049891051857,1.0,1.0,1.0,1.0
1999-06-02,1.0533519790262873,1.0,1.0,1.0,1.0
1999-06-03,1.0590501234613152,1.0,1.0,1.0,1.0
1999-06-04,1.0764588602391296,1.0,1.0,1.0,1.0
1999-06-07,1.0645052269685682,1.0,1.0,1.0,1.0
1999-06-08,1.0882514900833227,1.0,1.0,1.0,1.0
1999-06-09,1.0848864164155303,1.0,1.0,1.0,1.0
1999-06-10,1.1264148447326323,1.0,1.0,1.0,1.0
1999-06-11,1.1336341304990984,1.0,1.0,1.0,1.0
1999-06-14,1.1313181797895748,1.0,1.0,1.0,1.0
1999-06-15,1.1507231831422025,1.0,1.0,1.0,1.0
1999-06-16,1.1675922088138653,1.0,1.0,1.0,1.0
1999-06-17,1.1747546067204824,1.0,1.0,1.0,1.0
1999-06-18,1.1890264581738088,1.0,1.0,1.0,1.0
1999-06-21,1.2311901081970504,1.0,1.0,1.0,1.0
1999-06-22,1.253695798909999,1.0,1.0,1.0,1.0
1999-06-23,1.2335637329113547,1.0,1.0,1.0,1.0
1999-06-24,1.2337773512901893,1.0,1.0,1.0,1.0
1999-06-25,1.2065489604596227,1.0,1.0,1.0,1.0
1999-06-28,1.21813969906544,1.0,1.0,1.0,1.0
1999-06-29,1.2203639654534637,1.0,1.0,1.0,1.0
1999-06-30,1.2145032894633225,1.0,1.0,1.0,1.0
1999-07-01,1.259913461311631,1.0,1.0,1.0,1.0
1999-07-02,1.2726134014473267,1.0,1.0,1.0,1.0
1999-07-05,1.2619806678410685,1.0,1.0,1.0,1.0
1999-07-06,1.2789457602606087,1.0,1.0,1.0,1.0
1999-07-07,1.312785704747683,1.0,1.0,1.0,1.0
1999-07-08,1.3015983051256295,1.0,1.0,1.0,1.0
1999-07-09,1.2940301048936806,1.0,1.0,1.0,1.0
1999-07-12,1.3185758201468265,1.0,1.0,1.0,1.0
1999-07-13,1.3138612785562467,1.0,1.0,1.0,1.0
1999-07-14,1.3963036768255335,1.0,1.0,1.0,1.0
1999-07-15,1.3629786543360054,1.0,1.0,1.0,1.0
1999-07-16,1.3274203064026933,1.0,1.0,1.0,1.0
1999-07-19,1.311531294597998,1.0,1.0,1.0,1.0
1999-07-20,1.311531294597998,1.0,1.0,1.0,1.0
1999-07-21,1.2838803318831522,1.0,1.0,1.0,1.0
1999-07-22,1.2374112269147317,1.0,1.0,1.0,1.0
1999-07-23,1.2314924954934605,1.0,1.0,1.0,1.0
1999-07-26,1.2472728477602097,1.0,1.0,1.0,1.0
1999-07-27,1.2452857462139102,1.0,1.0,1.0,1.0
1999-07-28,1.261613689993727,1.0,1.0,1.0,1.0
1999-07-29,1.29776356857899,1.0,1.0,1.0,1.0
1999-07-30,1.3140957962409074,1.0,1.0,1.0,1.0
1999-08-02,1.2955212411677701,1.0,1.0,1.0,1.0
1999-08-03,1.310770585925151,1.0,1.0,1.0,1.0
1999-08-04,1.297853144924805,1.0,1.0,1.0,1.0
1999-08-05,1.2780966748868625,1.0,1.0,1.0,1.0
1999-08-06,1.256972479804503,1.0,1.0,1.0,1.0
1999-08-09,1.254544642585281,1.0,1.0,1.0,1.0
1999-08-10,1.2378644000324,1.0,1.0,1.0,1.0
1999-08-11,1.256991450980563,1.0,1.0,1.0,1.0
1999-08-12,1.268954870151635,1.0,1.0,1.0,1.0
1999-08-13,1.287563068598303,1.0,1.0,1.0,1.0
1999-08-16,1.3195367356605248,1.0,1.0,1.0,1.0
1999-08-17,1.3329790224736424,1.0,1.0,1.0,1.0
1999-08-18,1.3362205568173693,1.0,1.0,1.0,1.0
1999-08-19,1.3106365278879741,1.0,1.0,1.0,1.0
1999-08-20,1.3153099592734252,1.0,1.0,1.0,1.0
1999-08-23,1.292136550947693,1.0,1.0,1.0,1.0
1999-08-24,1.2955581873004571,1.0,1.0,1.0,1.0
1999-08-25,1.2692816052555576,1.0,1.0,1.0,1.0
1999-08-26,1.2676960933400225,1.0,1.0,1.0,1.0
1999-08-27,1.282360948162547,1.0,1.0,1.0,1.0
1999-08-30,1.313610820174192,1.0,1.0,1.0,1.0
1999-08-31,1.2579722150992416,1.0,1.0,1.0,1.0
1999-09-01,1.305473049587877,1.0,1.0,0.99985,1.0
1999-09-02,1.2989028126078352,1.0,1.0,0.9948179149281798,1.0
1999-09-03,1.2939167549194501,1.0,1.0,0.9909991384461179,1.0
1999-09-06,1.3047987705006137,1.0,1.0,0.9993335757462682,1.0
1999-09-07,1.328139616152244,1.0,1.0,1.0172101183008233,1.0
1999-09-08,1.3544876602332145,1.0,1.0,1.0373898469307439,1.0
1999-09-09,1.325502833309488,1.0,1.0,1.0151906301726217,1.0
1999-09-10,1.3274579643385873,1.0,1.0,1.016688047342637,1.0
1999-09-13,1.343377143859326,1.0,1.0,1.0288804029403533,1.0
1999-09-14,1.3434800274631369,1.0,1.0,1.0289592005618766,1.0
1999-09-15,1.3434800274631369,1.0,1.0,1.0289592005618766,1.0
1999-09-16,1.3044323180960677,1.0,1.0,0.9990529131643779,1.0
1999-09-17,1.3304535411504559,1.0,1.0,1.0189823325263045,1.0
1999-09-20,1.354895279125382,1.0,1.0,1.0377020385531313,1.0
1999-09-21,1.3527219116648466,1.0,1.0,1.0360374760743405,1.0
1999-09-22,1.2905187212135245,1.0,1.0,0.9883966151677226,1.0
1999-09-23,1.2905187212135245,1.0,1.0,0.9883966151677226,1.0
1999-09-24,1.2588829057686954,1.0,1.0,0.9641670302808512,1.0
1999-09-27,1.2634528705338575,1.0,1.0,0.9676671249567924,1.0
1999-09-28,1.301024467141242,1.0,1.0,0.9964428709438525,1.0
1999-09-29,1.315839141255765,1.0,1.0,1.0077892958417713,1.0
1999-09-30,1.3474589926242135,1.0,1.0,1.0320066539869461,1.0
1999-10-01,1.389379086840486,1.0,1.0,1.0641128749582422,1.0
1999-10-04,1.4039810163340813,1.0,1.0,1.0752963606753776,1.0
1999-10-05,1.3879298293831086,1.0,1.0,1.0630029017809206,1.0
1999-10-06,1.379482086780644,1.0,1.0,1.0565328521358968,1.0
1999-10-07,1.413956879375288,1.0,1.0,1.0829367839417936,1.0
1999-10-08,1.4149486250825347,1.0,1.0,1.0836963530081207,1.0
1999-10-11,1.4149486250825347,1.0,1.0,1.0836963530081207,1.0
1999-10-12,1.4332112352124666,1.0,1.0,1.0976835209118756,1.0
1999-10-13,1.4180335979301704,1.0,1.0,1.086059105806949,1.0
1999-10-14,1.4229535731498741,1.0,1.0,1.0898272703239982,1.0
1999-10-15,1.373951158361017,1.0,1.0,1.0522967640894145,1.0
1999-10-18,1.306444530568117,1.0,1.0,1.0005940484952174,1.0
1999-10-19,1.3342947417730728,1.0,1.0,1.0219242733375193,1.0
1999-10-20,1.3728612235131936,1.0,1.0,1.0514619928484912,1.0
1999-10-21,1.3678463566053594,1.0,1.0,1.0476211516458473,1.0
1999-10-22,1.3890057057386818,1.0,1.0,1.0638269057497953,1.0
1999-10-25,1.3794605031954952,1.0,1.0,1.0565163214632656,1.0
1999-10-26,1.396578552374607,1.0,1.0,1.0696268804879334,1.0
1999-10-27,1.3706489083789952,1.0,1.0,1.0497676006987438,1.0
1999-10-28,1.3623937243520654,1.0,1.0,1.04344502992493,1.0
1999-10-29,1.3834900756090909,1.0,1.0,1.0596025345252706,1.0
1999-11-01,1.3730014094296783,1.0,1.0,1.0515693599738725,1.0
1999-11-02,1.372475323828156,1.0,1.0,1.051166435770383,1.0
1999-11-03,1.372475323828156,1.0,1.0,1.051166435770383,1.0
1999-11-04,1.3878697595085803,1.0,1.0,1.062956894807382,1.0
1999-11-05,1.3729488871517217,1.0,1.0,1.0515291336362764,1.0
1999-11-08,1.3487489429596984,1.0,1.0,1.032994615280625,1.0
1999-11-09,1.3598822609435435,1.0,1.0,1.0415215228178292,1.0
1999-11-10,1.3627206982344018,1.0,1.0,1.0436954562637633,1.0
1999-11-11,1.3713694410977952,1.0,1.0,1.0503194501904811,1.0
1999-11-12,1.3785424727100404,1.0,1.0,1.0558132102185165,1.0
1999-11-15,1.3758771079760905,1.0,1.0,1.0537718314783877,1.0
1999-11-16,1.3974618125128082,1.0,1.0,1.0703033614382365,1.0
1999-11-17,1.4153320006226056,1.0,1.0,1.0839899768664305,1.0
1999-11-18,1.4680116588977417,1.0,1.0,1.1243368506245848,1.0
1999-11-19,1.5163730183290447,1.0,1.0,1.1613763783594953,1.0
1999-11-22,1.5402154928796261,1.0,1.0,1.1796371139502642,1.0
1999-11-23,1.5402154928796261,1.0,1.0,1.1796371139502642,1.0
1999-11-24,1.5041475780410472,1.0,1.0,1.1520130242283524,1.0
1999-11-25,1.467384542049378,1.0,1.0,1.1238565475030196,1.0
1999-11-26,1.4748613759053029,1.0,1.0,1.1295829869214407,1.0
1999-11-29,1.4374184471417448,1.0,0.99985,1.1009057864721001,1.0
1999-11-30,1.3886461495529596,1.0,0.9659246097692608,1.0635515249195222,1.0
1999-12-01,1.3855961664400174,1.0,0.9638030802859435,1.0612155704419954,1.0
1999-12-02,1.4245349868383748,1.0,0.990888428781863,1.0910384607633148,1.0
1999-12-03,1.4415792596202632,1.0,1.0027442082696372,1.104092515112695,1.0
1999-12-06,1.4477191302011703,1.0,1.0070150241983788,1.1087949864523048,1.0
1999-12-07,1.4563312718994066,1.0,1.0130055204899102,1.1153909478777053,1.0
1999-12-08,1.4343020858216726,1.0,0.9976822986795738,1.0985189935261577,1.0
1999-12-09,1.452993792567902,1.0,1.0106840122914866,1.1128348026469337,1.0
1999-12-10,1.4833372871979027,1.0,1.0317905614429421,1.1360746107114386,1.0
1999-12-13,1.4788892958030935,1.0,1.0286965951696252,1.1326679343365382,1.0
1999-12-14,1.4712227779298725,1.0,1.0233638627904198,1.12679621764506,1.0
1999-12-15,1.4822328716431807,1.0,1.0310223440219228,1.1352287488280872,1.0
1999-12-16,1.5319438205920266,1.0,1.0656006482069966,1.173301914966748,1.0
1999-12-17,1.6304063594149496,1.0,1.134089938599686,1.2487134828066038,1.0
1999-12-20,1.6585101910196056,1.0,1.1536386066203244,1.2702379532189083,1.0
1999-12-21,1.6413346316600632,1.0,1.1416915058579915,1.257083347667258,1.0
1999-12-22,1.6782861665378832,1.0,1.1673945238073258,1.285384193984424,1.0
1999-12-23,1.6782861665378832,1.0,1.1673945238073258,1.285384193984424,1.0
1999-12-24,1.6900149128510922,1.0,1.1755528906521238,1.2943671346931305,1.0
1999-12-27,1.6490269013443553,1.0,1.1470421508696325,1.2629747874378972,1.0
1999-12-28,1.7316394827998078,1.0,1.204506412395204,1.3262470163010744,1.0
1999-12-29,1.741041241165371,1.0,1.211046156003268,1.3334477379894891,1.0
1999-12-30,1.7469974158052048,1.0,1.215189195370461,1.3380095182694558,1.0
1999-12-31,1.7469974158052048,1.0,1.215189195370461,1.3380095182694558,1.0
2000-01-03,1.7469974158052048,1.0,1.215189195370461,1.3380095182694558,1.0
2000-01-04,1.7644721593437014,1.0,1.2273444048445765,1.3513932662774912,1.0
2000-01-05,1.7675427373091663,1.0,1.1860968701462025,1.305976804181028,1.0
