Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-13,2591.79,2630.54,2587.48,2626.23,62200,,,,,0.0,0.0,0.0,,,
2021-07-14,2634.84,2664.98,2626.23,2652.06,72200,,,,,2.061,0.412,1.648,,,
2021-07-15,2673.59,2690.81,2617.62,2621.93,71000,,,,,1.248,0.579,0.669,,,
2021-07-16,2604.71,2652.06,2600.4,2609.01,67900,,,,,-0.434,0.377,-0.81,,,
2021-07-19,2609.01,2626.23,2600.4,2600.4,65900,2621.926,,,,-2.433,-0.185,-2.248,,,
2021-07-20,2583.18,2609.01,2571.12,2600.4,77800,2616.76,,,,-3.972,-0.943,-3.029,,,
2021-07-21,2621.93,2643.45,2609.01,2634.84,81200,2613.316,,,,-2.385,-1.231,-1.154,,,
2021-07-26,2669.29,2669.29,2626.23,2634.84,50300,2615.898,,,,-1.114,-1.208,0.094,,,
2021-07-27,2600.4,2630.54,2591.79,2609.01,73100,2615.898,,,,-2.166,-1.399,-0.767,,,
2021-07-28,2583.18,2609.01,2572.85,2596.09,86400,2615.036,,,,-3.997,-1.919,-2.078,,,
2021-07-29,2572.85,2596.1,2538.4,2541.85,134500,2603.326,,,,-9.712,-3.478,-6.235,,,
2021-07-30,2578.87,2583.18,2546.15,2549.6,84700,2586.278,,,,-13.461,-5.474,-7.987,,,
2021-08-02,2604.71,2647.76,2600.4,2630.54,118600,2585.418,,,,-9.788,-6.337,-3.451,,,
2021-08-03,2548.74,2604.71,2548.74,2582.32,143500,2580.08,,,,-10.646,-7.199,-3.447,,,
2021-08-04,2570.26,2600.4,2552.18,2554.76,118000,2571.814,,,39.546,-13.395,-8.438,-4.957,,,
2021-08-05,2548.74,2565.96,2527.21,2552.18,99100,2573.88,,,39.136,-15.602,-9.871,-5.731,,,
2021-08-06,2554.76,2554.76,2517.74,2538.4,94700,2571.64,,,36.934,-18.252,-11.547,-6.705,,,
2021-08-10,2550.46,2556.49,2513.43,2513.43,115600,2548.218,,,33.279,-22.113,-13.66,-8.453,,,
2021-08-11,2546.15,2549.6,2497.07,2507.41,114100,2533.236,,,32.446,-25.366,-16.001,-9.364,,,
2021-08-12,2531.52,2548.74,2522.91,2539.27,73500,2530.138,2584.728,,40.885,-25.083,-17.818,-7.266,2584.728,2672.832,2496.625
2021-08-13,2516.88,2546.15,2503.1,2543.57,90500,2528.416,2580.596,,41.939,-24.234,-19.101,-5.133,2580.596,2668.256,2492.935
2021-08-16,2557.35,2571.12,2505.68,2525.49,59200,2525.834,2574.267,,38.805,-24.734,-20.227,-4.506,2574.267,2658.409,2490.125
2021-08-17,2514.29,2523.77,2494.49,2494.49,63100,2522.046,2567.895,,34.101,-27.317,-21.645,-5.672,2567.895,2656.045,2479.745
2021-08-18,2510.85,2544.43,2510.85,2528.07,51700,2526.178,2563.848,,42.266,-26.351,-22.586,-3.764,2563.848,2651.481,2476.215
2021-08-19,2510.85,2522.9,2491.05,2491.05,64900,2516.534,2558.38,,36.846,-28.246,-23.718,-4.528,2558.38,2649.967,2466.794
2021-08-20,2496.21,2526.35,2496.21,2514.29,75900,2510.678,2554.075,,41.884,-27.556,-24.486,-3.07,2554.075,2645.44,2462.71
2021-08-23,2555.63,2568.54,2535.82,2547.01,64600,2514.982,2549.684,,48.156,-24.091,-24.407,0.316,2549.684,2632.771,2466.596
2021-08-24,2559.07,2572.85,2539.26,2548.74,103800,2525.832,2545.378,,48.472,-20.963,-23.718,2.755,2545.378,2618.173,2472.584
2021-08-25,2565.1,2568.54,2544.43,2551.32,61300,2530.482,2542.494,,48.973,-18.068,-22.588,4.52,2542.494,2608.97,2476.018
2021-08-26,2553.04,2563.37,2539.26,2550.46,115800,2542.364,2540.212,,48.803,-15.663,-21.203,5.54,2540.212,2601.904,2478.521
2021-08-27,2540.13,2558.21,2514.29,2523.77,161500,2544.26,2539.308,,43.725,-15.729,-20.108,4.379,2539.308,2601.427,2477.19
2021-08-30,2529.79,2568.54,2505.68,2559.07,314500,2546.672,2539.782,,50.988,-12.785,-18.644,5.858,2539.782,2602.373,2477.191
2021-08-31,2551.32,2587.48,2523.77,2570.26,149900,2550.976,2536.768,,53.057,-9.441,-16.803,7.362,2536.768,2585.151,2488.385
2021-09-01,2583.18,2591.79,2570.26,2587.48,87900,2558.208,2537.026,,56.125,-5.339,-14.51,9.171,2537.026,2586.475,2487.577
2021-09-02,2569.4,2591.79,2560.79,2591.79,88300,2566.474,2538.877,,56.885,-1.721,-11.953,10.231,2538.877,2593.612,2484.143
2021-09-03,2591.79,2613.32,2572.85,2604.71,100100,2582.662,2541.504,,59.167,2.164,-9.129,11.293,2541.504,2603.488,2479.52
2021-09-06,2609.01,2639.15,2609.01,2621.93,62100,2595.234,2545.68,,62.051,6.557,-5.992,12.549,2545.68,2617.293,2474.068
2021-09-07,2652.06,2664.98,2634.84,2652.06,89800,2611.594,2552.612,,66.507,12.327,-2.328,14.655,2552.612,2636.811,2468.413
2021-09-08,2652.06,2677.9,2643.45,2677.9,121600,2629.678,2561.136,,69.785,18.769,1.891,16.878,2561.136,2659.412,2462.861
2021-09-09,2690.81,2738.17,2673.59,2712.34,145900,2653.788,2569.79,,73.506,26.35,6.783,19.567,2569.79,2688.345,2451.235
2021-09-10,2686.51,2703.73,2664.98,2682.2,147800,2669.286,2576.722,,65.861,29.584,11.343,18.241,2576.722,2704.66,2448.783
2021-09-13,2673.59,2690.81,2664.98,2690.81,67700,2683.062,2584.988,,66.92,32.468,15.568,16.9,2584.988,2720.148,2449.827
2021-09-14,2699.42,2699.42,2669.28,2686.51,70900,2689.952,2594.588,,65.822,34.014,19.257,14.757,2594.588,2729.962,2459.215
2021-09-15,2664.98,2669.29,2639.15,2652.06,69000,2684.784,2600.788,,57.663,32.09,21.824,10.266,2600.788,2734.683,2466.893
