Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-08-16,97.38,98.73,97.14,98.56,8180500.0,,,,,0.0,0.0,0.0,,,
2021-08-17,98.28,99.66,98.22,99.6,6551700.0,,,,,0.083,0.017,0.066,,,
2021-08-18,99.19,99.81,97.53,97.63,5586900.0,,,,,-0.01,0.011,-0.021,,,
2021-08-19,96.73,99.02,96.73,98.16,6145200.0,,,,,-0.041,0.001,-0.042,,,
2021-08-20,98.3,99.44,97.92,98.9,4112500.0,98.57,,,,-0.005,-0.0,-0.005,,,
2021-08-23,99.71,100.26,99.23,99.35,4748300.0,98.728,,,,0.059,0.011,0.047,,,
2021-08-24,99.65,99.65,98.57,99.61,3831500.0,98.73,,,,0.129,0.035,0.094,,,
2021-08-25,99.76,101.05,98.94,100.21,5241100.0,99.246,,,,0.23,0.074,0.156,,,
2021-08-26,100.6,100.92,100.01,100.21,5035400.0,99.656,,,,0.307,0.121,0.186,,,
2021-08-27,100.16,100.41,99.4,99.53,4279900.0,99.782,,,,0.309,0.158,0.151,,,
2021-08-30,99.75,100.63,99.5,100.36,3260900.0,99.984,,,,0.374,0.201,0.172,,,
2021-08-31,100.57,100.85,99.91,100.53,6021800.0,100.168,,,,0.434,0.248,0.186,,,
2021-09-01,100.71,101.15,88.31,93.45,50943200.0,98.816,,,,-0.089,0.18,-0.27,,,
2021-09-02,94.51,94.67,92.24,93.24,14719200.0,97.422,,,,-0.515,0.041,-0.556,,,
2021-09-03,92.54,93.28,92.41,92.91,5364800.0,96.098,,,23.792,-0.868,-0.141,-0.728,,,
2021-09-07,91.93,92.86,90.16,90.75,12694200.0,94.176,,,19.436,-1.308,-0.374,-0.934,,,
2021-09-08,89.94,92.31,89.66,91.86,10823200.0,92.442,,,26.848,-1.549,-0.609,-0.94,,,
2021-09-09,91.09,91.34,89.23,89.29,10337100.0,91.61,,,21.838,-1.925,-0.872,-1.053,,,
2021-09-10,89.46,90.16,88.53,88.79,7620100.0,90.72,,,21.017,-2.237,-1.145,-1.092,,,
2021-09-13,89.39,90.53,88.9,89.46,7398900.0,90.03,96.12,,25.084,-2.403,-1.397,-1.007,96.12,104.763,87.477
2021-09-14,89.88,89.95,88.44,88.63,6102700.0,89.606,95.624,,23.472,-2.572,-1.632,-0.94,95.624,104.8,86.447
