Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,157.84,159.27,156.65,158.96,7431700,,,,,0.0,0.0,0.0,,,
2021-09-14,159.63,160.15,157.79,159.57,5335200,,,,,0.049,0.01,0.039,,,
2021-09-15,160.0,160.48,158.29,160.13,4498500,,,,,0.131,0.034,0.097,,,
2021-09-16,158.61,160.48,158.61,159.33,4582700,,,,,0.13,0.053,0.077,,,
2021-09-17,157.67,159.16,156.64,157.78,13056400,159.154,,,,0.004,0.043,-0.039,,,
2021-09-20,156.47,157.08,153.65,155.9,10189700,158.542,,,,-0.244,-0.014,-0.23,,,
2021-09-21,157.13,157.89,154.76,156.9,4011300,158.008,,,,-0.357,-0.083,-0.274,,,
2021-09-22,158.22,160.3,157.51,159.92,3484500,157.966,,,,-0.2,-0.106,-0.093,,,
2021-09-23,160.52,163.54,160.19,163.03,3391900,158.706,,,,0.174,-0.05,0.224,,,
2021-09-24,162.4,164.51,161.75,164.22,2393300,159.994,,,,0.559,0.072,0.488,,,
2021-09-27,163.06,163.86,161.53,162.73,4497200,161.36,,,,0.736,0.205,0.531,,,
2021-09-28,158.47,160.87,157.46,157.56,5494000,161.492,,,,0.454,0.255,0.199,,,
2021-09-29,156.87,158.06,154.65,155.31,3498400,160.57,,,,0.048,0.213,-0.165,,,
2021-09-30,156.71,157.54,153.95,154.06,4820600,158.776,,,,-0.37,0.097,-0.467,,,
2021-10-01,154.38,155.35,151.56,153.96,3549200,156.724,,,34.886,-0.702,-0.063,-0.639,,,
2021-10-04,153.38,154.26,150.54,151.1,5377500,154.398,,,29.294,-1.181,-0.287,-0.895,,,
2021-10-05,152.0,153.37,150.82,152.12,2899100,153.31,,,33.394,-1.462,-0.522,-0.941,,,
2021-10-06,150.66,152.95,150.07,152.74,2754000,152.796,,,35.831,-1.617,-0.741,-0.876,,,
2021-10-07,154.01,155.72,153.38,153.6,2174100,152.704,,,39.155,-1.65,-0.923,-0.728,,,
2021-10-08,154.98,155.41,153.32,155.11,3145900,152.934,157.202,,44.583,-1.537,-1.046,-0.492,157.202,164.734,149.669
2021-10-11,154.65,157.79,154.35,154.45,1964800,153.604,156.976,,42.787,-1.484,-1.133,-0.351,156.976,164.557,149.395
2021-10-12,155.01,155.98,150.69,150.88,3018000,153.356,156.541,,34.651,-1.71,-1.249,-0.462,156.541,164.484,148.599
2021-10-13,152.66,153.35,150.46,151.18,3416600,153.044,156.094,,35.757,-1.844,-1.368,-0.476,156.094,164.192,147.996
2021-10-14,153.18,155.09,152.82,154.72,5043100,153.268,155.864,,47.123,-1.645,-1.423,-0.222,155.864,163.835,147.892
2021-10-15,156.41,158.31,156.12,158.25,2887000,153.896,155.887,,55.566,-1.189,-1.377,0.187,155.887,163.885,147.889
2021-10-18,156.73,159.74,156.12,159.44,2541500,154.894,156.064,,58.0,-0.724,-1.246,0.522,156.064,164.218,147.91
2021-10-19,159.82,162.59,158.72,162.48,3336700,157.214,156.343,,63.502,-0.108,-1.018,0.91,156.343,164.985,147.701
2021-10-20,162.73,163.61,161.82,162.74,3025800,159.526,156.484,,63.937,0.396,-0.735,1.132,156.484,165.457,147.511
2021-10-21,162.5,164.7,162.03,164.48,2744000,161.478,156.556,,66.79,0.926,-0.403,1.329,156.556,165.773,147.34
2021-10-22,164.88,166.28,163.44,164.12,3074300,162.652,156.551,,65.633,1.301,-0.062,1.364,156.551,165.75,147.353
2021-10-25,164.27,166.59,164.12,166.05,2498200,163.974,156.718,,68.758,1.734,0.297,1.437,156.718,166.488,146.947
2021-10-26,167.39,167.77,165.24,165.47,2209200,164.572,157.113,,66.792,2.008,0.639,1.369,157.113,167.638,146.588
2021-10-27,160.16,160.98,156.38,156.8,6263900,163.384,157.188,,45.744,1.508,0.813,0.695,157.188,167.68,146.695
2021-10-28,158.46,160.38,157.78,158.64,2781100,162.216,157.416,,49.389,1.245,0.899,0.346,157.416,167.821,147.012
2021-10-29,157.67,159.93,156.92,159.59,3137400,161.31,157.698,,51.211,1.101,0.94,0.162,157.698,168.013,147.383
2021-11-01,159.3,161.21,159.05,160.97,2180700,160.294,158.192,,53.813,1.086,0.969,0.117,158.192,168.114,148.269
2021-11-02,160.97,163.97,160.7,163.68,2405800,159.936,158.77,,58.495,1.278,1.031,0.247,158.77,168.549,148.99
2021-11-03,163.2,164.9,161.78,164.47,1997700,161.47,159.356,,59.774,1.477,1.12,0.357,159.356,169.019,149.693
2021-11-04,164.66,166.46,162.13,166.25,5252700,162.992,159.988,,62.575,1.758,1.248,0.51,159.988,169.721,150.256
2021-11-05,169.03,171.19,167.6,169.42,3415700,164.958,160.704,,66.983,2.211,1.44,0.77,160.704,171.014,150.394
2021-11-08,168.77,171.04,168.67,169.68,2582300,166.7,161.466,,67.323,2.561,1.664,0.897,161.466,172.075,150.856
2021-11-09,169.55,170.99,168.17,170.18,2508500,168.0,162.43,,68.006,2.846,1.901,0.946,162.43,172.483,152.378
2021-11-10,168.34,170.64,165.61,166.37,2735500,168.38,163.19,,58.058,2.733,2.067,0.666,163.19,171.864,154.516
2021-11-11,168.55,168.68,165.97,168.43,1703300,168.816,163.876,,61.35,2.778,2.209,0.569,163.876,171.872,155.879
2021-11-12,168.86,170.82,167.0,169.98,1847600,168.928,164.462,,63.661,2.905,2.349,0.557,164.462,172.442,156.482
2021-11-15,170.84,170.84,169.02,170.23,1337200,169.038,165.002,,64.034,2.992,2.477,0.514,165.002,173.01,156.993
2021-11-16,169.79,172.8,169.72,172.63,2126300,169.528,165.509,,67.49,3.217,2.625,0.591,165.509,174.11,156.908
2021-11-17,172.96,173.03,170.67,172.05,2242300,170.664,165.974,,65.843,3.31,2.762,0.548,165.974,174.944,157.005
2021-11-18,173.03,173.57,171.09,173.02,2091800,171.582,166.402,,67.281,3.423,2.894,0.529,166.402,175.871,156.932
2021-11-19,173.02,174.77,172.68,173.67,3299800,172.32,166.879,161.287,68.245,3.524,3.02,0.504,166.879,176.815,156.943
2021-11-22,174.77,176.57,170.51,170.64,5228600,172.402,167.108,161.521,59.449,3.321,3.08,0.241,167.108,177.175,157.042
2021-11-23,171.33,172.94,165.79,167.83,4976400,171.442,167.227,161.686,52.669,2.901,3.044,-0.144,167.227,177.268,157.185
2021-11-24,166.91,167.89,165.27,167.85,2914800,170.602,167.779,161.84,52.71,2.54,2.943,-0.404,167.779,176.539,159.019
2021-11-26,164.66,165.95,162.61,163.74,2539100,168.746,168.034,161.928,44.172,1.9,2.735,-0.835,168.034,175.928,160.14
2021-11-29,166.07,168.97,164.15,168.52,4374800,167.716,168.48,162.143,53.588,1.758,2.54,-0.781,168.48,175.301,161.66
