Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,297.62,298.7,290.31,291.93,888500,,,,,0.0,0.0,0.0,,,
2021-07-13,292.44,297.22,290.93,296.42,1051100,,,,,0.358,0.072,0.287,,,
2021-07-14,298.5,300.73,296.14,297.1,1052500,,,,,0.689,0.195,0.494,,,
2021-07-15,297.48,298.0,292.06,294.79,839800,,,,,0.756,0.307,0.449,,,
2021-07-16,296.78,297.63,293.08,293.33,698000,294.714,,,,0.683,0.383,0.301,,,
2021-07-19,289.58,290.0,284.42,287.31,1048100,293.79,,,,0.139,0.334,-0.195,,,
2021-07-20,287.9,298.64,285.92,296.12,1169600,293.73,,,,0.413,0.35,0.063,,,
2021-07-21,294.82,302.11,294.42,301.78,867800,294.666,,,,1.075,0.495,0.58,,,
2021-07-22,302.87,309.33,302.05,308.51,1083300,297.41,,,,2.118,0.819,1.299,,,
2021-07-23,310.19,314.92,309.3,312.65,1066800,301.274,,,,3.241,1.304,1.937,,,
2021-07-26,312.0,313.96,309.81,313.62,903700,306.536,,,,4.162,1.875,2.286,,,
2021-07-27,314.04,314.37,304.31,308.25,1076600,308.962,,,,4.407,2.382,2.025,,,
2021-07-28,309.41,314.09,306.07,313.13,1024400,311.232,,,,4.938,2.893,2.045,,,
2021-07-29,313.68,322.68,312.68,320.5,1457500,313.63,,,,5.886,3.492,2.395,,,
2021-07-30,318.3,321.73,317.01,321.13,1311500,315.326,,,76.596,6.612,4.116,2.496,,,
2021-08-02,321.41,324.13,319.15,322.07,914000,317.016,,,77.189,7.181,4.729,2.452,,,
2021-08-03,323.03,328.19,320.85,327.61,1043200,320.888,,,80.351,7.986,5.38,2.606,,,
2021-08-04,328.0,331.12,326.02,329.09,1341800,324.08,,,81.105,8.644,6.033,2.611,,,
2021-08-05,331.1,331.5,326.75,328.82,1342800,325.744,,,80.498,9.039,6.634,2.405,,,
2021-08-06,327.46,334.06,326.67,332.77,856900,328.072,309.846,,82.554,9.561,7.22,2.342,309.846,338.586,281.107
2021-08-09,333.18,333.88,330.29,332.77,763000,330.212,311.888,,82.554,9.861,7.748,2.113,311.888,341.068,282.709
2021-08-10,332.85,335.67,328.77,331.28,874900,330.946,313.631,,78.915,9.865,8.171,1.694,313.631,343.084,284.179
2021-08-11,332.0,333.57,325.35,328.64,1021100,330.856,315.208,,72.793,9.545,8.446,1.099,315.208,344.31,286.107
2021-08-12,327.4,332.42,325.58,332.05,884400,331.502,317.072,,75.443,9.458,8.649,0.809,317.072,345.43,288.713
2021-08-13,333.94,334.0,330.25,332.78,754400,331.504,319.044,,75.982,9.34,8.787,0.553,319.044,345.898,292.19
2021-08-16,332.31,332.67,326.65,330.18,924100,330.986,321.188,,70.079,8.933,8.816,0.117,321.188,343.9,298.475
2021-08-17,328.56,328.89,322.58,324.7,1086500,329.67,322.616,,59.573,8.076,8.668,-0.592,322.616,342.048,303.185
2021-08-18,323.57,326.06,322.23,323.52,913800,328.646,323.703,,57.571,7.218,8.378,-1.16,323.703,340.478,306.929
2021-08-19,322.7,332.37,322.46,330.35,1226300,328.306,324.796,,64.918,7.008,8.104,-1.096,324.796,340.192,309.399
2021-08-20,331.65,335.27,330.55,334.38,860100,328.626,325.882,,68.395,7.086,7.9,-0.815,325.882,340.727,311.037
2021-08-23,336.0,338.28,334.02,336.76,1253200,329.942,327.039,,70.27,7.256,7.771,-0.516,327.039,341.461,312.617
2021-08-24,338.98,344.39,338.48,341.07,1032200,333.216,328.68,,73.352,7.65,7.747,-0.097,328.68,341.477,315.883
2021-08-25,342.52,343.56,339.33,342.27,1502100,336.966,330.137,,74.155,7.967,7.791,0.176,330.137,342.087,318.187
2021-08-26,317.2,324.0,308.02,310.19,5486100,332.934,329.622,,39.7,5.566,7.346,-1.78,329.622,343.971,315.272
2021-08-27,314.23,318.23,310.15,315.64,1840400,329.186,329.347,,44.424,4.056,6.688,-2.632,329.347,344.564,314.13
2021-08-30,316.94,318.72,310.16,313.39,1411900,324.512,328.913,,42.929,2.647,5.88,-3.233,328.913,345.443,312.383
2021-08-31,313.13,314.29,309.11,310.09,1567000,318.316,328.037,,40.762,1.25,4.954,-3.704,328.037,346.59,309.484
