Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,21.09,21.34,20.88,21.33,6083600,,,,,0.0,0.0,0.0,,,
2021-07-13,21.3,21.35,20.45,20.48,6107600,,,,,-0.068,-0.014,-0.054,,,
2021-07-14,20.56,20.88,20.5,20.51,3645300,,,,,-0.118,-0.034,-0.083,,,
2021-07-15,20.32,20.46,20.05,20.2,5489000,,,,,-0.18,-0.064,-0.117,,,
2021-07-16,20.28,20.41,19.9,20.02,6356800,20.508,,,,-0.242,-0.099,-0.142,,,
2021-07-19,19.65,19.77,19.26,19.38,7643800,20.118,,,,-0.338,-0.147,-0.191,,,
2021-07-20,19.45,19.95,19.4,19.81,6737400,19.984,,,,-0.375,-0.193,-0.183,,,
2021-07-21,19.95,20.15,19.89,20.02,4619000,19.886,,,,-0.383,-0.231,-0.153,,,
2021-07-22,20.12,20.13,19.68,19.74,5477000,19.794,,,,-0.408,-0.266,-0.142,,,
2021-07-23,19.83,19.94,19.45,19.64,5729500,19.718,,,,-0.43,-0.299,-0.131,,,
2021-07-26,19.65,19.87,19.59,19.72,4904300,19.786,,,,-0.437,-0.327,-0.11,,,
2021-07-27,19.62,19.98,19.46,19.98,5488400,19.82,,,,-0.416,-0.344,-0.071,,,
2021-07-28,20.09,20.13,19.74,19.91,2984300,19.798,,,,-0.4,-0.356,-0.045,,,
2021-07-29,20.0,20.11,19.9,19.95,3328000,19.84,,,,-0.381,-0.361,-0.02,,,
2021-07-30,19.76,20.03,19.56,19.6,5208900,19.832,,,30.698,-0.389,-0.366,-0.022,,,
2021-08-02,19.78,19.78,19.45,19.49,5567500,19.786,,,29.139,-0.399,-0.373,-0.026,,,
2021-08-03,19.56,19.95,19.45,19.78,10843600,19.746,,,38.067,-0.38,-0.374,-0.006,,,
2021-08-04,19.63,19.77,19.39,19.55,4894500,19.674,,,34.369,-0.379,-0.375,-0.004,,,
2021-08-05,20.1,20.89,19.71,20.55,10640800,19.794,,,54.891,-0.294,-0.359,0.065,,,
2021-08-06,20.78,21.07,20.31,20.34,7489800,19.942,20.0,,51.265,-0.241,-0.335,0.095,20.0,20.929,19.071
2021-08-09,20.3,20.34,19.98,19.99,5950600,20.042,19.933,,45.832,-0.224,-0.313,0.089,19.933,20.619,19.247
2021-08-10,20.02,20.46,19.93,20.13,4612800,20.112,19.916,,48.197,-0.197,-0.29,0.092,19.916,20.56,19.271
2021-08-11,20.15,20.62,20.15,20.58,4700600,20.318,19.919,,54.998,-0.138,-0.26,0.121,19.919,20.577,19.261
2021-08-12,20.49,20.84,20.49,20.77,4353900,20.362,19.947,,57.533,-0.075,-0.223,0.147,19.947,20.7,19.195
2021-08-13,20.68,20.83,20.47,20.5,3286100,20.394,19.972,,52.967,-0.047,-0.188,0.141,19.972,20.763,19.18
2021-08-16,20.39,20.49,20.15,20.15,2679900,20.426,20.01,,47.684,-0.052,-0.16,0.109,20.01,20.754,19.266
2021-08-17,20.0,20.05,19.63,19.92,3452300,20.384,20.015,,44.54,-0.073,-0.143,0.07,20.015,20.755,19.276
2021-08-18,19.98,20.01,19.63,19.65,4970600,20.198,19.997,,41.113,-0.111,-0.137,0.026,19.997,20.754,19.24
2021-08-19,19.52,19.8,19.45,19.55,5192600,19.954,19.988,,39.889,-0.147,-0.139,-0.008,19.988,20.763,19.212
2021-08-20,19.5,20.15,19.46,20.11,5292600,19.876,20.011,,49.04,-0.129,-0.137,0.008,20.011,20.77,19.252
2021-08-23,20.18,20.25,19.85,20.05,5704300,19.856,20.028,,48.193,-0.118,-0.133,0.015,20.028,20.774,19.281
2021-08-24,20.2,20.2,19.86,20.01,5848600,19.874,20.029,,47.603,-0.112,-0.129,0.017,20.029,20.776,19.282
2021-08-25,20.0,20.28,19.91,20.06,6158300,19.956,20.036,,48.452,-0.101,-0.123,0.022,20.036,20.781,19.292
2021-08-26,20.01,20.06,19.73,19.74,3919800,19.994,20.026,,43.583,-0.118,-0.122,0.005,20.026,20.782,19.27
2021-08-27,19.65,20.01,19.61,20.01,4578700,19.974,20.046,,48.304,-0.107,-0.119,0.012,20.046,20.775,19.318
2021-08-30,20.1,20.12,19.91,19.93,2120000,19.95,20.068,,47.048,-0.105,-0.116,0.012,20.068,20.752,19.385
2021-08-31,19.98,20.04,19.66,19.74,6436300,19.896,20.066,,44.113,-0.116,-0.116,-0.0,20.066,20.753,19.38
2021-09-01,19.91,20.21,19.87,19.95,3941600,19.874,20.086,,47.975,-0.107,-0.115,0.007,20.086,20.732,19.441
2021-09-02,19.96,20.29,19.94,20.29,3283600,19.984,20.074,,53.57,-0.072,-0.106,0.034,20.074,20.69,19.457
2021-09-03,20.25,20.45,20.18,20.38,7178600,20.058,20.075,,54.951,-0.037,-0.092,0.056,20.075,20.695,19.456
2021-09-07,20.24,20.34,20.08,20.22,7112100,20.116,20.087,,51.991,-0.021,-0.078,0.057,20.087,20.709,19.465
2021-09-08,20.21,20.31,19.95,19.97,4804900,20.162,20.079,,47.669,-0.028,-0.068,0.04,20.079,20.703,19.455
2021-09-09,20.01,20.09,19.84,19.9,4377700,20.152,20.045,,46.503,-0.04,-0.062,0.023,20.045,20.626,19.464
2021-09-10,19.99,20.01,19.65,19.66,3686800,20.026,19.99,,42.652,-0.067,-0.063,-0.004,19.99,20.485,19.494
2021-09-13,19.85,19.88,19.61,19.74,5941400,19.898,19.952,,44.308,-0.081,-0.067,-0.014,19.952,20.396,19.507
2021-09-14,19.87,19.96,19.6,19.7,4703200,19.794,19.929,,43.63,-0.095,-0.072,-0.022,19.929,20.377,19.481
2021-09-15,19.67,20.0,19.57,19.94,4909500,19.788,19.93,,48.703,-0.085,-0.075,-0.01,19.93,20.378,19.482
2021-09-16,19.97,20.15,19.86,20.08,5230700,19.824,19.952,,51.448,-0.065,-0.073,0.008,19.952,20.384,19.519
2021-09-17,20.28,20.55,20.25,20.34,10357800,19.96,19.991,,56.142,-0.029,-0.064,0.036,19.991,20.413,19.569
2021-09-20,20.01,20.2,19.46,19.78,5734000,19.968,19.974,20.017,45.858,-0.044,-0.06,0.016,19.974,20.403,19.546
2021-09-21,19.91,19.98,19.72,19.78,4272000,19.984,19.961,19.986,45.858,-0.056,-0.059,0.004,19.961,20.396,19.526
2021-09-22,19.87,19.99,19.53,19.58,3426600,19.912,19.94,19.968,42.624,-0.08,-0.063,-0.017,19.94,20.406,19.473
2021-09-23,19.71,19.9,19.41,19.47,3411200,19.79,19.91,19.947,40.915,-0.107,-0.072,-0.035,19.91,20.417,19.403
2021-09-24,19.47,19.59,19.33,19.38,5970300,19.598,19.892,19.931,39.519,-0.134,-0.084,-0.05,19.892,20.448,19.336
2021-09-27,19.32,19.79,19.29,19.39,3741900,19.52,19.861,19.918,39.765,-0.153,-0.098,-0.055,19.861,20.457,19.265
2021-09-28,19.45,19.62,19.05,19.07,5135500,19.378,19.818,19.912,34.877,-0.191,-0.117,-0.075,19.818,20.509,19.127
2021-09-29,19.13,19.15,18.88,18.97,3551000,19.256,19.78,19.895,33.492,-0.228,-0.139,-0.089,19.78,20.568,18.991
2021-09-30,19.01,19.05,18.69,18.88,5642000,19.138,19.726,19.872,32.25,-0.26,-0.163,-0.097,19.726,20.606,18.846
2021-10-01,19.05,19.19,18.78,18.94,4779600,19.05,19.658,19.856,34.007,-0.278,-0.186,-0.092,19.658,20.563,18.754
2021-10-04,18.86,19.03,18.75,18.89,4485700,18.95,19.584,19.841,33.234,-0.293,-0.208,-0.086,19.584,20.484,18.684
2021-10-05,18.96,19.38,18.77,19.34,5162200,19.004,19.54,19.834,45.291,-0.266,-0.219,-0.046,19.54,20.393,18.687
2021-10-06,19.15,19.38,18.88,19.37,4515300,19.084,19.51,19.821,45.991,-0.239,-0.223,-0.015,19.51,20.342,18.678
2021-10-07,19.44,20.13,19.38,19.92,10589200,19.292,19.511,19.822,56.886,-0.171,-0.213,0.042,19.511,20.345,18.677
2021-10-08,19.89,20.23,19.78,19.91,9921100,19.486,19.524,19.821,56.662,-0.117,-0.193,0.077,19.524,20.374,18.673
2021-10-11,19.86,20.01,19.72,19.85,7662500,19.678,19.529,19.826,55.257,-0.078,-0.17,0.093,19.529,20.387,18.671
2021-10-12,19.86,20.01,19.77,19.86,6733400,19.782,19.537,19.833,55.456,-0.045,-0.145,0.1,19.537,20.404,18.67
2021-10-13,19.92,20.03,19.7,19.81,5890200,19.87,19.53,19.834,54.164,-0.023,-0.121,0.097,19.53,20.387,18.674
2021-10-14,19.96,20.1,19.78,20.08,3200600,19.902,19.53,19.844,59.633,0.015,-0.094,0.109,19.53,20.387,18.674
2021-10-15,20.25,20.39,20.1,20.19,3537800,19.958,19.523,19.837,61.641,0.054,-0.064,0.119,19.523,20.352,18.694
2021-10-18,19.92,20.04,19.68,19.72,3269100,19.932,19.52,19.825,50.159,0.047,-0.042,0.089,19.52,20.345,18.695
2021-10-19,19.88,20.09,19.78,19.97,3291600,19.954,19.53,19.824,54.964,0.061,-0.021,0.082,19.53,20.372,18.687
2021-10-20,20.0,20.75,20.0,20.7,6982600,20.132,19.586,19.836,65.442,0.129,0.009,0.12,19.586,20.577,18.594
2021-10-21,20.61,20.71,20.29,20.5,4068600,20.216,19.637,19.834,61.238,0.165,0.04,0.125,19.637,20.708,18.566
