Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,41.37,42.6,41.03,42.34,3450700,,,,,0.0,0.0,0.0,,,
2021-07-13,42.3,42.44,41.66,41.71,2983400,,,,,-0.05,-0.01,-0.04,,,
2021-07-14,41.85,42.26,41.07,41.42,2792200,,,,,-0.112,-0.03,-0.082,,,
2021-07-15,42.39,43.02,41.97,42.9,7698900,,,,,-0.041,-0.033,-0.009,,,
2021-07-16,43.02,43.06,41.63,41.86,4384800,42.046,,,,-0.068,-0.04,-0.029,,,
2021-07-19,40.61,40.86,39.75,40.1,5465300,41.598,,,,-0.229,-0.078,-0.151,,,
2021-07-20,40.14,42.42,40.05,42.15,5131200,41.686,,,,-0.189,-0.1,-0.089,,,
2021-07-21,42.53,43.71,42.53,43.1,3970900,42.022,,,,-0.08,-0.096,0.016,,,
2021-07-22,42.93,42.93,42.16,42.45,2815300,41.932,,,,-0.045,-0.086,0.041,,,
2021-07-23,42.81,43.15,42.06,42.22,3029600,42.004,,,,-0.035,-0.076,0.04,,,
2021-07-26,42.2,42.85,42.11,42.58,3026800,42.5,,,,0.001,-0.06,0.061,,,
2021-07-27,42.02,42.67,41.75,42.32,2347700,42.534,,,,0.009,-0.046,0.055,,,
2021-07-28,42.46,42.62,41.22,41.9,2956000,42.294,,,,-0.019,-0.041,0.022,,,
2021-07-29,42.46,42.83,41.96,42.72,3492500,42.348,,,,0.026,-0.028,0.053,,,
2021-07-30,42.39,43.09,42.07,42.26,4695600,42.356,,,50.136,0.023,-0.017,0.041,,,
2021-08-02,42.72,43.59,42.2,42.28,2779100,42.296,,,50.294,0.023,-0.009,0.032,,,
2021-08-03,42.58,42.66,41.45,42.61,2346500,42.354,,,52.955,0.048,0.002,0.046,,,
2021-08-04,41.98,42.52,41.74,42.03,3592100,42.38,,,48.084,0.021,0.006,0.015,,,
2021-08-05,42.48,43.51,42.48,43.43,4686400,42.522,,,58.102,0.112,0.027,0.085,,,
2021-08-06,44.85,45.86,44.63,45.47,4807600,43.164,42.392,,67.84,0.344,0.091,0.254,42.392,44.39,40.395
2021-08-09,45.22,46.54,44.97,46.28,4388700,43.964,42.59,,70.747,0.587,0.19,0.397,42.59,45.237,39.942
2021-08-10,46.29,47.67,46.29,47.43,7491300,44.928,42.876,,74.299,0.862,0.324,0.538,42.876,46.257,39.494
2021-08-11,47.69,48.3,47.11,48.27,5623200,46.176,43.218,,76.54,1.135,0.486,0.649,43.218,47.295,39.141
2021-08-12,48.42,48.71,47.86,48.09,3647700,47.108,43.478,,75.031,1.322,0.654,0.668,43.478,48.094,38.861
2021-08-13,48.36,49.03,48.1,48.74,4675500,47.762,43.822,,76.809,1.504,0.824,0.681,43.822,48.93,38.713
2021-08-16,48.41,48.94,47.95,48.74,4648600,48.254,44.253,,76.809,1.631,0.985,0.645,44.253,49.496,39.011
2021-08-17,48.42,49.05,48.03,48.2,4490900,48.408,44.556,,71.876,1.668,1.122,0.546,44.556,49.982,39.13
2021-08-18,47.97,49.0,47.78,47.98,5002900,48.35,44.8,,69.906,1.66,1.229,0.431,44.8,50.387,39.213
2021-08-19,47.25,48.11,46.89,47.27,7291400,48.186,45.041,,63.826,1.579,1.299,0.28,45.041,50.617,39.465
2021-08-20,47.34,48.04,47.05,47.81,4040800,48.0,45.32,,66.231,1.54,1.347,0.193,45.32,50.862,39.779
2021-08-23,48.26,48.87,48.2,48.34,3738400,47.92,45.608,,68.449,1.535,1.385,0.15,45.608,51.149,40.068
2021-08-24,48.34,48.81,48.1,48.52,3797600,47.984,45.918,,69.189,1.527,1.413,0.114,45.918,51.377,40.46
2021-08-25,48.68,49.53,48.39,49.03,4019300,48.194,46.275,,71.247,1.544,1.44,0.105,46.275,51.557,40.993
2021-08-26,49.16,49.2,48.19,48.21,3308100,48.382,46.55,,63.861,1.475,1.447,0.028,46.55,51.62,41.479
2021-08-27,48.5,49.19,48.33,49.1,3485500,48.64,46.892,,67.767,1.475,1.452,0.023,46.892,51.657,42.126
2021-08-30,49.13,49.13,48.2,48.21,3711400,48.614,47.188,,60.702,1.387,1.439,-0.052,47.188,51.458,42.918
2021-08-31,48.06,48.93,48.06,48.69,5703900,48.648,47.492,,62.946,1.341,1.42,-0.079,47.492,51.221,43.763
2021-09-01,48.81,48.93,48.38,48.71,4014300,48.584,47.826,,63.04,1.291,1.394,-0.103,47.826,50.559,45.093
2021-09-02,48.88,49.44,48.78,49.29,5228000,48.8,48.119,,65.772,1.283,1.372,-0.089,48.119,49.987,46.251
2021-09-03,49.22,49.46,48.72,49.18,4556800,48.816,48.305,,64.794,1.254,1.348,-0.094,48.305,49.755,46.854
2021-09-07,49.28,49.78,48.78,48.79,4783000,48.932,48.43,,61.313,1.185,1.315,-0.13,48.43,49.537,47.323
2021-09-08,48.64,49.1,48.46,48.92,3349300,48.978,48.504,,62.045,1.128,1.278,-0.15,48.504,49.525,47.484
2021-09-09,48.91,49.79,48.73,48.81,4669900,48.998,48.532,,60.993,1.062,1.235,-0.173,48.532,49.555,47.508
2021-09-10,49.24,49.43,48.55,48.59,3221700,48.858,48.557,,58.845,0.981,1.184,-0.203,48.557,49.558,47.555
2021-09-13,49.19,49.38,48.74,49.19,4962000,48.86,48.579,,62.703,0.954,1.138,-0.184,48.579,49.618,47.54
2021-09-14,49.39,49.44,48.44,48.58,5109600,48.818,48.571,,56.866,0.873,1.085,-0.212,48.571,49.607,47.535
2021-09-15,48.66,49.16,48.36,48.88,4194300,48.81,48.605,,58.893,0.824,1.033,-0.209,48.605,49.634,47.576
2021-09-16,48.9,49.43,48.53,48.79,3423200,48.806,48.646,,58.012,0.768,0.98,-0.211,48.646,49.634,47.657
2021-09-17,48.56,49.41,48.11,48.31,7278400,48.75,48.698,,53.424,0.678,0.92,-0.241,48.698,49.467,47.928
2021-09-20,46.89,47.86,46.68,47.79,7959300,48.47,48.696,46.012,48.91,0.558,0.847,-0.289,48.696,49.47,47.923
2021-09-21,48.22,48.33,47.49,47.55,5580500,48.264,48.657,46.116,46.939,0.439,0.766,-0.327,48.657,49.575,47.739
2021-09-22,48.33,48.61,48.0,48.22,4876600,48.132,48.642,46.246,52.673,0.394,0.691,-0.298,48.642,49.579,47.705
2021-09-23,48.45,49.4,48.45,48.95,4444700,48.164,48.638,46.397,57.999,0.412,0.635,-0.223,48.638,49.569,47.707
2021-09-24,49.04,49.57,48.77,49.21,5669300,48.344,48.688,46.523,59.737,0.442,0.597,-0.154,48.688,49.629,47.747
2021-09-27,49.71,51.36,49.71,51.2,5232800,49.026,48.793,46.71,69.976,0.62,0.601,0.019,48.793,50.253,47.333
2021-09-28,51.25,51.66,50.16,50.27,5511600,49.57,48.896,46.913,62.036,0.678,0.617,0.061,48.896,50.469,47.323
2021-09-29,50.47,50.69,50.08,50.13,3289600,49.952,48.968,47.073,60.915,0.704,0.634,0.07,48.968,50.631,47.305
2021-09-30,50.26,50.38,49.27,49.28,4202000,50.018,48.997,47.196,54.481,0.649,0.637,0.012,48.997,50.66,47.333
2021-10-01,49.51,50.18,49.21,49.81,5871800,50.138,49.022,47.344,57.496,0.641,0.638,0.003,49.022,50.721,47.324
2021-10-04,49.72,50.9,49.67,50.11,5557000,49.92,49.069,47.501,59.145,0.651,0.64,0.01,49.069,50.836,47.302
2021-10-05,50.53,51.84,49.95,51.58,4845500,50.182,49.208,47.681,66.089,0.769,0.666,0.103,49.208,51.294,47.123
2021-10-06,51.11,51.58,50.34,51.46,3484300,50.448,49.336,47.864,65.116,0.843,0.701,0.141,49.336,51.645,47.026
2021-10-07,51.74,52.17,51.32,51.35,3749900,50.862,49.462,48.053,64.184,0.882,0.738,0.145,49.462,51.924,47.001
2021-10-08,51.27,52.06,51.27,51.72,2217200,51.244,49.619,48.233,65.95,0.933,0.777,0.156,49.619,52.24,46.998
2021-10-11,51.85,52.84,51.69,51.97,3104700,51.616,49.758,48.427,67.13,0.981,0.818,0.164,49.758,52.571,46.945
2021-10-12,51.89,52.46,51.42,51.53,2678600,51.606,49.906,48.612,62.993,0.973,0.849,0.125,49.906,52.767,47.044
2021-10-13,51.37,51.42,49.81,50.46,4125000,51.406,49.985,48.769,54.238,0.871,0.853,0.018,49.985,52.814,47.155
2021-10-14,51.21,51.87,50.7,51.86,4857000,51.508,50.138,48.966,61.732,0.892,0.861,0.031,50.138,53.027,47.249
2021-10-15,52.35,52.81,52.14,52.32,3931900,51.628,50.338,49.144,63.828,0.935,0.876,0.059,50.338,53.25,47.427
2021-10-18,52.28,52.52,51.72,51.97,3299000,51.628,50.548,49.274,61.087,0.93,0.887,0.044,50.548,53.284,47.811
2021-10-19,52.56,53.13,52.37,52.65,3217200,51.852,50.802,49.401,64.295,0.97,0.903,0.067,50.802,53.303,48.302
2021-10-20,52.39,53.65,52.19,53.52,3205000,52.464,51.068,49.523,67.938,1.06,0.935,0.125,51.068,53.539,48.596
2021-10-21,53.29,53.82,52.89,53.2,2794600,52.732,51.28,49.622,65.299,1.093,0.966,0.126,51.28,53.715,48.845
2021-10-22,53.54,54.01,53.26,53.88,3734100,53.044,51.514,49.737,68.132,1.16,1.005,0.155,51.514,54.008,49.019
2021-10-25,53.87,54.18,53.15,53.54,3157100,53.358,51.631,49.833,65.263,1.172,1.039,0.134,51.631,54.278,48.983
2021-10-26,53.62,53.87,53.12,53.18,2497400,53.464,51.776,49.922,62.273,1.14,1.059,0.081,51.776,54.428,49.124
2021-10-27,53.0,53.88,52.46,52.57,3984800,53.274,51.898,50.01,57.469,1.053,1.058,-0.005,51.898,54.454,49.342
2021-10-28,52.81,53.82,52.81,53.78,2668200,53.39,52.123,50.126,63.487,1.069,1.06,0.009,52.123,54.495,49.751
2021-10-29,53.87,54.69,53.02,53.05,4668700,53.224,52.285,50.241,58.142,1.012,1.05,-0.039,52.285,54.422,50.148
2021-11-01,53.61,54.2,53.53,54.04,2732100,53.324,52.482,50.366,62.725,1.034,1.047,-0.013,52.482,54.496,50.467
2021-11-02,53.87,54.2,53.69,53.85,3318100,53.458,52.595,50.476,61.337,1.025,1.043,-0.018,52.595,54.651,50.539
2021-11-03,53.6,55.48,53.57,54.84,4537700,53.912,52.764,50.602,65.608,1.085,1.051,0.034,52.764,54.977,50.551
2021-11-04,54.5,54.61,53.55,54.22,4685900,54.0,52.908,50.706,61.059,1.07,1.055,0.015,52.908,55.106,50.709
2021-11-05,55.66,56.15,52.71,52.93,6787500,53.976,52.968,50.801,52.849,0.943,1.032,-0.089,52.968,55.095,50.841
2021-11-08,53.02,53.75,52.61,53.11,5118300,53.79,53.025,50.881,53.783,0.847,0.995,-0.148,53.025,55.1,50.95
2021-11-09,52.79,53.44,52.31,52.75,3097700,53.57,53.086,50.972,51.582,0.734,0.943,-0.209,53.086,55.044,51.128
