Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-10,117.9,118.13,116.33,116.87,1311400,,,,,0.0,0.0,0.0,,,
2021-09-13,117.85,118.6,117.2,118.4,1603600,,,,,0.122,0.024,0.098,,,
2021-09-14,118.76,119.18,116.96,117.39,2118900,,,,,0.136,0.047,0.089,,,
2021-09-15,117.41,118.71,116.39,117.0,1914200,,,,,0.114,0.06,0.054,,,
2021-09-16,116.82,117.55,116.18,116.81,1515600,117.294,,,,0.08,0.064,0.016,,,
2021-09-17,116.14,117.33,115.64,116.41,3401200,117.202,,,,0.021,0.055,-0.035,,,
2021-09-20,114.71,115.26,113.47,115.13,2009400,116.548,,,,-0.128,0.019,-0.147,,,
2021-09-21,115.61,116.41,114.76,115.14,1631400,116.098,,,,-0.242,-0.033,-0.209,,,
2021-09-22,116.13,116.78,115.76,115.82,1476100,115.862,,,,-0.275,-0.082,-0.193,,,
2021-09-23,116.45,117.54,116.08,116.22,1237000,115.744,,,,-0.265,-0.118,-0.147,,,
2021-09-24,116.2,116.97,115.88,115.94,1162900,115.65,,,,-0.277,-0.15,-0.127,,,
2021-09-27,116.41,117.26,115.82,115.85,1156100,115.794,,,,-0.29,-0.178,-0.112,,,
2021-09-28,115.83,116.59,113.51,113.71,1453600,115.508,,,,-0.468,-0.236,-0.232,,,
2021-09-29,113.75,115.59,113.75,114.9,908600,115.324,,,,-0.507,-0.29,-0.217,,,
2021-09-30,115.47,115.82,113.05,113.11,1463500,114.702,,,30.415,-0.675,-0.367,-0.308,,,
2021-10-01,113.27,114.56,112.4,113.47,1553200,114.208,,,33.665,-0.77,-0.448,-0.322,,,
2021-10-04,113.51,114.9,112.3,112.48,1539600,113.534,,,29.574,-0.914,-0.541,-0.373,,,
2021-10-05,112.68,114.51,111.84,113.83,1864200,113.558,,,40.238,-0.909,-0.615,-0.295,,,
2021-10-06,113.13,113.72,111.76,113.27,1247200,113.232,,,37.689,-0.94,-0.68,-0.26,,,
2021-10-07,113.83,114.87,112.99,113.13,1309500,113.236,115.244,,37.057,-0.964,-0.737,-0.228,115.244,118.629,111.859
