Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,130.38,131.38,129.12,131.16,5459600,,,,,0.0,0.0,0.0,,,
2021-07-13,130.39,131.32,129.19,130.67,4950600,,,,,-0.039,-0.008,-0.031,,,
2021-07-14,132.49,134.11,129.82,130.05,5982300,,,,,-0.119,-0.03,-0.089,,,
2021-07-15,129.41,130.32,126.17,127.71,7057900,,,,,-0.366,-0.097,-0.269,,,
2021-07-16,128.47,129.04,122.64,122.89,8190600,128.496,,,,-0.941,-0.266,-0.675,,,
2021-07-19,120.03,123.41,118.77,123.31,8934000,126.926,,,,-1.347,-0.482,-0.865,,,
2021-07-20,123.87,127.63,122.53,126.53,7417600,126.098,,,,-1.392,-0.664,-0.728,,,
2021-07-21,127.34,132.57,127.06,132.31,6434100,126.55,,,,-0.951,-0.722,-0.23,,,
2021-07-22,131.35,133.03,130.74,131.52,5564000,127.312,,,,-0.658,-0.709,0.051,,,
2021-07-23,132.26,133.27,130.9,132.72,4345600,129.278,,,,-0.325,-0.632,0.307,,,
2021-07-26,132.53,134.11,131.77,132.77,4638200,131.17,,,,-0.056,-0.517,0.461,,,
2021-07-27,131.95,131.95,126.15,129.34,6344100,131.732,,,,-0.118,-0.437,0.319,,,
2021-07-28,130.04,132.19,129.43,131.55,5041900,131.58,,,,0.01,-0.348,0.358,,,
2021-07-29,129.82,132.17,128.0,131.83,5382600,131.642,,,,0.133,-0.251,0.385,,,
2021-07-30,130.87,135.57,130.84,134.16,8556400,131.93,,,60.575,0.414,-0.118,0.532,,,
2021-08-02,135.22,139.26,135.08,136.15,10230600,132.606,,,64.807,0.788,0.063,0.725,,,
2021-08-03,136.66,137.45,134.46,136.3,5589600,133.998,,,65.111,1.084,0.267,0.817,,,
2021-08-04,137.1,138.73,135.96,136.87,5434600,135.062,,,66.302,1.349,0.484,0.866,,,
