Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,49.37,49.89,49.01,49.05,1104220,,,,,0.0,0.0,0.0,,,
2021-09-08,49.17,49.77,49.05,49.45,1057160,,,,,0.032,0.006,0.026,,,
2021-09-09,49.53,49.69,48.65,48.69,1511720,,,,,-0.004,0.004,-0.008,,,
2021-09-10,49.05,49.93,49.05,49.37,1429760,,,,,0.022,0.008,0.014,,,
2021-09-13,49.77,49.81,49.13,49.37,980480,49.186,,,,0.042,0.015,0.027,,,
2021-09-14,49.53,49.69,49.21,49.45,1030040,49.266,,,,0.064,0.025,0.039,,,
2021-09-15,49.57,49.89,49.33,49.77,1219240,49.33,,,,0.106,0.041,0.065,,,
2021-09-16,49.53,49.69,48.69,48.69,1002460,49.33,,,,0.051,0.043,0.008,,,
2021-09-17,48.81,49.17,47.48,47.56,1977920,48.968,,,,-0.082,0.018,-0.1,,,
2021-09-20,47.16,47.64,46.76,47.28,1429200,48.55,,,,-0.208,-0.027,-0.181,,,
2021-09-21,47.48,47.6,46.88,46.92,992380,48.044,,,,-0.333,-0.089,-0.245,,,
2021-09-22,47.36,47.52,47.04,47.12,746520,47.514,,,,-0.412,-0.153,-0.258,,,
2021-09-23,47.12,47.85,47.12,47.44,691160,47.264,,,,-0.443,-0.211,-0.232,,,
2021-09-24,47.24,47.72,47.12,47.32,798140,47.216,,,,-0.472,-0.263,-0.208,,,
2021-09-27,47.2,47.93,47.04,47.64,866660,47.288,,,38.797,-0.463,-0.303,-0.16,,,
2021-09-28,47.72,47.8,46.76,46.96,1105760,47.296,,,32.358,-0.506,-0.344,-0.162,,,
2021-09-29,47.04,47.4,47.0,47.08,528840,47.288,,,34.426,-0.524,-0.38,-0.144,,,
2021-09-30,47.32,47.4,46.44,46.52,1173500,47.104,,,29.84,-0.576,-0.419,-0.157,,,
2021-10-01,47.0,47.32,46.12,46.92,1069420,47.024,,,36.361,-0.579,-0.451,-0.128,,,
2021-10-04,46.72,47.24,46.44,46.68,1041740,46.832,47.964,,34.301,-0.594,-0.48,-0.114,47.964,50.198,45.73
2021-10-05,46.92,47.56,46.56,47.36,860840,46.912,47.88,,43.985,-0.545,-0.493,-0.052,47.88,50.068,45.691
2021-10-06,46.84,47.2,46.32,47.16,1258060,46.928,47.765,,42.023,-0.516,-0.497,-0.018,47.765,49.844,45.686
2021-10-07,47.4,47.97,47.28,47.52,658620,47.128,47.706,,46.637,-0.458,-0.49,0.031,47.706,49.742,45.671
2021-10-08,47.28,47.52,46.92,47.0,824140,47.144,47.588,,41.499,-0.45,-0.482,0.032,47.588,49.487,45.689
2021-10-11,47.04,47.44,46.6,46.64,507800,47.136,47.452,,38.35,-0.467,-0.479,0.012,47.452,49.197,45.706
2021-10-12,46.6,46.96,46.44,46.72,696040,47.008,47.315,,39.45,-0.468,-0.476,0.008,47.315,48.812,45.818
2021-10-13,46.92,46.96,46.2,46.84,718880,46.944,47.168,,41.146,-0.454,-0.472,0.018,47.168,48.132,46.205
2021-10-14,47.12,47.97,46.96,47.81,760040,47.002,47.124,,52.683,-0.361,-0.45,0.089,47.124,47.846,46.403
2021-10-15,48.05,48.57,47.64,47.97,1049580,47.196,47.145,,54.275,-0.271,-0.414,0.143,47.145,47.938,46.352
2021-10-18,47.6,48.01,47.4,47.81,620920,47.43,47.172,,52.377,-0.21,-0.373,0.163,47.172,48.017,46.326
2021-10-19,47.97,48.29,47.64,48.25,658480,47.736,47.238,,56.846,-0.125,-0.324,0.199,47.238,48.201,46.275
2021-10-20,48.09,48.61,48.09,48.33,1250580,48.034,47.299,,57.625,-0.05,-0.269,0.219,47.299,48.376,46.221
2021-10-21,48.37,48.49,47.85,48.29,874220,48.13,47.341,,57.07,0.005,-0.214,0.219,47.341,48.506,46.176
2021-10-22,48.45,49.09,48.37,48.81,534560,48.298,47.415,,62.167,0.09,-0.153,0.244,47.415,48.752,46.079
2021-10-25,48.85,49.05,48.41,48.49,882520,48.434,47.458,,57.633,0.131,-0.096,0.227,47.458,48.876,46.04
2021-10-26,48.45,48.65,48.05,48.21,1346580,48.426,47.52,,53.926,0.138,-0.05,0.188,47.52,48.957,46.084
2021-10-27,48.53,48.69,47.97,48.29,1339540,48.418,47.581,,54.82,0.149,-0.01,0.159,47.581,49.041,46.121
2021-10-28,48.33,48.85,48.21,48.77,1039800,48.514,47.694,,59.854,0.194,0.031,0.163,47.694,49.156,46.231
2021-10-29,48.77,48.93,48.25,48.45,2156520,48.442,47.77,,55.421,0.202,0.065,0.136,47.77,49.222,46.318
2021-11-01,48.69,49.05,47.85,47.93,1509160,48.33,47.832,,49.062,0.164,0.085,0.079,47.832,49.191,46.474
2021-11-02,48.17,48.77,47.85,48.49,1754880,48.386,47.889,,55.044,0.177,0.103,0.074,47.889,49.259,46.519
2021-11-03,49.09,50.13,48.61,49.37,1927440,48.602,48.0,,62.498,0.255,0.134,0.122,48.0,49.475,46.524
2021-11-04,49.37,49.69,48.69,48.81,925280,48.61,48.064,,56.121,0.269,0.161,0.108,48.064,49.563,46.565
2021-11-05,49.09,49.21,48.37,48.73,1175580,48.666,48.15,,55.254,0.271,0.183,0.088,48.15,49.59,46.711
2021-11-08,48.53,49.01,48.21,48.97,933820,48.874,48.267,,57.382,0.288,0.204,0.084,48.267,49.561,46.973
