Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,17.38,17.81,17.17,17.64,3879000,,,,,0.0,0.0,0.0,,,
2021-07-13,17.61,17.72,17.3,17.43,3838700,,,,,-0.017,-0.003,-0.013,,,
2021-07-14,17.67,17.79,16.24,16.46,9543600,,,,,-0.107,-0.024,-0.083,,,
2021-07-15,16.09,16.46,15.82,15.96,9197400,,,,,-0.216,-0.063,-0.154,,,
2021-07-16,16.16,16.2,15.45,15.54,8576100,16.606,,,,-0.333,-0.117,-0.217,,,
2021-07-19,14.7,15.21,14.63,14.87,10839700,16.052,,,,-0.474,-0.188,-0.286,,,
2021-07-20,14.65,15.26,14.55,15.18,9180700,15.602,,,,-0.555,-0.262,-0.293,,,
2021-07-21,15.3,16.08,15.3,15.94,8640300,15.498,,,,-0.551,-0.319,-0.231,,,
2021-07-22,15.89,15.96,15.42,15.8,9160700,15.466,,,,-0.553,-0.366,-0.187,,,
2021-07-23,15.86,15.97,15.35,15.76,6257400,15.51,,,,-0.551,-0.403,-0.148,,,
2021-07-26,15.78,16.43,15.77,16.31,8706200,15.798,,,,-0.5,-0.422,-0.077,,,
2021-07-27,16.14,16.27,15.87,16.06,8188000,15.974,,,,-0.473,-0.433,-0.041,,,
2021-07-28,16.23,16.68,15.98,16.48,4937100,16.082,,,,-0.414,-0.429,0.015,,,
2021-07-29,16.86,16.9,16.48,16.51,6301700,16.224,,,,-0.361,-0.415,0.055,,,
2021-07-30,16.41,16.41,15.91,16.23,6003400,16.318,,,43.583,-0.337,-0.4,0.063,,,
2021-08-02,16.28,16.73,15.81,15.82,6985200,16.22,,,38.39,-0.347,-0.389,0.042,,,
2021-08-03,15.43,16.28,15.43,16.26,9829400,16.26,,,45.847,-0.316,-0.374,0.058,,,
2021-08-04,15.75,15.92,15.26,15.36,13805100,16.036,,,36.196,-0.36,-0.372,0.012,,,
2021-08-05,15.01,15.9,15.01,15.63,9413400,15.86,,,40.259,-0.369,-0.371,0.002,,,
2021-08-06,16.01,16.19,15.67,15.87,6047700,15.788,16.056,,43.691,-0.352,-0.367,0.015,16.056,17.39,14.721
2021-08-09,15.53,15.74,15.19,15.5,11899100,15.724,15.949,,39.887,-0.365,-0.367,0.002,15.949,17.075,14.822
2021-08-10,15.6,16.57,15.59,16.5,6778600,15.772,15.902,,52.042,-0.291,-0.351,0.061,15.902,16.83,14.974
2021-08-11,16.38,16.66,16.1,16.64,5712100,16.028,15.911,,53.461,-0.218,-0.325,0.107,15.911,16.865,14.957
2021-08-12,16.58,16.69,16.04,16.38,8439900,16.178,15.932,,50.474,-0.18,-0.296,0.116,15.932,16.909,14.955
2021-08-13,16.43,16.44,15.46,15.48,12244000,16.1,15.929,,41.775,-0.219,-0.28,0.061,15.929,16.911,14.947
2021-08-16,15.14,15.17,14.75,14.83,7272200,15.966,15.927,,36.837,-0.299,-0.284,-0.015,15.927,16.918,14.936
2021-08-17,14.61,14.97,14.53,14.6,7127600,15.586,15.898,,35.249,-0.377,-0.303,-0.074,15.898,17.008,14.788
2021-08-18,14.69,14.96,14.35,14.37,7111900,15.132,15.82,,33.685,-0.452,-0.333,-0.12,15.82,17.122,14.517
2021-08-19,13.99,14.3,13.46,13.85,11345000,14.626,15.722,,30.402,-0.548,-0.376,-0.172,15.722,17.295,14.149
2021-08-20,13.69,13.98,13.6,13.91,8940200,14.312,15.63,,31.235,-0.611,-0.423,-0.188,15.63,17.398,13.861
2021-08-23,14.42,15.04,14.42,14.97,11165300,14.34,15.562,,43.988,-0.569,-0.452,-0.117,15.562,17.324,13.801
2021-08-24,15.26,15.68,15.1,15.49,8581700,14.518,15.534,,48.986,-0.489,-0.459,-0.029,15.534,17.28,13.788
2021-08-25,15.52,15.8,15.26,15.69,7324400,14.782,15.494,,50.805,-0.404,-0.448,0.044,15.494,17.186,13.803
2021-08-26,15.6,15.72,15.18,15.31,5722400,15.074,15.434,,47.351,-0.363,-0.431,0.068,15.434,17.058,13.811
2021-08-27,15.5,16.29,15.5,16.22,6669000,15.536,15.434,,55.204,-0.255,-0.396,0.141,15.434,17.056,13.812
2021-08-30,16.5,16.5,15.98,16.15,6182200,15.772,15.45,,54.531,-0.172,-0.351,0.179,15.45,17.096,13.805
2021-08-31,16.0,16.98,15.97,16.86,9325300,16.046,15.481,,59.88,-0.049,-0.291,0.242,15.481,17.208,13.753
2021-09-01,16.74,16.9,16.2,16.49,7365100,16.206,15.537,,56.171,0.019,-0.229,0.247,15.537,17.321,13.753
2021-09-02,16.67,17.36,16.64,17.18,7493500,16.58,15.614,,61.019,0.126,-0.158,0.284,15.614,17.544,13.685
2021-09-03,17.16,17.35,16.87,17.03,6764400,16.742,15.672,,59.479,0.197,-0.087,0.284,15.672,17.701,13.644
2021-09-07,16.8,17.16,16.68,16.9,8167700,16.892,15.742,,58.11,0.24,-0.021,0.262,15.742,17.842,13.643
2021-09-08,17.11,17.26,16.46,16.48,4783700,16.816,15.741,,53.801,0.238,0.03,0.207,15.741,17.839,13.644
2021-09-09,16.3,16.72,16.13,16.38,5977500,16.794,15.728,,52.797,0.225,0.069,0.156,15.728,17.806,13.651
2021-09-10,16.63,16.72,16.17,16.18,4974400,16.594,15.718,,50.758,0.197,0.095,0.102,15.718,17.785,13.652
2021-09-13,16.49,17.45,16.49,17.44,7708200,16.676,15.816,,60.984,0.273,0.13,0.142,15.816,18.017,13.616
2021-09-14,17.74,17.77,16.64,16.75,6397500,16.646,15.912,,54.33,0.274,0.159,0.115,15.912,18.099,13.726
2021-09-15,17.16,17.86,17.16,17.85,7943700,16.92,16.075,,61.536,0.36,0.199,0.16,16.075,18.333,13.817
2021-09-16,17.86,17.92,17.51,17.74,5479300,17.192,16.243,,60.507,0.414,0.242,0.172,16.243,18.468,14.019
2021-09-17,17.61,17.94,17.3,17.43,6917600,17.442,16.422,,57.587,0.427,0.279,0.148,16.422,18.398,14.447
2021-09-20,16.77,16.79,16.03,16.37,6853600,17.228,16.545,16.082,48.898,0.348,0.293,0.055,16.545,18.13,14.961
2021-09-21,16.68,16.75,16.06,16.25,6147400,17.128,16.61,16.054,48.015,0.272,0.289,-0.016,16.61,18.02,15.199
2021-09-22,16.58,17.75,16.58,17.41,16377700,17.04,16.706,16.053,56.243,0.303,0.292,0.011,16.706,18.056,15.355
2021-09-23,17.46,18.77,17.26,18.64,14040800,17.22,16.853,16.097,62.941,0.421,0.317,0.103,16.853,18.37,15.336
2021-09-24,18.5,19.19,18.31,18.96,9071100,17.526,17.036,16.157,64.465,0.534,0.361,0.174,17.036,18.646,15.425
2021-09-27,19.66,20.21,19.61,20.13,17101300,18.278,17.231,16.249,69.418,0.71,0.431,0.28,17.231,19.307,15.155
2021-09-28,20.41,20.58,18.7,18.77,18722200,18.782,17.362,16.327,59.106,0.732,0.491,0.241,17.362,19.481,15.243
2021-09-29,18.46,18.71,17.99,18.41,10904300,18.982,17.44,16.391,56.705,0.712,0.535,0.177,17.44,19.594,15.285
2021-09-30,17.97,18.82,17.77,18.55,11279100,18.964,17.542,16.444,57.429,0.699,0.568,0.131,17.542,19.703,15.382
2021-10-01,18.83,19.23,18.47,18.87,10977100,18.946,17.627,16.505,59.113,0.706,0.596,0.111,17.627,19.859,15.395
2021-10-04,19.33,19.62,18.92,19.09,13521800,18.738,17.73,16.572,60.276,0.722,0.621,0.101,17.73,20.035,15.425
2021-10-05,19.54,20.02,18.97,19.22,13250900,18.828,17.846,16.63,60.983,0.736,0.644,0.092,17.846,20.208,15.484
2021-10-06,18.67,19.3,18.57,19.13,9744800,18.972,17.978,16.691,60.185,0.731,0.661,0.07,17.978,20.315,15.642
2021-10-07,19.3,20.03,19.02,19.73,16379600,19.208,18.146,16.756,63.604,0.767,0.683,0.085,18.146,20.48,15.812
2021-10-08,20.12,21.19,20.05,21.08,19303000,19.65,18.391,16.848,69.872,0.895,0.725,0.17,18.391,20.88,15.902
2021-10-11,21.73,21.92,21.06,21.14,13742200,20.06,18.576,16.946,70.119,0.989,0.778,0.211,18.576,21.306,15.846
2021-10-12,21.1,21.73,20.9,21.41,10049400,20.498,18.809,17.058,71.258,1.073,0.837,0.236,18.809,21.674,15.944
2021-10-13,20.99,21.62,20.6,21.3,9086600,20.932,18.982,17.158,70.086,1.118,0.893,0.225,18.982,22.014,15.949
2021-10-14,21.92,22.74,21.67,22.69,11682200,21.524,19.229,17.305,75.557,1.251,0.965,0.287,19.229,22.622,15.836
2021-10-15,23.08,23.39,22.76,22.82,11901800,21.872,19.498,17.449,75.999,1.352,1.042,0.31,19.498,23.137,15.86
2021-10-18,23.2,24.39,23.08,23.31,12258800,22.306,19.846,17.598,77.64,1.454,1.125,0.33,19.846,23.551,16.14
2021-10-19,23.61,23.86,23.12,23.25,8642800,22.674,20.196,17.753,76.946,1.513,1.202,0.311,20.196,23.792,16.599
2021-10-20,22.87,23.86,22.73,23.76,8128000,23.166,20.513,17.898,78.69,1.583,1.278,0.304,20.513,24.194,16.832
2021-10-21,23.72,23.94,23.12,23.43,8001600,23.314,20.752,18.034,74.75,1.593,1.341,0.252,20.752,24.542,16.963
2021-10-22,23.6,24.16,23.49,24.01,10649400,23.552,21.005,18.186,76.936,1.629,1.399,0.23,21.005,24.961,17.049
2021-10-25,24.53,24.97,24.22,24.48,9091200,23.786,21.223,18.366,78.556,1.676,1.454,0.222,21.223,25.445,17.0
2021-10-26,24.88,24.88,24.31,24.42,8633700,24.02,21.505,18.558,77.805,1.689,1.501,0.188,21.505,25.792,17.218
2021-10-27,23.86,24.4,23.2,23.34,11507100,23.936,21.752,18.733,65.637,1.594,1.52,0.074,21.752,25.853,17.65
2021-10-28,23.29,23.58,22.94,23.49,10173000,23.948,21.998,18.915,66.422,1.513,1.519,-0.005,21.998,25.877,18.12
2021-10-29,23.48,23.48,22.48,22.74,7372000,23.694,22.192,19.093,59.143,1.373,1.489,-0.116,22.192,25.789,18.595
2021-11-01,23.36,23.71,23.0,23.57,7418100,23.512,22.416,19.286,63.863,1.314,1.454,-0.141,22.416,25.748,19.084
2021-11-02,23.33,23.85,23.16,23.68,6715400,23.364,22.639,19.46,64.449,1.261,1.416,-0.155,22.639,25.652,19.626
2021-11-03,23.42,24.32,23.35,23.97,9250600,23.49,22.881,19.63,66.014,1.228,1.378,-0.15,22.881,25.452,20.31
2021-11-04,24.59,26.0,24.4,25.23,17673100,23.838,23.156,19.821,71.819,1.289,1.36,-0.071,23.156,25.472,20.84
2021-11-05,26.15,26.32,25.25,25.94,12499800,24.478,23.399,20.033,74.466,1.379,1.364,0.015,23.399,25.816,20.982
2021-11-08,26.31,27.02,26.13,26.6,8323000,25.084,23.672,20.241,76.66,1.486,1.389,0.098,23.672,26.243,21.101
2021-11-09,26.55,26.85,25.69,26.03,13452500,25.554,23.903,20.439,70.986,1.508,1.413,0.096,23.903,26.448,21.358
2021-11-10,25.9,26.17,24.66,24.92,8288500,25.744,24.084,20.6,61.448,1.419,1.414,0.005,24.084,26.349,21.819
2021-11-11,25.09,25.95,25.06,25.51,6266500,25.8,24.225,20.78,64.202,1.381,1.407,-0.027,24.225,26.476,21.974
2021-11-12,25.29,25.75,25.1,25.55,6988700,25.722,24.362,20.948,64.387,1.338,1.393,-0.056,24.362,26.584,22.139
2021-11-15,25.26,25.97,25.23,25.69,6317000,25.54,24.48,21.121,65.07,1.3,1.375,-0.075,24.48,26.721,22.24
2021-11-16,25.88,26.32,25.59,25.7,9441000,25.474,24.603,21.297,65.122,1.257,1.351,-0.094,24.603,26.828,22.378
2021-11-17,25.57,25.63,23.94,24.0,9608100,25.29,24.615,21.447,51.29,1.073,1.295,-0.223,24.615,26.824,22.406
2021-11-18,23.93,24.59,23.37,23.93,10884400,24.974,24.64,21.598,50.811,0.911,1.218,-0.308,24.64,26.803,22.477
2021-11-19,23.08,23.43,22.25,22.56,12427500,24.376,24.568,21.726,42.461,0.664,1.108,-0.444,24.568,26.909,22.226
2021-11-22,22.61,23.74,22.49,23.02,11652900,23.842,24.494,21.837,45.689,0.5,0.986,-0.486,24.494,26.937,22.052
2021-11-23,23.58,24.73,23.48,24.7,10602000,23.642,24.508,21.996,55.505,0.5,0.889,-0.389,24.508,26.952,22.065
2021-11-24,24.27,25.34,24.27,24.82,8531600,23.806,24.582,22.136,56.115,0.503,0.812,-0.308,24.582,26.966,22.199
2021-11-26,22.86,23.03,21.75,22.76,8469000,23.572,24.546,22.236,44.766,0.336,0.717,-0.38,24.546,27.02,22.072
2021-11-29,23.8,24.01,22.86,23.28,9203200,23.716,24.573,22.353,47.645,0.243,0.622,-0.379,24.573,26.975,22.171
2021-11-30,21.91,23.0,21.71,22.36,12519300,23.584,24.512,22.473,43.341,0.094,0.516,-0.423,24.512,27.077,21.948
2021-12-01,23.3,23.57,21.86,21.91,11199800,23.026,24.424,22.586,41.373,-0.06,0.401,-0.461,24.424,27.221,21.627
2021-12-02,21.87,22.85,21.49,22.71,11459600,22.604,24.361,22.692,46.063,-0.116,0.297,-0.414,24.361,27.256,21.466
2021-12-03,23.17,23.4,21.93,22.19,14816300,22.49,24.209,22.763,43.62,-0.2,0.198,-0.398,24.209,27.228,21.19
2021-12-06,22.89,22.97,21.97,22.43,8350700,22.32,24.034,22.833,45.068,-0.245,0.109,-0.354,24.034,27.037,21.03
2021-12-07,22.92,23.82,22.82,23.33,7865500,22.514,23.87,22.897,50.23,-0.205,0.046,-0.252,23.87,26.632,21.108
2021-12-08,23.33,23.6,23.09,23.1,7695300,22.752,23.724,22.983,48.964,-0.19,-0.001,-0.189,23.724,26.308,21.139
2021-12-09,22.76,22.98,22.51,22.58,10568200,22.726,23.606,23.067,46.132,-0.217,-0.044,-0.173,23.606,26.175,21.038
2021-12-10,23.02,23.26,22.38,23.14,8941500,22.916,23.488,23.158,49.518,-0.192,-0.074,-0.118,23.488,25.9,21.076
2021-12-13,22.85,23.06,21.83,21.93,10501600,22.816,23.307,23.22,43.2,-0.266,-0.112,-0.154,23.307,25.609,21.005
2021-12-14,21.51,22.3,21.38,21.65,7080100,22.48,23.105,23.271,41.869,-0.344,-0.158,-0.185,23.105,25.228,20.982
2021-12-15,21.57,21.89,20.53,21.78,7724600,22.216,22.909,23.322,42.751,-0.39,-0.205,-0.185,22.909,24.725,21.093
2021-12-16,22.17,22.42,21.31,21.51,8682200,22.002,22.784,23.37,41.347,-0.443,-0.252,-0.191,22.784,24.627,20.942
2021-12-17,21.09,21.63,20.77,21.15,16747400,21.604,22.646,23.398,39.486,-0.509,-0.304,-0.205,22.646,24.543,20.748
2021-12-20,20.3,20.8,19.9,20.77,7124000,21.372,22.556,23.392,37.564,-0.585,-0.36,-0.225,22.556,24.631,20.481
2021-12-21,21.26,22.04,21.25,21.98,5777100,21.438,22.504,23.409,46.495,-0.541,-0.396,-0.145,22.504,24.582,20.426
2021-12-22,21.64,22.73,21.58,22.41,10304800,21.564,22.39,23.429,49.272,-0.466,-0.41,-0.056,22.39,24.192,20.587
2021-12-23,22.47,22.93,22.45,22.62,4694400,21.786,22.28,23.455,50.62,-0.386,-0.405,0.02,22.28,23.681,20.878
2021-12-27,22.5,24.3,22.13,24.27,8832300,22.41,22.355,23.487,59.685,-0.187,-0.362,0.175,22.355,24.006,20.704
2021-12-28,24.53,24.84,24.06,24.23,6778600,23.102,22.402,23.515,59.4,-0.032,-0.296,0.264,22.402,24.213,20.592
2021-12-29,24.2,24.73,23.94,24.21,7091300,23.548,22.495,23.533,59.248,0.089,-0.219,0.307,22.495,24.477,20.513
2021-12-30,24.21,24.46,23.43,23.48,5387900,23.762,22.574,23.537,53.828,0.124,-0.15,0.274,22.574,24.582,20.565
2021-12-31,23.32,23.59,23.02,23.33,5037100,23.904,22.604,23.529,52.76,0.138,-0.093,0.23,22.604,24.641,20.568
2022-01-03,23.49,24.41,23.41,24.34,9319700,23.918,22.712,23.547,58.702,0.228,-0.029,0.256,22.712,24.879,20.545
2022-01-04,24.9,25.97,24.81,25.56,13218200,24.184,22.868,23.578,64.509,0.393,0.056,0.337,22.868,25.375,20.362
2022-01-05,26.03,26.1,24.61,24.64,9212700,24.27,22.934,23.581,57.897,0.444,0.133,0.311,22.934,25.557,20.311
2022-01-06,25.47,25.95,24.97,25.7,7626800,24.714,23.064,23.607,62.648,0.564,0.22,0.345,23.064,25.965,20.163
2022-01-07,25.9,26.29,25.52,25.74,8355400,25.196,23.222,23.655,62.818,0.655,0.307,0.348,23.222,26.348,20.096
2022-01-10,25.71,25.89,24.86,25.52,10408600,25.432,23.341,23.695,61.165,0.701,0.385,0.315,23.341,26.63,20.052
2022-01-11,25.82,27.88,25.58,27.76,12299200,25.872,23.632,23.796,69.863,0.908,0.49,0.418,23.632,27.395,19.87
2022-01-12,28.48,28.71,27.67,28.33,16272500,26.61,23.967,23.891,71.606,1.105,0.613,0.492,23.967,28.15,19.783
2022-01-13,28.33,28.9,27.72,27.84,8109000,27.038,24.27,23.974,67.967,1.208,0.732,0.476,24.27,28.659,19.88
2022-01-14,28.03,28.95,27.48,28.88,11022000,27.666,24.638,24.072,71.3,1.357,0.857,0.5,24.638,29.282,19.994
2022-01-18,29.58,29.84,28.17,28.6,9779200,28.282,25.01,24.14,69.212,1.437,0.973,0.464,25.01,29.672,20.349
2022-01-19,28.95,29.09,27.85,28.09,8146800,28.348,25.376,24.183,65.452,1.442,1.067,0.375,25.376,29.778,20.975
2022-01-20,27.68,28.63,27.13,27.22,8783800,28.126,25.638,24.195,59.512,1.36,1.125,0.235,25.638,29.806,21.471
2022-01-21,26.82,27.03,25.67,26.21,9839500,27.8,25.828,24.199,53.448,1.2,1.14,0.06,25.828,29.714,21.943
2022-01-24,25.25,26.73,24.37,26.6,10338600,27.344,26.027,24.232,55.34,1.092,1.131,-0.039,26.027,29.617,22.438
2022-01-25,26.39,29.09,25.79,28.8,14303100,27.384,26.254,24.298,64.185,1.171,1.139,0.032,26.254,29.947,22.561
2022-01-26,29.21,29.86,28.16,28.84,12034100,27.534,26.484,24.364,64.323,1.222,1.155,0.067,26.484,30.221,22.748
2022-01-27,29.49,30.04,28.1,28.7,8766200,27.83,26.709,24.424,63.4,1.237,1.172,0.065,26.709,30.409,23.009
2022-01-28,28.8,29.59,27.95,28.89,7526800,28.366,26.98,24.488,64.152,1.25,1.187,0.063,26.98,30.471,23.488
2022-01-31,28.83,29.22,28.21,28.92,7038300,28.83,27.259,24.586,64.277,1.248,1.2,0.049,27.259,30.397,24.121
2022-02-01,28.76,30.47,28.4,30.23,9075600,29.116,27.554,24.712,69.302,1.337,1.227,0.11,27.554,30.644,24.463
