Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,18.13,18.19,17.96,18.14,12460800,,,,,0.0,0.0,0.0,,,
2021-09-14,18.21,18.21,17.98,18.1,8145600,,,,,-0.003,-0.001,-0.003,,,
2021-09-15,18.06,18.28,18.06,18.26,8096000,,,,,0.007,0.001,0.006,,,
2021-09-16,18.22,18.35,18.12,18.27,8154400,,,,,0.016,0.004,0.012,,,
2021-09-17,18.19,18.26,18.02,18.09,19249200,18.172,,,,0.008,0.005,0.003,,,
2021-09-20,17.83,17.89,17.62,17.76,11603600,18.096,,,,-0.024,-0.001,-0.023,,,
2021-09-21,17.88,17.88,17.56,17.69,8404800,18.014,,,,-0.055,-0.012,-0.043,,,
2021-09-22,17.85,18.27,17.83,18.09,10468000,17.98,,,,-0.046,-0.019,-0.028,,,
2021-09-23,18.19,18.49,18.16,18.44,7826800,18.014,,,,-0.011,-0.017,0.006,,,
2021-09-24,18.34,18.6,18.34,18.55,6154000,18.106,,,,0.025,-0.009,0.034,,,
2021-09-27,18.47,18.6,18.4,18.5,8194800,18.254,,,,0.049,0.003,0.046,,,
2021-09-28,18.31,18.51,18.09,18.11,16619600,18.338,,,,0.037,0.01,0.027,,,
2021-09-29,18.17,18.24,17.82,17.85,17507200,18.29,,,,0.006,0.009,-0.003,,,
2021-09-30,17.89,18.01,17.53,17.53,13759600,18.108,,,,-0.044,-0.002,-0.043,,,
2021-10-01,17.63,17.96,17.48,17.86,10980800,17.97,,,44.305,-0.057,-0.013,-0.044,,,
2021-10-04,17.76,17.85,17.52,17.61,8599200,17.792,,,39.309,-0.086,-0.027,-0.058,,,
2021-10-05,17.7,17.97,17.62,17.86,7820400,17.742,,,45.881,-0.087,-0.039,-0.048,,,
2021-10-06,17.65,17.86,17.52,17.84,7175600,17.74,,,45.457,-0.089,-0.049,-0.04,,,
2021-10-07,18.02,18.21,18.02,18.1,4907200,17.854,,,51.706,-0.069,-0.053,-0.016,,,
2021-10-08,18.14,18.2,18.05,18.13,5362000,17.908,18.039,,52.384,-0.05,-0.053,0.003,18.039,18.611,17.467
2021-10-11,18.07,18.19,17.97,17.97,5501600,17.98,18.03,,48.476,-0.047,-0.052,0.004,18.03,18.601,17.46
2021-10-12,18.0,18.06,17.68,17.72,6463200,17.952,18.012,,43.069,-0.065,-0.054,-0.01,18.012,18.598,17.425
2021-10-13,17.72,17.85,17.58,17.82,9591200,17.948,17.99,,45.679,-0.07,-0.057,-0.012,17.99,18.569,17.41
2021-10-14,17.99,18.3,17.94,18.3,6609600,17.988,17.991,,56.086,-0.034,-0.053,0.018,17.991,18.574,17.408
2021-10-15,18.39,18.47,18.32,18.45,8199600,18.052,18.009,,58.746,0.006,-0.041,0.047,18.009,18.626,17.392
2021-10-18,18.34,18.62,18.24,18.55,6124400,18.168,18.048,,60.465,0.045,-0.024,0.069,18.048,18.699,17.398
2021-10-19,18.67,18.7,18.52,18.63,5180400,18.35,18.096,,61.835,0.082,-0.003,0.084,18.096,18.772,17.419
2021-10-20,18.66,18.81,18.62,18.76,5819600,18.538,18.129,,64.018,0.12,0.022,0.098,18.129,18.868,17.39
2021-10-21,18.76,19.09,18.76,19.03,8909200,18.684,18.158,,68.098,0.17,0.051,0.118,18.158,18.991,17.326
2021-10-22,19.03,19.18,18.93,18.99,5613600,18.792,18.181,,66.888,0.204,0.082,0.122,18.181,19.077,17.284
2021-10-25,19.01,19.06,18.85,18.94,6324000,18.87,18.202,,65.325,0.224,0.11,0.114,18.202,19.152,17.253
2021-10-26,18.97,19.0,18.85,18.86,7916000,18.916,18.24,,62.797,0.231,0.135,0.097,18.24,19.233,17.247
