Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-08-20,188.04,189.95,186.86,189.02,473798.0,,,,,0.0,0.0,0.0,,,
2021-08-23,189.54,190.1,186.85,187.78,332699.0,,,,,-0.099,-0.02,-0.079,,,
2021-08-24,187.86,187.86,185.39,186.63,425739.0,,,,,-0.267,-0.069,-0.198,,,
2021-08-25,186.43,188.73,185.52,187.03,339860.0,,,,,-0.364,-0.128,-0.236,,,
2021-08-26,188.07,189.27,187.2,188.82,450992.0,187.856,,,,-0.293,-0.161,-0.132,,,
2021-08-27,189.74,190.86,189.01,189.86,271128.0,188.024,,,,-0.151,-0.159,0.008,,,
2021-08-30,189.91,192.25,189.18,192.04,451436.0,188.876,,,,0.136,-0.1,0.236,,,
2021-08-31,191.47,193.28,190.81,193.19,662416.0,190.188,,,,0.451,0.01,0.441,,,
2021-09-01,192.86,195.81,192.15,195.73,572946.0,191.928,,,,0.895,0.187,0.708,,,
2021-09-02,195.75,196.45,193.89,196.08,820860.0,193.38,,,,1.261,0.402,0.859,,,
2021-09-03,195.56,196.47,193.49,195.94,480656.0,194.596,,,,1.522,0.626,0.896,,,
2021-09-07,195.44,195.44,190.44,191.51,655442.0,194.49,,,,1.356,0.772,0.584,,,
2021-09-08,190.78,195.02,190.34,193.95,412008.0,194.642,,,,1.405,0.899,0.506,,,
2021-09-09,193.35,193.59,190.12,190.18,544351.0,193.532,,,,1.127,0.944,0.182,,,
2021-09-10,190.93,190.93,188.01,188.11,488468.0,191.938,,,42.213,0.731,0.902,-0.171,,,
2021-09-13,190.07,191.29,187.8,188.25,626501.0,190.4,,,42.704,0.423,0.806,-0.383,,,
2021-09-14,189.29,189.85,187.5,188.74,305492.0,189.846,,,44.482,0.216,0.688,-0.472,,,
2021-09-15,188.8,190.43,188.22,189.12,470338.0,188.88,,,45.884,0.082,0.567,-0.484,,,
2021-09-16,188.93,189.73,186.98,188.22,560061.0,188.488,,,43.107,-0.095,0.434,-0.53,,,
2021-09-17,187.08,188.45,184.54,185.03,1239095.0,187.872,190.262,,35.016,-0.488,0.25,-0.738,190.262,196.755,183.768
2021-09-20,183.55,186.04,182.36,185.53,529062.0,187.328,190.087,,37.012,-0.75,0.05,-0.8,190.087,196.901,183.273
2021-09-21,186.82,188.38,185.67,185.73,399053.0,186.726,189.984,,37.834,-0.931,-0.146,-0.785,189.984,197.003,182.966
2021-09-22,187.47,189.09,187.19,188.06,566331.0,186.514,190.056,,46.583,-0.876,-0.292,-0.584,190.056,196.959,183.153
2021-09-23,189.34,192.97,189.09,191.25,798387.0,187.12,190.267,,55.763,-0.569,-0.348,-0.221,190.267,197.037,183.497
2021-09-24,191.38,193.66,190.16,190.52,770220.0,188.218,190.352,,53.497,-0.38,-0.354,-0.026,190.352,197.088,183.616
2021-09-27,190.93,192.07,186.33,186.52,495543.0,188.416,190.185,,43.151,-0.547,-0.393,-0.154,190.185,197.135,183.235
2021-09-28,185.3,187.69,184.03,186.94,551213.0,188.658,189.93,,44.368,-0.637,-0.442,-0.196,189.93,196.967,182.893
2021-09-29,188.03,191.28,187.55,189.34,479381.0,188.914,189.738,,50.842,-0.51,-0.455,-0.055,189.738,196.608,182.867
2021-09-30,189.49,190.57,186.4,186.51,577241.0,187.966,189.276,,44.296,-0.63,-0.49,-0.14,189.276,195.675,182.878
2021-10-01,188.03,189.92,185.42,188.8,338614.0,187.622,188.912,,49.915,-0.534,-0.499,-0.035,188.912,194.452,183.373
2021-10-04,188.08,191.09,188.08,190.53,568225.0,188.424,188.642,,53.714,-0.315,-0.462,0.147,188.642,193.173,184.111
2021-10-05,191.32,191.47,188.72,190.25,847223.0,189.086,188.579,,53.013,-0.162,-0.402,0.24,188.579,192.975,184.183
2021-10-06,189.64,192.36,186.43,191.85,442163.0,189.588,188.474,,56.505,0.087,-0.304,0.392,188.474,192.406,184.542
2021-10-07,193.17,193.78,190.95,191.58,446834.0,190.602,188.544,,55.752,0.26,-0.191,0.452,188.544,192.65,184.438
2021-10-08,191.67,191.9,189.36,189.73,251620.0,190.788,188.625,,50.761,0.245,-0.104,0.349,188.625,192.758,184.492
2021-10-11,190.27,190.82,187.88,189.69,294142.0,190.62,188.697,,50.655,0.227,-0.038,0.265,188.697,192.853,184.541
2021-10-12,191.16,192.66,188.75,191.97,388259.0,190.964,188.858,,56.243,0.392,0.048,0.344,188.858,193.265,184.452
2021-10-13,191.38,193.61,190.23,193.5,376058.0,191.294,189.078,,59.553,0.64,0.167,0.473,189.078,193.95,184.205
2021-10-14,194.53,197.28,194.31,196.97,416991.0,192.372,189.515,,65.861,1.103,0.354,0.749,189.515,195.506,183.524
