Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,191.22,194.22,190.72,192.66,483600,,,,,0.0,0.0,0.0,,,
2021-07-13,191.77,192.37,189.92,190.64,569000,,,,,-0.161,-0.032,-0.129,,,
2021-07-14,190.99,192.31,190.13,190.48,349300,,,,,-0.298,-0.085,-0.213,,,
2021-07-15,189.29,191.53,188.93,190.32,296800,,,,,-0.415,-0.151,-0.264,,,
2021-07-16,190.89,190.97,185.46,186.12,465100,190.044,,,,-0.837,-0.289,-0.548,,,
2021-07-19,183.74,184.96,180.3,182.05,732200,187.922,,,,-1.483,-0.527,-0.955,,,
2021-07-20,182.22,186.8,181.73,183.8,907700,186.554,,,,-1.832,-0.788,-1.044,,,
2021-07-21,184.77,186.82,184.68,185.94,664200,185.646,,,,-1.914,-1.013,-0.901,,,
2021-07-22,186.09,186.09,183.49,183.92,376300,184.366,,,,-2.118,-1.234,-0.883,,,
2021-07-23,184.32,185.65,182.88,185.17,399400,184.176,,,,-2.153,-1.418,-0.735,,,
2021-07-26,185.22,188.49,185.14,187.96,445200,185.358,,,,-1.934,-1.521,-0.413,,,
2021-07-27,186.96,189.67,185.14,187.73,683700,186.144,,,,-1.759,-1.569,-0.19,,,
2021-07-28,189.61,196.52,188.99,192.26,1185400,187.408,,,,-1.24,-1.503,0.263,,,
2021-07-29,193.61,193.61,190.39,191.99,436900,189.022,,,,-0.841,-1.371,0.53,,,
2021-07-30,191.67,193.25,191.67,192.89,342000,190.566,,,59.743,-0.447,-1.186,0.739,,,
2021-08-02,193.8,197.07,192.08,192.5,534300,191.474,,,58.278,-0.164,-0.982,0.817,,,
2021-08-03,193.24,196.21,191.68,195.9,358100,193.108,,,66.084,0.33,-0.719,1.05,,,
2021-08-04,195.45,196.42,193.69,194.79,389700,193.614,,,62.006,0.625,-0.45,1.076,,,
2021-08-05,196.16,197.22,193.2,194.01,280800,194.018,,,59.239,0.787,-0.203,0.99,,,
2021-08-06,194.93,196.39,193.46,195.21,369500,194.482,189.817,,62.045,1.001,0.038,0.963,189.817,198.21,181.424
2021-08-09,195.07,196.82,193.65,196.52,453400,195.286,190.01,,64.887,1.261,0.283,0.979,190.01,198.844,181.176
2021-08-10,197.17,200.08,196.84,198.7,349900,195.846,190.413,,69.041,1.625,0.551,1.074,190.413,200.065,180.761
2021-08-11,199.17,200.04,197.72,199.13,317700,196.714,190.846,,69.8,1.926,0.826,1.1,190.846,201.256,180.435
2021-08-12,198.37,199.51,197.15,197.78,255500,197.468,191.218,,64.457,2.032,1.067,0.964,191.218,202.075,180.362
2021-08-13,197.69,199.71,197.16,197.33,292600,197.892,191.779,,62.733,2.056,1.265,0.791,191.779,202.684,180.874
2021-08-16,196.78,201.27,196.18,201.15,538400,198.818,192.734,,70.054,2.356,1.483,0.873,192.734,203.395,182.073
2021-08-17,200.87,201.88,197.38,198.47,423900,198.772,193.468,,61.001,2.35,1.656,0.694,193.468,203.542,183.393
2021-08-18,197.41,199.67,197.14,197.41,371500,198.428,194.041,,57.818,2.234,1.772,0.462,194.041,203.605,184.477
2021-08-19,195.85,198.73,194.72,197.27,392000,198.326,194.709,,57.392,2.107,1.839,0.268,194.709,203.088,186.329
2021-08-20,196.91,200.46,196.91,199.85,321800,198.83,195.442,,62.827,2.189,1.909,0.28,195.442,202.815,188.07
2021-08-23,201.01,201.6,199.38,199.64,308800,198.528,196.026,,62.132,2.212,1.97,0.242,196.026,202.723,189.33
