Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-09,89.62,90.15,88.74,89.31,2677400,,,,,0.0,0.0,0.0,,,
2021-09-10,89.21,89.54,88.51,88.72,2302600,,,,,-0.047,-0.009,-0.038,,,
2021-09-13,89.08,89.29,87.82,88.0,2354300,,,,,-0.141,-0.036,-0.105,,,
2021-09-14,87.97,88.22,86.31,86.68,2535500,,,,,-0.318,-0.092,-0.226,,,
2021-09-15,86.62,88.01,86.49,87.2,1994400,87.982,,,,-0.412,-0.156,-0.256,,,
2021-09-16,86.99,87.21,86.43,86.77,1505200,87.474,,,,-0.515,-0.228,-0.287,,,
2021-09-17,86.74,86.83,85.49,86.41,3007600,87.012,,,,-0.618,-0.306,-0.312,,,
2021-09-20,86.14,86.85,85.95,86.77,2024600,86.766,,,,-0.664,-0.377,-0.286,,,
2021-09-21,86.56,87.2,86.3,86.56,1702600,86.742,,,,-0.708,-0.444,-0.265,,,
2021-09-22,86.3,87.32,85.64,86.96,1683900,86.694,,,,-0.703,-0.496,-0.208,,,
2021-09-23,87.09,87.67,87.0,87.24,1353300,86.788,,,,-0.669,-0.53,-0.139,,,
2021-09-24,86.93,87.02,86.14,86.35,1616800,86.776,,,,-0.706,-0.565,-0.14,,,
2021-09-27,86.01,86.25,84.79,84.96,2065100,86.414,,,,-0.837,-0.62,-0.218,,,
2021-09-28,84.43,84.86,83.65,83.93,2383100,85.888,,,,-1.013,-0.698,-0.315,,,
2021-09-29,83.66,84.19,83.52,83.95,1542000,85.286,,,17.593,-1.137,-0.786,-0.351,,,
2021-09-30,84.1,84.96,84.01,84.17,2086600,84.672,,,21.0,-1.204,-0.87,-0.335,,,
2021-10-01,84.24,84.97,82.78,84.06,2088300,84.214,,,20.542,-1.252,-0.946,-0.306,,,
2021-10-04,83.91,84.81,83.54,84.03,1371700,84.028,,,20.412,-1.277,-1.013,-0.265,,,
2021-10-05,84.14,86.07,83.85,85.59,1614100,84.36,,,41.303,-1.158,-1.042,-0.117,,,
2021-10-06,85.68,86.77,85.28,86.49,1827900,84.868,86.208,,49.533,-0.98,-1.029,0.049,86.208,89.407,83.008
2021-10-07,86.94,87.25,85.81,85.98,1759000,85.23,86.041,,45.629,-0.87,-0.997,0.128,86.041,88.888,83.194
2021-10-08,86.03,86.55,85.25,85.51,1062900,85.52,85.881,,42.318,-0.811,-0.96,0.149,85.881,88.438,83.323
2021-10-11,85.35,85.98,85.08,85.08,1076400,85.73,85.734,,39.495,-0.79,-0.926,0.136,85.734,88.11,83.359
2021-10-12,85.16,85.49,84.38,84.63,1844900,85.538,85.632,,36.733,-0.8,-0.901,0.1,85.632,88.012,83.252
2021-10-13,85.18,85.6,84.38,84.93,1540900,85.226,85.518,,39.758,-0.776,-0.876,0.1,85.518,87.798,83.239
2021-10-14,83.47,86.27,83.39,86.09,1569500,85.248,85.484,,49.759,-0.655,-0.832,0.177,85.484,87.705,83.264
2021-10-15,86.35,86.55,85.19,85.41,1460700,85.228,85.434,,45.039,-0.607,-0.787,0.18,85.434,87.612,83.257
2021-10-18,84.77,85.09,84.24,84.3,1347900,85.072,85.311,,38.601,-0.651,-0.76,0.109,85.311,87.45,83.172
2021-10-19,84.23,84.87,83.9,84.8,1024400,85.106,85.223,,42.582,-0.638,-0.735,0.097,85.223,87.289,83.157
2021-10-20,85.4,86.68,85.3,86.61,1482200,85.442,85.206,,54.168,-0.477,-0.684,0.207,85.206,87.215,83.196
2021-10-21,86.56,87.28,86.24,87.04,1192700,85.632,85.196,,56.418,-0.31,-0.609,0.299,85.196,87.164,83.227
2021-10-22,87.0,87.53,86.16,86.27,1741400,85.804,85.191,,51.539,-0.238,-0.535,0.297,85.191,87.15,83.233
2021-10-25,86.04,86.13,81.75,81.84,2940900,85.312,85.036,,33.558,-0.532,-0.534,0.002,85.036,87.503,82.568
2021-10-26,82.23,83.95,81.22,83.39,2611700,85.03,85.008,,41.278,-0.632,-0.554,-0.079,85.008,87.538,82.479
2021-10-27,83.64,85.75,83.64,85.55,2260500,84.818,85.088,,49.996,-0.531,-0.549,0.018,85.088,87.577,82.6
2021-10-28,85.8,87.07,85.41,85.89,1431100,84.588,85.174,,51.224,-0.419,-0.523,0.104,85.174,87.649,82.7
2021-10-29,85.58,86.41,85.19,85.58,1312400,84.45,85.25,,50.018,-0.352,-0.489,0.137,85.25,87.673,82.828
2021-11-01,85.56,87.29,85.21,86.91,1859200,85.464,85.395,,54.921,-0.188,-0.429,0.241,85.395,87.854,82.935
2021-11-02,86.68,87.51,85.86,87.22,1684300,86.23,85.476,,56.004,-0.033,-0.35,0.316,85.476,88.067,82.885
2021-11-03,86.98,88.33,86.98,88.05,1540500,86.73,85.554,,58.855,0.154,-0.249,0.403,85.554,88.359,82.749
2021-11-04,85.86,87.14,84.2,85.58,2064000,86.668,85.534,,48.735,0.103,-0.179,0.281,85.534,88.332,82.736
2021-11-05,85.34,86.44,84.64,84.66,1659800,86.484,85.492,,45.59,-0.012,-0.145,0.133,85.492,88.317,82.666
2021-11-08,85.35,85.67,84.07,85.15,1426800,86.132,85.495,,47.532,-0.063,-0.129,0.066,85.495,88.318,82.672
2021-11-09,85.24,86.8,85.12,85.4,1259700,85.768,85.534,,48.541,-0.082,-0.119,0.037,85.534,88.328,82.739
2021-11-10,84.89,85.94,84.89,85.37,1102600,85.232,85.556,,48.421,-0.099,-0.115,0.017,85.556,88.337,82.774
2021-11-11,85.76,85.84,85.14,85.75,957400,85.266,85.538,,50.108,-0.08,-0.108,0.028,85.538,88.31,82.767
2021-11-12,87.0,88.01,86.71,87.54,2680500,85.842,85.645,,57.209,0.078,-0.071,0.149,85.645,88.556,82.734
2021-11-15,87.58,89.79,87.58,89.7,1608500,86.752,85.915,,63.888,0.373,0.018,0.356,85.915,89.269,82.561
2021-11-16,89.75,91.32,89.41,90.63,1353100,87.798,86.206,,66.325,0.675,0.149,0.526,86.206,90.119,82.294
2021-11-17,90.65,90.68,88.64,88.93,1858300,88.51,86.322,86.079,58.547,0.768,0.273,0.495,86.322,90.419,82.226
2021-11-18,88.93,89.48,87.71,88.15,1560600,88.99,86.378,86.056,55.34,0.769,0.372,0.397,86.378,90.545,82.211
2021-11-19,88.32,90.63,88.32,89.53,3351600,89.388,86.541,86.072,59.56,0.872,0.472,0.4,86.541,90.938,82.144
