Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,176.01,176.53,175.15,175.46,1162859,,,,,0.0,0.0,0.0,,,
2021-07-13,174.85,175.79,174.33,174.78,683713,,,,,-0.054,-0.011,-0.043,,,
2021-07-14,174.61,175.09,172.27,172.94,1808631,,,,,-0.243,-0.057,-0.186,,,
2021-07-15,171.77,173.74,170.83,173.38,1250475,,,,,-0.353,-0.116,-0.236,,,
2021-07-16,173.83,175.26,172.98,174.4,1533790,174.192,,,,-0.354,-0.164,-0.19,,,
2021-07-19,173.92,175.15,172.73,173.82,1593765,173.864,,,,-0.396,-0.21,-0.186,,,
2021-07-20,174.76,175.88,173.28,173.64,1235481,173.636,,,,-0.44,-0.256,-0.184,,,
2021-07-21,173.93,174.16,171.54,173.19,1408495,173.686,,,,-0.505,-0.306,-0.199,,,
2021-07-22,173.8,175.54,172.72,175.3,1754002,174.07,,,,-0.381,-0.321,-0.06,,,
2021-07-23,175.75,176.86,175.46,176.51,1576164,174.492,,,,-0.184,-0.294,0.11,,,
2021-07-26,175.79,176.71,174.8,175.35,905489,174.798,,,,-0.12,-0.259,0.139,,,
2021-07-27,175.58,180.29,175.54,179.05,1192325,175.88,,,,0.227,-0.162,0.389,,,
2021-07-28,178.45,179.27,177.57,178.2,857118,176.882,,,,0.428,-0.044,0.472,,,
2021-07-29,179.12,180.03,178.11,179.49,1206406,177.72,,,,0.684,0.102,0.582,,,
2021-07-30,179.42,180.55,178.46,179.8,1298715,178.378,,,69.138,0.902,0.262,0.64,,,
2021-08-02,180.22,181.33,179.02,180.06,981240,179.32,,,69.931,1.082,0.426,0.656,,,
2021-08-03,180.56,181.22,179.26,179.81,791798,179.472,,,68.119,1.192,0.579,0.613,,,
2021-08-04,179.2,180.32,178.27,179.09,1353214,179.65,,,63.05,1.206,0.704,0.502,,,
2021-08-05,168.92,172.27,168.72,170.89,3255197,177.93,,,32.964,0.55,0.674,-0.124,,,
2021-08-06,170.34,170.68,168.62,169.45,1825842,175.86,175.73,,30.235,-0.086,0.522,-0.607,175.73,182.036,169.425
2021-08-09,169.52,170.34,166.99,167.7,1941489,173.388,175.342,,27.28,-0.722,0.273,-0.995,175.342,182.601,168.084
2021-08-10,167.62,168.73,167.02,167.76,2235104,170.978,174.992,,27.541,-1.208,-0.023,-1.185,174.992,183.004,166.979
2021-08-11,167.92,170.34,167.87,169.19,1518014,168.998,174.804,,33.664,-1.46,-0.311,-1.15,174.804,183.186,166.422
2021-08-12,169.82,173.91,169.51,173.01,4996031,169.422,174.786,,46.636,-1.337,-0.516,-0.821,174.786,183.182,166.389
2021-08-13,173.01,173.92,172.24,173.5,1494807,170.232,174.74,,48.039,-1.186,-0.65,-0.536,174.74,183.155,166.326
