Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,67.33,68.2,67.02,67.37,1319400,,,,,0.0,0.0,0.0,,,
2021-09-08,67.06,67.35,65.26,66.88,1333300,,,,,-0.039,-0.008,-0.031,,,
2021-09-09,66.79,67.0,65.75,66.15,1016600,,,,,-0.128,-0.032,-0.096,,,
2021-09-10,66.14,67.26,66.11,66.58,758900,,,,,-0.161,-0.058,-0.103,,,
2021-09-13,67.33,67.99,66.94,67.55,877400,66.906,,,,-0.108,-0.068,-0.04,,,
2021-09-14,67.63,68.59,67.13,67.31,1016900,66.894,,,,-0.084,-0.071,-0.013,,,
2021-09-15,67.33,71.1,67.07,70.94,1844900,67.706,,,,0.225,-0.012,0.236,,,
2021-09-16,70.93,71.49,70.27,70.9,1034700,68.656,,,,0.461,0.083,0.378,,,
2021-09-17,70.99,71.25,69.78,70.46,1923900,69.432,,,,0.606,0.187,0.418,,,
2021-09-20,68.43,68.86,66.65,67.43,925500,69.408,,,,0.471,0.244,0.227,,,
2021-09-21,67.89,67.89,66.29,67.42,759100,69.43,,,,0.359,0.267,0.092,,,
2021-09-22,68.24,69.01,66.51,67.58,1692900,68.758,,,,0.279,0.269,0.01,,,
2021-09-23,67.96,69.6,67.77,68.81,609700,68.34,,,,0.312,0.278,0.034,,,
2021-09-24,68.49,69.43,68.15,68.88,827400,68.024,,,,0.34,0.29,0.05,,,
2021-09-27,69.34,70.47,68.86,70.25,922100,68.588,,,63.663,0.467,0.326,0.142,,,
2021-09-28,70.77,71.97,70.34,70.55,1105200,69.214,,,65.025,0.586,0.378,0.208,,,
2021-09-29,71.04,71.6,70.41,70.77,695400,69.852,,,66.03,0.689,0.44,0.249,,,
2021-09-30,70.84,71.57,69.87,71.11,1241000,70.312,,,67.581,0.79,0.51,0.28,,,
2021-10-01,71.42,72.65,70.59,72.15,952600,70.966,,,71.819,0.942,0.596,0.346,,,
2021-10-04,72.15,73.12,71.98,72.22,835600,71.36,69.066,,72.084,1.057,0.689,0.368,69.066,73.023,65.108
2021-10-05,72.52,73.63,71.5,73.55,1433800,71.96,69.374,,76.582,1.24,0.799,0.442,69.374,73.72,65.029
2021-10-06,72.94,73.74,71.75,73.39,952600,72.484,69.7,,75.016,1.357,0.911,0.447,69.7,74.23,65.17
2021-10-07,73.71,74.4,73.36,73.89,677300,73.04,70.087,,76.625,1.474,1.023,0.45,70.087,74.663,65.511
2021-10-08,74.1,74.32,73.56,73.76,529100,73.362,70.446,,75.268,1.537,1.126,0.411,70.446,74.99,65.902
2021-10-11,74.37,74.83,73.8,74.27,689700,73.772,70.782,,76.989,1.61,1.223,0.388,70.782,75.417,66.147
2021-10-12,73.82,74.44,73.56,73.86,619600,73.834,71.11,,72.613,1.617,1.302,0.315,71.11,75.636,66.583
2021-10-13,73.98,74.1,72.6,73.5,844200,73.856,71.238,,68.91,1.574,1.356,0.218,71.238,75.887,66.588
2021-10-14,74.03,75.2,73.62,75.08,862900,74.094,71.446,,74.949,1.649,1.415,0.235,71.446,76.398,66.495
2021-10-15,75.59,75.75,74.83,74.87,625500,74.316,71.667,,72.921,1.673,1.466,0.206,71.667,76.822,66.512
2021-10-18,74.43,75.3,74.14,74.92,483200,74.446,72.042,,73.108,1.676,1.508,0.167,72.042,76.984,67.099
2021-10-19,75.4,75.84,74.87,75.61,538100,74.796,72.451,,75.605,1.714,1.549,0.165,72.451,77.132,67.77
2021-10-20,75.63,76.97,75.31,76.58,996800,75.412,72.901,,78.612,1.802,1.6,0.202,72.901,77.334,68.468
2021-10-21,76.6,77.1,75.96,76.68,683600,75.732,73.294,,78.901,1.858,1.652,0.207,73.294,77.594,68.995
2021-10-22,76.6,77.48,76.47,77.23,665500,76.204,73.712,,80.463,1.925,1.706,0.219,73.712,77.824,69.6
2021-10-25,77.46,77.99,76.72,77.23,773200,76.666,74.061,,80.463,1.956,1.756,0.199,74.061,78.12,70.002
2021-10-26,77.66,77.93,76.12,76.29,1050500,76.802,74.348,,70.165,1.882,1.781,0.101,74.348,78.166,70.53
2021-10-27,78.7,79.7,77.85,79.24,2073000,77.334,74.772,,79.174,2.039,1.833,0.206,74.772,78.792,70.751
