Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-20,90.26,91.66,89.32,91.46,7795000,,,,,0.0,0.0,0.0,,,
2021-09-21,92.35,92.35,90.74,90.87,5277500,,,,,-0.047,-0.009,-0.038,,,
2021-09-22,91.39,94.84,91.39,94.02,10425000,,,,,0.168,0.026,0.142,,,
2021-09-23,94.19,97.25,94.19,96.73,10487500,,,,,0.551,0.131,0.42,,,
2021-09-24,95.82,97.78,95.82,97.35,7472500,94.086,,,,0.894,0.283,0.61,,,
2021-09-27,97.46,99.25,96.35,96.77,8020000,95.148,,,,1.106,0.448,0.658,,,
2021-09-28,96.12,96.88,94.67,95.06,7745000,95.986,,,,1.123,0.583,0.54,,,
2021-09-29,95.21,95.64,92.79,92.91,7357500,95.764,,,,0.952,0.657,0.296,,,
2021-09-30,93.11,94.03,92.02,92.76,7790000,94.97,,,,0.796,0.685,0.111,,,
2021-10-01,94.43,96.78,94.43,95.96,7665000,94.692,,,,0.919,0.732,0.188,,,
2021-10-04,95.96,97.25,94.63,96.1,6435000,94.558,,,,1.017,0.789,0.228,,,
2021-10-05,96.08,97.17,94.8,95.04,6682500,94.554,,,,0.997,0.83,0.167,,,
2021-10-06,93.78,95.82,93.15,95.66,5997500,95.104,,,,1.02,0.868,0.151,,,
2021-10-07,96.63,97.57,96.37,96.47,3920000,95.846,,,,1.09,0.913,0.178,,,
2021-10-08,96.66,97.33,96.23,96.68,4107500,95.99,,,64.121,1.15,0.96,0.19,,,
2021-10-11,96.92,97.99,96.25,96.41,3762500,96.052,,,62.359,1.162,1.0,0.162,,,
2021-10-12,96.53,97.6,95.87,96.3,5502500,96.304,,,61.616,1.15,1.03,0.119,,,
2021-10-13,96.32,96.98,95.19,96.22,4462500,96.416,,,61.047,1.12,1.048,0.072,,,
2021-10-14,97.0,98.3,96.69,97.54,6960000,96.63,,,66.542,1.19,1.077,0.113,,,
2021-10-15,98.47,99.25,98.29,99.18,5832500,97.13,95.474,,71.854,1.362,1.134,0.228,95.474,99.673,91.276
2021-10-18,98.48,99.17,97.46,97.77,5245000,97.402,95.79,,62.645,1.368,1.181,0.188,95.79,99.653,91.927
2021-10-19,97.78,97.81,95.96,96.24,6865000,97.39,96.059,,54.484,1.236,1.192,0.044,96.059,99.152,92.965
2021-10-20,96.32,96.32,92.56,93.16,10172500,96.778,96.016,,42.486,0.872,1.128,-0.255,96.016,99.249,92.782
2021-10-21,93.8,94.55,93.39,94.21,5312500,96.112,95.89,,46.788,0.661,1.034,-0.373,95.89,99.201,92.578
2021-10-22,94.05,95.3,93.22,93.57,4047500,94.99,95.7,,44.598,0.437,0.915,-0.478,95.7,99.091,92.31
2021-10-25,93.69,94.58,92.68,94.28,3560000,94.292,95.576,,47.532,0.314,0.795,-0.481,95.576,98.984,92.168
2021-10-26,94.67,96.32,94.67,95.46,4385000,94.136,95.596,,52.074,0.307,0.697,-0.39,95.596,98.996,92.196
2021-10-27,95.0,96.03,94.17,94.87,4895000,94.478,95.694,,49.755,0.251,0.608,-0.357,95.694,98.874,92.514
2021-10-28,94.79,95.0,93.6,94.94,3735000,94.624,95.803,,50.039,0.211,0.529,-0.318,95.803,98.696,92.91
2021-10-29,94.51,94.95,93.47,94.59,5412500,94.828,95.734,,48.56,0.148,0.453,-0.304,95.734,98.677,92.792
2021-11-01,94.56,97.29,94.56,97.28,7245000,95.428,95.794,,58.674,0.312,0.424,-0.112,95.794,98.813,92.774
2021-11-02,96.73,97.45,94.58,95.88,6825000,95.512,95.836,,52.85,0.326,0.405,-0.079,95.836,98.834,92.837
2021-11-03,95.47,96.71,93.97,95.16,9037500,95.57,95.81,,50.096,0.275,0.379,-0.104,95.81,98.823,92.798
2021-11-04,99.21,99.22,95.04,95.22,13327500,95.626,95.748,,50.328,0.237,0.35,-0.114,95.748,98.755,92.741
2021-11-05,99.42,102.83,98.3,102.33,18887500,97.174,96.03,,68.839,0.772,0.435,0.337,96.03,100.231,91.83
2021-11-08,103.9,105.0,101.59,103.15,12430000,98.348,96.367,,70.217,1.247,0.597,0.65,96.367,101.641,91.094
2021-11-09,103.12,104.99,102.42,103.47,10182500,99.866,96.726,,70.761,1.631,0.804,0.827,96.726,102.881,90.571
2021-11-10,103.89,104.32,100.03,100.41,9152500,100.916,96.936,,59.565,1.669,0.977,0.692,96.936,103.3,90.571
2021-11-11,100.55,100.63,96.71,96.87,8557500,101.246,96.902,,49.757,1.397,1.061,0.336,96.902,103.26,90.544
2021-11-12,97.51,97.51,95.43,95.79,7920000,99.938,96.732,,47.203,1.082,1.065,0.017,96.732,103.015,90.45
2021-11-15,95.93,96.28,93.79,93.97,8427500,98.102,96.542,,43.181,0.678,0.988,-0.31,96.542,102.922,90.163
2021-11-16,94.25,94.25,92.49,93.01,10780000,96.01,96.381,,41.188,0.277,0.846,-0.568,96.381,102.953,89.809
2021-11-17,93.24,93.89,92.01,92.46,11445000,94.42,96.346,,40.047,-0.084,0.66,-0.744,96.346,102.998,89.694
