Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-29,44.45,45.19,44.16,44.79,4450400,,,,,0.0,0.0,0.0,,,
2021-07-30,44.57,45.12,44.49,44.82,4527700,,,,,0.002,0.0,0.002,,,
2021-08-02,45.17,45.89,44.71,44.77,5429300,,,,,0.0,0.0,-0.0,,,
2021-08-03,44.92,45.67,44.36,45.4,4523100,,,,,0.049,0.01,0.039,,,
2021-08-04,45.05,45.46,44.72,44.96,4305300,44.948,,,,0.051,0.018,0.033,,,
2021-08-05,45.24,45.62,45.04,45.23,4796300,45.036,,,,0.074,0.029,0.045,,,
2021-08-06,45.75,46.73,45.71,46.41,5601600,45.354,,,,0.185,0.061,0.125,,,
2021-08-09,46.27,46.9,46.04,46.61,4641400,45.722,,,,0.286,0.106,0.18,,,
2021-08-10,46.47,47.18,46.41,47.0,4596300,46.042,,,,0.393,0.163,0.23,,,
2021-08-11,47.17,47.9,46.96,47.82,5026000,46.614,,,,0.538,0.238,0.3,,,
2021-08-12,47.82,48.04,47.52,47.93,3872300,47.154,,,,0.654,0.321,0.333,,,
2021-08-13,47.78,48.01,46.95,47.03,6786700,47.278,,,,0.666,0.39,0.275,,,
2021-08-16,46.72,47.47,46.42,47.38,4338400,47.432,,,,0.695,0.451,0.244,,,
2021-08-17,47.05,47.44,46.62,46.97,4458100,47.426,,,,0.677,0.496,0.181,,,
2021-08-18,46.8,47.63,46.5,46.74,4584700,47.21,,,60.58,0.638,0.525,0.113,,,
2021-08-19,46.21,46.55,45.87,46.07,5392000,46.838,,,51.246,0.546,0.529,0.017,,,
2021-08-20,46.07,46.73,45.79,46.55,4261800,46.742,,,56.426,0.506,0.524,-0.018,,,
2021-08-23,46.82,47.5,46.82,47.2,3598800,46.706,,,62.272,0.521,0.524,-0.003,,,
2021-08-24,47.35,47.92,47.18,47.61,3503100,46.834,,,65.423,0.559,0.531,0.028,,,
2021-08-25,47.76,48.87,47.61,48.52,4656400,47.19,46.49,,71.177,0.655,0.556,0.1,46.49,48.799,44.182
2021-08-26,48.51,48.79,48.37,48.44,4310800,47.664,46.673,,70.073,0.717,0.588,0.129,46.673,48.993,44.353
2021-08-27,48.45,49.33,48.37,49.25,4315600,48.204,46.894,,74.402,0.822,0.635,0.187,46.894,49.313,44.476
2021-08-30,49.42,49.45,48.16,48.18,2473800,48.4,47.065,,61.704,0.809,0.669,0.139,47.065,49.329,44.801
2021-08-31,48.27,48.54,47.92,48.21,3964000,48.52,47.206,,61.9,0.792,0.694,0.098,47.206,49.381,45.03
2021-09-01,48.23,48.49,47.31,47.5,4792200,48.316,47.332,,54.747,0.713,0.698,0.015,47.332,49.236,45.429
2021-09-02,47.58,47.73,47.21,47.42,3589700,48.112,47.442,,53.989,0.637,0.686,-0.049,47.442,49.068,45.816
