Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,51.01,51.46,50.93,51.44,721000,,,,,0.0,0.0,0.0,,,
2021-07-13,51.49,51.49,50.79,50.8,691600,,,,,-0.051,-0.01,-0.041,,,
2021-07-14,50.9,51.14,50.7,50.96,721400,,,,,-0.078,-0.024,-0.054,,,
2021-07-15,50.68,51.9,50.56,51.69,910500,,,,,-0.039,-0.027,-0.013,,,
2021-07-16,51.83,52.13,51.56,51.89,912800,51.356,,,,0.007,-0.02,0.027,,,
2021-07-19,51.46,51.56,50.42,50.86,778300,51.24,,,,-0.039,-0.024,-0.015,,,
2021-07-20,50.96,52.14,50.85,51.55,1402200,51.39,,,,-0.02,-0.023,0.003,,,
2021-07-21,51.79,52.08,51.33,51.44,1280200,51.486,,,,-0.013,-0.021,0.008,,,
2021-07-22,51.39,51.81,51.34,51.72,994000,51.492,,,,0.015,-0.014,0.029,,,
2021-07-23,51.94,52.55,51.77,52.48,921600,51.61,,,,0.097,0.008,0.089,,,
2021-07-26,52.54,53.05,52.14,52.53,1682900,51.944,,,,0.164,0.04,0.125,,,
2021-07-27,52.22,54.28,51.52,52.89,1845500,52.212,,,,0.244,0.08,0.164,,,
2021-07-28,52.89,53.08,51.96,52.24,1498800,52.372,,,,0.252,0.115,0.137,,,
2021-07-29,52.48,53.15,52.38,52.95,925500,52.618,,,,0.312,0.154,0.157,,,
2021-07-30,53.19,53.46,52.46,52.53,1756500,52.628,,,58.41,0.321,0.188,0.134,,,
2021-08-02,52.78,52.9,52.16,52.37,1778300,52.596,,,56.196,0.313,0.213,0.1,,,
2021-08-03,52.45,52.86,52.11,52.26,1284600,52.47,,,54.662,0.293,0.229,0.065,,,
2021-08-04,52.0,52.41,51.68,51.85,1006200,52.392,,,49.263,0.242,0.231,0.011,,,
2021-08-05,52.07,52.34,51.84,52.33,1053400,52.268,,,54.881,0.238,0.233,0.005,,,
2021-08-06,52.61,52.77,52.28,52.6,812400,52.282,51.969,,57.717,0.253,0.237,0.016,51.969,53.272,50.666
2021-08-09,52.55,52.94,52.37,52.9,718200,52.388,52.042,,60.675,0.286,0.247,0.039,52.042,53.383,50.701
2021-08-10,53.05,53.38,52.87,53.07,985300,52.55,52.156,,62.285,0.322,0.262,0.061,52.156,53.437,50.874
2021-08-11,53.28,53.62,53.18,53.56,817100,52.892,52.286,,66.538,0.386,0.287,0.099,52.286,53.583,50.988
2021-08-12,53.6,53.73,53.33,53.56,578400,53.138,52.379,,66.538,0.432,0.316,0.116,52.379,53.763,50.995
2021-08-13,53.74,54.05,53.58,53.92,967300,53.402,52.481,,69.471,0.491,0.351,0.14,52.481,54.004,50.957
2021-08-16,53.95,54.58,53.78,54.53,763100,53.728,52.664,,73.681,0.581,0.397,0.184,52.664,54.249,51.079
2021-08-17,54.4,54.76,54.25,54.71,816000,54.056,52.822,,74.786,0.659,0.449,0.21,52.822,54.561,51.083
2021-08-18,54.66,55.28,54.37,54.86,1525800,54.316,52.993,,75.701,0.724,0.504,0.22,52.993,54.83,51.156
2021-08-19,54.64,55.2,54.45,54.99,745300,54.602,53.156,,76.498,0.778,0.559,0.219,53.156,55.096,51.217
2021-08-20,55.0,55.98,54.99,55.87,889500,54.992,53.326,,81.03,0.881,0.623,0.258,53.326,55.583,51.069
2021-08-23,56.0,56.58,55.82,55.83,970000,55.252,53.491,,80.272,0.949,0.688,0.26,53.491,55.974,51.008
2021-08-24,55.8,56.01,55.68,55.79,892600,55.468,53.636,,79.472,0.988,0.748,0.239,53.636,56.303,50.969
2021-08-25,55.87,56.22,55.61,55.96,663500,55.688,53.822,,80.368,1.021,0.803,0.218,53.822,56.596,51.048
2021-08-26,55.83,56.14,55.66,55.72,624300,55.834,53.96,,75.367,1.016,0.845,0.17,53.96,56.826,51.095
2021-08-27,55.82,56.34,55.74,56.24,1095900,55.908,54.146,,78.49,1.042,0.885,0.157,54.146,57.101,51.191
2021-08-30,56.34,56.55,56.11,56.13,586500,55.968,54.334,,76.287,1.041,0.916,0.125,54.334,57.291,51.377
2021-08-31,56.1,56.56,56.04,56.15,1079700,56.04,54.528,,76.416,1.031,0.939,0.092,54.528,57.423,51.634
2021-09-01,56.1,56.76,55.76,56.54,814400,56.156,54.763,,78.845,1.042,0.959,0.082,54.763,57.499,52.027
2021-09-02,56.77,57.03,56.43,56.8,789900,56.372,54.986,,80.301,1.059,0.979,0.08,54.986,57.614,52.359
2021-09-03,56.57,57.1,56.44,57.01,777400,56.526,55.207,,81.414,1.078,0.999,0.079,55.207,57.729,52.685
2021-09-07,57.26,57.51,56.01,56.22,2508600,56.544,55.373,,66.25,1.017,1.003,0.014,55.373,57.684,53.062
2021-09-08,56.13,56.68,55.94,56.65,1204900,56.644,55.552,,69.572,0.992,1.001,-0.008,55.552,57.657,53.447
2021-09-09,56.71,57.17,56.49,56.51,1264100,56.638,55.7,,67.251,0.95,0.991,-0.04,55.7,57.623,53.776
2021-09-10,56.52,56.74,55.82,55.87,1147500,56.452,55.815,,57.764,0.855,0.963,-0.108,55.815,57.454,54.176
2021-09-13,56.4,56.4,55.19,55.57,1079000,56.164,55.898,,53.924,0.747,0.92,-0.173,55.898,57.281,54.514
2021-09-14,55.56,55.78,53.94,54.26,2333200,55.772,55.884,,41.081,0.55,0.846,-0.296,55.884,57.327,54.441
2021-09-15,54.28,55.9,54.19,55.59,1390700,55.56,55.928,,53.254,0.495,0.776,-0.281,55.928,57.271,54.585
2021-09-16,55.56,55.68,54.78,55.58,1217300,55.374,55.964,,53.165,0.445,0.71,-0.265,55.964,57.222,54.706
2021-09-17,55.77,55.82,54.33,55.14,48381800,55.228,55.972,,49.266,0.366,0.641,-0.275,55.972,57.207,54.736
2021-09-20,54.05,54.83,53.8,54.49,2672600,55.012,55.902,53.988,44.119,0.248,0.563,-0.314,55.902,57.304,54.501
2021-09-21,54.79,55.11,54.37,54.77,1626800,55.114,55.85,54.055,46.702,0.176,0.485,-0.31,55.85,57.34,54.359
2021-09-22,55.19,55.68,54.56,55.52,1474900,55.1,55.836,54.149,52.973,0.176,0.423,-0.247,55.836,57.334,54.338
2021-09-23,55.86,56.11,55.28,55.59,1162400,55.102,55.818,54.242,53.523,0.18,0.375,-0.194,55.818,57.318,54.317
2021-09-24,55.62,56.23,55.58,56.19,812300,55.312,55.841,54.332,58.049,0.229,0.346,-0.116,55.841,57.35,54.332
2021-09-27,56.31,56.31,55.39,55.44,1044600,55.502,55.801,54.403,51.321,0.205,0.318,-0.112,55.801,57.308,54.294
2021-09-28,55.37,55.37,53.74,53.96,1450100,55.34,55.692,54.465,41.179,0.066,0.267,-0.201,55.692,57.399,53.986
2021-09-29,54.07,54.74,54.07,54.39,1093500,55.114,55.605,54.521,44.604,-0.009,0.212,-0.221,55.605,57.391,53.818
2021-09-30,54.62,54.72,53.62,53.63,1631700,54.722,55.459,54.565,40.153,-0.129,0.144,-0.273,55.459,57.393,53.525
2021-10-01,53.87,56.07,53.65,55.71,2024100,54.626,55.405,54.645,53.754,-0.055,0.104,-0.159,55.405,57.238,53.571
2021-10-04,55.74,56.17,54.93,55.3,1398000,54.598,55.319,54.701,51.28,-0.03,0.077,-0.107,55.319,56.989,53.649
2021-10-05,55.59,56.55,55.3,56.22,1602400,55.05,55.319,54.775,56.156,0.064,0.075,-0.011,55.319,56.989,53.649
2021-10-06,55.76,56.9,55.64,56.87,933500,55.546,55.33,54.855,59.259,0.189,0.097,0.091,55.33,57.04,53.62
2021-10-07,57.24,57.91,57.11,57.5,946600,56.32,55.379,54.96,62.061,0.334,0.145,0.19,55.379,57.28,53.479
2021-10-08,57.55,58.1,57.38,58.02,757700,56.782,55.487,55.061,64.247,0.486,0.213,0.273,55.487,57.719,53.255
2021-10-11,58.12,58.87,57.97,58.27,939200,57.376,55.622,55.176,65.282,0.62,0.294,0.325,55.622,58.178,53.066
