Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,89.84,91.74,89.81,91.52,828800,,,,,0.0,0.0,0.0,,,
2021-07-13,91.5,91.72,89.46,89.68,460700,,,,,-0.147,-0.029,-0.117,,,
2021-07-14,89.47,90.45,89.32,90.05,648300,,,,,-0.231,-0.07,-0.161,,,
2021-07-15,89.88,90.23,89.35,89.9,413500,,,,,-0.306,-0.117,-0.189,,,
2021-07-16,90.26,90.43,89.28,89.54,545600,90.138,,,,-0.39,-0.171,-0.218,,,
2021-07-19,88.04,88.06,84.42,85.35,1555800,88.904,,,,-0.785,-0.294,-0.491,,,
2021-07-20,85.87,89.66,85.57,89.46,1064000,88.86,,,,-0.758,-0.387,-0.371,,,
2021-07-21,90.13,91.92,89.68,90.23,626500,88.896,,,,-0.667,-0.443,-0.224,,,
2021-07-22,89.8,89.81,87.66,88.27,912600,88.57,,,,-0.745,-0.503,-0.241,,,
2021-07-23,89.03,89.3,87.7,88.58,796800,88.378,,,,-0.772,-0.557,-0.215,,,
2021-07-26,88.43,89.56,88.13,88.95,719800,89.098,,,,-0.755,-0.597,-0.158,,,
2021-07-27,88.93,90.01,88.12,89.61,725900,89.128,,,,-0.681,-0.613,-0.067,,,
2021-07-28,90.79,92.02,87.52,90.97,1292300,89.276,,,,-0.506,-0.592,0.086,,,
2021-07-29,91.69,92.44,91.22,91.29,618500,89.88,,,,-0.338,-0.541,0.203,,,
2021-07-30,91.65,92.7,90.4,90.49,926300,90.262,,,51.057,-0.266,-0.486,0.22,,,
2021-08-02,91.19,92.69,89.61,89.69,514400,90.41,,,47.191,-0.271,-0.443,0.172,,,
2021-08-03,90.28,90.28,87.96,89.48,599200,90.384,,,46.202,-0.288,-0.412,0.124,,,
2021-08-04,88.84,89.97,88.36,88.42,516400,89.874,,,41.477,-0.383,-0.406,0.023,,,
2021-08-05,89.32,90.18,89.07,90.1,539100,89.636,,,50.175,-0.319,-0.389,0.07,,,
2021-08-06,90.76,91.52,90.46,90.89,564600,89.716,89.624,,53.662,-0.202,-0.351,0.149,89.624,92.32,86.927
2021-08-09,90.24,90.84,89.57,90.37,363100,89.852,89.566,,51.125,-0.15,-0.311,0.162,89.566,92.139,86.993
2021-08-10,90.53,90.61,89.52,89.64,520600,89.884,89.564,,47.715,-0.165,-0.282,0.117,89.564,92.136,86.992
2021-08-11,90.11,91.09,89.41,91.05,820500,90.41,89.614,,54.085,-0.063,-0.238,0.175,89.614,92.264,86.964
2021-08-12,90.95,91.32,89.96,90.69,510100,90.528,89.654,,52.332,-0.011,-0.193,0.182,89.654,92.344,86.963
2021-08-13,90.68,91.16,90.47,90.9,431400,90.53,89.721,,53.284,0.047,-0.145,0.192,89.721,92.469,86.974
2021-08-16,90.58,91.7,89.94,90.2,568700,90.496,89.964,,49.722,0.036,-0.109,0.144,89.964,91.787,88.141
2021-08-17,89.38,89.91,87.66,89.4,907900,90.448,89.961,,45.942,-0.037,-0.094,0.057,89.961,91.788,88.134
2021-08-18,88.86,88.9,87.17,87.32,635600,89.702,89.816,,37.879,-0.26,-0.127,-0.132,89.816,91.984,87.647
2021-08-19,86.89,87.99,85.97,87.02,970600,88.968,89.753,,36.874,-0.455,-0.193,-0.262,89.753,92.167,87.339
2021-08-20,86.55,87.8,85.74,87.21,813700,88.23,89.684,,37.996,-0.588,-0.272,-0.316,89.684,92.307,87.062
2021-08-23,87.72,88.09,87.21,87.76,531800,87.742,89.625,,41.252,-0.642,-0.346,-0.296,89.625,92.369,86.881
2021-08-24,87.9,88.37,87.08,88.13,515200,87.488,89.551,,43.405,-0.647,-0.406,-0.241,89.551,92.376,86.726
2021-08-25,88.13,88.8,87.16,87.87,488800,87.598,89.396,,42.234,-0.664,-0.458,-0.206,89.396,92.233,86.559
2021-08-26,87.97,87.97,86.2,86.32,626300,87.458,89.148,,35.997,-0.794,-0.525,-0.269,89.148,92.152,86.143
2021-08-27,86.74,87.63,86.73,87.18,749400,87.452,88.982,,41.187,-0.818,-0.583,-0.234,88.982,92.039,85.925
2021-08-30,87.16,87.63,85.3,86.32,896000,87.164,88.814,,37.879,-0.896,-0.646,-0.25,88.814,92.071,85.556
2021-08-31,86.31,87.86,86.1,87.11,821700,86.96,88.695,,42.451,-0.883,-0.693,-0.19,88.695,92.022,85.368
2021-09-01,87.81,89.72,87.53,89.01,739100,87.188,88.724,,51.664,-0.712,-0.697,-0.015,88.724,92.052,85.397
2021-09-02,89.24,89.54,87.86,88.67,446200,87.658,88.653,,50.118,-0.597,-0.677,0.08,88.653,91.917,85.389
2021-09-03,88.23,88.46,86.5,87.79,566400,87.78,88.498,,46.259,-0.571,-0.656,0.085,88.498,91.605,85.391
2021-09-07,88.15,88.95,86.67,87.52,773000,88.02,88.356,,45.111,-0.565,-0.638,0.073,88.356,91.361,85.35
2021-09-08,87.05,88.2,86.83,87.65,389400,88.128,88.256,,45.808,-0.543,-0.619,0.076,88.256,91.214,85.298
2021-09-09,86.89,87.39,85.86,85.88,536000,87.502,87.998,,38.617,-0.661,-0.627,-0.034,87.998,90.828,85.167
2021-09-10,85.88,86.03,83.3,83.35,714700,86.438,87.63,,31.1,-0.948,-0.691,-0.257,87.63,90.866,84.395
2021-09-13,83.99,85.65,83.42,85.29,540700,85.938,87.35,,40.641,-1.008,-0.755,-0.253,87.35,90.356,84.344
2021-09-14,85.87,85.91,84.49,85.1,452300,85.454,87.095,,40.056,-1.058,-0.815,-0.242,87.095,89.944,84.246
2021-09-15,85.06,86.1,84.83,85.87,540800,85.098,86.918,,43.599,-1.023,-0.857,-0.166,86.918,89.599,84.238
2021-09-16,85.66,86.51,85.47,85.7,501100,85.062,86.838,,42.995,-0.998,-0.885,-0.113,86.838,89.564,84.111
2021-09-17,85.33,85.81,84.71,84.8,1450100,85.352,86.726,,39.846,-1.039,-0.916,-0.123,86.726,89.599,83.854
2021-09-20,83.72,85.06,83.01,84.43,644800,85.18,86.588,88.36,38.595,-1.089,-0.951,-0.138,86.588,89.626,83.549
2021-09-21,85.17,85.77,83.82,83.88,505400,84.936,86.394,88.208,36.748,-1.159,-0.992,-0.167,86.394,89.607,83.18
2021-09-22,84.59,86.4,84.13,85.74,668400,84.91,86.274,88.129,46.137,-1.053,-1.004,-0.048,86.274,89.392,83.156
2021-09-23,86.38,87.93,86.35,86.69,839100,85.108,86.215,88.062,50.203,-0.882,-0.98,0.098,86.215,89.249,83.181
2021-09-24,86.67,87.63,86.48,86.94,974900,85.536,86.246,88.002,51.246,-0.718,-0.928,0.21,86.246,89.297,83.195
