Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,60.16,60.94,59.61,59.71,14663600,,,,,0.0,0.0,0.0,,,
2021-09-08,59.75,60.04,58.91,59.05,14861800,,,,,-0.053,-0.011,-0.042,,,
2021-09-09,58.99,59.94,58.94,59.4,14212900,,,,,-0.065,-0.021,-0.044,,,
2021-09-10,59.8,59.85,58.61,58.65,15422800,,,,,-0.134,-0.044,-0.09,,,
2021-09-13,59.12,59.57,58.81,59.45,16337300,59.252,,,,-0.123,-0.06,-0.063,,,
2021-09-14,59.72,60.18,57.77,57.99,26568900,58.908,,,,-0.229,-0.094,-0.136,,,
2021-09-15,58.02,59.75,57.85,59.39,22392100,58.976,,,,-0.198,-0.115,-0.084,,,
2021-09-16,59.88,60.01,59.01,59.02,19245400,58.9,,,,-0.201,-0.132,-0.069,,,
2021-09-17,58.82,59.5,58.73,58.98,30768300,58.966,,,,-0.205,-0.147,-0.058,,,
2021-09-20,57.37,57.47,55.62,56.74,36955400,58.424,,,,-0.383,-0.194,-0.189,,,
2021-09-21,57.03,57.11,56.08,56.44,21169900,58.114,,,,-0.543,-0.264,-0.279,,,
2021-09-22,57.24,58.32,57.15,57.53,21160200,57.742,,,,-0.575,-0.326,-0.249,,,
2021-09-23,58.35,60.19,58.17,59.76,21451500,57.89,,,,-0.416,-0.344,-0.072,,,
2021-09-24,59.61,60.35,59.61,60.01,15788400,58.096,,,,-0.266,-0.328,0.062,,,
2021-09-27,60.58,61.22,60.49,60.92,19857500,58.932,,,60.997,-0.073,-0.277,0.204,,,
2021-09-28,61.1,61.78,60.06,60.17,20835000,59.678,,,55.752,0.019,-0.218,0.237,,,
2021-09-29,60.44,60.55,59.84,60.31,13683900,60.234,,,56.503,0.102,-0.154,0.256,,,
2021-09-30,60.39,60.45,58.97,59.17,22090900,60.116,,,49.176,0.075,-0.108,0.183,,,
2021-10-01,59.39,60.43,59.09,60.01,23701900,60.116,,,53.918,0.12,-0.063,0.183,,,
2021-10-04,59.93,61.53,59.73,60.1,18957200,59.952,59.14,,54.409,0.161,-0.018,0.179,59.14,61.49,56.79
2021-10-05,60.5,61.49,60.14,61.15,15587200,60.148,59.212,,59.79,0.275,0.041,0.234,59.212,61.718,56.706
2021-10-06,60.63,61.22,59.88,61.06,15997200,60.298,59.312,,59.146,0.354,0.103,0.251,59.312,61.949,56.676
2021-10-07,61.55,61.84,60.74,60.86,15349900,60.636,59.386,,57.658,0.396,0.162,0.234,59.386,62.112,56.659
2021-10-08,60.58,61.38,60.29,61.0,11960700,60.834,59.503,,58.446,0.436,0.217,0.219,59.503,62.297,56.709
2021-10-11,61.29,62.15,60.37,60.43,14985500,60.9,59.552,,54.038,0.416,0.257,0.16,59.552,62.377,56.727
2021-10-12,60.31,60.65,59.39,59.56,17593400,60.582,59.63,,48.079,0.327,0.271,0.056,59.63,62.358,56.903
2021-10-13,59.48,59.5,57.95,59.23,23451900,60.216,59.622,,46.006,0.227,0.262,-0.035,59.622,62.354,56.891
2021-10-14,59.92,60.09,58.78,59.69,24707900,59.982,59.656,,49.288,0.182,0.246,-0.064,59.656,62.373,56.939
2021-10-15,60.55,61.73,60.29,60.95,21884500,59.972,59.754,,56.998,0.246,0.246,0.0,59.754,62.511,56.998
2021-10-18,60.76,61.17,60.2,60.37,15026100,59.96,59.936,,53.003,0.247,0.246,0.001,59.936,62.307,57.565
2021-10-19,60.91,61.12,60.08,60.5,15173900,60.148,60.139,,53.785,0.255,0.248,0.007,60.139,61.855,58.423
2021-10-20,60.33,60.94,59.7,60.55,14350400,60.412,60.29,,54.101,0.263,0.251,0.012,60.29,61.494,59.086
2021-10-21,60.08,60.56,59.02,59.45,18519000,60.364,60.274,,46.553,0.178,0.236,-0.058,60.274,61.515,59.034
2021-10-22,59.66,60.61,59.59,60.17,14625100,60.208,60.283,,51.339,0.167,0.222,-0.056,60.283,61.518,59.047
2021-10-25,60.35,60.58,59.61,59.72,15103000,60.078,60.223,,48.421,0.12,0.202,-0.082,60.223,61.444,59.001
2021-10-26,59.86,60.37,59.53,59.56,18647900,59.89,60.192,,47.389,0.07,0.176,-0.106,60.192,61.449,58.935
2021-10-27,59.45,59.61,58.43,59.28,25475900,59.636,60.14,,45.56,0.007,0.142,-0.135,60.14,61.46,58.821
2021-10-28,59.67,60.13,59.25,59.76,16367800,59.698,60.17,,49.181,-0.004,0.113,-0.117,60.17,61.423,58.917
2021-10-29,59.85,59.96,58.57,58.73,22403000,59.41,60.106,,42.629,-0.095,0.071,-0.166,60.106,61.514,58.698
2021-11-01,59.38,59.38,58.62,59.11,19106600,59.288,60.057,,45.513,-0.134,0.03,-0.164,60.057,61.534,58.579
2021-11-02,59.04,59.13,58.2,58.25,25539000,59.026,59.912,,40.545,-0.232,-0.022,-0.21,59.912,61.502,58.321
2021-11-03,58.0,59.09,57.82,58.59,21755600,58.888,59.788,,43.186,-0.28,-0.074,-0.206,59.788,61.386,58.19
2021-11-04,58.38,58.4,56.49,56.9,32148900,58.316,59.59,,34.891,-0.448,-0.149,-0.299,59.59,61.566,57.614
2021-11-05,57.59,57.74,56.85,56.89,20902600,57.948,59.384,,34.849,-0.576,-0.234,-0.342,59.384,61.585,57.184
2021-11-08,57.65,58.61,57.21,58.13,25122000,57.752,59.27,,43.991,-0.57,-0.301,-0.269,59.27,61.48,57.059
2021-11-09,57.56,57.96,57.27,57.74,18513000,57.65,59.179,,41.995,-0.591,-0.359,-0.232,59.179,61.487,56.87
2021-11-10,57.85,58.12,57.5,57.92,19290200,57.516,59.113,,43.275,-0.586,-0.405,-0.181,59.113,61.488,56.738
2021-11-11,57.97,58.75,57.89,58.48,20296200,57.832,59.052,,47.178,-0.53,-0.43,-0.101,59.052,61.428,56.677
2021-11-12,58.59,58.74,58.0,58.73,13867400,58.2,58.942,,48.869,-0.461,-0.436,-0.025,58.942,61.144,56.739
2021-11-15,58.96,59.16,58.2,58.37,12965100,58.248,58.842,59.279,46.557,-0.43,-0.435,0.005,58.842,60.951,56.732
2021-11-16,58.41,58.41,57.15,57.52,19042800,58.204,58.693,59.235,41.558,-0.469,-0.442,-0.027,58.693,60.728,56.657
2021-11-17,57.46,57.48,56.7,56.77,16468300,57.974,58.503,59.189,37.71,-0.554,-0.464,-0.09,58.503,60.515,56.492
2021-11-18,56.65,57.02,56.22,56.99,14994700,57.676,58.381,59.141,39.48,-0.596,-0.49,-0.106,58.381,60.448,56.313
2021-11-19,56.15,56.4,55.39,56.34,19766900,57.198,58.189,59.095,36.207,-0.675,-0.527,-0.147,58.189,60.269,56.109
2021-11-22,57.71,57.84,56.73,56.93,24020500,56.91,58.05,59.044,40.99,-0.681,-0.558,-0.123,58.05,60.07,56.029
2021-11-23,57.38,58.06,56.99,57.8,18142200,56.966,57.962,59.041,47.268,-0.609,-0.568,-0.041,57.962,59.854,56.069
2021-11-24,57.74,57.8,57.09,57.13,14975500,57.038,57.854,58.995,43.435,-0.6,-0.575,-0.025,57.854,59.674,56.034
2021-11-26,55.21,55.83,54.19,55.62,24542000,56.764,57.647,58.927,36.293,-0.705,-0.601,-0.105,57.647,59.496,55.798
2021-11-29,56.04,56.29,54.74,55.23,24340700,56.542,57.472,58.852,34.706,-0.812,-0.643,-0.169,57.472,59.539,55.405
2021-11-30,54.62,55.04,53.8,54.09,35574000,55.974,57.221,58.799,30.505,-0.976,-0.71,-0.267,57.221,59.64,54.802
