Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,45.35,46.07,44.86,46.01,7450400,,,,,0.0,0.0,0.0,,,
2021-07-13,45.9,46.39,45.83,46.03,5600100,,,,,0.002,0.0,0.001,,,
2021-07-14,46.19,46.49,45.72,45.81,3919800,,,,,-0.015,-0.003,-0.012,,,
2021-07-15,45.56,46.44,45.36,46.34,3872700,,,,,0.015,0.001,0.014,,,
2021-07-16,46.34,46.57,45.81,45.89,3331200,46.016,,,,0.002,0.001,0.001,,,
2021-07-19,45.17,45.35,44.55,45.11,3722800,45.836,,,,-0.07,-0.013,-0.057,,,
2021-07-20,45.33,46.81,45.17,46.65,5358600,45.96,,,,-0.003,-0.011,0.008,,,
2021-07-21,46.77,47.3,46.69,47.17,3963100,46.232,,,,0.091,0.009,0.082,,,
2021-07-22,47.22,47.7,46.96,47.51,6025400,46.466,,,,0.191,0.046,0.145,,,
2021-07-23,47.65,48.58,47.63,48.52,4494200,46.992,,,,0.347,0.106,0.241,,,
2021-07-26,48.43,48.7,47.93,48.16,2856100,47.602,,,,0.437,0.172,0.265,,,
2021-07-27,48.15,49.0,47.91,48.58,4072200,47.988,,,,0.536,0.245,0.291,,,
2021-07-28,48.5,48.9,48.18,48.22,5156200,48.198,,,,0.579,0.312,0.267,,,
2021-07-29,49.62,50.56,48.79,50.43,6166600,48.782,,,,0.782,0.406,0.376,,,
2021-07-30,50.69,51.9,50.45,51.66,6506800,49.41,,,82.226,1.03,0.531,0.5,,,
2021-08-02,51.7,52.39,50.94,51.06,4010800,49.99,,,75.471,1.165,0.658,0.508,,,
2021-08-03,51.41,53.53,51.4,53.46,4994000,50.966,,,81.882,1.449,0.816,0.633,,,
2021-08-04,52.92,54.13,52.86,53.33,4619100,51.988,,,80.653,1.645,0.982,0.663,,,
2021-08-05,53.63,53.79,52.27,52.66,4508600,52.434,,,74.447,1.726,1.131,0.595,,,
2021-08-06,52.84,53.12,52.22,52.71,4686200,52.644,48.765,,74.604,1.774,1.259,0.515,48.765,54.398,43.133
2021-08-09,52.45,52.85,52.32,52.58,2423800,52.948,49.094,,73.342,1.781,1.364,0.417,49.094,54.815,43.373
2021-08-10,52.73,53.76,52.6,52.93,3763200,52.842,49.439,,74.589,1.794,1.45,0.344,49.439,55.214,43.664
2021-08-11,53.09,53.32,52.43,53.19,3039200,52.814,49.808,,75.505,1.804,1.521,0.284,49.808,55.55,44.066
2021-08-12,52.68,52.89,52.05,52.34,3510400,52.75,50.108,,67.0,1.724,1.561,0.163,50.108,55.713,44.503
2021-08-13,52.3,52.59,52.12,52.5,2316300,52.708,50.438,,67.737,1.654,1.58,0.075,50.438,55.769,45.108
2021-08-16,52.35,53.13,52.0,52.92,2081400,52.776,50.829,,69.652,1.614,1.587,0.028,50.829,55.634,46.024
2021-08-17,52.31,52.49,50.83,51.56,3597000,52.502,51.074,,57.707,1.456,1.561,-0.104,51.074,55.464,46.685
2021-08-18,51.56,52.35,51.46,51.58,2632300,52.18,51.295,,57.821,1.317,1.512,-0.195,51.295,55.284,47.306
2021-08-19,50.77,52.34,50.7,51.66,4225200,52.044,51.502,,58.308,1.2,1.45,-0.25,51.502,55.072,47.933
2021-08-20,51.86,51.98,51.15,51.77,2621200,51.898,51.665,,59.008,1.103,1.38,-0.277,51.665,54.947,48.383
2021-08-23,52.23,52.51,51.75,52.25,3493300,51.764,51.869,,62.006,1.053,1.315,-0.262,51.869,54.712,49.027
2021-08-24,52.15,53.0,52.12,52.93,2546500,52.038,52.087,,65.82,1.056,1.263,-0.207,52.087,54.503,49.671
2021-08-25,52.79,54.27,52.76,53.99,3900200,52.52,52.376,,70.749,1.13,1.236,-0.106,52.376,54.137,50.614
2021-08-26,53.9,54.2,53.44,53.65,3601000,52.918,52.537,,67.392,1.149,1.219,-0.07,52.537,54.13,50.943
2021-08-27,53.86,54.62,53.86,54.53,3722600,53.47,52.68,,71.201,1.221,1.219,0.001,52.68,54.448,50.912
2021-08-30,54.71,55.06,54.25,54.26,3709300,53.872,52.84,,68.555,1.241,1.224,0.018,52.84,54.57,51.11
