Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-23,166.4,168.15,165.98,166.15,1107600,,,,,0.0,0.0,0.0,,,
2021-09-24,165.95,166.82,165.25,165.46,1089700,,,,,-0.055,-0.011,-0.044,,,
2021-09-27,166.49,168.1,165.55,167.03,1018300,,,,,0.028,-0.003,0.031,,,
2021-09-28,166.47,167.81,163.65,164.26,1666400,,,,,-0.129,-0.028,-0.1,,,
2021-09-29,164.35,165.97,163.81,165.12,964700,165.604,,,,-0.181,-0.059,-0.122,,,
2021-09-30,166.05,166.36,162.39,162.4,1478200,164.854,,,,-0.437,-0.135,-0.303,,,
2021-10-01,162.93,165.26,161.94,164.21,1038500,164.604,,,,-0.489,-0.205,-0.283,,,
2021-10-04,163.71,165.81,162.16,162.52,1648100,163.702,,,,-0.658,-0.296,-0.362,,,
2021-10-05,163.52,164.73,161.72,163.96,1960400,163.642,,,,-0.668,-0.37,-0.298,,,
2021-10-06,162.64,165.7,160.98,165.43,1399200,163.704,,,,-0.552,-0.407,-0.145,,,
2021-10-07,166.54,168.77,166.16,166.93,1189300,164.61,,,,-0.334,-0.392,0.058,,,
2021-10-08,169.08,171.37,168.54,171.11,2123100,165.99,,,,0.174,-0.279,0.453,,,
2021-10-11,171.4,173.77,170.86,171.09,1294000,167.704,,,,0.568,-0.11,0.677,,,
2021-10-12,171.73,172.11,169.77,170.03,1031000,168.918,,,,0.785,0.069,0.716,,,
2021-10-13,169.46,170.71,166.71,170.6,1289900,169.952,,,64.846,0.993,0.254,0.739,,,
2021-10-14,171.99,173.01,171.16,172.21,1377000,171.008,,,68.74,1.272,0.458,0.814,,,
2021-10-15,173.81,174.22,169.63,169.73,1600000,170.732,,,58.069,1.279,0.622,0.657,,,
2021-10-18,168.73,169.17,165.57,166.35,1295700,169.784,,,47.294,0.999,0.697,0.302,,,
2021-10-19,168.19,170.75,167.96,170.55,1685300,169.888,,,57.778,1.104,0.779,0.326,,,
2021-10-20,170.55,174.29,170.32,173.63,1522700,170.494,167.438,,63.511,1.42,0.907,0.513,167.438,174.219,160.658
2021-10-21,173.09,174.72,172.91,174.33,1142100,170.918,167.848,,64.684,1.707,1.067,0.64,167.848,175.258,160.437
2021-10-22,175.2,176.54,173.95,176.09,1387600,172.19,168.379,,67.513,2.052,1.264,0.788,168.379,176.554,160.204
2021-10-25,176.22,176.41,173.81,176.06,1533900,174.132,168.83,,67.414,2.297,1.471,0.827,168.83,177.663,159.998
2021-10-26,176.58,176.58,174.85,175.27,1326200,175.076,169.381,,64.719,2.4,1.657,0.744,169.381,178.385,160.377
2021-10-27,181.83,183.75,177.5,178.12,2155200,175.974,170.031,,69.462,2.681,1.861,0.819,170.031,179.599,160.463
2021-10-28,179.03,184.3,179.03,183.57,2509300,177.822,171.09,,76.083,3.305,2.15,1.155,171.09,181.727,160.452
2021-10-29,183.48,184.64,182.55,182.9,2636800,179.184,172.024,,73.96,3.702,2.46,1.242,172.024,183.376,160.672
2021-11-01,184.32,185.28,178.58,180.03,1763100,179.978,172.9,,65.526,3.743,2.717,1.026,172.9,183.86,161.939
2021-11-02,180.44,180.48,177.74,178.36,2220900,180.596,173.62,,61.155,3.599,2.893,0.705,173.62,183.983,163.256
2021-11-03,177.85,181.53,177.39,179.92,1701100,180.956,174.344,,63.598,3.569,3.028,0.541,174.344,184.315,164.373
2021-11-04,179.3,180.54,177.69,177.86,1753500,179.814,174.89,,58.377,3.341,3.091,0.25,174.89,184.335,165.446
2021-11-05,179.37,181.34,178.06,180.85,1970800,179.404,175.378,,63.11,3.363,3.145,0.217,175.378,185.004,165.751
