Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-08-20,39.2,40.47,39.2,40.04,2259500,,,,,0.0,0.0,0.0,,,
2021-08-23,40.48,40.88,40.28,40.34,1393000,,,,,0.024,0.005,0.019,,,
2021-08-24,40.52,41.43,40.52,40.62,1156400,,,,,0.065,0.017,0.048,,,
2021-08-25,40.51,41.3,40.07,41.12,1359000,,,,,0.136,0.041,0.095,,,
2021-08-26,40.93,41.24,39.93,40.09,1142400,40.442,,,,0.108,0.054,0.054,,,
2021-08-27,40.13,41.06,40.13,40.73,1729600,40.58,,,,0.136,0.07,0.065,,,
2021-08-30,41.1,41.1,39.98,40.35,984400,40.582,,,,0.126,0.081,0.044,,,
2021-08-31,40.28,41.24,40.23,40.9,1972500,40.638,,,,0.16,0.097,0.063,,,
2021-09-01,40.87,40.93,39.9,40.5,1785300,40.514,,,,0.154,0.109,0.045,,,
2021-09-02,40.51,41.5,40.51,41.39,2630900,40.774,,,,0.218,0.13,0.087,,,
2021-09-03,41.52,41.71,40.79,40.91,1268800,40.81,,,,0.227,0.15,0.077,,,
2021-09-07,40.78,41.68,40.59,41.57,1582900,41.054,,,,0.285,0.177,0.108,,,
2021-09-08,41.68,41.85,40.1,40.15,1778500,40.904,,,,0.213,0.184,0.029,,,
2021-09-09,39.73,41.22,39.66,40.88,2064500,40.98,,,,0.213,0.19,0.023,,,
2021-09-10,41.41,41.64,40.37,41.1,1649700,40.922,,,55.353,0.228,0.197,0.03,,,
2021-09-13,41.42,41.92,40.99,41.79,1487500,41.098,,,60.514,0.292,0.216,0.076,,,
2021-09-14,42.09,42.84,41.24,41.53,2349400,41.09,,,57.803,0.318,0.237,0.081,,,
2021-09-15,41.79,43.82,41.7,43.62,3018300,41.784,,,69.595,0.502,0.29,0.212,,,
2021-09-16,43.35,45.06,43.31,44.14,4543800,42.436,,,71.713,0.681,0.368,0.313,,,
2021-09-17,44.17,44.81,43.72,44.21,5514600,43.058,41.299,,71.996,0.82,0.458,0.362,41.299,43.832,38.766
2021-09-20,42.61,43.5,42.17,43.29,2440700,43.358,41.462,,63.071,0.846,0.536,0.31,41.462,44.07,38.853
2021-09-21,43.78,44.55,43.08,44.11,2291600,43.874,41.65,,66.998,0.922,0.613,0.309,41.65,44.455,38.845
2021-09-22,44.91,45.76,44.76,45.4,2061500,44.23,41.889,,72.036,1.074,0.705,0.369,41.889,45.108,38.67
2021-09-23,46.28,48.22,46.21,48.17,4816500,45.036,42.242,,79.332,1.402,0.844,0.557,42.242,46.487,37.996
2021-09-24,47.85,49.83,47.47,49.38,5578200,46.07,42.706,,81.591,1.739,1.023,0.716,42.706,47.889,37.523
