Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,77.89,79.36,77.89,78.51,969800,,,,,0.0,0.0,0.0,,,
2021-09-14,78.77,78.92,78.12,78.86,1481600,,,,,0.028,0.006,0.022,,,
2021-09-15,78.9,79.08,78.45,78.8,1259900,,,,,0.045,0.013,0.031,,,
2021-09-16,78.66,78.89,77.79,78.65,844500,,,,,0.045,0.02,0.026,,,
2021-09-17,78.38,79.11,78.38,78.74,2384200,78.712,,,,0.053,0.026,0.026,,,
2021-09-20,78.7,79.1,78.15,78.85,1909700,78.78,,,,0.066,0.034,0.032,,,
2021-09-21,79.0,79.77,78.87,79.24,1933900,78.856,,,,0.108,0.049,0.059,,,
2021-09-22,79.68,79.71,78.22,78.39,997400,78.774,,,,0.071,0.053,0.017,,,
2021-09-23,78.09,78.7,77.93,78.44,939800,78.732,,,,0.045,0.052,-0.007,,,
2021-09-24,78.51,78.74,77.78,78.17,1110100,78.618,,,,0.003,0.042,-0.039,,,
2021-09-27,77.93,78.25,77.56,77.77,1044500,78.402,,,,-0.062,0.021,-0.083,,,
2021-09-28,77.67,78.73,77.27,78.47,1623200,78.248,,,,-0.056,0.006,-0.062,,,
2021-09-29,78.33,79.75,78.33,79.38,1019000,78.446,,,,0.021,0.009,0.013,,,
2021-09-30,79.31,79.44,77.76,77.78,1193900,78.314,,,,-0.046,-0.002,-0.044,,,
2021-10-01,77.9,78.2,76.72,77.47,1167800,78.174,,,38.826,-0.122,-0.026,-0.096,,,
2021-10-04,77.65,78.29,76.8,76.99,1428100,78.018,,,34.98,-0.219,-0.065,-0.155,,,
2021-10-05,76.91,77.17,76.37,76.49,1121000,77.622,,,31.482,-0.333,-0.118,-0.214,,,
2021-10-06,76.42,78.09,76.08,77.93,1168600,77.332,,,47.702,-0.303,-0.155,-0.148,,,
2021-10-07,78.09,78.86,78.09,78.17,1027400,77.41,,,49.834,-0.257,-0.176,-0.081,,,
2021-10-08,78.14,78.58,77.8,78.33,862800,77.582,78.272,,51.26,-0.205,-0.182,-0.024,78.272,79.702,76.841
2021-10-11,78.32,78.53,77.92,78.19,568600,77.822,78.256,,49.923,-0.174,-0.18,0.006,78.256,79.682,76.829
2021-10-12,77.93,78.68,77.53,77.77,803400,78.078,78.201,,46.042,-0.18,-0.18,-0.0,78.201,79.613,76.789
2021-10-13,77.67,78.36,77.51,78.3,842600,78.152,78.176,,51.197,-0.141,-0.172,0.031,78.176,79.561,76.791
2021-10-14,78.51,78.78,78.26,78.54,623200,78.226,78.17,,53.37,-0.09,-0.156,0.066,78.17,79.549,76.792
2021-10-15,78.67,79.1,78.13,78.61,846200,78.282,78.164,,54.013,-0.043,-0.133,0.09,78.164,79.532,76.796
2021-10-18,78.42,78.66,77.96,78.11,1246400,78.266,78.127,,48.833,-0.046,-0.116,0.07,78.127,79.456,76.798
2021-10-19,77.81,78.52,76.57,78.5,1623400,78.412,78.09,,52.648,-0.016,-0.096,0.08,78.09,79.327,76.853
2021-10-20,78.69,79.88,78.46,78.75,1295400,78.502,78.108,,54.966,0.027,-0.071,0.098,78.108,79.373,76.843
2021-10-21,79.34,79.51,78.78,78.94,918100,78.582,78.133,,56.701,0.076,-0.042,0.118,78.133,79.445,76.821
2021-10-22,79.04,79.99,79.02,79.77,911700,78.814,78.213,,63.344,0.179,0.002,0.177,78.213,79.716,76.71
2021-10-25,79.35,79.37,77.91,78.9,1331000,78.972,78.27,,53.993,0.189,0.04,0.149,78.27,79.787,76.752
2021-10-26,78.87,79.86,78.72,79.7,760400,79.212,78.331,,59.861,0.258,0.083,0.175,78.331,79.977,76.685
2021-10-27,79.87,80.19,78.92,79.21,1124300,79.304,78.322,,55.215,0.271,0.121,0.15,78.322,79.947,76.698
2021-10-28,79.21,80.77,78.99,80.35,2317200,79.586,78.451,,62.505,0.368,0.17,0.198,78.451,80.288,76.614
2021-10-29,81.38,83.27,81.2,82.3,2773600,80.092,78.692,,71.155,0.596,0.255,0.34,78.692,81.151,76.234
2021-11-01,82.78,83.39,81.85,82.56,1500000,80.824,78.971,,72.08,0.788,0.362,0.426,78.971,81.844,76.098
2021-11-02,82.81,84.27,82.43,83.91,1243000,81.666,79.342,,76.324,1.037,0.497,0.54,79.342,82.736,75.948
2021-11-03,83.83,84.27,82.98,83.76,961400,82.576,79.634,,74.961,1.209,0.639,0.57,79.634,83.487,75.78
2021-11-04,83.61,84.17,83.1,84.17,825200,83.34,79.934,,76.212,1.362,0.784,0.578,79.934,84.217,75.65
2021-11-05,84.31,84.51,83.46,83.63,956700,83.606,80.198,,71.168,1.424,0.912,0.512,80.198,84.714,75.683
2021-11-08,83.5,83.63,82.01,83.3,1261900,83.754,80.454,,68.198,1.43,1.016,0.414,80.454,85.068,75.84
2021-11-09,83.43,84.51,83.02,84.46,981200,83.864,80.788,,72.537,1.51,1.114,0.396,80.788,85.551,76.026
2021-11-10,84.74,85.68,84.46,85.16,873600,84.144,81.131,,74.773,1.612,1.214,0.398,81.131,86.122,76.141
2021-11-11,84.93,85.15,84.64,85.06,565300,84.322,81.458,,73.848,1.666,1.304,0.361,81.458,86.585,76.33
2021-11-12,85.35,85.6,84.81,84.95,734400,84.586,81.774,,72.781,1.68,1.379,0.3,81.774,86.945,76.604
2021-11-15,85.06,86.33,84.84,86.12,864700,85.15,82.175,,76.646,1.765,1.457,0.308,82.175,87.391,76.959
2021-11-16,86.22,86.67,85.8,86.06,760100,85.47,82.553,,76.05,1.807,1.527,0.28,82.553,87.743,77.363
2021-11-17,86.09,86.55,85.83,86.43,780700,85.724,82.937,,77.226,1.849,1.591,0.258,82.937,88.079,77.795
2021-11-18,86.43,86.44,85.63,86.17,929700,85.946,83.298,,74.458,1.84,1.641,0.199,83.298,88.271,78.326
2021-11-19,86.9,87.91,86.7,87.13,1719300,86.382,83.666,80.485,77.645,1.888,1.69,0.198,83.666,88.629,78.704
2021-11-22,87.13,89.23,86.84,88.56,1311800,86.87,84.15,80.686,81.373,2.019,1.756,0.263,84.15,89.038,79.261
2021-11-23,88.57,89.37,88.24,88.92,1067800,87.442,84.61,80.887,82.178,2.127,1.83,0.297,84.61,89.471,79.75
2021-11-24,88.63,88.85,87.65,88.21,805600,87.798,85.06,81.075,75.264,2.13,1.89,0.24,85.06,89.461,80.66
2021-11-26,88.32,89.51,88.12,88.18,661800,88.2,85.452,81.266,74.977,2.107,1.933,0.173,85.452,89.464,81.44
2021-11-29,88.7,89.15,87.79,88.56,1129900,88.486,85.765,81.462,76.214,2.094,1.966,0.129,85.765,89.718,81.812
2021-11-30,87.78,88.19,84.02,84.44,3807400,87.662,85.859,81.574,48.315,1.732,1.919,-0.187,85.859,89.573,82.145
2021-12-01,84.97,87.25,84.77,85.66,2932300,87.01,85.946,81.702,53.718,1.526,1.84,-0.314,85.946,89.548,82.345
2021-12-02,85.92,86.95,85.63,86.02,1754400,86.572,86.06,81.855,55.206,1.376,1.747,-0.372,86.06,89.511,82.608
2021-12-03,86.74,87.28,86.41,87.22,1342700,86.38,86.212,82.031,59.84,1.338,1.666,-0.327,86.212,89.58,82.844
2021-12-06,87.22,89.15,87.16,88.94,2337800,86.456,86.478,82.246,65.371,1.431,1.619,-0.188,86.478,89.826,83.129
2021-12-07,88.63,89.44,87.47,87.8,1564200,87.128,86.702,82.447,59.52,1.396,1.574,-0.178,86.702,89.742,83.663
2021-12-08,87.79,90.17,87.65,89.74,2349400,87.944,86.967,82.672,65.225,1.507,1.561,-0.053,86.967,90.102,83.831
2021-12-09,89.99,90.94,89.43,90.26,1309500,88.792,87.222,82.89,66.584,1.619,1.572,0.047,87.222,90.561,83.882
2021-12-10,90.35,90.76,90.03,90.36,1390000,89.42,87.486,83.141,66.852,1.696,1.597,0.099,87.486,90.943,84.03
2021-12-13,90.35,92.68,89.89,92.35,1603600,90.102,87.857,83.439,71.719,1.896,1.657,0.239,87.857,91.729,83.984
2021-12-14,92.47,92.78,91.71,92.49,1475300,91.04,88.175,83.749,72.03,2.042,1.734,0.308,88.175,92.471,83.879
2021-12-15,92.62,94.54,92.62,93.62,2204500,91.816,88.553,84.091,74.471,2.223,1.832,0.392,88.553,93.365,83.741
2021-12-16,93.5,96.07,93.17,95.92,1753600,92.948,89.028,84.451,78.571,2.524,1.97,0.553,89.028,94.744,83.311
2021-12-17,95.89,96.61,92.15,92.66,4787400,93.408,89.352,84.741,63.103,2.47,2.07,0.4,89.352,95.122,83.582
2021-12-20,92.59,93.68,92.04,93.37,1765200,93.612,89.664,85.042,64.731,2.457,2.147,0.309,89.664,95.601,83.727
2021-12-21,92.99,93.34,91.42,92.96,1917700,93.706,89.884,85.337,63.002,2.385,2.195,0.19,89.884,95.973,83.795
2021-12-22,93.05,94.06,92.81,93.9,1044500,93.762,90.133,85.66,65.291,2.377,2.231,0.146,90.133,96.459,83.807
