Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,212.71,215.18,211.6,214.53,2391000,,,,,0.0,0.0,0.0,,,
2021-07-13,214.65,216.31,213.48,214.84,2542100,,,,,0.025,0.005,0.02,,,
2021-07-14,215.56,215.99,213.51,215.26,1297000,,,,,0.077,0.019,0.058,,,
2021-07-15,213.75,215.19,212.62,214.25,1646700,,,,,0.037,0.023,0.014,,,
2021-07-16,215.17,215.17,212.54,213.26,1387000,214.428,,,,-0.074,0.004,-0.077,,,
2021-07-19,210.84,211.95,205.38,207.61,1707300,213.044,,,,-0.611,-0.119,-0.491,,,
2021-07-20,208.67,212.69,208.16,211.61,2562800,212.398,,,,-0.705,-0.236,-0.469,,,
2021-07-21,213.06,214.46,212.13,213.03,1482400,211.952,,,,-0.658,-0.321,-0.337,,,
2021-07-22,213.47,213.86,210.91,211.81,915700,211.464,,,,-0.711,-0.399,-0.312,,,
2021-07-23,213.42,213.53,211.69,212.4,1105400,211.292,,,,-0.697,-0.458,-0.239,,,
2021-07-26,211.99,212.88,207.99,208.35,1675500,211.44,,,,-1.001,-0.567,-0.434,,,
2021-07-27,207.04,208.86,204.9,208.75,3122600,210.868,,,,-1.196,-0.693,-0.504,,,
2021-07-28,209.15,209.15,205.35,207.26,1912500,209.714,,,,-1.454,-0.845,-0.609,,,
2021-07-29,208.5,209.73,207.61,208.81,1202800,209.114,,,,-1.516,-0.979,-0.537,,,
2021-07-30,208.17,210.67,207.44,209.31,1782600,208.496,,,40.334,-1.508,-1.085,-0.423,,,
2021-08-02,209.77,210.54,208.4,209.18,1389100,208.662,,,39.958,-1.494,-1.167,-0.327,,,
2021-08-03,210.52,213.77,208.77,213.38,1447400,209.588,,,54.639,-1.132,-1.16,0.028,,,
2021-08-04,212.31,212.95,210.5,211.12,1754700,210.36,,,47.858,-1.015,-1.131,0.116,,,
2021-08-05,197.38,199.03,182.1,188.07,7961700,206.212,,,20.252,-2.75,-1.455,-1.296,,,
2021-08-06,188.93,192.56,187.31,190.89,3906100,202.528,209.186,,25.885,-3.854,-1.935,-1.919,209.186,223.599,194.773
2021-08-09,190.81,194.39,190.36,192.58,2352700,199.208,208.088,,29.116,-4.54,-2.456,-2.084,208.088,224.048,192.129
2021-08-10,192.8,193.27,190.93,192.4,2370300,195.012,206.966,,28.971,-5.04,-2.972,-2.067,206.966,224.043,189.89
2021-08-11,193.94,194.39,192.26,192.72,1314900,191.332,205.84,,29.641,-5.349,-3.448,-1.901,205.84,223.574,188.105
2021-08-12,191.5,192.94,190.85,191.24,1920800,191.966,204.689,,28.311,-5.648,-3.888,-1.76,204.689,223.099,186.279
2021-08-13,192.78,193.31,190.65,192.09,1161300,192.206,203.63,,30.247,-5.75,-4.26,-1.49,203.63,222.397,184.864
2021-08-16,190.71,192.9,189.98,192.35,1359800,192.16,202.868,,30.863,-5.744,-4.557,-1.187,202.868,222.185,183.55
2021-08-17,191.93,193.36,190.71,191.99,1539000,192.078,201.886,,30.462,-5.702,-4.786,-0.916,201.886,221.327,182.446
2021-08-18,191.01,191.51,187.34,187.52,3367700,191.038,200.611,,25.956,-5.961,-5.021,-0.94,200.611,220.319,180.903
2021-08-19,186.97,188.6,186.51,188.05,2649900,190.4,199.423,,27.329,-6.054,-5.227,-0.826,199.423,219.153,179.693
2021-08-20,188.51,190.54,187.6,189.28,1817900,189.838,198.267,,30.547,-5.959,-5.374,-0.585,198.267,217.498,179.036
2021-08-23,189.93,190.71,188.98,189.47,1201500,189.262,197.323,,31.054,-5.802,-5.459,-0.343,197.323,216.322,178.324
2021-08-24,191.7,194.72,191.07,193.25,1690600,189.514,196.548,,40.392,-5.311,-5.43,0.118,196.548,214.836,178.26
2021-08-25,192.76,194.71,190.86,192.8,1740000,190.57,195.825,,39.703,-4.902,-5.324,0.422,195.825,213.462,178.188
2021-08-26,191.76,193.0,189.35,189.51,2072200,190.862,194.86,,35.0,-4.788,-5.217,0.429,194.86,211.594,178.126
2021-08-27,190.3,192.97,189.8,192.15,1533100,191.436,194.002,,41.036,-4.434,-5.06,0.627,194.002,209.316,178.688
2021-08-30,192.11,192.35,189.02,189.22,1545900,191.386,193.004,,36.936,-4.339,-4.916,0.577,193.004,206.666,179.342
2021-08-31,188.79,195.65,188.51,193.04,2792000,191.344,191.987,,44.694,-3.911,-4.715,0.804,191.987,201.728,182.246
2021-09-01,194.14,194.14,190.2,192.49,1598000,191.282,191.056,,43.857,-3.575,-4.487,0.912,191.056,194.825,187.286
2021-09-02,192.92,200.27,192.92,199.02,2520100,193.184,191.603,,54.699,-2.75,-4.14,1.39,191.603,196.545,186.661
2021-09-03,198.93,199.05,194.57,197.84,1642700,194.322,191.95,,52.718,-2.166,-3.745,1.579,191.95,197.607,186.294
2021-09-07,197.98,200.08,196.65,198.21,1841200,196.12,192.232,,53.289,-1.655,-3.327,1.672,192.232,198.543,185.921
2021-09-08,197.94,198.84,194.85,195.5,1738500,196.612,192.387,,48.652,-1.451,-2.952,1.5,192.387,198.866,185.908
2021-09-09,195.17,197.27,194.6,196.04,1544900,197.322,192.553,,49.594,-1.232,-2.608,1.376,192.553,199.235,185.871
2021-09-10,191.49,192.41,186.19,187.55,4442500,195.028,192.368,,37.848,-1.724,-2.431,0.707,192.368,199.398,185.339
2021-09-13,187.77,194.13,187.08,191.59,2524800,193.778,192.344,,44.575,-1.767,-2.298,0.531,192.344,199.38,185.307
2021-09-14,192.33,193.14,186.32,186.6,2297000,191.456,192.056,,38.965,-2.179,-2.275,0.095,192.056,199.547,184.565
2021-09-15,186.16,191.14,186.15,189.28,2666200,190.212,191.92,,43.106,-2.263,-2.272,0.009,191.92,199.514,184.327
2021-09-16,189.93,191.73,186.46,188.31,2524900,188.666,191.96,,41.996,-2.381,-2.294,-0.087,191.96,199.465,184.455
2021-09-17,187.95,190.1,186.92,188.4,3717200,188.836,191.978,,42.145,-2.438,-2.323,-0.116,191.978,199.445,184.51
2021-09-20,186.06,187.14,184.02,185.57,2177500,187.632,191.792,198.596,38.773,-2.682,-2.395,-0.287,191.792,199.712,183.872
2021-09-21,186.85,188.07,185.06,185.44,1939300,187.4,191.591,198.014,38.62,-2.852,-2.486,-0.366,191.591,199.952,183.229
2021-09-22,187.34,187.99,184.66,185.08,2235000,186.56,191.182,197.419,38.171,-2.982,-2.585,-0.396,191.182,199.989,182.375
2021-09-23,185.41,187.46,184.74,185.51,2370300,186.0,190.818,196.824,39.082,-3.015,-2.671,-0.344,190.818,199.94,181.695
2021-09-24,185.36,188.21,185.36,186.82,1713000,185.684,190.683,196.275,41.89,-2.902,-2.717,-0.185,190.683,199.965,181.401
2021-09-27,186.1,190.85,186.1,189.31,2053100,186.432,190.541,195.796,46.899,-2.582,-2.69,0.108,190.541,199.815,181.267
2021-09-28,189.16,190.6,186.0,186.26,1994000,186.596,190.393,195.369,42.11,-2.545,-2.661,0.116,190.393,199.849,180.937
2021-09-29,186.64,188.67,186.18,186.86,1457500,186.952,190.084,194.874,43.336,-2.439,-2.617,0.177,190.084,199.579,180.589
2021-09-30,188.79,190.17,183.35,183.4,1634000,186.53,189.63,194.281,38.3,-2.605,-2.614,0.01,189.63,199.503,179.756
2021-10-01,184.17,186.71,182.21,185.64,1786200,186.294,188.96,193.758,42.924,-2.526,-2.597,0.071,188.96,197.926,179.995
2021-10-04,185.55,187.63,182.06,182.75,1751800,184.982,188.206,193.165,38.876,-2.666,-2.611,-0.055,188.206,196.543,179.869
2021-10-05,183.31,186.91,183.02,184.54,1528100,184.638,187.522,192.689,42.494,-2.602,-2.609,0.007,187.522,194.544,180.501
2021-10-06,182.71,186.36,180.77,186.23,1914500,184.512,187.059,192.238,45.758,-2.388,-2.565,0.177,187.059,193.004,181.114
2021-10-07,187.63,190.01,187.47,187.57,1731500,185.346,186.636,191.845,48.266,-2.086,-2.469,0.383,186.636,190.839,182.432
2021-10-08,190.13,191.5,187.2,188.0,1478900,185.818,186.658,191.428,49.079,-1.792,-2.334,0.542,186.658,190.886,182.43
2021-10-11,187.7,190.14,186.52,186.86,1048300,186.64,186.422,190.979,46.97,-1.631,-2.193,0.562,186.422,189.961,182.882
2021-10-12,187.1,187.95,184.88,185.18,1368600,186.768,186.35,190.499,43.972,-1.621,-2.079,0.458,186.35,189.932,182.769
2021-10-13,184.57,185.09,180.73,182.77,1962400,186.076,186.025,189.887,40.025,-1.787,-2.02,0.233,186.025,189.668,182.382
2021-10-14,187.74,189.87,185.89,186.04,2531600,185.77,185.912,189.386,46.979,-1.636,-1.943,0.308,185.912,189.393,182.43
2021-10-15,187.05,190.64,186.93,188.93,1439900,185.956,185.938,189.403,52.249,-1.268,-1.808,0.54,185.938,189.506,182.37
2021-10-18,188.26,188.63,186.21,187.44,1392200,186.072,186.032,189.334,49.517,-1.084,-1.664,0.579,186.032,189.657,182.406
2021-10-19,188.67,189.79,187.44,189.33,1145300,186.902,186.226,189.269,52.883,-0.777,-1.486,0.709,186.226,190.125,182.327
2021-10-20,190.97,197.92,189.97,196.78,2807500,189.704,186.811,189.356,63.278,0.067,-1.176,1.242,186.811,192.888,180.734
2021-10-21,195.52,198.19,195.46,198.13,1491600,192.122,187.442,189.465,64.794,0.835,-0.774,1.608,187.442,195.308,179.576
2021-10-22,197.98,200.77,196.73,198.28,1412500,193.992,188.015,189.605,64.967,1.439,-0.331,1.77,188.015,197.242,178.788
2021-10-25,198.69,199.85,197.38,197.57,1710100,196.018,188.428,189.715,63.379,1.839,0.103,1.736,188.428,198.591,178.265
2021-10-26,197.7,198.25,195.62,197.61,1441800,197.674,188.996,189.82,63.433,2.135,0.509,1.626,188.996,199.89,178.101
2021-10-27,197.61,198.37,195.41,195.53,1354400,197.424,189.429,189.891,58.576,2.176,0.843,1.334,189.429,200.651,178.207
2021-10-28,195.51,198.05,195.14,197.69,1370100,197.336,190.144,190.094,61.843,2.356,1.145,1.211,190.144,201.567,178.72
2021-10-29,196.97,197.98,195.44,195.73,1499200,196.826,190.648,190.248,57.418,2.314,1.379,0.935,190.648,202.125,179.171
2021-11-01,195.92,199.32,195.88,198.03,1636600,196.918,191.412,190.423,60.949,2.438,1.591,0.847,191.412,202.708,180.116
2021-11-02,198.77,199.18,195.66,196.73,1704700,196.742,192.022,190.568,58.02,2.404,1.754,0.65,192.022,203.069,180.974
2021-11-03,194.73,200.06,191.69,199.98,2927700,197.632,192.709,190.703,62.83,2.609,1.925,0.684,192.709,203.949,181.469
2021-11-04,206.37,207.77,193.0,195.31,3722300,197.156,193.096,190.753,53.369,2.367,2.013,0.354,193.096,204.122,182.07
2021-11-05,196.69,204.16,195.8,196.19,2521800,197.248,193.506,190.887,54.751,2.221,2.055,0.166,193.506,204.341,182.67
2021-11-08,197.0,201.24,195.84,199.89,1976500,197.62,194.157,191.041,60.107,2.377,2.119,0.257,194.157,204.876,183.438
2021-11-09,199.29,200.59,197.99,198.1,1971000,197.894,194.803,191.219,56.616,2.329,2.161,0.167,194.803,204.776,184.83
2021-11-10,198.46,202.4,198.35,199.6,2420700,197.818,195.644,191.35,58.777,2.384,2.206,0.178,195.644,204.061,187.228
2021-11-11,199.24,201.3,198.81,199.47,1134100,198.65,196.316,191.49,58.505,2.39,2.243,0.147,196.316,203.569,189.063
2021-11-12,200.15,201.42,199.18,199.5,1459200,199.312,196.844,191.499,58.553,2.37,2.268,0.102,196.844,203.331,190.358
2021-11-15,199.73,200.13,197.13,197.48,1551100,198.83,197.346,191.492,54.05,2.166,2.247,-0.082,197.346,202.088,192.605
2021-11-16,198.05,203.2,197.49,199.53,1701400,199.116,197.856,191.519,57.612,2.145,2.227,-0.082,197.856,200.833,194.88
