Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-27,103.52,104.92,103.49,104.64,404000,,,,,0.0,0.0,0.0,,,
2021-09-28,104.44,105.32,102.04,102.2,498100,,,,,-0.195,-0.039,-0.156,,,
2021-09-29,102.3,103.55,102.07,102.76,315000,,,,,-0.3,-0.091,-0.209,,,
2021-09-30,103.38,104.1,100.35,100.88,758600,,,,,-0.53,-0.179,-0.351,,,
2021-10-01,101.04,102.25,99.59,101.38,481300,102.372,,,,-0.663,-0.276,-0.388,,,
2021-10-04,100.93,102.39,99.77,100.08,673800,101.46,,,,-0.864,-0.393,-0.471,,,
2021-10-05,100.57,102.41,99.55,102.01,528700,101.422,,,,-0.858,-0.486,-0.371,,,
2021-10-06,101.15,102.93,100.27,102.86,338600,101.442,,,,-0.775,-0.544,-0.231,,,
2021-10-07,104.02,105.14,104.0,104.98,385700,102.262,,,,-0.533,-0.542,0.009,,,
2021-10-08,105.58,106.52,105.0,106.06,427400,103.198,,,,-0.25,-0.483,0.233,,,
2021-10-11,106.28,108.26,104.85,104.89,336200,104.16,,,,-0.119,-0.411,0.291,,,
2021-10-12,105.05,105.93,104.1,104.29,310800,104.616,,,,-0.064,-0.341,0.278,,,
2021-10-13,104.15,104.17,102.77,103.32,355300,104.708,,,,-0.096,-0.292,0.196,,,
2021-10-14,103.91,105.25,103.68,104.67,479900,104.646,,,,-0.013,-0.236,0.223,,,
2021-10-15,105.99,106.45,104.43,105.05,356500,104.444,,,55.591,0.082,-0.173,0.255,,,
2021-10-18,104.89,104.89,103.16,103.3,316500,104.126,,,47.06,0.017,-0.135,0.151,,,
2021-10-19,104.36,105.37,103.46,104.06,303400,104.08,,,50.605,0.025,-0.103,0.128,,,
2021-10-20,103.92,106.22,103.92,105.79,365800,104.574,,,57.57,0.17,-0.048,0.218,,,
2021-10-21,105.65,106.48,105.19,105.79,308100,104.798,,,57.57,0.282,0.018,0.264,,,
2021-10-22,105.95,107.98,105.95,107.92,395500,105.372,103.846,,64.682,0.536,0.121,0.414,103.846,107.748,99.945
2021-10-25,107.83,109.13,107.03,109.02,476400,106.516,104.066,,67.693,0.816,0.26,0.556,104.066,108.596,99.535
2021-10-26,109.47,109.5,108.37,108.68,477900,107.44,104.39,,65.825,1.0,0.408,0.592,104.39,109.271,99.508
2021-10-27,109.21,109.45,106.92,107.03,633000,107.688,104.603,,57.527,1.001,0.527,0.474,104.603,109.558,99.648
2021-10-28,108.63,112.16,108.63,111.44,708600,108.818,105.131,,68.835,1.342,0.69,0.652,105.131,110.635,99.627
2021-10-29,111.0,111.83,106.88,107.25,927500,108.684,105.425,,54.098,1.259,0.804,0.456,105.425,110.708,100.141
2021-11-01,107.59,108.01,104.59,106.41,596400,108.162,105.741,,51.708,1.113,0.866,0.248,105.741,110.398,101.084
2021-11-02,106.41,109.15,106.0,109.13,580200,108.252,106.097,,58.155,1.203,0.933,0.27,106.097,110.64,101.554
2021-11-03,108.68,111.2,107.96,110.11,507500,108.868,106.46,,60.215,1.338,1.014,0.324,106.46,111.072,101.847
2021-11-04,109.65,110.12,108.63,109.67,480400,108.514,106.694,,58.815,1.394,1.09,0.304,106.694,111.464,101.924
2021-11-05,110.4,112.06,109.41,111.36,432900,109.336,106.959,,62.429,1.556,1.183,0.373,106.959,112.15,101.768
2021-11-08,111.55,112.38,109.2,109.88,608500,110.03,107.208,,57.657,1.547,1.256,0.291,107.208,112.461,101.956
2021-11-09,109.51,110.13,108.87,109.66,290500,110.136,107.477,,56.96,1.505,1.306,0.199,107.477,112.649,102.305
2021-11-10,109.67,110.4,108.84,109.12,377900,109.938,107.767,,55.196,1.412,1.327,0.085,107.767,112.597,102.937
2021-11-11,109.16,109.18,108.14,108.44,234400,109.692,107.956,,52.972,1.269,1.316,-0.047,107.956,112.566,103.345
2021-11-12,108.59,108.59,107.27,107.86,419600,108.992,108.096,,51.081,1.096,1.272,-0.176,108.096,112.5,103.692
2021-11-15,107.94,108.22,107.0,107.29,378800,108.474,108.296,,49.221,0.903,1.198,-0.295,108.296,112.107,104.484
2021-11-16,107.37,108.25,106.48,106.55,406600,107.852,108.42,,46.838,0.682,1.095,-0.413,108.42,111.785,105.055
2021-11-17,106.38,106.38,104.1,104.88,438200,107.004,108.375,,41.905,0.368,0.949,-0.582,108.375,111.91,104.839
2021-11-18,104.88,105.29,103.77,104.83,339800,106.282,108.326,,41.763,0.113,0.782,-0.669,108.326,112.031,104.622
2021-11-19,104.74,105.27,103.28,104.93,414400,105.696,108.177,,42.185,-0.079,0.61,-0.689,108.177,112.18,104.174
2021-11-22,105.96,106.57,104.89,105.87,634500,105.412,108.02,,46.131,-0.154,0.457,-0.611,108.02,112.129,103.91
2021-11-23,106.43,106.83,105.55,106.81,417800,105.464,107.926,,49.819,-0.136,0.338,-0.474,107.926,112.058,103.794
2021-11-24,107.03,107.03,105.26,105.82,481500,105.652,107.866,,46.229,-0.199,0.231,-0.43,107.866,112.087,103.644
2021-11-26,103.25,105.17,101.27,103.57,609700,105.4,107.472,,39.298,-0.426,0.099,-0.526,107.472,111.757,103.187
2021-11-29,103.85,105.23,102.87,104.62,632800,105.338,107.34,,43.551,-0.515,-0.023,-0.492,107.34,111.812,102.869
2021-11-30,103.76,103.9,99.82,100.59,1653800,104.282,107.05,,33.77,-0.901,-0.199,-0.702,107.05,112.439,101.66
2021-12-01,102.27,103.25,99.64,99.67,639100,102.854,106.576,,32.003,-1.266,-0.412,-0.853,106.576,112.794,100.359
2021-12-02,100.39,105.14,100.39,103.97,727200,102.484,106.27,,46.178,-1.194,-0.569,-0.626,106.27,112.357,100.182
2021-12-03,104.1,104.21,101.36,102.34,476500,102.238,105.903,,42.557,-1.255,-0.706,-0.549,105.903,112.012,99.794
2021-12-06,103.91,104.9,102.48,102.7,694300,101.854,105.47,105.529,43.609,-1.259,-0.817,-0.443,105.47,111.163,99.777
2021-12-07,103.36,104.67,102.95,104.0,498300,102.536,105.176,105.516,47.358,-1.144,-0.882,-0.262,105.176,110.506,99.846
2021-12-08,104.02,104.59,102.84,103.52,455500,103.306,104.869,105.542,46.138,-1.08,-0.922,-0.158,104.869,109.805,99.933
2021-12-09,100.93,102.52,100.57,101.69,576300,102.85,104.497,105.521,41.726,-1.163,-0.97,-0.193,104.497,109.199,99.796
2021-12-10,102.44,103.18,102.2,102.78,406900,102.938,104.214,105.559,45.094,-1.128,-1.002,-0.126,104.214,108.586,99.843
2021-12-13,102.48,102.48,100.2,101.01,483500,102.6,103.872,105.551,40.955,-1.229,-1.047,-0.182,103.872,108.113,99.631
2021-12-14,101.12,103.24,100.69,102.35,535400,102.27,103.625,105.597,45.066,-1.187,-1.075,-0.112,103.625,107.594,99.656
2021-12-15,102.74,103.45,101.95,102.84,398800,102.134,103.44,105.613,46.532,-1.101,-1.08,-0.021,103.44,107.173,99.706
2021-12-16,103.6,105.04,102.89,104.15,480200,102.626,103.403,105.639,50.347,-0.917,-1.048,0.13,103.403,107.091,99.715
2021-12-17,104.24,104.24,99.4,100.34,1671500,102.138,103.179,105.546,41.15,-1.067,-1.051,-0.015,103.179,107.043,99.314
2021-12-20,98.91,98.93,96.69,97.69,666300,101.474,102.816,105.379,36.198,-1.383,-1.118,-0.265,102.816,107.298,98.335
2021-12-21,98.36,100.21,98.36,99.05,547200,100.814,102.476,105.262,40.177,-1.506,-1.196,-0.311,102.476,107.016,97.935
