Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,69.15,69.19,68.2,68.26,3246400,,,,,0.0,0.0,0.0,,,
2021-09-08,68.0,69.11,67.99,69.04,3863900,,,,,0.062,0.012,0.05,,,
2021-09-09,69.3,69.43,68.55,68.61,3956900,,,,,0.076,0.025,0.051,,,
2021-09-10,68.76,68.76,68.16,68.38,3360100,,,,,0.068,0.034,0.034,,,
2021-09-13,68.65,69.4,68.49,68.69,3371400,68.596,,,,0.085,0.044,0.041,,,
2021-09-14,68.69,68.87,68.43,68.61,2950600,68.666,,,,0.091,0.053,0.038,,,
2021-09-15,68.77,69.09,68.42,68.53,3662100,68.564,,,,0.089,0.06,0.028,,,
2021-09-16,68.46,68.57,67.34,67.88,4170600,68.418,,,,0.034,0.055,-0.021,,,
2021-09-17,67.69,68.3,67.61,67.66,7334200,68.274,,,,-0.027,0.039,-0.066,,,
2021-09-20,68.37,68.55,67.18,67.61,4942500,68.058,,,,-0.079,0.015,-0.094,,,
2021-09-21,67.71,68.45,67.69,67.81,4247500,67.898,,,,-0.102,-0.008,-0.094,,,
2021-09-22,68.13,68.38,67.68,67.84,2811500,67.76,,,,-0.117,-0.03,-0.087,,,
2021-09-23,68.11,68.27,67.74,68.05,2393100,67.794,,,,-0.11,-0.046,-0.064,,,
2021-09-24,67.99,68.3,67.9,68.02,2214000,67.866,,,,-0.106,-0.058,-0.048,,,
2021-09-27,67.9,68.05,67.39,67.47,2899700,67.838,,,34.697,-0.146,-0.076,-0.07,,,
2021-09-28,67.12,67.6,66.94,67.3,4949500,67.736,,,32.142,-0.189,-0.098,-0.091,,,
2021-09-29,67.3,68.67,67.18,68.42,4094300,67.852,,,55.428,-0.131,-0.105,-0.026,,,
2021-09-30,68.45,68.61,67.09,67.09,4178800,67.66,,,38.523,-0.19,-0.122,-0.068,,,
2021-10-01,67.33,67.48,66.63,67.09,3473400,67.474,,,38.523,-0.234,-0.144,-0.09,,,
