Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,154.82,155.35,152.35,153.38,1597600,,,,,0.0,0.0,0.0,,,
2021-09-14,154.65,155.28,152.31,153.07,1170000,,,,,-0.025,-0.005,-0.02,,,
2021-09-15,152.34,153.41,151.57,153.16,1505500,,,,,-0.037,-0.011,-0.025,,,
2021-09-16,153.61,155.09,152.9,152.94,1273900,,,,,-0.063,-0.022,-0.041,,,
2021-09-17,152.47,153.74,152.08,152.91,1881400,153.092,,,,-0.086,-0.034,-0.051,,,
2021-09-20,152.13,153.34,150.71,152.39,1389000,152.894,,,,-0.144,-0.056,-0.087,,,
2021-09-21,152.9,153.45,150.59,150.63,1299500,152.406,,,,-0.328,-0.111,-0.217,,,
2021-09-22,152.13,154.0,150.84,153.46,1776500,152.466,,,,-0.243,-0.137,-0.106,,,
2021-09-23,154.21,157.34,154.13,156.82,1495600,153.242,,,,0.095,-0.091,0.185,,,
2021-09-24,156.87,160.93,156.3,160.5,1889300,154.76,,,,0.652,0.058,0.594,,,
2021-09-27,160.85,163.54,160.09,160.84,1687800,156.45,,,,1.108,0.268,0.84,,,
2021-09-28,162.29,162.91,158.52,160.4,1873100,158.404,,,,1.417,0.498,0.92,,,
2021-09-29,160.05,160.51,158.83,159.0,1027600,159.512,,,,1.532,0.705,0.827,,,
2021-09-30,159.77,160.08,156.48,156.74,1392900,159.496,,,,1.424,0.848,0.576,,,
2021-10-01,157.47,159.87,155.31,159.35,1254400,159.266,,,64.407,1.532,0.985,0.546,,,
2021-10-04,158.92,160.5,155.93,157.82,1384300,158.662,,,57.797,1.476,1.083,0.393,,,
2021-10-05,156.89,161.7,156.76,160.75,989800,158.732,,,65.169,1.65,1.197,0.453,,,
2021-10-06,159.88,161.17,159.29,161.07,946500,159.146,,,65.871,1.793,1.316,0.477,,,
2021-10-07,162.7,163.94,161.9,163.82,1465700,160.562,,,71.231,2.103,1.473,0.63,,,
2021-10-08,163.07,164.01,160.79,163.35,1170300,161.362,157.12,,69.23,2.285,1.636,0.65,157.12,165.288,148.952
2021-10-11,164.27,165.65,162.87,163.18,929300,162.434,157.61,,68.48,2.388,1.786,0.602,157.61,166.006,149.214
2021-10-12,163.18,165.19,162.86,164.39,1077000,163.162,158.176,,70.895,2.538,1.937,0.602,158.176,166.806,149.546
2021-10-13,163.56,165.93,161.7,165.56,1540300,164.06,158.796,,73.046,2.72,2.093,0.627,158.796,167.687,149.905
2021-10-14,165.69,167.97,164.71,167.82,1314500,164.86,159.54,,76.637,3.012,2.277,0.735,159.54,168.848,150.232
2021-10-15,168.59,172.33,168.2,171.76,1746600,166.542,160.483,,81.312,3.521,2.526,0.995,160.483,170.733,150.232
2021-10-18,171.07,173.75,170.77,173.4,1524800,168.586,161.533,,82.85,4.01,2.823,1.187,161.533,172.568,150.498
2021-10-19,174.08,176.41,173.38,176.34,1663700,170.976,162.818,,85.201,4.582,3.174,1.407,162.818,174.478,151.159
2021-10-20,176.53,176.53,172.7,173.6,1080400,172.584,163.825,,74.895,4.759,3.491,1.268,163.825,175.561,152.09
2021-10-21,174.37,175.08,173.22,174.1,1204700,173.84,164.69,,75.478,4.884,3.77,1.114,164.69,176.792,152.587
2021-10-22,174.27,177.24,173.76,176.66,1184600,174.82,165.498,,78.261,5.13,4.042,1.088,165.498,178.543,152.452
2021-10-25,176.7,177.2,175.61,176.45,1021200,175.43,166.278,,77.484,5.248,4.283,0.965,166.278,180.0,152.556
2021-10-26,176.5,178.67,175.61,177.73,1331900,175.708,167.144,,78.861,5.382,4.503,0.879,167.144,181.479,152.81
2021-10-27,177.92,177.95,175.27,175.94,1526700,176.176,167.992,,72.208,5.284,4.659,0.625,167.992,182.302,153.681
2021-10-28,175.38,177.51,174.7,176.98,1726600,176.752,169.004,,73.602,5.229,4.773,0.456,169.004,182.817,155.19
2021-10-29,176.57,179.48,176.11,178.77,1318300,177.174,169.974,,75.847,5.27,4.872,0.397,169.974,183.661,156.288
