Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,145.2,150.91,144.2,150.38,3250200,,,,,0.0,0.0,0.0,,,
2021-07-13,150.38,150.79,148.36,148.54,2536700,,,,,-0.147,-0.029,-0.117,,,
2021-07-14,148.75,150.51,143.79,144.89,4190900,,,,,-0.551,-0.134,-0.418,,,
2021-07-15,142.9,146.54,142.57,146.27,3069700,,,,,-0.752,-0.257,-0.494,,,
2021-07-16,147.46,147.46,143.29,143.69,1955100,146.754,,,,-1.106,-0.427,-0.679,,,
2021-07-19,139.98,141.22,137.64,140.12,3757400,144.702,,,,-1.656,-0.673,-0.983,,,
2021-07-20,139.53,145.26,139.06,144.11,3306200,143.816,,,,-1.75,-0.888,-0.861,,,
2021-07-21,145.6,149.97,145.4,148.88,2508500,144.614,,,,-1.422,-0.995,-0.427,,,
2021-07-22,147.96,148.76,144.77,147.26,2966600,144.812,,,,-1.279,-1.052,-0.227,,,
2021-07-23,143.21,149.83,142.84,146.02,3516300,145.278,,,,-1.251,-1.092,-0.16,,,
2021-07-26,146.0,148.69,145.95,148.09,2055900,146.872,,,,-1.05,-1.083,0.033,,,
2021-07-27,145.91,149.29,145.17,148.27,2168000,147.704,,,,-0.866,-1.04,0.174,,,
2021-07-28,148.72,149.18,145.84,147.22,2314800,147.372,,,,-0.796,-0.991,0.195,,,
2021-07-29,149.14,150.83,148.61,149.52,2587900,147.824,,,,-0.548,-0.903,0.354,,,
2021-07-30,148.83,150.59,146.54,147.5,2661400,148.12,,,48.442,-0.509,-0.824,0.315,,,
2021-08-02,148.82,151.34,144.97,146.04,3934600,147.71,,,44.837,-0.589,-0.777,0.188,,,
2021-08-03,146.91,147.83,141.81,147.26,2868200,147.508,,,48.299,-0.548,-0.731,0.183,,,
2021-08-04,146.21,149.76,145.13,147.04,2722800,147.472,,,47.717,-0.527,-0.69,0.163,,,
