Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,49.29,50.57,49.14,50.03,6063100,,,,,0.0,0.0,0.0,,,
2021-07-13,49.77,50.19,49.2,49.75,6510400,,,,,-0.022,-0.004,-0.018,,,
2021-07-14,50.11,50.71,47.98,48.25,8489600,,,,,-0.159,-0.035,-0.124,,,
2021-07-15,47.69,48.71,47.52,47.76,8723300,,,,,-0.304,-0.089,-0.215,,,
2021-07-16,48.28,48.44,46.28,46.44,8805300,48.446,,,,-0.519,-0.175,-0.344,,,
2021-07-19,44.7,45.43,44.19,44.93,13342100,47.426,,,,-0.802,-0.3,-0.501,,,
2021-07-20,44.76,46.23,44.58,45.57,9358200,46.59,,,,-0.963,-0.433,-0.53,,,
2021-07-21,46.63,48.04,46.53,47.71,9378000,46.482,,,,-0.908,-0.528,-0.38,,,
2021-07-22,47.71,47.87,47.01,47.42,6765500,46.414,,,,-0.878,-0.598,-0.28,,,
2021-07-23,47.21,47.45,46.15,46.66,10623800,46.458,,,,-0.905,-0.659,-0.245,,,
2021-07-26,46.97,48.35,46.85,47.95,8756300,47.062,,,,-0.813,-0.69,-0.123,,,
2021-07-27,47.35,47.74,46.66,47.49,7363600,47.446,,,,-0.768,-0.706,-0.062,,,
2021-07-28,47.62,48.18,47.05,47.82,6167200,47.468,,,,-0.698,-0.704,0.006,,,
2021-07-29,48.41,48.76,47.94,48.12,6306400,47.608,,,,-0.611,-0.685,0.075,,,
2021-07-30,47.85,47.97,46.98,47.26,8660100,47.728,,,42.376,-0.604,-0.669,0.065,,,
2021-08-02,47.66,48.7,46.65,46.69,8469500,47.476,,,39.144,-0.638,-0.663,0.025,,,
2021-08-03,46.45,47.86,45.96,47.75,9888200,47.528,,,47.209,-0.572,-0.645,0.072,,,
2021-08-04,46.65,47.63,46.29,46.31,7629600,47.226,,,39.542,-0.629,-0.642,0.012,,,
2021-08-05,46.76,47.74,46.41,47.17,6573100,47.036,,,45.26,-0.598,-0.633,0.035,,,
2021-08-06,47.71,48.2,47.3,47.63,5038900,47.11,47.436,,48.088,-0.53,-0.612,0.082,47.436,49.83,45.041
2021-08-09,46.93,47.36,46.56,46.75,5410600,47.122,47.272,,43.462,-0.541,-0.598,0.057,47.272,49.345,45.198
2021-08-10,47.09,47.87,47.01,47.62,6781800,47.096,47.165,,48.714,-0.474,-0.573,0.099,47.165,48.893,45.437
2021-08-11,47.53,48.36,47.17,48.22,6071800,47.478,47.164,,52.025,-0.369,-0.532,0.164,47.164,48.887,45.44
2021-08-12,48.17,48.55,47.66,48.09,4729200,47.662,47.18,,51.253,-0.292,-0.484,0.192,47.18,48.934,45.426
2021-08-13,48.01,48.25,47.09,47.19,7399800,47.574,47.218,,46.148,-0.3,-0.448,0.147,47.218,48.937,45.498
