Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,392.26,392.56,383.25,386.43,2491300,,,,,0.0,0.0,0.0,,,
2021-07-13,383.41,387.76,383.41,385.65,1540300,,,,,-0.062,-0.012,-0.05,,,
2021-07-14,387.09,388.88,385.84,388.39,1265800,,,,,0.108,0.012,0.097,,,
2021-07-15,388.87,390.52,386.43,390.16,1894100,,,,,0.382,0.086,0.296,,,
2021-07-16,390.44,391.68,388.22,388.79,1413900,387.884,,,,0.483,0.165,0.317,,,
2021-07-19,388.49,393.48,388.48,392.37,2293100,389.072,,,,0.842,0.3,0.541,,,
2021-07-20,392.23,396.08,391.14,394.35,2045400,390.812,,,,1.271,0.495,0.777,,,
2021-07-21,395.17,395.17,390.54,393.18,1480000,391.77,,,,1.5,0.696,0.804,,,
2021-07-22,394.12,396.58,391.8,395.58,1339200,392.854,,,,1.854,0.927,0.926,,,
2021-07-23,396.29,401.69,395.11,401.16,1344500,395.328,,,,2.555,1.253,1.302,,,
2021-07-26,401.13,402.17,398.24,400.97,1220000,397.048,,,,3.06,1.614,1.445,,,
2021-07-27,401.7,402.23,399.43,402.02,1666500,398.582,,,,3.504,1.992,1.512,,,
2021-07-28,401.01,402.51,398.42,400.01,1362700,399.948,,,,3.652,2.324,1.328,,,
2021-07-29,400.25,404.21,399.0,403.67,1434200,401.566,,,,4.018,2.663,1.355,,,
2021-07-30,404.33,409.57,404.29,407.88,2283900,402.91,,,84.14,4.595,3.049,1.546,,,
2021-08-02,408.74,408.82,403.86,407.12,1366900,404.14,,,81.148,4.935,3.426,1.508,,,
2021-08-03,408.07,414.6,407.31,412.96,1448100,406.328,,,85.434,5.61,3.863,1.747,,,
2021-08-04,413.84,415.73,410.89,412.93,1280500,408.912,,,85.326,6.073,4.305,1.768,,,
2021-08-05,415.5,420.96,414.54,420.67,1742600,412.312,,,89.123,6.983,4.841,2.143,,,
2021-08-06,420.23,420.92,416.59,417.29,1789800,414.194,400.079,,79.456,7.348,5.342,2.006,400.079,421.092,379.066
2021-08-09,418.26,420.28,416.98,418.09,1472500,416.388,401.662,,80.008,7.613,5.796,1.817,401.662,423.111,380.213
2021-08-10,418.27,421.25,418.27,420.51,1893700,417.898,403.405,,81.619,7.928,6.223,1.705,403.405,425.041,381.769
2021-08-11,422.86,425.23,419.35,421.72,2267500,419.656,405.072,,82.384,8.18,6.614,1.566,405.072,426.97,383.173
2021-08-12,420.49,423.93,419.77,422.73,1230700,420.068,406.7,,83.019,8.365,6.964,1.401,406.7,428.773,384.627
2021-08-13,423.13,425.57,421.95,425.06,1309300,421.622,408.514,,84.414,8.601,7.292,1.309,408.514,430.35,386.677
