Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,118.42,119.79,118.26,119.46,475400,,,,,0.0,0.0,0.0,,,
2021-07-13,119.18,120.21,117.83,118.42,338600,,,,,-0.083,-0.017,-0.066,,,
2021-07-14,118.55,119.69,118.01,119.32,437900,,,,,-0.075,-0.028,-0.047,,,
2021-07-15,119.31,120.3,118.51,120.21,538500,,,,,0.003,-0.022,0.025,,,
2021-07-16,120.87,121.48,120.2,121.04,818600,119.69,,,,0.13,0.008,0.122,,,
2021-07-19,120.45,121.15,118.84,120.11,604000,119.82,,,,0.154,0.037,0.117,,,
2021-07-20,120.82,124.25,120.12,123.36,754300,120.808,,,,0.43,0.116,0.314,,,
2021-07-21,123.12,123.95,122.78,123.04,499900,121.552,,,,0.616,0.216,0.4,,,
2021-07-22,122.95,123.33,122.19,122.66,335700,122.042,,,,0.725,0.318,0.407,,,
2021-07-23,122.53,123.92,122.53,123.73,328800,122.58,,,,0.887,0.432,0.455,,,
2021-07-26,123.58,124.19,122.5,122.97,318200,123.152,,,,0.943,0.534,0.409,,,
2021-07-27,122.79,124.32,121.99,123.41,555500,123.162,,,,1.011,0.629,0.382,,,
2021-07-28,123.25,124.04,122.46,122.77,695800,123.108,,,,1.002,0.704,0.298,,,
2021-07-29,122.69,125.29,122.58,125.01,713100,123.578,,,,1.163,0.796,0.367,,,
2021-07-30,127.45,128.27,123.59,125.55,704600,123.942,,,73.326,1.318,0.9,0.418,,,
2021-08-02,126.27,127.31,125.68,126.16,458900,124.58,,,75.124,1.473,1.015,0.459,,,
2021-08-03,126.06,126.54,123.73,124.69,724500,124.836,,,63.942,1.461,1.104,0.357,,,
2021-08-04,125.19,125.22,123.78,124.37,588600,125.156,,,61.786,1.409,1.165,0.244,,,
2021-08-05,124.94,125.62,123.64,125.28,506700,125.21,,,65.362,1.425,1.217,0.208,,,
2021-08-06,125.85,126.05,124.04,124.27,560700,124.954,122.792,,58.786,1.341,1.242,0.099,122.792,127.362,118.221
2021-08-09,123.79,123.79,122.33,122.75,697700,124.272,122.956,,50.544,1.138,1.221,-0.083,122.956,127.25,118.662
2021-08-10,122.89,123.18,119.96,120.3,1023300,123.394,123.05,,40.65,0.771,1.131,-0.36,123.05,126.994,119.106
2021-08-11,120.69,121.64,120.3,121.26,527200,122.772,123.147,,45.178,0.551,1.015,-0.464,123.147,126.789,119.505
2021-08-12,121.62,122.07,120.65,121.88,263400,122.092,123.23,,47.941,0.422,0.897,-0.474,123.23,126.659,119.802
2021-08-13,122.02,122.86,121.44,122.7,337400,121.778,123.314,,51.427,0.382,0.794,-0.412,123.314,126.596,120.031
2021-08-16,122.6,123.92,121.77,123.44,304600,121.916,123.48,,54.395,0.405,0.716,-0.311,123.48,126.396,120.564
2021-08-17,123.33,123.61,121.76,123.26,446200,122.508,123.475,,53.538,0.404,0.653,-0.25,123.475,126.392,120.558
2021-08-18,122.91,123.53,122.16,122.91,479900,122.838,123.468,,51.828,0.37,0.597,-0.226,123.468,126.39,120.547
2021-08-19,122.41,123.65,121.99,123.51,292300,123.164,123.511,,54.51,0.388,0.555,-0.167,123.511,126.408,120.614
2021-08-20,123.01,124.06,122.2,123.29,546700,123.282,123.489,,53.338,0.38,0.52,-0.14,123.489,126.385,120.593
2021-08-23,123.43,123.92,121.44,121.52,706900,122.898,123.416,,44.958,0.228,0.461,-0.234,123.416,126.438,120.395
2021-08-24,121.59,121.98,119.09,119.76,923900,122.198,123.234,,38.484,-0.034,0.362,-0.397,123.234,126.669,119.799
2021-08-25,119.62,122.26,119.17,121.2,668000,121.856,123.156,,45.41,-0.125,0.265,-0.389,123.156,126.705,119.606
2021-08-26,121.41,123.18,121.22,122.46,503000,121.646,123.028,,50.647,-0.093,0.193,-0.286,123.028,126.479,119.577
2021-08-27,123.09,124.16,122.56,123.34,509400,121.656,122.917,,53.968,0.003,0.155,-0.152,122.917,126.164,119.671
2021-08-30,123.89,125.25,122.85,125.04,909900,122.36,122.862,,59.621,0.213,0.167,0.047,122.862,125.905,119.818
2021-08-31,124.96,126.3,124.68,126.1,1113300,123.628,122.932,,62.697,0.461,0.226,0.235,122.932,126.21,119.654
2021-09-01,126.85,128.58,126.64,128.17,1585100,125.022,123.122,,67.849,0.814,0.343,0.471,123.122,127.114,119.13
2021-09-02,128.47,128.89,127.38,128.58,1063800,126.246,123.287,,68.768,1.115,0.498,0.617,123.287,127.882,118.692
2021-09-03,128.25,129.29,127.36,128.95,608600,127.368,123.521,,69.613,1.367,0.671,0.695,123.521,128.758,118.284
2021-09-07,128.95,128.95,125.46,126.46,723000,127.652,123.706,,58.201,1.35,0.807,0.543,123.706,129.089,118.324
2021-09-08,125.74,129.47,125.25,128.7,871500,128.172,124.126,,63.93,1.5,0.946,0.555,124.126,129.698,118.555
2021-09-09,128.29,128.57,126.36,126.5,945000,127.838,124.388,,55.836,1.426,1.042,0.384,124.388,129.885,118.892
2021-09-10,126.46,127.67,125.9,125.92,1106200,127.306,124.59,,53.899,1.304,1.094,0.21,124.59,129.995,119.186
2021-09-13,126.32,127.36,126.09,126.39,404400,126.794,124.775,,55.254,1.232,1.122,0.11,124.775,130.159,119.391
2021-09-14,126.89,127.65,126.11,127.01,564200,126.904,124.954,,57.047,1.211,1.14,0.071,124.954,130.388,119.519
2021-09-15,127.2,128.37,126.68,126.99,573900,126.562,125.14,,56.968,1.179,1.147,0.031,125.14,130.586,119.694
2021-09-16,126.7,127.36,125.57,126.52,405400,126.566,125.32,,55.031,1.103,1.139,-0.036,125.32,130.694,119.947
2021-09-17,126.95,127.02,124.66,124.68,1308600,126.318,125.379,,48.133,0.884,1.088,-0.204,125.379,130.694,120.064
2021-09-20,123.53,125.71,122.8,124.96,698500,126.032,125.462,123.808,49.177,0.725,1.015,-0.29,125.462,130.692,120.233
2021-09-21,125.83,127.57,125.79,126.19,837500,125.868,125.696,123.942,53.596,0.69,0.95,-0.26,125.696,130.59,120.802
2021-09-22,126.96,127.65,126.52,126.69,976400,125.808,126.042,124.108,55.297,0.694,0.899,-0.204,126.042,130.072,122.013
2021-09-23,127.66,128.39,126.62,126.99,433100,125.902,126.332,124.261,56.332,0.714,0.862,-0.148,126.332,129.669,122.995
2021-09-24,126.73,127.76,125.82,125.85,399200,126.136,126.502,124.374,51.458,0.63,0.816,-0.185,126.502,129.314,123.689
2021-09-27,127.05,127.28,123.68,123.73,557100,125.89,126.521,124.428,43.859,0.389,0.73,-0.342,126.521,129.245,123.797
2021-09-28,122.83,124.93,122.2,124.45,739100,125.542,126.492,124.514,46.736,0.252,0.635,-0.382,126.492,129.295,123.688
2021-09-29,125.15,127.38,125.11,126.85,797300,125.574,126.529,124.584,55.012,0.334,0.574,-0.241,126.529,129.33,123.728
2021-09-30,127.44,127.67,124.6,124.63,529900,125.102,126.352,124.616,47.639,0.217,0.503,-0.286,126.352,129.164,123.54
2021-10-01,125.55,127.23,124.01,126.38,327600,125.208,126.242,124.69,52.988,0.262,0.455,-0.192,126.242,128.852,123.632
2021-10-04,126.09,128.08,125.72,127.9,492900,126.042,126.19,124.774,57.088,0.416,0.447,-0.031,126.19,128.605,123.774
2021-10-05,128.62,128.62,126.94,127.96,747700,126.744,126.264,124.874,57.247,0.537,0.465,0.072,126.264,128.805,123.724
2021-10-06,127.37,129.18,124.41,129.15,545100,127.204,126.287,124.988,60.374,0.72,0.516,0.204,126.287,128.925,123.649
2021-10-07,129.15,130.1,128.26,128.55,423700,127.988,126.39,125.104,58.068,0.808,0.574,0.233,126.39,129.215,123.564
