Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,43.51,44.04,43.34,43.88,251700,,,,,0.0,0.0,0.0,,,
2021-07-13,43.91,43.95,43.58,43.61,263900,,,,,-0.022,-0.004,-0.017,,,
2021-07-14,43.71,43.95,43.48,43.61,225100,,,,,-0.038,-0.011,-0.027,,,
2021-07-15,43.04,43.35,42.91,43.2,353300,,,,,-0.083,-0.026,-0.058,,,
2021-07-16,43.33,43.35,42.7,42.75,327000,43.41,,,,-0.154,-0.051,-0.103,,,
2021-07-19,41.6,41.68,41.04,41.26,446100,42.886,,,,-0.326,-0.106,-0.22,,,
2021-07-20,41.36,42.16,41.25,42.0,348200,42.564,,,,-0.398,-0.165,-0.234,,,
2021-07-21,42.31,42.91,42.3,42.85,239700,42.412,,,,-0.383,-0.208,-0.174,,,
2021-07-22,42.78,42.78,42.41,42.5,189200,42.272,,,,-0.394,-0.245,-0.149,,,
2021-07-23,42.88,42.95,42.66,42.83,204500,42.288,,,,-0.372,-0.271,-0.101,,,
2021-07-26,43.23,43.32,43.02,43.3,291400,42.696,,,,-0.313,-0.279,-0.034,,,
2021-07-27,42.95,43.11,42.71,43.06,353800,42.908,,,,-0.282,-0.28,-0.003,,,
2021-07-28,43.22,44.21,42.9,44.11,396200,43.16,,,,-0.171,-0.258,0.087,,,
2021-07-29,44.39,44.44,44.11,44.11,307800,43.482,,,,-0.082,-0.223,0.141,,,
2021-07-30,44.05,44.28,43.66,43.76,214900,43.668,,,54.148,-0.04,-0.186,0.147,,,
2021-08-02,44.36,44.53,43.66,43.67,267700,43.742,,,52.989,-0.013,-0.152,0.139,,,
2021-08-03,44.22,44.54,43.83,44.52,286500,44.034,,,61.399,0.076,-0.106,0.182,,,
2021-08-04,44.52,44.75,44.31,44.31,528800,44.074,,,58.609,0.128,-0.059,0.187,,,
2021-08-05,44.58,44.6,44.0,44.1,434200,44.072,,,55.875,0.15,-0.017,0.168,,,
2021-08-06,44.65,44.74,44.45,44.59,209500,44.238,43.401,,60.505,0.205,0.027,0.178,43.401,45.123,41.679
2021-08-09,44.45,44.66,44.29,44.54,302300,44.412,43.434,,59.815,0.242,0.07,0.172,43.434,45.219,41.649
2021-08-10,44.78,45.47,44.74,45.44,265700,44.596,43.526,,67.087,0.34,0.124,0.216,43.526,45.523,41.528
2021-08-11,46.16,46.82,46.06,46.81,367400,45.096,43.686,,74.617,0.522,0.204,0.318,43.686,46.166,41.205
2021-08-12,46.75,46.81,46.5,46.7,231200,45.616,43.86,,73.169,0.65,0.293,0.357,43.86,46.669,41.052
2021-08-13,46.57,46.65,46.38,46.48,182100,45.994,44.047,,70.235,0.725,0.38,0.346,44.047,47.035,41.059
2021-08-16,46.01,46.15,45.79,46.09,193100,46.304,44.289,,65.24,0.745,0.453,0.292,44.289,47.103,41.474
2021-08-17,45.71,45.78,45.09,45.37,170200,46.29,44.457,,57.158,0.694,0.501,0.193,44.457,47.093,41.821
2021-08-18,45.34,45.63,45.23,45.25,214800,45.978,44.577,,55.914,0.637,0.528,0.109,44.577,47.122,42.032
2021-08-19,44.51,44.95,44.45,44.84,295100,45.606,44.694,,51.771,0.553,0.533,0.019,44.694,47.044,42.344
2021-08-20,44.54,45.21,44.54,45.18,166500,45.346,44.812,,54.764,0.507,0.528,-0.021,44.812,46.999,42.624
2021-08-23,45.12,45.56,45.09,45.55,279700,45.238,44.924,,57.832,0.495,0.521,-0.026,44.924,47.013,42.835
2021-08-24,45.23,45.4,45.13,45.19,326500,45.202,45.03,,53.995,0.451,0.507,-0.056,45.03,46.928,43.133
2021-08-25,45.08,45.72,45.04,45.46,423300,45.244,45.098,,56.335,0.434,0.493,-0.059,45.098,46.953,43.243
2021-08-26,46.54,47.36,46.44,46.88,531500,45.652,45.236,,66.1,0.528,0.5,0.028,45.236,47.192,43.281
2021-08-27,46.71,47.27,46.66,47.16,386800,46.048,45.406,,67.637,0.618,0.523,0.095,45.406,47.412,43.401
2021-08-30,46.76,47.14,46.74,47.02,409000,46.342,45.574,,66.025,0.671,0.553,0.118,45.574,47.528,43.62
2021-08-31,46.53,46.88,46.39,46.59,618900,46.622,45.678,,61.201,0.67,0.576,0.094,45.678,47.615,43.74
2021-09-01,46.65,46.75,46.43,46.46,382500,46.822,45.785,,59.779,0.651,0.591,0.06,45.785,47.64,43.93
2021-09-02,46.5,46.55,46.15,46.28,225700,46.702,45.894,,57.777,0.615,0.596,0.019,45.894,47.581,44.207
2021-09-03,46.43,46.69,46.19,46.46,308800,46.562,45.988,,59.247,0.594,0.595,-0.002,45.988,47.575,44.4
2021-09-07,45.96,46.03,45.47,45.47,233300,46.252,46.034,,49.12,0.491,0.575,-0.083,46.034,47.492,44.576
2021-09-08,45.19,45.37,45.0,45.1,369400,45.954,46.017,,45.958,0.376,0.535,-0.159,46.017,47.511,44.523
2021-09-09,45.24,45.58,44.99,45.04,278800,45.67,45.928,,45.448,0.277,0.483,-0.207,45.928,47.435,44.422
2021-09-10,45.13,45.28,44.9,45.22,689200,45.458,45.854,,47.339,0.21,0.429,-0.219,45.854,47.346,44.363
2021-09-13,45.85,46.09,45.42,45.8,726300,45.326,45.82,,52.994,0.202,0.383,-0.182,45.82,47.283,44.358
2021-09-14,45.86,45.86,45.49,45.66,835400,45.364,45.799,,51.555,0.182,0.343,-0.161,45.799,47.258,44.34
2021-09-15,45.61,45.86,45.44,45.78,813200,45.5,45.82,,52.739,0.173,0.309,-0.136,45.82,47.264,44.375
2021-09-16,45.77,45.82,45.48,45.57,670300,45.606,45.835,,50.416,0.148,0.277,-0.129,45.835,47.261,44.41
2021-09-17,45.16,45.31,43.83,43.84,650800,45.33,45.786,,36.248,-0.011,0.219,-0.23,45.786,47.413,44.158
2021-09-20,43.0,43.32,42.61,43.21,612700,44.812,45.687,44.769,32.65,-0.186,0.138,-0.324,45.687,47.669,43.705
2021-09-21,43.61,43.72,43.21,43.39,666600,44.358,45.579,44.759,34.646,-0.307,0.049,-0.356,45.579,47.812,43.346
2021-09-22,44.13,44.38,44.02,44.06,214700,44.014,45.522,44.768,41.586,-0.344,-0.03,-0.315,45.522,47.852,43.193
2021-09-23,44.47,44.8,44.44,44.48,358300,43.796,45.474,44.786,45.494,-0.336,-0.091,-0.245,45.474,47.849,43.098
2021-09-24,44.11,44.34,43.69,43.69,665700,43.766,45.314,44.796,40.065,-0.389,-0.151,-0.239,45.314,47.72,42.908
2021-09-27,43.54,43.85,43.48,43.51,526900,43.826,45.132,44.811,38.925,-0.441,-0.209,-0.232,45.132,47.502,42.761
2021-09-28,42.82,42.98,42.13,42.47,434500,43.642,44.904,44.835,33.071,-0.559,-0.279,-0.28,44.904,47.382,42.426
2021-09-29,41.68,42.03,41.54,41.67,785000,43.164,44.658,44.828,29.407,-0.709,-0.365,-0.344,44.658,47.395,41.921
2021-09-30,41.59,41.71,41.05,41.18,492100,42.504,44.394,44.795,27.405,-0.857,-0.463,-0.394,44.394,47.404,41.384
2021-10-01,41.34,41.8,40.94,41.63,492300,42.092,44.162,44.778,31.986,-0.928,-0.556,-0.372,44.162,47.274,41.049
2021-10-04,41.24,41.39,40.91,41.16,607100,41.622,43.896,44.744,29.866,-1.011,-0.647,-0.363,43.896,47.087,40.706
2021-10-05,40.46,40.78,40.19,40.54,1050900,41.236,43.65,44.689,27.296,-1.113,-0.74,-0.373,43.65,47.081,40.219
2021-10-06,40.24,40.93,40.17,40.91,425900,41.084,43.44,44.646,31.106,-1.151,-0.822,-0.329,43.44,47.008,39.873
