Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,66.92,67.47,65.07,65.45,8584800,,,,,0.0,0.0,0.0,,,
2021-07-13,65.29,66.87,64.78,65.29,8985200,,,,,-0.013,-0.003,-0.01,,,
2021-07-14,65.79,66.01,63.16,63.56,10820800,,,,,-0.161,-0.034,-0.126,,,
2021-07-15,63.94,63.96,61.76,62.33,10131600,,,,,-0.373,-0.102,-0.271,,,
2021-07-16,63.0,63.41,62.1,62.49,8455200,63.824,,,,-0.522,-0.186,-0.336,,,
2021-07-19,61.26,63.04,59.93,62.6,12784400,63.254,,,,-0.624,-0.274,-0.351,,,
2021-07-20,63.72,63.75,61.47,63.06,9670000,62.808,,,,-0.66,-0.351,-0.309,,,
2021-07-21,63.11,63.71,62.38,63.39,7366000,62.774,,,,-0.655,-0.412,-0.243,,,
2021-07-22,63.68,66.25,63.66,65.76,13137200,63.46,,,,-0.454,-0.42,-0.034,,,
2021-07-23,65.33,68.16,65.13,67.24,14996400,64.41,,,,-0.174,-0.371,0.197,,,
2021-07-26,66.89,67.08,65.36,66.21,6872800,65.132,,,,-0.034,-0.303,0.27,,,
2021-07-27,66.5,66.74,63.51,64.46,9430800,65.412,,,,-0.064,-0.256,0.192,,,
2021-07-28,65.04,66.22,64.5,65.89,7452400,65.912,,,,0.028,-0.199,0.227,,,
2021-07-29,65.88,66.69,64.89,65.01,8570800,65.762,,,,0.029,-0.153,0.182,,,
2021-07-30,64.02,64.89,63.14,63.4,9063600,64.994,,,42.438,-0.099,-0.142,0.043,,,
2021-08-02,63.56,64.29,61.55,63.48,9146000,64.448,,,42.917,-0.192,-0.152,-0.039,,,
2021-08-03,63.83,65.65,62.65,63.58,10282800,64.272,,,43.549,-0.254,-0.173,-0.081,,,
2021-08-04,63.85,66.3,63.53,66.05,8319200,64.304,,,56.397,-0.103,-0.159,0.056,,,
2021-08-05,66.33,67.08,65.36,66.4,7488000,64.582,,,57.86,0.044,-0.118,0.162,,,
2021-08-06,66.07,66.93,64.03,65.18,7360000,64.938,64.542,,51.386,0.062,-0.082,0.144,64.542,67.509,61.574
2021-08-09,64.74,66.38,64.55,65.89,6456800,65.42,64.564,,54.572,0.132,-0.039,0.171,64.564,67.566,61.561
2021-08-10,66.56,66.67,63.03,63.17,12857600,65.338,64.458,,42.957,-0.032,-0.038,0.006,64.458,67.501,61.414
2021-08-11,63.55,63.74,58.47,59.97,21951200,64.122,64.278,,33.834,-0.415,-0.113,-0.302,64.278,67.911,60.645
2021-08-12,60.0,61.87,59.97,61.46,9918000,63.134,64.234,,40.202,-0.592,-0.209,-0.383,64.234,67.984,60.485
2021-08-13,61.46,62.24,60.57,60.96,7069600,62.29,64.158,,38.851,-0.764,-0.32,-0.444,64.158,68.115,60.201
2021-08-16,60.83,60.86,57.27,58.68,15022800,60.848,63.962,,33.347,-1.071,-0.47,-0.601,63.962,68.577,59.347
2021-08-17,58.5,58.57,56.81,58.2,12365600,59.854,63.719,,32.309,-1.338,-0.644,-0.694,63.719,68.998,58.44
2021-08-18,58.37,59.38,57.56,58.44,8112000,59.548,63.471,,33.424,-1.513,-0.818,-0.695,63.471,69.256,57.687
2021-08-19,57.99,59.3,57.76,58.74,8308400,59.004,63.12,,34.869,-1.609,-0.976,-0.633,63.12,69.166,57.075
2021-08-20,59.13,59.66,58.33,59.47,6963600,58.706,62.732,,38.375,-1.607,-1.102,-0.505,62.732,68.66,56.804
2021-08-23,60.53,61.7,59.83,61.45,10683600,59.26,62.494,,46.746,-1.43,-1.168,-0.262,62.494,68.213,56.775
2021-08-24,65.14,67.42,64.61,66.41,44244800,60.902,62.592,,61.028,-0.879,-1.11,0.231,62.592,68.514,56.669
2021-08-25,66.76,68.94,66.3,67.5,58996400,62.714,62.672,,63.354,-0.35,-0.958,0.608,62.672,68.823,56.521
2021-08-26,67.39,70.45,67.1,69.69,27120400,64.904,62.906,,67.545,0.243,-0.718,0.961,62.906,69.749,56.063
2021-08-27,69.89,71.44,69.44,70.58,16165600,67.126,63.265,,69.092,0.775,-0.419,1.195,63.265,70.922,55.608
2021-08-30,71.33,72.31,70.12,71.59,19091600,69.154,63.671,,70.794,1.264,-0.083,1.347,63.671,72.186,55.155
2021-08-31,70.5,71.6,69.59,70.25,34486800,69.922,64.004,,65.632,1.526,0.239,1.287,64.004,73.013,54.995
2021-09-01,68.31,71.36,67.32,67.49,46969200,69.92,64.076,,56.494,1.494,0.49,1.004,64.076,73.176,54.976
2021-09-02,68.06,68.79,67.35,68.17,16729600,69.616,64.165,,58.044,1.506,0.693,0.813,64.165,73.393,54.936
2021-09-03,68.15,69.71,67.8,69.56,13877200,69.412,64.384,,61.095,1.609,0.876,0.732,64.384,73.917,54.85
2021-09-07,69.84,69.95,67.08,67.42,17869600,68.578,64.46,,54.522,1.5,1.001,0.499,64.46,74.068,54.852
2021-09-08,67.56,67.64,65.92,66.31,12178800,67.79,64.617,,51.43,1.31,1.063,0.247,64.617,74.239,54.995
2021-09-09,66.25,67.46,66.13,66.29,11888800,67.55,64.933,,51.374,1.144,1.079,0.065,64.933,74.325,55.541
2021-09-10,67.02,67.43,65.14,65.5,12162800,67.016,65.135,,49.08,0.938,1.051,-0.113,65.135,74.385,55.885
2021-09-13,64.68,64.92,62.1,63.51,19813600,65.806,65.262,,43.776,0.607,0.962,-0.355,65.262,74.339,56.186
2021-09-14,64.01,64.76,63.46,64.32,9849200,65.186,65.544,,46.319,0.406,0.851,-0.445,65.544,74.095,56.994
2021-09-15,64.47,65.0,63.59,64.89,9358000,64.902,65.879,,48.098,0.289,0.739,-0.45,65.879,73.713,58.045
2021-09-16,65.06,66.26,64.26,66.18,9131200,64.88,66.266,,51.976,0.297,0.65,-0.353,66.266,73.274,59.258
2021-09-17,66.58,66.68,64.89,65.77,18426400,64.934,66.618,,50.68,0.267,0.574,-0.307,66.618,72.677,60.558
2021-09-20,63.59,65.4,63.28,64.39,11468000,65.11,66.864,64.662,46.478,0.13,0.485,-0.355,66.864,72.036,61.691
2021-09-21,63.66,64.9,63.13,63.53,17172400,64.952,66.968,64.623,44.029,-0.047,0.379,-0.425,66.968,71.751,62.184
