Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,29.18,29.22,28.65,28.88,12954000,,,,,0.0,0.0,0.0,,,
2021-09-14,28.93,28.93,28.44,28.5,9952200,,,,,-0.03,-0.006,-0.024,,,
2021-09-15,28.67,28.98,28.53,28.83,11871400,,,,,-0.027,-0.01,-0.017,,,
2021-09-16,28.96,29.03,28.73,28.89,12604100,,,,,-0.02,-0.012,-0.008,,,
2021-09-17,28.81,28.97,28.22,28.32,24017600,28.684,,,,-0.059,-0.022,-0.038,,,
2021-09-20,27.94,28.03,27.56,27.82,15750200,28.472,,,,-0.13,-0.043,-0.086,,,
2021-09-21,28.13,28.35,27.68,27.76,10219100,28.324,,,,-0.188,-0.072,-0.116,,,
2021-09-22,27.91,28.18,27.86,27.9,8814700,28.138,,,,-0.22,-0.102,-0.118,,,
2021-09-23,27.91,28.42,27.91,28.23,9476400,28.006,,,,-0.217,-0.125,-0.092,,,
2021-09-24,28.14,28.68,28.09,28.43,10130900,28.028,,,,-0.195,-0.139,-0.057,,,
2021-09-27,28.35,28.8,28.27,28.56,10213800,28.176,,,,-0.166,-0.144,-0.022,,,
2021-09-28,28.54,28.65,28.2,28.5,16501300,28.324,,,,-0.146,-0.145,-0.002,,,
2021-09-29,28.42,28.61,28.26,28.37,11565900,28.418,,,,-0.139,-0.144,0.004,,,
2021-09-30,28.47,28.55,27.77,27.79,10400800,28.33,,,,-0.179,-0.151,-0.028,,,
2021-10-01,27.83,28.56,27.83,28.35,12352200,28.314,,,47.113,-0.163,-0.153,-0.01,,,
2021-10-04,28.39,28.82,28.3,28.51,16652400,28.304,,,50.334,-0.136,-0.15,0.014,,,
2021-10-05,28.44,29.59,28.44,29.37,16226100,28.478,,,63.279,-0.044,-0.128,0.084,,,
2021-10-06,29.13,30.46,29.12,30.41,17573800,28.886,,,72.585,0.111,-0.081,0.192,,,
2021-10-07,30.65,30.7,30.02,30.07,11944500,29.342,,,66.639,0.204,-0.024,0.228,,,
2021-10-08,30.08,30.65,30.0,30.57,9871500,29.786,28.703,,70.47,0.315,0.044,0.271,28.703,30.342,27.064
2021-10-11,30.57,30.83,30.36,30.37,8718300,30.158,28.777,,67.149,0.382,0.112,0.27,28.777,30.578,26.977
2021-10-12,30.44,30.44,29.95,30.03,7468700,30.29,28.854,,61.815,0.403,0.17,0.233,28.854,30.733,26.975
2021-10-13,30.16,30.57,29.89,30.45,8349400,30.298,28.935,,65.464,0.448,0.225,0.223,28.935,30.945,26.925
2021-10-14,30.68,31.25,30.64,31.24,11005500,30.532,29.052,,71.066,0.542,0.289,0.253,29.052,31.311,26.794
2021-10-15,31.4,32.17,31.37,31.92,20535100,30.802,29.233,,74.848,0.663,0.364,0.299,29.233,31.798,26.667
2021-10-18,31.76,32.09,31.59,31.99,10913400,31.126,29.441,,75.207,0.756,0.442,0.314,29.441,32.194,26.688
2021-10-19,32.09,32.17,31.73,31.88,10274300,31.496,29.647,,73.432,0.812,0.516,0.296,29.647,32.486,26.808
2021-10-20,31.88,32.29,31.65,32.2,14134700,31.846,29.862,,75.261,0.871,0.587,0.284,29.862,32.793,26.931
2021-10-21,33.02,33.54,32.67,32.72,21688800,32.142,30.086,,77.921,0.95,0.66,0.29,30.086,33.175,26.998
