Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-08-20,93.71,94.25,92.83,93.49,1726400,,,,,0.0,0.0,0.0,,,
2021-08-23,93.71,94.22,93.21,93.52,946000,,,,,0.002,0.0,0.002,,,
2021-08-24,93.69,93.83,93.04,93.27,855200,,,,,-0.016,-0.003,-0.013,,,
2021-08-25,93.15,93.74,92.92,93.57,912800,,,,,-0.006,-0.003,-0.002,,,
2021-08-26,93.56,93.56,92.85,93.07,660800,93.384,,,,-0.038,-0.01,-0.028,,,
2021-08-27,93.27,94.25,92.6,93.46,828000,93.378,,,,-0.031,-0.014,-0.017,,,
2021-08-30,93.4,94.33,92.99,93.9,992800,93.454,,,,0.009,-0.01,0.019,,,
2021-08-31,94.1,94.58,93.39,94.43,1420400,93.686,,,,0.083,0.009,0.074,,,
2021-09-01,94.69,95.13,94.0,94.51,895600,93.874,,,,0.146,0.036,0.11,,,
2021-09-02,95.1,95.24,93.89,94.58,1222000,94.176,,,,0.2,0.069,0.131,,,
2021-09-03,94.33,94.99,94.17,94.61,1338400,94.406,,,,0.242,0.104,0.138,,,
2021-09-07,94.06,94.49,93.31,93.4,1003600,94.306,,,,0.176,0.118,0.058,,,
2021-09-08,93.38,95.07,93.12,95.04,890400,94.428,,,,0.253,0.145,0.108,,,
2021-09-09,95.24,95.79,94.86,95.46,1194000,94.618,,,,0.343,0.185,0.159,,,
2021-09-10,95.85,97.65,95.65,96.33,1732400,94.968,,,73.85,0.48,0.244,0.236,,,
2021-09-13,97.23,97.78,96.4,97.0,2990000,95.446,,,77.143,0.635,0.322,0.313,,,
2021-09-14,97.61,97.61,94.37,94.51,2690400,95.668,,,51.294,0.551,0.368,0.183,,,
2021-09-15,94.57,95.44,94.25,95.15,1814400,95.69,,,55.428,0.529,0.4,0.129,,,
2021-09-16,95.15,95.53,94.38,95.33,1086000,95.664,,,56.545,0.521,0.424,0.097,,,
2021-09-17,95.11,95.41,93.49,93.74,4992000,95.146,94.418,,45.659,0.382,0.416,-0.034,94.418,96.543,92.294
2021-09-20,92.86,94.03,92.4,93.91,2108800,94.528,94.44,,46.837,0.282,0.389,-0.107,94.44,96.534,92.345
2021-09-21,94.18,94.75,93.43,93.84,1366800,94.394,94.456,,46.391,0.195,0.35,-0.155,94.456,96.525,92.386
2021-09-22,94.74,95.05,93.44,94.53,1182400,94.27,94.518,,51.314,0.179,0.316,-0.137,94.518,96.511,92.526
2021-09-23,94.7,96.12,94.42,95.87,964800,94.378,94.634,,59.158,0.272,0.307,-0.035,94.634,96.661,92.606
2021-09-24,95.05,96.02,94.92,95.79,982400,94.788,94.77,,58.551,0.335,0.313,0.022,94.77,96.719,92.82
2021-09-27,95.29,96.35,94.14,94.34,1578000,94.874,94.814,,48.788,0.265,0.303,-0.038,94.814,96.676,92.951
2021-09-28,93.75,93.97,91.89,92.12,1918000,94.53,94.724,,38.267,0.03,0.249,-0.218,94.724,96.913,92.536
2021-09-29,93.86,95.26,91.83,92.88,1903600,94.2,94.647,,42.814,-0.094,0.18,-0.274,94.647,96.984,92.31
2021-09-30,93.18,93.27,90.77,90.83,1872800,93.192,94.463,,35.268,-0.353,0.073,-0.427,94.463,97.358,91.568
2021-10-01,91.36,92.76,90.03,92.42,1709600,92.518,94.355,,43.574,-0.425,-0.026,-0.399,94.355,97.389,91.321
2021-10-04,93.05,93.17,91.22,92.12,2492800,92.074,94.23,,42.467,-0.501,-0.121,-0.38,94.23,97.421,91.04
2021-10-05,92.25,94.21,92.12,93.5,1490000,92.35,94.236,,48.9,-0.445,-0.186,-0.259,94.236,97.421,91.05
2021-10-06,92.76,94.56,92.2,94.47,1287200,92.668,94.207,,52.887,-0.318,-0.212,-0.106,94.207,97.372,91.042
2021-10-07,95.11,96.32,94.9,95.63,1374000,93.628,94.215,,57.189,-0.123,-0.195,0.072,94.215,97.396,91.035
2021-10-08,95.91,96.49,95.3,96.11,1271200,94.366,94.205,,58.863,0.07,-0.142,0.212,94.205,97.356,91.053
2021-10-11,96.15,97.38,95.99,96.01,1072400,95.144,94.155,,58.351,0.212,-0.071,0.283,94.155,97.148,91.162
2021-10-12,96.05,96.86,95.91,96.4,1396400,95.724,94.25,,59.819,0.352,0.014,0.339,94.25,97.405,91.094
2021-10-13,96.78,97.66,96.09,96.71,1269200,96.172,94.328,,60.995,0.483,0.108,0.375,94.328,97.649,91.006
2021-10-14,97.83,99.46,97.3,99.36,1376400,96.918,94.529,,69.277,0.791,0.244,0.547,94.529,98.527,90.531
2021-10-15,99.74,100.14,98.97,99.27,1374000,97.55,94.806,,68.743,1.016,0.399,0.618,94.806,99.307,90.304
2021-10-18,98.97,100.55,98.66,100.47,1058000,98.442,95.134,,71.857,1.277,0.574,0.703,95.134,100.271,89.996
2021-10-19,100.86,101.14,100.13,101.14,727200,99.39,95.498,,73.448,1.52,0.763,0.756,95.498,101.25,89.747
2021-10-20,101.39,101.87,100.88,101.1,1055200,100.268,95.827,,73.182,1.69,0.949,0.741,95.827,102.075,89.579
2021-10-21,101.11,101.75,100.62,101.32,1171200,100.66,96.1,,73.745,1.821,1.123,0.698,96.1,102.813,89.386
2021-10-22,101.74,102.35,101.66,101.84,1070000,101.174,96.402,,75.077,1.945,1.288,0.657,96.402,103.586,89.218
2021-10-25,101.74,102.61,101.36,102.26,1161600,101.532,96.798,,76.13,2.053,1.441,0.613,96.798,104.366,89.23
2021-10-26,102.65,103.27,102.16,102.72,1331600,101.848,97.328,,77.263,2.151,1.583,0.569,97.328,105.0,89.656
2021-10-27,102.91,102.91,100.85,100.91,806800,101.81,97.73,,64.322,2.059,1.678,0.381,97.73,105.261,90.198
2021-10-28,101.05,101.78,100.41,101.66,882800,101.878,98.271,,66.803,2.024,1.747,0.276,98.271,105.251,91.291
2021-10-29,101.44,104.11,101.28,103.34,1482000,102.178,98.817,96.025,71.572,2.106,1.819,0.287,98.817,105.575,92.059
2021-11-01,103.69,104.05,102.49,102.77,870000,102.28,99.35,96.21,68.003,2.102,1.876,0.226,99.35,105.54,93.159
2021-11-02,103.42,103.99,102.26,103.87,1097600,102.51,99.868,96.417,71.008,2.162,1.933,0.229,99.868,105.723,94.013
2021-11-03,103.87,104.63,102.71,104.49,1202400,103.226,100.369,96.642,72.571,2.234,1.993,0.241,100.369,105.99,94.748
2021-11-04,104.39,105.93,104.08,105.13,1132000,103.92,100.844,96.873,74.123,2.316,2.058,0.259,100.844,106.384,95.304
2021-11-05,105.95,107.13,105.35,105.45,1165600,104.342,101.311,97.121,74.888,2.38,2.122,0.258,101.311,106.744,95.878
2021-11-08,105.91,106.35,103.14,104.24,1408000,104.636,101.722,97.336,66.843,2.306,2.159,0.147,101.722,106.692,96.753
2021-11-09,104.29,104.68,103.56,104.26,1003600,104.714,102.116,97.543,66.906,2.223,2.172,0.051,102.116,106.524,97.707
2021-11-10,103.91,104.64,103.18,103.53,1515600,104.522,102.456,97.725,62.237,2.075,2.152,-0.078,102.456,106.092,98.821
2021-11-11,103.9,104.22,103.27,103.55,998400,104.206,102.666,97.906,62.314,1.937,2.109,-0.173,102.666,106.022,99.31
2021-11-12,104.19,105.17,103.47,104.88,874800,104.092,102.946,98.112,67.149,1.912,2.07,-0.158,102.946,106.035,99.858
2021-11-15,105.05,105.58,104.24,104.96,682400,104.236,103.171,98.319,67.419,1.878,2.031,-0.154,103.171,106.152,100.19
2021-11-16,104.84,106.08,104.36,106.02,967200,104.588,103.415,98.572,70.848,1.914,2.008,-0.094,103.415,106.493,100.337
2021-11-17,106.02,106.43,105.07,106.3,707600,105.142,103.675,98.797,71.695,1.943,1.995,-0.052,103.675,106.808,100.542
2021-11-18,106.52,106.89,105.57,105.88,999600,105.608,103.903,99.005,68.48,1.91,1.978,-0.068,103.903,106.978,100.828
2021-11-19,106.62,107.42,105.75,106.66,1326800,105.964,104.144,99.212,71.074,1.924,1.967,-0.043,104.144,107.292,100.996
