Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-09,70.34,70.73,70.17,70.2,1849800,,,,,0.0,0.0,0.0,,,
2021-09-10,70.46,70.82,69.94,70.0,1754900,,,,,-0.016,-0.003,-0.013,,,
2021-09-13,70.37,70.51,69.45,70.13,1941600,,,,,-0.018,-0.006,-0.012,,,
2021-09-14,70.49,70.57,69.36,69.47,1668400,,,,,-0.072,-0.019,-0.053,,,
2021-09-15,69.5,70.42,69.07,70.2,2681000,70.0,,,,-0.055,-0.026,-0.029,,,
2021-09-16,70.2,70.55,69.76,70.46,1900200,70.052,,,,-0.021,-0.025,0.005,,,
2021-09-17,70.08,70.37,69.02,69.28,3759300,69.908,,,,-0.087,-0.038,-0.05,,,
2021-09-20,68.57,68.97,67.96,68.9,2536400,69.662,,,,-0.169,-0.064,-0.105,,,
2021-09-21,69.01,69.27,68.37,68.39,2322200,69.446,,,,-0.272,-0.106,-0.166,,,
2021-09-22,68.82,69.52,68.69,69.2,1713200,69.246,,,,-0.285,-0.141,-0.143,,,
2021-09-23,69.46,70.94,69.09,70.82,2723600,69.318,,,,-0.162,-0.146,-0.017,,,
2021-09-24,70.47,71.65,70.45,71.25,2989800,69.712,,,,-0.03,-0.123,0.092,,,
2021-09-27,71.0,71.86,70.5,71.62,2884400,70.256,,,,0.103,-0.077,0.181,,,
2021-09-28,71.33,71.44,69.93,70.09,2959500,70.596,,,,0.084,-0.045,0.129,,,
2021-09-29,70.0,70.28,69.29,69.38,2062100,70.632,,,44.429,0.012,-0.034,0.046,,,
2021-09-30,69.64,69.88,67.94,68.12,2837000,70.092,,,36.915,-0.145,-0.056,-0.089,,,
2021-10-01,68.5,69.47,67.72,69.09,2395700,69.66,,,44.672,-0.189,-0.083,-0.107,,,
2021-10-04,68.83,69.25,67.83,68.24,1967400,68.984,,,40.027,-0.29,-0.124,-0.166,,,
2021-10-05,68.37,68.79,67.82,68.32,1856300,68.63,,,40.653,-0.359,-0.171,-0.188,,,
2021-10-06,67.74,68.74,67.05,68.26,2304500,68.406,69.571,,40.313,-0.413,-0.219,-0.194,69.571,71.645,67.497
2021-10-07,68.84,69.53,68.76,69.08,1516900,68.598,69.515,,46.848,-0.386,-0.253,-0.133,69.515,71.578,67.452
2021-10-08,68.96,69.76,68.92,69.29,2191500,68.638,69.48,,48.406,-0.343,-0.271,-0.073,69.48,71.532,67.427
2021-10-11,68.99,70.15,68.98,69.2,1893400,68.83,69.433,,47.76,-0.313,-0.279,-0.034,69.433,71.465,67.401
2021-10-12,69.01,69.45,68.55,68.94,2672800,68.954,69.407,,45.856,-0.307,-0.285,-0.022,69.407,71.45,67.363
2021-10-13,69.75,70.29,69.05,69.42,2720100,69.186,69.367,,49.832,-0.26,-0.28,0.02,69.367,71.377,67.358
2021-10-14,70.0,71.41,70.0,71.09,2268000,69.588,69.399,,60.659,-0.087,-0.241,0.154,69.399,71.498,67.3
2021-10-15,71.33,72.48,71.01,72.36,5901600,70.202,69.553,,66.567,0.15,-0.163,0.313,69.553,72.033,67.073
2021-10-18,72.0,72.58,71.51,72.41,2181300,70.844,69.728,,66.779,0.339,-0.063,0.402,69.728,72.494,66.963
2021-10-19,72.78,73.35,72.44,73.24,1758300,71.704,69.971,,70.155,0.549,0.06,0.489,69.971,73.073,66.869
2021-10-20,73.07,73.22,71.86,72.66,1765100,72.352,70.144,,65.171,0.661,0.18,0.481,70.144,73.444,66.844
2021-10-21,72.49,72.7,72.1,72.59,1628300,72.652,70.232,,64.575,0.736,0.291,0.445,70.232,73.7,66.765
2021-10-22,72.83,73.24,72.39,72.51,1726200,72.682,70.296,,63.856,0.779,0.389,0.391,70.296,73.884,66.707
2021-10-25,72.65,72.72,72.29,72.48,1600400,72.696,70.338,,63.57,0.802,0.471,0.331,70.338,74.014,66.663
2021-10-26,72.78,73.65,72.22,72.29,3441600,72.506,70.448,,61.686,0.796,0.536,0.26,70.448,74.223,66.674
2021-10-27,71.93,72.04,70.34,71.33,4054800,72.24,70.546,,53.122,0.706,0.57,0.135,70.546,74.305,66.787
2021-10-28,73.45,75.27,70.11,70.97,5048700,71.916,70.688,,50.301,0.598,0.576,0.022,70.688,74.272,67.105
2021-10-29,70.61,72.15,70.59,71.68,2616100,71.75,70.818,,55.338,0.563,0.573,-0.01,70.818,74.345,67.291
2021-11-01,71.6,72.01,71.31,71.6,1460600,71.574,70.986,,54.666,0.523,0.563,-0.04,70.986,74.31,67.662
2021-11-02,71.84,72.24,71.41,72.17,2106900,71.55,71.178,,58.531,0.532,0.557,-0.025,71.178,74.292,68.065
2021-11-03,72.1,73.43,71.34,73.11,2841300,71.906,71.421,,63.984,0.607,0.567,0.04,71.421,74.326,68.516
2021-11-04,73.19,73.63,72.67,73.01,2257800,72.314,71.617,,63.035,0.651,0.584,0.067,71.617,74.384,68.851
2021-11-05,73.43,74.3,73.12,73.35,1791900,72.648,71.821,,64.94,0.705,0.608,0.097,71.821,74.461,69.18
2021-11-08,73.43,73.92,73.18,73.59,1393200,73.046,72.04,,66.262,0.759,0.638,0.121,72.04,74.486,69.594
2021-11-09,73.54,74.07,73.2,73.9,1787200,73.392,72.288,,67.943,0.817,0.674,0.143,72.288,74.392,70.184
2021-11-10,73.98,74.81,73.92,74.03,2253500,73.576,72.518,,68.649,0.864,0.712,0.152,72.518,74.282,70.755
2021-11-11,74.24,74.86,73.97,74.42,2100000,73.858,72.685,,70.73,0.922,0.754,0.168,72.685,74.509,70.861
2021-11-12,74.54,75.76,74.42,75.25,2131000,74.238,72.83,,74.596,1.023,0.808,0.215,72.83,74.975,70.684
2021-11-15,75.53,75.89,75.01,75.22,2007700,74.564,72.97,,74.215,1.088,0.864,0.224,72.97,75.354,70.586
