Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,60.21,60.52,59.9,60.45,2327600,,,,,0.0,0.0,0.0,,,
2021-07-13,60.22,60.39,59.45,59.61,2066000,,,,,-0.067,-0.013,-0.054,,,
2021-07-14,59.54,60.44,59.3,60.2,2661800,,,,,-0.072,-0.025,-0.047,,,
2021-07-15,60.1,60.95,60.02,60.92,3210700,,,,,-0.017,-0.023,0.006,,,
2021-07-16,61.1,62.03,60.81,61.74,3401900,60.584,,,,0.091,-0.001,0.092,,,
2021-07-19,61.61,62.51,60.11,60.7,5314800,60.634,,,,0.092,0.018,0.074,,,
2021-07-20,60.81,61.44,60.4,60.55,3701200,60.822,,,,0.08,0.03,0.049,,,
2021-07-21,60.62,60.66,59.76,59.78,3022100,60.738,,,,0.008,0.026,-0.018,,,
2021-07-22,59.98,60.13,59.38,59.52,3317100,60.458,,,,-0.069,0.007,-0.076,,,
2021-07-23,59.69,60.31,59.44,60.26,3353900,60.162,,,,-0.07,-0.008,-0.061,,,
2021-07-26,60.26,60.31,59.72,60.08,3190100,60.038,,,,-0.084,-0.024,-0.06,,,
2021-07-27,60.27,61.83,59.8,61.47,3188500,60.222,,,,0.017,-0.016,0.032,,,
2021-07-28,61.44,61.51,60.22,60.6,2358700,60.386,,,,0.026,-0.007,0.033,,,
2021-07-29,60.57,60.8,60.05,60.42,2053500,60.566,,,,0.019,-0.002,0.021,,,
2021-07-30,60.41,60.96,59.75,59.9,3339000,60.494,,,45.116,-0.029,-0.007,-0.021,,,
2021-08-02,60.01,60.59,59.87,60.29,2779700,60.536,,,48.877,-0.034,-0.013,-0.022,,,
2021-08-03,60.43,61.11,60.11,60.41,2697300,60.324,,,50.012,-0.029,-0.016,-0.013,,,
2021-08-04,60.01,60.43,59.56,60.39,2835300,60.282,,,49.813,-0.026,-0.018,-0.008,,,
2021-08-05,60.53,60.92,60.11,60.87,2519800,60.372,,,54.483,0.015,-0.011,0.026,,,
2021-08-06,60.81,61.11,60.5,60.81,2974700,60.554,60.448,,53.809,0.042,-0.001,0.043,60.448,61.564,59.333
2021-08-09,60.8,60.97,60.27,60.81,3031400,60.658,60.466,,53.809,0.063,0.012,0.051,60.466,61.594,59.339
2021-08-10,60.85,61.51,60.58,61.16,3931900,60.808,60.544,,57.376,0.107,0.031,0.076,60.544,61.636,59.452
2021-08-11,61.0,61.7,60.92,61.55,3919100,61.04,60.612,,60.991,0.17,0.059,0.112,60.612,61.779,59.444
2021-08-12,61.47,62.02,61.42,61.9,2914700,61.246,60.66,,63.946,0.247,0.096,0.15,60.66,61.957,59.364
2021-08-13,61.99,62.37,61.69,62.18,2552900,61.52,60.682,,66.155,0.326,0.142,0.183,60.682,62.068,59.297
2021-08-16,62.35,63.08,62.17,62.78,3083100,61.914,60.786,,70.348,0.432,0.2,0.232,60.786,62.46,59.113
2021-08-17,62.78,63.06,62.28,62.91,2245100,62.264,60.904,,71.181,0.52,0.264,0.256,60.904,62.823,58.986
2021-08-18,62.91,62.99,62.06,62.39,2903900,62.432,61.035,,63.497,0.543,0.32,0.223,61.035,62.986,59.084
2021-08-19,62.61,63.46,62.31,63.26,4125700,62.704,61.222,,69.441,0.623,0.381,0.242,61.222,63.276,59.168
2021-08-20,63.4,64.09,62.96,64.05,3742900,63.078,61.412,,73.638,0.742,0.453,0.289,61.412,63.769,59.054
2021-08-23,63.92,63.95,63.13,63.19,4145300,63.16,61.567,,63.425,0.758,0.514,0.244,61.567,63.964,59.17
2021-08-24,63.2,63.25,62.7,62.84,2860800,63.146,61.636,,59.79,0.734,0.558,0.176,61.636,64.098,59.173
2021-08-25,62.69,62.98,62.42,62.86,2622100,63.24,61.748,,59.932,0.709,0.588,0.121,61.748,64.219,59.278
2021-08-26,62.7,62.88,62.25,62.77,2170100,63.142,61.866,,58.928,0.673,0.605,0.068,61.866,64.293,59.439
2021-08-27,62.86,62.99,62.43,62.56,3143600,62.844,61.999,,56.549,0.621,0.608,0.013,61.999,64.259,59.739
2021-08-30,62.56,62.9,62.32,62.65,2147100,62.736,62.117,,57.344,0.581,0.603,-0.022,62.117,64.243,59.991
2021-08-31,62.31,62.79,61.96,62.28,4361300,62.624,62.21,,53.047,0.513,0.585,-0.072,62.21,64.179,60.242
