Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,182.21,183.42,175.99,177.18,1157500,,,,,0.0,0.0,0.0,,,
2021-07-13,177.0,179.06,175.16,176.49,992300,,,,,-0.055,-0.011,-0.044,,,
2021-07-14,177.39,178.31,169.1,169.33,1591800,,,,,-0.669,-0.143,-0.526,,,
2021-07-15,167.83,174.63,164.16,167.33,1702000,,,,,-1.301,-0.374,-0.927,,,
2021-07-16,168.51,169.83,164.65,167.36,1158800,171.538,,,,-1.78,-0.655,-1.124,,,
2021-07-19,163.32,176.99,163.15,175.5,2512100,171.202,,,,-1.485,-0.821,-0.664,,,
2021-07-20,176.24,180.0,173.65,177.56,1676700,171.416,,,,-1.073,-0.872,-0.201,,,
2021-07-21,177.69,179.49,175.68,179.02,1771400,173.354,,,,-0.621,-0.822,0.2,,,
2021-07-22,179.18,184.29,177.88,182.78,1444200,176.444,,,,0.039,-0.649,0.689,,,
2021-07-23,181.95,188.62,180.39,188.6,2911100,180.692,,,,1.021,-0.315,1.336,,,
2021-07-26,186.21,188.32,182.64,184.09,918000,182.41,,,,1.419,0.031,1.387,,,
2021-07-27,182.8,184.0,174.12,179.99,2291300,182.896,,,,1.387,0.303,1.084,,,
2021-07-28,182.12,187.5,181.29,186.85,2123800,184.462,,,,1.894,0.621,1.273,,,
2021-07-29,184.0,185.33,177.78,178.06,2091600,183.518,,,,1.568,0.81,0.758,,,
2021-07-30,175.81,176.74,173.13,174.29,1623900,180.656,,,45.006,0.994,0.847,0.147,,,
2021-08-02,175.35,179.53,169.8,177.63,1512700,179.364,,,49.421,0.799,0.837,-0.038,,,
2021-08-03,177.01,180.56,175.54,177.13,1218900,178.792,,,48.79,0.598,0.79,-0.192,,,
2021-08-04,175.44,180.42,175.05,178.52,1243200,177.126,,,50.677,0.544,0.74,-0.196,,,
2021-08-05,178.37,186.08,177.84,181.33,2130500,177.78,,,54.34,0.72,0.736,-0.016,,,
2021-08-06,182.42,183.39,178.62,181.56,1897000,179.234,178.03,,54.637,0.868,0.763,0.105,178.03,189.324,166.736
2021-08-09,182.8,186.11,180.11,183.15,1264100,180.338,178.329,,56.732,1.101,0.83,0.271,178.329,189.842,166.815
2021-08-10,186.9,194.25,186.2,190.16,3758100,182.944,179.012,,64.513,1.83,1.03,0.8,179.012,191.635,166.389
2021-08-11,190.51,191.63,187.02,190.56,2609100,185.352,180.074,,64.901,2.412,1.307,1.106,180.074,192.838,167.309
2021-08-12,192.19,192.49,187.0,188.21,3824100,186.728,181.118,,60.703,2.653,1.576,1.077,181.118,192.869,169.366
2021-08-13,181.0,195.45,177.15,194.79,6915100,189.374,182.489,,67.116,3.337,1.928,1.409,182.489,193.877,171.101
2021-08-16,189.54,192.77,186.19,187.67,3304200,190.278,183.098,,56.391,3.267,2.196,1.071,183.098,194.21,171.985
2021-08-17,184.55,194.21,183.61,185.88,3447200,189.422,183.514,,54.053,3.032,2.363,0.669,183.514,194.374,172.653
2021-08-18,185.0,194.25,184.74,191.63,2894500,189.636,184.144,,59.817,3.271,2.545,0.727,184.144,195.364,172.924
2021-08-19,182.62,185.43,178.24,182.06,6448900,188.406,184.108,,48.836,2.659,2.568,0.091,184.108,195.351,172.865
2021-08-20,182.8,187.23,176.15,184.08,6305200,186.264,183.882,,50.885,2.31,2.516,-0.206,183.882,194.925,172.839
2021-08-23,177.36,185.0,173.57,183.08,2939000,185.346,183.831,,49.821,1.93,2.399,-0.469,183.831,194.879,172.784
2021-08-24,184.89,189.53,183.34,187.45,2101500,185.66,184.204,,54.317,1.959,2.311,-0.352,184.204,195.21,173.199
2021-08-25,185.45,190.12,184.55,188.25,1914300,184.984,184.275,,55.11,2.023,2.253,-0.23,184.275,195.368,173.181
2021-08-26,188.46,194.65,187.17,191.0,2223600,186.772,184.922,,57.82,2.27,2.257,0.013,184.922,195.999,173.844
2021-08-27,186.89,190.25,186.05,187.94,1696600,187.544,185.604,,53.919,2.193,2.244,-0.051,185.604,195.547,175.661
2021-08-30,187.91,193.83,187.61,192.7,1773500,189.468,186.358,,58.598,2.488,2.293,0.195,186.358,196.037,176.678
2021-08-31,192.49,196.65,189.87,191.4,5344700,190.258,187.071,,56.899,2.587,2.352,0.235,187.071,195.958,178.184
2021-09-01,192.0,194.8,190.6,191.8,2321500,190.968,187.735,,57.309,2.667,2.415,0.252,187.735,195.885,179.585
2021-09-02,192.0,193.5,189.26,191.72,1915200,191.112,188.254,,57.192,2.692,2.47,0.222,188.254,196.0,180.509
2021-09-03,191.0,194.12,190.0,193.46,1255300,192.216,188.85,,59.149,2.821,2.54,0.28,188.85,196.251,181.448
2021-09-07,195.0,199.5,192.16,197.12,3123400,193.1,189.548,,62.984,3.181,2.668,0.513,189.548,197.312,181.784
2021-09-08,195.26,203.64,194.75,200.92,3583100,195.004,190.086,,66.5,3.73,2.881,0.849,190.086,199.371,180.801
2021-09-09,201.77,210.14,200.8,207.74,4114400,198.192,190.945,,71.696,4.662,3.237,1.425,190.945,203.138,178.752
2021-09-10,209.0,214.25,206.8,210.37,3307200,201.922,192.053,,73.409,5.549,3.699,1.849,192.053,206.931,177.175
2021-09-13,208.62,212.14,203.66,208.64,2852800,204.958,192.746,,70.391,6.042,4.168,1.874,192.746,209.35,176.141
2021-09-14,205.9,211.7,203.1,203.33,4008900,206.2,193.528,,61.971,5.936,4.522,1.415,193.528,210.595,176.462
2021-09-15,204.89,211.48,203.59,209.85,3372000,207.986,194.727,,67.164,6.306,4.878,1.428,194.727,212.865,176.589
2021-09-16,217.04,225.45,216.6,221.5,5786800,210.738,196.22,,73.998,7.453,5.393,2.06,196.22,217.865,174.576
2021-09-17,223.03,227.4,220.0,222.91,14845700,213.246,198.263,,74.685,8.379,5.991,2.389,198.263,221.899,174.627
2021-09-20,219.24,226.57,217.32,220.32,3654300,215.582,200.075,188.806,70.977,8.803,6.553,2.25,200.075,224.67,175.48
2021-09-21,222.33,224.48,217.5,221.36,3250500,219.188,201.989,189.689,71.587,9.117,7.066,2.051,201.989,226.97,177.008
2021-09-22,221.35,223.57,215.82,217.66,2170800,220.75,203.499,190.513,66.252,8.965,7.446,1.519,203.499,228.433,178.566
2021-09-23,220.04,220.5,211.71,217.0,2710800,219.85,204.937,191.466,65.316,8.69,7.695,0.996,204.937,229.48,180.394
2021-09-24,219.98,225.42,217.83,220.52,4377900,219.372,206.413,192.53,67.917,8.657,7.887,0.77,206.413,230.978,181.848
2021-09-27,218.22,219.45,212.78,216.73,1671400,218.654,207.853,193.517,62.484,8.23,7.956,0.274,207.853,231.204,184.501
2021-09-28,213.51,214.49,204.55,206.32,2199300,215.646,208.534,194.134,50.528,6.971,7.759,-0.788,208.534,230.793,186.274
2021-09-29,207.49,210.0,205.38,205.83,1396900,213.28,209.255,194.699,50.043,5.866,7.38,-1.514,209.255,230.064,188.446
2021-09-30,205.99,208.49,203.24,205.98,1565500,211.076,209.964,195.238,50.2,4.946,6.893,-1.947,209.964,229.174,190.754
2021-10-01,208.46,209.77,200.68,203.99,1666500,207.77,210.578,195.663,48.034,4.01,6.317,-2.307,210.578,228.038,193.117
2021-10-04,201.14,203.62,196.86,197.68,1556900,203.96,210.788,195.844,41.864,2.727,5.599,-2.872,210.788,227.463,194.114
2021-10-05,199.83,202.93,198.92,199.5,1137300,202.596,210.907,196.152,44.095,1.836,4.846,-3.01,210.907,227.2,194.615
2021-10-06,198.73,205.4,198.18,205.26,2258600,202.482,211.124,196.658,50.56,1.577,4.192,-2.615,211.124,226.967,195.282
2021-10-07,209.31,210.25,204.58,204.92,1084800,202.27,210.984,197.019,50.191,1.329,3.62,-2.291,210.984,227.002,194.965
2021-10-08,204.9,207.99,204.15,204.42,892100,202.356,210.686,197.546,49.617,1.079,3.112,-2.032,210.686,226.971,194.401
