Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-08-16,45.82,45.98,45.37,45.88,1763073,,,,,0.0,0.0,0.0,,,
2021-08-17,45.66,45.7,44.71,45.04,2405087,,,,,-0.067,-0.013,-0.054,,,
2021-08-18,44.85,45.17,44.63,44.64,1565970,,,,,-0.151,-0.041,-0.11,,,
2021-08-19,44.2,44.64,43.97,44.3,2248431,,,,,-0.242,-0.081,-0.161,,,
2021-08-20,44.83,45.55,44.67,45.35,3037828,45.042,,,,-0.226,-0.11,-0.116,,,
2021-08-23,45.56,46.25,45.31,46.1,3252885,45.086,,,,-0.152,-0.118,-0.034,,,
2021-08-24,46.5,46.64,45.99,46.38,4843912,45.354,,,,-0.07,-0.109,0.039,,,
2021-08-25,46.24,47.16,46.11,46.99,3476426,45.824,,,,0.044,-0.078,0.122,,,
2021-08-26,47.19,47.28,46.55,46.76,4156322,46.316,,,,0.115,-0.04,0.154,,,
2021-08-27,45.43,46.71,43.74,44.64,10634075,46.174,,,,-0.0,-0.032,0.031,,,
2021-08-30,44.92,45.61,44.38,45.19,5722687,45.992,,,,-0.047,-0.035,-0.012,,,
2021-08-31,45.18,45.33,44.75,44.87,4847858,45.69,,,,-0.108,-0.049,-0.059,,,
2021-09-01,44.9,45.11,44.53,44.55,3568170,45.202,,,,-0.181,-0.076,-0.105,,,
2021-09-02,44.67,45.04,44.43,44.69,4295616,44.788,,,,-0.224,-0.105,-0.119,,,
2021-09-03,44.69,45.12,44.61,44.73,5029966,44.806,,,41.636,-0.252,-0.135,-0.118,,,
2021-09-07,44.57,44.75,44.13,44.21,5111648,44.61,,,37.254,-0.313,-0.17,-0.143,,,
2021-09-08,44.13,44.31,43.36,43.69,3880891,44.374,,,33.461,-0.399,-0.216,-0.183,,,
2021-09-09,43.52,44.57,43.52,44.38,3654391,44.34,,,41.912,-0.406,-0.254,-0.152,,,
2021-09-10,44.63,44.74,43.75,43.85,4062407,44.172,,,37.927,-0.45,-0.293,-0.156,,,
2021-09-13,45.3,45.77,44.92,45.53,11731655,44.332,45.088,,53.136,-0.345,-0.303,-0.041,45.088,46.948,43.229
2021-09-14,45.5,45.54,44.74,44.86,5554982,44.462,45.038,,48.077,-0.312,-0.305,-0.007,45.038,46.861,43.214
2021-09-15,44.94,46.38,44.78,46.24,5807131,44.972,45.098,,57.131,-0.172,-0.279,0.106,45.098,46.998,43.197
2021-09-16,46.14,46.77,45.99,46.69,5478035,45.434,45.2,,59.604,-0.025,-0.228,0.203,45.2,47.215,43.185
2021-09-17,46.69,47.03,45.38,46.29,8707836,45.922,45.3,,56.484,0.058,-0.171,0.229,45.3,47.324,43.275
2021-09-20,45.51,47.0,45.49,46.44,8217150,46.104,45.354,,57.385,0.135,-0.11,0.245,45.354,47.442,43.266
2021-09-21,46.96,47.06,45.5,45.74,5475667,46.28,45.336,,51.978,0.138,-0.06,0.198,45.336,47.403,43.269
2021-09-22,45.92,46.0,45.09,45.71,5756425,46.174,45.302,,51.753,0.136,-0.021,0.157,45.302,47.319,43.286
2021-09-23,46.4,48.45,45.58,47.28,11649184,46.292,45.317,,61.218,0.258,0.035,0.223,45.317,47.388,43.246
2021-09-24,47.25,47.93,47.24,47.83,6315968,46.6,45.37,,63.89,0.395,0.107,0.288,45.37,47.644,43.097
2021-09-27,47.62,48.39,47.6,48.28,4292853,46.968,45.552,,65.957,0.534,0.192,0.341,45.552,48.141,42.964
2021-09-28,47.98,48.66,47.9,48.48,4103643,47.516,45.717,,66.865,0.652,0.284,0.368,45.717,48.608,42.826
2021-09-29,48.62,48.92,47.84,48.52,4778211,48.078,45.9,,67.054,0.741,0.375,0.365,45.9,49.018,42.781
2021-09-30,48.64,48.74,47.29,47.9,4859104,48.202,46.067,,61.218,0.752,0.451,0.301,46.067,49.239,42.895
2021-10-01,48.16,48.92,47.94,48.7,3768825,48.376,46.268,,65.403,0.816,0.524,0.292,46.268,49.577,42.958
2021-10-04,48.83,49.07,48.08,48.45,4091805,48.41,46.454,,63.111,0.837,0.587,0.251,46.454,49.817,43.09
2021-10-05,48.76,49.01,48.22,48.77,3353114,48.468,46.682,,64.811,0.87,0.643,0.227,46.682,50.023,43.34
2021-10-06,48.15,48.67,47.86,48.57,3063674,48.478,46.926,,62.861,0.869,0.688,0.181,46.926,50.053,43.798
2021-10-07,48.87,49.49,48.61,49.29,4105024,48.756,47.171,,66.74,0.917,0.734,0.183,47.171,50.227,44.115
2021-10-08,49.49,49.68,48.0,48.37,5286654,48.69,47.397,,58.354,0.87,0.761,0.109,47.397,50.063,44.731
2021-10-11,48.4,48.93,48.19,48.44,2772065,48.688,47.543,,58.778,0.829,0.775,0.054,47.543,50.095,44.99
2021-10-12,48.4,48.59,47.6,47.77,3830579,48.488,47.688,,53.191,0.734,0.767,-0.033,47.688,49.906,45.47
2021-10-13,47.89,48.18,47.4,47.74,5377017,48.322,47.763,,52.948,0.648,0.743,-0.094,47.763,49.874,45.652
2021-10-14,47.99,49.01,47.96,48.8,3618679,48.224,47.868,,59.909,0.659,0.726,-0.067,47.868,49.964,45.773
2021-10-15,49.15,49.71,48.92,49.59,3345024,48.468,48.034,,64.164,0.723,0.725,-0.003,48.034,50.126,45.941
2021-10-18,49.93,50.5,49.82,50.02,5004909,48.784,48.212,,66.263,0.798,0.74,0.058,48.212,50.343,46.082
2021-10-19,50.28,51.08,50.02,51.02,7436829,49.434,48.476,,70.578,0.929,0.778,0.151,48.476,50.625,46.328
2021-10-20,51.19,51.55,50.98,51.4,7434461,50.166,48.761,,72.042,1.05,0.832,0.218,48.761,50.874,46.648
2021-10-21,51.34,52.26,51.14,52.02,7329695,50.81,48.998,,74.289,1.183,0.902,0.281,48.998,51.448,46.548
2021-10-22,51.95,52.84,51.87,52.74,5251140,51.44,49.244,,76.638,1.331,0.988,0.343,49.244,52.143,46.344
2021-10-25,52.86,52.95,51.66,51.7,13385424,51.776,49.414,47.108,67.103,1.349,1.06,0.289,49.414,52.474,46.355
2021-10-26,51.85,51.96,50.71,50.74,5858824,51.72,49.527,47.206,59.718,1.271,1.103,0.169,49.527,52.609,46.446
2021-10-27,50.55,50.74,49.69,49.91,7104576,51.422,49.597,47.303,54.167,1.129,1.108,0.021,49.597,52.645,46.549
2021-10-28,50.54,50.84,50.09,50.68,6544638,51.154,49.736,47.424,58.061,1.067,1.1,-0.033,49.736,52.711,46.761
2021-10-29,50.29,51.5,50.29,50.64,8913619,50.734,49.833,47.551,57.787,1.002,1.08,-0.078,49.833,52.792,46.874
2021-11-01,50.35,51.37,50.35,51.34,6635002,50.662,49.978,47.67,61.243,0.997,1.064,-0.067,49.978,52.934,47.021
2021-11-02,51.47,52.09,48.15,49.61,18238300,50.436,50.02,47.741,50.286,0.842,1.019,-0.177,50.02,52.928,47.111
2021-11-03,49.97,50.27,49.3,50.14,9923000,50.482,50.098,47.816,53.057,0.754,0.966,-0.212,50.098,52.925,47.271
2021-11-04,49.98,50.37,48.84,49.57,5980600,50.26,50.112,47.867,49.839,0.631,0.899,-0.268,50.112,52.925,47.299
2021-11-05,49.79,51.26,49.59,51.2,7625100,50.372,50.254,47.956,57.733,0.658,0.851,-0.193,50.254,52.981,47.526
2021-11-08,51.21,51.53,50.21,50.44,4450600,50.192,50.354,48.072,53.505,0.61,0.803,-0.192,50.354,52.944,47.763
2021-11-09,50.37,51.13,49.97,50.94,3980100,50.458,50.512,48.187,55.798,0.606,0.764,-0.157,50.512,52.808,48.216
2021-11-10,50.83,51.94,50.8,51.43,5205200,50.716,50.696,48.318,57.985,0.635,0.738,-0.103,50.696,52.617,48.776
2021-11-11,51.53,51.94,50.85,51.04,3695300,51.01,50.808,48.448,55.626,0.619,0.714,-0.095,50.808,52.513,49.104
2021-11-12,51.2,51.4,50.73,50.87,3945600,50.944,50.872,48.572,54.584,0.586,0.689,-0.102,50.872,52.477,49.268
2021-11-15,51.3,52.27,51.13,51.51,7123900,51.158,50.947,48.707,57.791,0.605,0.672,-0.067,50.947,52.523,49.371
2021-11-16,51.55,51.89,51.33,51.51,6305700,51.272,50.972,48.853,57.791,0.613,0.66,-0.047,50.972,52.568,49.375
2021-11-17,51.69,51.96,50.83,50.87,3566600,51.16,50.945,48.997,53.416,0.561,0.64,-0.08,50.945,52.529,49.361
2021-11-18,50.79,51.49,50.45,50.78,5020300,51.108,50.883,49.125,52.811,0.506,0.613,-0.107,50.883,52.385,49.381
2021-11-19,50.74,50.87,49.94,49.98,3828900,50.93,50.745,49.248,47.642,0.394,0.57,-0.175,50.745,52.018,49.472
2021-11-22,50.26,50.58,49.34,50.08,6228400,50.644,50.664,49.339,48.323,0.31,0.518,-0.208,50.664,51.886,49.442
2021-11-23,49.94,50.16,49.24,49.66,4646700,50.274,50.61,49.435,45.638,0.207,0.455,-0.249,50.61,51.911,49.309
2021-11-24,50.28,52.69,49.78,52.05,13025100,50.51,50.717,49.551,59.445,0.314,0.427,-0.113,50.717,52.123,49.311
2021-11-26,51.33,52.44,50.86,51.03,3858600,50.56,50.735,49.638,53.231,0.313,0.404,-0.091,50.735,52.148,49.321
2021-11-29,51.82,52.57,51.29,52.3,5353600,51.024,50.818,49.758,58.98,0.41,0.406,0.005,50.818,52.393,49.242
2021-11-30,52.26,52.55,50.62,51.3,9760600,51.268,50.816,49.855,53.413,0.402,0.405,-0.003,50.816,52.388,49.243
2021-12-01,51.77,52.01,50.49,50.6,6301600,51.456,50.865,49.952,49.864,0.335,0.391,-0.056,50.865,52.337,49.393
2021-12-02,50.42,52.02,50.42,51.92,6671100,51.43,50.954,50.076,55.824,0.384,0.39,-0.005,50.954,52.456,49.452
2021-12-03,52.23,53.27,52.17,53.12,8107200,51.848,51.131,50.193,60.429,0.514,0.414,0.1,51.131,52.777,49.486
2021-12-06,53.37,53.87,52.82,53.37,5165000,52.062,51.24,50.304,61.334,0.63,0.458,0.172,51.24,53.167,49.313
2021-12-07,53.82,54.04,52.87,53.51,4197500,52.504,51.393,50.409,61.859,0.724,0.511,0.214,51.393,53.53,49.257
2021-12-08,53.6,53.6,52.62,53.05,3505900,52.994,51.499,50.5,59.02,0.754,0.559,0.194,51.499,53.747,49.251
2021-12-09,53.01,53.21,52.32,52.37,4445000,53.084,51.546,50.577,55.001,0.714,0.59,0.123,51.546,53.827,49.265
2021-12-10,52.38,52.75,51.88,52.32,3037400,52.924,51.61,50.665,54.706,0.67,0.606,0.064,51.61,53.903,49.317
2021-12-13,51.92,52.22,50.56,50.62,3542400,52.374,51.598,50.704,45.726,0.493,0.584,-0.091,51.598,53.91,49.285
2021-12-14,49.68,50.11,49.29,49.63,4771500,51.598,51.503,50.727,41.459,0.27,0.521,-0.251,51.503,53.978,49.029
2021-12-15,50.0,50.93,49.46,50.91,3518100,51.17,51.474,50.77,48.192,0.194,0.455,-0.262,51.474,53.962,48.985
2021-12-16,51.1,51.27,49.92,49.95,2863300,50.686,51.427,50.798,44.095,0.055,0.375,-0.32,51.427,53.996,48.859
2021-12-17,49.89,49.99,49.11,49.64,5389000,50.15,51.371,50.805,42.829,-0.079,0.285,-0.363,51.371,54.048,48.693
2021-12-20,49.06,49.21,48.22,48.69,3697400,49.764,51.306,50.811,39.122,-0.258,0.176,-0.434,51.306,54.179,48.433
2021-12-21,49.34,50.4,49.0,50.37,3567200,49.912,51.32,50.85,47.737,-0.262,0.088,-0.35,51.32,54.17,48.471
2021-12-22,50.25,50.64,49.82,50.3,3787400,49.79,51.352,50.9,47.436,-0.268,0.017,-0.285,51.352,54.138,48.567
2021-12-23,50.51,51.1,50.35,50.76,2885900,49.952,51.288,50.961,49.683,-0.232,-0.033,-0.2,51.288,54.065,48.511
2021-12-27,50.92,51.58,50.92,51.42,2009400,50.308,51.308,51.013,52.8,-0.149,-0.056,-0.093,51.308,54.082,48.533
2021-12-28,51.37,52.09,51.37,51.73,2353700,50.916,51.279,51.056,54.234,-0.058,-0.056,-0.001,51.279,54.022,48.536
2021-12-29,51.79,52.51,51.77,51.82,2207800,51.206,51.305,51.092,54.665,0.022,-0.041,0.062,51.305,54.059,48.551
2021-12-30,51.79,51.89,51.29,51.33,1581300,51.412,51.342,51.098,51.806,0.045,-0.024,0.068,51.342,54.075,48.608
2021-12-31,51.26,51.49,51.02,51.03,1252900,51.466,51.297,51.091,50.08,0.038,-0.011,0.049,51.297,54.02,48.574
2022-01-03,51.02,51.87,51.01,51.76,2906500,51.534,51.229,51.086,54.089,0.091,0.009,0.082,51.229,53.825,48.633
2022-01-04,52.01,53.6,52.01,53.13,5745700,51.814,51.217,51.093,60.502,0.24,0.055,0.185,51.217,53.774,48.66
2022-01-05,53.02,54.05,52.57,52.67,6049000,51.984,51.175,51.113,57.593,0.318,0.108,0.21,51.175,53.597,48.753
2022-01-06,52.67,53.32,52.31,52.72,3751300,52.262,51.158,51.152,57.83,0.379,0.162,0.217,51.158,53.531,48.786
2022-01-07,52.78,53.11,52.07,52.68,3516200,52.592,51.174,51.208,57.553,0.42,0.214,0.206,51.174,53.583,48.765
2022-01-10,53.75,54.51,53.24,54.4,10511600,53.12,51.278,51.282,65.27,0.584,0.288,0.296,51.278,54.048,48.508
2022-01-11,54.5,55.12,54.26,54.73,7313500,53.44,51.484,51.364,66.527,0.732,0.377,0.356,51.484,54.632,48.335
2022-01-12,54.91,54.97,53.71,54.46,3098100,53.798,51.725,51.426,64.47,0.819,0.465,0.354,51.725,55.013,48.437
2022-01-13,54.96,55.17,54.39,54.66,4133000,54.186,51.912,51.527,65.325,0.893,0.551,0.342,51.912,55.425,48.4
2022-01-14,54.49,55.2,54.18,54.99,5790400,54.648,52.164,51.624,66.747,0.967,0.634,0.333,52.164,55.805,48.524
2022-01-18,54.76,55.24,53.96,54.03,5053900,54.574,52.384,51.714,59.148,0.938,0.695,0.243,52.384,55.911,48.857
2022-01-19,54.5,54.92,52.62,52.65,3957500,54.158,52.582,51.743,50.285,0.794,0.715,0.079,52.582,55.651,49.513
2022-01-20,52.9,53.64,52.1,52.14,2893700,53.694,52.67,51.777,47.455,0.632,0.698,-0.066,52.67,55.568,49.773
2022-01-21,51.99,52.01,50.2,50.48,4212100,52.858,52.68,51.767,39.636,0.365,0.631,-0.267,52.68,55.547,49.812
2022-01-24,49.76,50.5,48.54,50.34,5523700,51.928,52.658,51.746,39.052,0.14,0.533,-0.393,52.658,55.59,49.727
2022-01-25,49.83,50.9,48.69,50.36,4421900,51.194,52.605,51.732,39.19,-0.035,0.419,-0.455,52.605,55.667,49.544
2022-01-26,51.04,51.53,49.92,50.27,3126700,50.718,52.533,51.72,38.764,-0.18,0.3,-0.48,52.533,55.748,49.317
2022-01-27,50.73,52.32,50.01,50.37,4359300,50.364,52.46,51.697,39.549,-0.283,0.183,-0.466,52.46,55.806,49.114
2022-01-28,50.37,51.22,49.7,51.09,3920500,50.486,52.448,51.689,45.013,-0.303,0.086,-0.389,52.448,55.812,49.084
2022-01-31,51.07,51.61,50.83,51.61,3319000,50.74,52.477,51.704,48.625,-0.274,0.014,-0.288,52.477,55.8,49.154
2022-02-01,51.67,53.25,51.32,53.21,3395200,51.31,52.55,51.752,57.808,-0.121,-0.013,-0.108,52.55,55.87,49.229
2022-02-02,53.59,54.24,53.29,53.96,3886500,52.048,52.591,51.832,61.3,0.061,0.002,0.059,52.591,55.962,49.22
2022-02-03,53.51,54.6,53.45,53.78,2814900,52.73,52.646,51.906,60.016,0.188,0.039,0.149,52.646,56.059,49.234
2022-02-04,53.67,53.88,52.91,53.36,1952100,53.184,52.678,51.98,57.016,0.252,0.082,0.17,52.678,56.106,49.251
2022-02-07,53.67,54.17,53.45,53.56,2132500,53.574,52.723,52.01,58.09,0.315,0.128,0.187,52.723,56.173,49.272
2022-02-08,53.7,54.53,53.25,54.46,2933500,53.824,52.726,52.079,62.619,0.433,0.189,0.244,52.726,56.182,49.269
2022-02-09,54.77,55.41,54.56,55.2,3346900,54.072,52.749,52.137,65.883,0.579,0.267,0.312,52.749,56.269,49.229
2022-02-10,54.9,55.9,54.63,55.16,3676800,54.348,52.784,52.214,65.55,0.684,0.351,0.334,52.784,56.388,49.18
