Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,202.45,202.82,200.37,201.8,1414600,,,,,0.0,0.0,0.0,,,
2021-07-13,201.79,204.07,201.74,202.32,1423800,,,,,0.041,0.008,0.033,,,
2021-07-14,203.16,203.54,201.67,203.12,937000,,,,,0.137,0.034,0.103,,,
2021-07-15,203.57,204.39,202.55,204.09,1263200,,,,,0.288,0.085,0.203,,,
2021-07-16,204.8,205.83,203.76,204.3,2144800,203.126,,,,0.42,0.152,0.268,,,
2021-07-19,203.93,206.84,203.61,206.23,1927700,204.012,,,,0.672,0.256,0.416,,,
2021-07-20,206.43,209.25,206.12,208.19,1315400,205.186,,,,1.019,0.409,0.61,,,
2021-07-21,207.67,207.98,206.01,206.18,1048000,205.798,,,,1.118,0.55,0.568,,,
2021-07-22,206.7,208.27,205.26,207.44,856000,206.468,,,,1.284,0.697,0.587,,,
2021-07-23,206.91,210.68,206.91,210.48,853600,207.704,,,,1.642,0.886,0.756,,,
2021-07-26,210.21,211.94,208.84,211.47,1188100,208.752,,,,1.982,1.105,0.877,,,
2021-07-27,211.95,212.64,210.51,211.63,879600,209.44,,,,2.239,1.332,0.907,,,
2021-07-28,210.58,212.77,209.9,211.55,1059300,210.514,,,,2.408,1.547,0.861,,,
2021-07-29,212.43,214.36,211.97,214.25,1000300,211.876,,,,2.729,1.784,0.945,,,
2021-07-30,213.8,215.5,213.78,213.92,1098800,212.564,,,85.501,2.923,2.011,0.911,,,
2021-08-02,214.13,214.56,210.5,213.79,1230500,213.028,,,84.427,3.031,2.215,0.816,,,
2021-08-03,214.17,217.41,213.7,216.14,1085800,213.93,,,87.487,3.269,2.426,0.843,,,
2021-08-04,216.13,217.08,214.77,216.0,1091500,214.82,,,86.398,3.407,2.622,0.784,,,
2021-08-05,216.64,217.67,215.02,216.84,1018800,215.338,,,87.41,3.543,2.806,0.736,,,
2021-08-06,216.96,217.55,215.92,217.15,784400,215.984,209.844,,87.772,3.634,2.972,0.662,209.844,220.165,199.524
2021-08-09,217.44,217.88,216.29,217.36,1096800,216.698,210.622,,88.023,3.68,3.113,0.567,210.622,220.734,200.511
2021-08-10,217.36,219.84,216.75,219.05,1080600,217.28,211.459,,89.833,3.81,3.253,0.557,211.459,221.446,201.472
2021-08-11,219.24,220.09,218.49,218.85,1097000,217.85,212.246,,88.136,3.852,3.373,0.479,212.246,221.94,202.551
2021-08-12,219.31,219.31,215.97,217.27,1669800,217.936,212.904,,75.931,3.715,3.441,0.274,212.904,222.041,203.768
2021-08-13,217.83,218.6,216.55,217.71,1306600,218.048,213.575,,76.891,3.6,3.473,0.127,213.575,221.993,205.157
2021-08-16,216.54,218.83,215.07,218.7,1144300,218.316,214.199,,78.927,3.548,3.488,0.06,214.199,222.16,206.237
2021-08-17,217.24,217.24,212.21,212.91,2030900,217.088,214.434,,50.759,3.006,3.391,-0.386,214.434,221.912,206.957
2021-08-18,213.12,215.9,211.87,213.0,1528700,215.918,214.776,,51.052,2.553,3.224,-0.671,214.776,221.218,208.333
2021-08-19,211.77,215.36,210.21,213.77,1138500,215.218,215.092,,53.591,2.231,3.025,-0.794,215.092,220.566,209.618
2021-08-20,214.23,216.95,213.41,215.89,1247200,214.854,215.362,,59.778,2.122,2.845,-0.722,215.362,220.394,210.331
2021-08-23,216.54,219.31,215.52,215.76,1324900,214.266,215.577,,59.256,2.003,2.676,-0.674,215.577,220.264,210.89
2021-08-24,216.12,216.35,213.9,214.02,1367100,214.488,215.696,,52.635,1.747,2.49,-0.743,215.696,220.071,211.322
2021-08-25,214.14,216.44,213.95,215.85,1563600,215.058,215.912,,57.956,1.673,2.327,-0.654,215.912,219.826,211.997
2021-08-26,202.97,209.26,197.79,207.72,5959600,213.848,215.585,,37.696,0.947,2.051,-1.104,215.585,220.916,210.254
2021-08-27,207.66,208.1,204.87,207.13,3009000,212.096,215.246,,36.693,0.321,1.705,-1.384,215.246,221.757,208.734
2021-08-30,207.37,209.88,206.51,207.23,2078600,210.39,214.917,,36.999,-0.165,1.331,-1.496,214.917,222.336,207.499
2021-08-31,207.32,207.89,203.93,204.98,2568600,208.582,214.359,,33.122,-0.724,0.92,-1.644,214.359,222.973,205.746
2021-09-01,204.92,205.67,202.87,204.77,1292200,206.366,213.798,,32.777,-1.17,0.502,-1.672,213.798,223.372,204.224
2021-09-02,204.6,206.92,204.16,206.86,1219900,206.194,213.299,,39.532,-1.34,0.134,-1.473,213.299,223.239,203.359
2021-09-03,207.22,207.47,203.86,204.55,1107800,205.678,212.669,,35.309,-1.642,-0.222,-1.42,212.669,223.163,202.175
2021-09-07,204.9,205.21,202.62,203.72,1236600,204.976,211.987,,33.907,-1.926,-0.562,-1.363,211.987,222.959,201.015
2021-09-08,203.79,206.05,202.96,206.01,1441000,205.182,211.335,,40.88,-1.944,-0.839,-1.105,211.335,222.088,200.582
2021-09-09,205.92,206.16,202.37,202.43,1439000,204.714,210.514,,34.714,-2.221,-1.115,-1.106,210.514,221.358,199.67
2021-09-10,202.97,203.22,200.18,200.51,1586200,203.444,209.676,,31.932,-2.566,-1.405,-1.161,209.676,220.905,198.447
2021-09-13,200.59,202.91,199.64,200.09,1326900,202.552,208.795,,31.341,-2.841,-1.692,-1.149,208.795,220.134,197.456
2021-09-14,200.25,200.63,197.9,198.89,1157700,201.586,207.805,,29.65,-3.12,-1.978,-1.142,207.805,218.96,196.649
2021-09-15,198.93,200.5,197.84,199.51,1382400,200.286,207.135,,31.7,-3.253,-2.233,-1.02,207.135,218.604,195.665
2021-09-16,199.55,204.11,199.55,203.73,1702200,200.546,206.671,,43.719,-2.984,-2.383,-0.601,206.671,217.889,195.453
2021-09-17,203.64,206.33,203.64,204.24,2306100,201.292,206.194,,44.98,-2.698,-2.446,-0.252,206.194,216.943,195.446
2021-09-20,202.82,205.44,202.33,203.95,1698200,202.064,205.598,209.467,44.371,-2.466,-2.45,-0.016,205.598,215.359,195.836
