Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-27,128.18,128.99,124.53,124.68,1514600,,,,,0.0,0.0,0.0,,,
2021-09-28,123.83,124.03,120.65,123.25,2709000,,,,,-0.114,-0.023,-0.091,,,
2021-09-29,123.36,125.03,123.36,123.82,1128000,,,,,-0.157,-0.05,-0.107,,,
2021-09-30,124.25,124.56,121.8,121.87,995500,,,,,-0.344,-0.108,-0.235,,,
2021-10-01,122.69,123.53,121.53,122.38,889900,123.2,,,,-0.446,-0.176,-0.27,,,
2021-10-04,121.93,123.21,121.34,122.71,1177400,122.806,,,,-0.494,-0.24,-0.255,,,
2021-10-05,120.64,121.61,118.96,120.39,1694700,122.234,,,,-0.712,-0.334,-0.378,,,
2021-10-06,120.19,122.43,118.86,122.42,1449300,121.954,,,,-0.712,-0.41,-0.302,,,
2021-10-07,122.99,123.83,121.01,121.23,1022800,121.826,,,,-0.799,-0.488,-0.312,,,
2021-10-08,120.97,120.97,118.33,118.67,1066700,121.084,,,,-1.063,-0.603,-0.46,,,
2021-10-11,118.34,118.75,117.65,117.89,1065700,120.12,,,,-1.319,-0.746,-0.573,,,
2021-10-12,118.1,120.0,117.53,119.69,1372400,119.98,,,,-1.361,-0.869,-0.492,,,
2021-10-13,119.91,121.83,119.36,121.77,1537400,119.85,,,,-1.213,-0.938,-0.275,,,
2021-10-14,122.86,126.07,122.7,125.66,1631200,120.736,,,,-0.773,-0.905,0.132,,,
2021-10-15,126.19,126.54,123.85,124.47,1323900,121.896,,,55.451,-0.514,-0.827,0.313,,,
2021-10-18,123.91,124.9,123.27,124.47,1783500,123.212,,,55.451,-0.305,-0.722,0.417,,,
2021-10-19,124.5,126.64,123.82,126.47,1699600,124.568,,,61.187,0.021,-0.573,0.595,,,
2021-10-20,127.18,130.15,126.87,129.22,1330500,126.058,,,67.403,0.496,-0.36,0.856,,,
2021-10-21,129.1,130.66,128.52,130.58,980900,127.042,,,69.965,0.971,-0.093,1.065,,,
2021-10-22,130.77,132.54,129.91,132.36,969400,128.62,123.7,,72.96,1.474,0.22,1.254,123.7,131.244,116.156
2021-10-25,132.38,132.75,130.88,132.22,1087300,130.17,124.077,,72.349,1.84,0.544,1.296,124.077,132.526,115.628
2021-10-26,132.73,133.54,132.09,132.67,1143000,131.41,124.548,,73.128,2.142,0.864,1.278,124.548,133.814,115.282
2021-10-27,136.67,136.67,132.14,132.36,1319000,132.038,124.975,,71.631,2.33,1.157,1.173,124.975,134.866,115.084
2021-10-28,132.73,135.18,132.51,135.06,930500,132.934,125.634,,76.201,2.665,1.459,1.207,125.634,136.376,114.893
2021-10-29,134.18,135.41,132.46,133.14,1512900,133.09,126.172,,67.832,2.745,1.716,1.029,126.172,137.298,115.047
2021-11-01,132.87,133.43,130.83,133.36,907800,133.318,126.705,,68.262,2.793,1.931,0.862,126.705,138.148,115.262
2021-11-02,133.97,134.29,132.56,133.27,847800,133.438,127.349,,67.862,2.792,2.103,0.689,127.349,138.745,115.953
2021-11-03,133.6,134.71,132.73,133.72,1216000,133.71,127.914,,68.845,2.795,2.242,0.553,127.914,139.401,116.427
