Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,99.05,99.2,98.26,98.95,2051700,,,,,0.0,0.0,0.0,,,
2021-07-13,98.91,99.15,97.84,98.0,1650100,,,,,-0.076,-0.015,-0.061,,,
2021-07-14,98.19,99.12,98.1,98.89,1680700,,,,,-0.063,-0.025,-0.039,,,
2021-07-15,98.57,99.37,98.13,98.68,1577900,,,,,-0.07,-0.034,-0.036,,,
2021-07-16,98.96,99.18,98.0,98.19,1453100,98.542,,,,-0.113,-0.05,-0.063,,,
2021-07-19,97.84,98.86,97.4,98.0,2314100,98.352,,,,-0.16,-0.072,-0.089,,,
2021-07-20,97.81,99.68,97.81,99.01,1834900,98.554,,,,-0.115,-0.08,-0.035,,,
2021-07-21,99.09,99.78,98.69,99.09,1825400,98.594,,,,-0.072,-0.079,0.006,,,
2021-07-22,99.11,99.98,98.47,99.39,1562100,98.736,,,,-0.014,-0.066,0.052,,,
2021-07-23,99.58,100.62,99.34,100.15,1241000,99.128,,,,0.093,-0.034,0.127,,,
2021-07-26,100.09,100.82,99.72,100.59,1360300,99.646,,,,0.21,0.015,0.195,,,
2021-07-27,100.16,100.68,98.85,99.0,1726400,99.644,,,,0.173,0.046,0.127,,,
2021-07-28,98.86,99.61,98.8,99.03,1667100,99.632,,,,0.144,0.066,0.078,,,
2021-07-29,99.45,99.97,98.91,99.1,1311000,99.574,,,,0.126,0.078,0.048,,,
2021-07-30,99.1,100.78,99.01,99.79,1317300,99.502,,,57.589,0.165,0.095,0.07,,,
2021-08-02,100.3,100.3,97.91,98.88,1749600,99.16,,,47.919,0.121,0.1,0.021,,,
2021-08-03,99.3,101.95,98.98,99.89,2631000,99.338,,,56.625,0.166,0.113,0.052,,,
2021-08-04,99.54,99.87,97.52,97.73,2192500,99.078,,,40.885,0.027,0.096,-0.069,,,
2021-08-05,97.93,99.33,97.87,98.94,1587100,99.046,,,49.374,0.014,0.08,-0.066,,,
2021-08-06,98.99,99.28,98.2,98.77,1984500,98.842,99.004,,48.324,-0.01,0.062,-0.072,99.004,100.447,97.56
2021-08-09,97.55,98.86,97.26,98.34,2332100,98.734,98.973,,45.678,-0.062,0.037,-0.099,98.973,100.447,97.499
2021-08-10,98.34,101.59,98.18,101.42,2483100,99.04,99.144,,61.809,0.143,0.058,0.085,99.144,100.907,97.381
2021-08-11,101.81,103.39,101.48,102.32,3010200,99.958,99.316,,65.073,0.373,0.121,0.252,99.316,101.573,97.058
2021-08-12,102.56,102.76,100.73,101.44,3410900,100.458,99.453,,59.701,0.48,0.193,0.287,99.453,101.878,97.029
2021-08-13,101.81,102.38,100.83,101.77,1217900,101.058,99.633,,61.001,0.584,0.271,0.313,99.633,102.19,97.075
2021-08-16,101.27,102.7,100.75,102.29,2403400,101.848,99.847,,63.026,0.701,0.357,0.344,99.847,102.544,97.15
2021-08-17,101.98,101.99,100.06,100.48,1681800,101.66,99.92,,52.759,0.639,0.413,0.226,99.92,102.601,97.24
2021-08-18,100.48,102.19,100.37,101.43,2296500,101.482,100.038,,56.742,0.66,0.463,0.197,100.038,102.769,97.306
2021-08-19,101.12,102.17,100.36,101.06,2274700,101.406,100.121,,54.804,0.639,0.498,0.141,100.121,102.871,97.371
2021-08-20,100.97,102.77,100.45,102.67,1511100,101.586,100.247,,61.04,0.744,0.547,0.197,100.247,103.225,97.269
2021-08-23,102.67,103.85,102.47,103.51,2852900,101.83,100.393,,63.843,0.885,0.615,0.27,100.393,103.709,97.077
2021-08-24,103.99,105.48,103.53,105.21,2215100,102.776,100.703,,68.744,1.12,0.716,0.404,100.703,104.585,96.822
2021-08-25,105.28,106.64,105.02,106.32,3177700,103.754,101.068,,71.464,1.381,0.849,0.532,101.068,105.602,96.534
2021-08-26,97.25,97.9,93.41,93.48,18546900,102.238,100.787,,34.291,0.545,0.788,-0.243,100.787,106.402,95.172
2021-08-27,92.28,94.11,90.84,90.89,6575400,99.882,100.342,,30.81,-0.323,0.566,-0.889,100.342,107.491,93.193
2021-08-30,91.0,92.61,90.77,90.93,5500100,97.366,99.944,,30.926,-0.996,0.253,-1.249,99.944,108.23,91.659
2021-08-31,90.7,92.12,90.26,90.54,3371100,94.432,99.477,,30.388,-1.543,-0.106,-1.437,99.477,108.769,90.185
2021-09-01,90.66,90.75,89.64,89.99,3043500,91.166,99.09,,29.606,-1.998,-0.484,-1.514,99.09,109.289,88.891
2021-09-02,90.15,92.78,90.15,92.59,3648100,90.988,98.773,,37.76,-2.124,-0.812,-1.312,98.773,109.378,88.167
2021-09-03,92.19,93.33,91.65,92.81,3939200,91.372,98.474,,38.411,-2.181,-1.086,-1.095,98.474,109.41,87.539
2021-09-07,92.81,92.97,92.11,92.22,3195100,91.63,98.168,,37.286,-2.248,-1.318,-0.93,98.168,109.457,86.88
2021-09-08,92.31,93.47,91.5,93.09,3734300,92.14,97.752,,40.072,-2.206,-1.496,-0.71,97.752,109.149,86.355
2021-09-09,93.11,93.25,90.97,91.2,3023500,92.382,97.196,,36.299,-2.298,-1.656,-0.642,97.196,108.739,85.653
2021-09-10,91.37,91.69,90.13,90.21,3003600,91.906,96.634,,34.468,-2.423,-1.81,-0.613,96.634,108.399,84.87
2021-09-13,90.63,90.67,88.81,89.26,4485600,91.196,96.009,,32.76,-2.569,-1.962,-0.608,96.009,107.953,84.065
2021-09-14,89.54,89.54,87.87,88.43,1738600,90.438,95.316,,31.301,-2.721,-2.113,-0.607,95.316,107.333,83.299
2021-09-15,88.23,88.88,87.12,88.44,3290100,89.508,94.714,,31.341,-2.808,-2.252,-0.555,94.714,106.848,82.58
2021-09-16,88.46,89.8,88.32,89.27,3920300,89.122,94.106,,34.711,-2.777,-2.357,-0.42,94.106,106.04,82.172
2021-09-17,89.31,90.45,89.16,89.31,3841900,88.942,93.518,,34.877,-2.719,-2.43,-0.289,93.518,105.164,81.873
