Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,47.62,48.42,47.18,48.13,3100400,,,,,0.0,0.0,0.0,,,
2021-07-13,48.28,48.48,47.44,47.73,3074500,,,,,-0.032,-0.006,-0.026,,,
2021-07-14,47.91,48.45,47.33,47.44,2571700,,,,,-0.08,-0.021,-0.059,,,
2021-07-15,47.05,47.75,46.96,47.13,2745800,,,,,-0.141,-0.045,-0.096,,,
2021-07-16,46.66,46.98,45.52,45.68,6961300,47.222,,,,-0.303,-0.097,-0.206,,,
2021-07-19,44.26,44.52,43.43,43.99,7815400,46.394,,,,-0.561,-0.19,-0.372,,,
2021-07-20,44.26,45.06,43.87,44.62,6771700,45.772,,,,-0.707,-0.293,-0.414,,,
2021-07-21,45.31,45.71,44.96,45.47,7428300,45.378,,,,-0.745,-0.384,-0.362,,,
2021-07-22,44.58,46.35,44.15,46.04,7111300,45.16,,,,-0.721,-0.451,-0.27,,,
2021-07-23,46.31,46.65,45.52,45.76,4690500,45.176,,,,-0.717,-0.504,-0.213,,,
2021-07-26,45.83,47.23,45.83,47.21,6534300,45.82,,,,-0.589,-0.521,-0.068,,,
2021-07-27,46.82,47.52,46.33,47.16,3568500,46.328,,,,-0.487,-0.514,0.028,,,
2021-07-28,47.07,47.43,46.48,47.1,4113600,46.654,,,,-0.406,-0.493,0.087,,,
2021-07-29,47.53,47.91,47.21,47.65,3708600,46.976,,,,-0.293,-0.453,0.159,,,
2021-07-30,47.57,48.13,46.94,47.32,4646800,47.288,,,52.094,-0.229,-0.408,0.179,,,
2021-08-02,47.43,48.41,46.58,46.6,3714500,47.166,,,45.544,-0.233,-0.373,0.14,,,
2021-08-03,46.55,47.4,45.79,47.37,4819700,47.208,,,52.432,-0.172,-0.333,0.161,,,
2021-08-04,47.0,47.35,46.42,46.43,3340100,47.074,,,44.956,-0.197,-0.306,0.108,,,
2021-08-05,46.66,47.05,46.36,46.44,3037100,46.832,,,45.046,-0.214,-0.287,0.073,,,
2021-08-06,46.9,47.48,46.86,47.2,3142800,46.808,46.624,,51.518,-0.164,-0.263,0.099,46.624,48.777,44.47
2021-08-09,46.98,47.37,46.71,47.06,3178100,46.9,46.57,,50.341,-0.134,-0.237,0.103,46.57,48.617,44.523
2021-08-10,47.21,48.39,47.15,48.05,3560000,47.036,46.586,,57.696,-0.03,-0.196,0.165,46.586,48.675,44.497
2021-08-11,48.28,48.95,48.13,48.9,3583600,47.53,46.659,,62.792,0.119,-0.133,0.252,46.659,48.965,44.353
2021-08-12,48.99,49.19,48.19,48.73,3581400,47.988,46.739,,61.204,0.221,-0.062,0.283,46.739,49.218,44.26
2021-08-13,48.7,48.8,48.23,48.48,2385600,48.244,46.879,,58.847,0.279,0.006,0.273,46.879,49.422,44.336
2021-08-16,48.11,48.41,47.3,48.2,3163400,48.472,47.09,,56.235,0.299,0.065,0.234,47.09,49.301,44.878
2021-08-17,47.72,47.86,46.54,47.43,3974300,48.348,47.23,,49.703,0.249,0.102,0.148,47.23,49.113,45.347
2021-08-18,47.13,47.83,46.98,47.11,4574000,47.99,47.312,,47.246,0.182,0.118,0.064,47.312,49.006,45.618
2021-08-19,46.47,46.73,45.79,46.09,3981600,47.462,47.314,,40.393,0.046,0.103,-0.057,47.314,49.001,45.628
2021-08-20,45.99,46.52,45.92,46.35,3203600,47.036,47.344,,42.676,-0.04,0.075,-0.115,47.344,48.933,45.755
