Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,447.63,450.06,446.39,447.73,383700,,,,,0.0,0.0,0.0,,,
2021-07-13,447.66,458.28,446.91,452.92,476500,,,,,0.414,0.083,0.331,,,
2021-07-14,452.47,455.29,450.23,452.59,280300,,,,,0.707,0.208,0.5,,,
2021-07-15,455.27,455.68,449.61,452.14,454800,,,,,0.893,0.345,0.548,,,
2021-07-16,453.63,456.47,448.93,450.13,420700,451.102,,,,0.868,0.45,0.419,,,
2021-07-19,450.75,452.0,441.85,446.22,578600,450.8,,,,0.527,0.465,0.062,,,
2021-07-20,443.74,446.27,439.49,442.94,593000,448.804,,,,-0.008,0.37,-0.378,,,
2021-07-21,443.42,444.32,434.51,438.65,615800,446.016,,,,-0.769,0.142,-0.912,,,
2021-07-22,452.28,511.71,451.36,502.48,3038100,456.084,,,,3.735,0.861,2.874,,,
2021-07-23,505.44,505.93,484.43,490.01,1342100,464.06,,,,6.226,1.934,4.292,,,
2021-07-26,488.49,502.25,487.42,498.28,660700,474.472,,,,8.767,3.301,5.467,,,
2021-07-27,499.4,506.51,498.14,501.72,499200,486.228,,,,10.932,4.827,6.105,,,
2021-07-28,497.22,500.14,488.03,489.19,546000,496.336,,,,11.505,6.162,5.342,,,
2021-07-29,489.56,494.98,489.36,490.68,449500,493.976,,,,11.941,7.318,4.623,,,
2021-07-30,490.7,495.72,488.39,490.05,348800,493.984,,,65.747,12.096,8.274,3.822,,,
2021-08-02,491.8,497.47,486.94,494.59,330000,493.246,,,67.699,12.442,9.107,3.335,,,
2021-08-03,495.19,506.91,494.78,504.02,460300,493.706,,,71.351,13.324,9.951,3.373,,,
2021-08-04,505.35,506.01,499.95,500.48,407900,495.964,,,68.232,13.58,10.676,2.904,,,
2021-08-05,499.22,502.19,493.67,499.36,261800,497.7,,,67.231,13.537,11.249,2.288,,,
2021-08-06,499.9,501.5,495.79,497.46,254000,499.182,477.082,,65.475,13.197,11.638,1.559,477.082,527.026,427.138
2021-08-09,495.26,497.16,490.01,493.76,258900,499.016,479.384,,62.076,12.485,11.808,0.678,479.384,527.853,430.914
2021-08-10,493.91,495.16,482.8,483.93,315800,494.998,480.934,,54.048,11.001,11.646,-0.645,480.934,527.796,434.072
2021-08-11,483.06,488.18,479.67,480.57,263900,491.016,482.333,,51.591,9.445,11.206,-1.761,482.333,527.263,437.403
2021-08-12,480.01,483.75,479.23,481.65,303400,487.474,483.808,,52.341,8.205,10.606,-2.401,483.808,526.443,441.174
2021-08-13,480.97,483.68,477.79,482.15,462000,484.412,485.41,,52.706,7.179,9.921,-2.741,485.41,525.017,445.802
2021-08-16,483.18,483.24,477.79,478.58,332200,481.376,487.028,,49.774,6.009,9.138,-3.129,487.028,522.301,451.754
2021-08-17,478.72,495.75,477.97,492.16,638400,483.022,489.489,,59.097,6.107,8.532,-2.425,489.489,518.037,460.94
2021-08-18,490.06,497.78,488.43,490.17,335700,484.942,492.065,,57.415,5.955,8.017,-2.061,492.065,507.656,476.473
2021-08-19,488.29,489.73,480.94,483.36,263400,485.284,491.108,,51.965,5.226,7.458,-2.233,491.108,506.351,475.866
2021-08-20,483.29,483.4,472.83,475.16,761100,483.886,490.366,,46.269,3.94,6.755,-2.815,490.366,507.198,473.534
2021-08-23,475.64,481.65,470.94,475.16,397800,483.202,489.21,,46.269,2.888,5.981,-3.093,489.21,506.907,471.513
2021-08-24,475.6,475.6,466.68,467.75,377900,478.32,487.512,,41.502,1.44,5.073,-3.633,487.512,506.618,468.405
2021-08-25,468.59,477.98,467.66,477.6,417000,475.806,486.932,,49.021,1.074,4.273,-3.199,486.932,506.521,467.343
2021-08-26,477.9,479.79,474.15,476.15,238200,474.364,486.206,,48.042,0.66,3.551,-2.89,486.206,506.281,466.13
2021-08-27,473.77,478.46,473.77,477.35,238700,474.802,485.57,,48.951,0.424,2.925,-2.501,485.57,505.935,465.206
2021-08-30,477.35,485.03,477.35,482.36,272200,476.242,484.959,,52.672,0.634,2.467,-1.833,484.959,504.913,465.005
2021-08-31,483.05,485.47,480.91,482.03,299800,479.098,483.86,,52.401,0.764,2.127,-1.362,483.86,501.703,466.016
2021-09-01,480.28,482.57,474.18,480.64,343600,479.706,482.868,,51.206,0.747,1.851,-1.103,482.868,498.939,466.796
2021-09-02,484.15,484.15,477.99,482.4,286100,480.956,482.02,,52.677,0.866,1.654,-0.788,482.02,496.092,467.947
2021-09-03,481.27,485.84,477.68,479.8,373000,481.446,481.137,,50.266,0.741,1.471,-0.73,481.137,493.203,469.07
2021-09-07,479.7,481.53,474.19,479.35,446800,480.844,480.416,,49.841,0.599,1.297,-0.697,480.416,490.93,469.902
2021-09-08,480.34,487.0,478.26,486.21,319200,481.68,480.53,,55.958,1.029,1.243,-0.215,480.53,491.252,469.808
2021-09-09,487.05,490.31,480.28,481.31,255600,481.814,480.567,,51.159,0.962,1.187,-0.225,480.567,491.295,469.839
2021-09-10,481.03,481.65,475.99,476.41,323000,480.616,480.305,,46.833,0.509,1.051,-0.543,480.305,491.176,469.434
2021-09-13,476.46,478.43,470.62,476.63,441200,479.982,480.029,,47.049,0.165,0.874,-0.709,480.029,490.983,469.075
2021-09-14,478.3,478.3,472.22,473.64,277300,478.84,479.782,,44.403,-0.345,0.63,-0.975,479.782,491.091,468.473
2021-09-15,473.43,475.99,468.41,472.33,354900,476.064,478.79,,43.255,-0.845,0.335,-1.18,478.79,488.948,468.633
