Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-10,86.31,86.43,85.08,85.12,2391700,,,,,0.0,0.0,0.0,,,
2021-09-13,85.76,85.96,84.58,84.73,2801100,,,,,-0.031,-0.006,-0.025,,,
2021-09-14,84.95,85.37,83.7,83.81,3421700,,,,,-0.129,-0.031,-0.098,,,
2021-09-15,83.51,84.47,83.14,84.15,2795800,,,,,-0.176,-0.06,-0.116,,,
2021-09-16,84.53,84.8,83.53,83.64,3219100,84.29,,,,-0.252,-0.098,-0.154,,,
2021-09-17,83.3,83.78,82.12,82.21,6699200,83.708,,,,-0.423,-0.163,-0.26,,,
2021-09-20,81.89,82.73,81.27,82.18,4907800,83.198,,,,-0.555,-0.242,-0.313,,,
2021-09-21,82.41,82.87,81.51,81.59,3274900,82.754,,,,-0.698,-0.333,-0.365,,,
2021-09-22,81.86,82.03,80.98,81.27,2732900,82.178,,,,-0.828,-0.432,-0.396,,,
2021-09-23,81.33,82.02,80.99,81.16,2419900,81.682,,,,-0.93,-0.531,-0.398,,,
2021-09-24,81.03,81.72,80.74,81.21,3010800,81.482,,,,-0.994,-0.624,-0.37,,,
2021-09-27,81.2,82.11,80.42,80.52,2772800,81.15,,,,-1.089,-0.717,-0.372,,,
2021-09-28,80.37,80.71,79.66,80.04,3126800,80.84,,,,-1.189,-0.811,-0.377,,,
2021-09-29,80.04,81.68,79.96,81.11,3299000,80.808,,,,-1.168,-0.883,-0.285,,,
2021-09-30,81.26,81.41,80.47,80.49,2962300,80.674,,,24.007,-1.188,-0.944,-0.244,,,
2021-10-01,80.99,81.55,80.51,81.21,4598500,80.674,,,34.352,-1.133,-0.982,-0.151,,,
2021-10-04,81.37,83.33,81.25,83.1,4645600,81.19,,,52.595,-0.926,-0.97,0.045,,,
2021-10-05,83.2,83.29,82.44,82.62,3411500,81.706,,,48.88,-0.791,-0.935,0.143,,,
2021-10-06,82.42,84.05,81.86,84.0,2794800,82.284,,,58.054,-0.567,-0.861,0.294,,,
2021-10-07,84.06,84.59,83.19,83.27,2020000,82.84,82.372,,52.669,-0.443,-0.777,0.335,82.372,85.417,79.326
2021-10-08,83.3,83.57,82.82,82.91,1745000,83.18,82.261,,50.197,-0.369,-0.696,0.327,82.261,85.035,79.487
2021-10-11,82.63,83.08,81.94,82.24,1659700,83.008,82.136,,45.88,-0.361,-0.629,0.268,82.136,84.656,79.617
2021-10-12,82.35,82.94,82.13,82.33,2426000,82.95,82.062,,46.545,-0.343,-0.572,0.229,82.062,84.459,79.666
2021-10-13,82.35,83.1,81.69,83.05,1798800,82.76,82.008,,51.662,-0.268,-0.511,0.243,82.008,84.247,79.768
2021-10-14,83.39,84.04,83.1,83.84,3045600,82.874,82.018,,56.575,-0.143,-0.437,0.295,82.018,84.289,79.746
2021-10-15,83.92,84.12,82.56,82.77,2593400,82.846,82.045,,49.271,-0.128,-0.375,0.247,82.045,84.341,79.75
2021-10-18,82.35,82.63,81.78,82.36,2057600,82.87,82.054,,46.779,-0.148,-0.33,0.182,82.054,84.354,79.755
2021-10-19,82.77,83.48,82.58,83.41,1759000,83.086,82.146,,53.294,-0.079,-0.28,0.201,82.146,84.511,79.78
2021-10-20,83.51,84.6,83.51,84.32,1892700,83.34,82.298,,58.083,0.049,-0.214,0.263,82.298,84.814,79.782
2021-10-21,84.45,84.98,84.27,84.95,2057800,83.562,82.488,,61.06,0.2,-0.131,0.331,82.488,85.205,79.77
2021-10-22,85.13,86.55,84.93,85.6,2430300,84.128,82.707,,63.908,0.367,-0.032,0.398,82.707,85.687,79.727
2021-10-25,85.52,85.53,84.64,84.82,1681600,84.62,82.922,,58.389,0.431,0.061,0.37,82.922,85.858,79.986
2021-10-26,84.78,85.89,84.65,85.19,2298300,84.976,83.179,,60.147,0.506,0.15,0.356,83.179,85.949,80.41
2021-10-27,85.49,85.63,84.66,84.75,1519200,85.062,83.362,,57.06,0.524,0.225,0.3,83.362,86.036,80.687
2021-10-28,84.47,84.83,83.94,84.53,1973600,84.978,83.564,,55.525,0.515,0.283,0.232,83.564,85.915,81.212
2021-10-29,84.32,84.92,83.8,84.14,2301300,84.686,83.71,,52.813,0.471,0.321,0.15,83.71,85.794,81.626
2021-11-01,84.23,84.69,83.68,84.38,1606500,84.598,83.774,,54.293,0.45,0.346,0.103,83.774,85.858,81.69
2021-11-02,84.65,84.8,83.71,84.5,2701100,84.46,83.868,,55.052,0.438,0.365,0.073,83.868,85.902,81.834
2021-11-03,84.33,84.91,83.67,84.57,2062000,84.424,83.896,,55.516,0.429,0.378,0.051,83.896,85.954,81.839
2021-11-04,84.45,84.83,82.37,83.32,3054500,84.182,83.899,,46.321,0.318,0.366,-0.048,83.899,85.953,81.845
2021-11-05,83.46,84.68,83.34,83.86,2127800,84.126,83.946,,50.161,0.27,0.346,-0.077,83.946,85.948,81.945
2021-11-08,84.03,84.12,82.9,83.65,3686700,83.98,84.017,,48.702,0.212,0.32,-0.107,84.017,85.858,82.176
2021-11-09,83.95,84.33,83.49,84.09,2876300,83.898,84.105,,51.862,0.2,0.296,-0.096,84.105,85.766,82.444
2021-11-10,84.35,84.87,83.86,84.63,1876700,83.91,84.184,,55.486,0.231,0.283,-0.052,84.184,85.783,82.585
2021-11-11,84.41,84.58,83.25,83.49,2002600,83.944,84.166,,47.377,0.162,0.259,-0.097,84.166,85.789,82.544
2021-11-12,83.49,83.7,82.93,83.18,2504100,83.808,84.187,,45.433,0.081,0.223,-0.142,84.187,85.744,82.63
2021-11-15,83.48,84.12,83.06,83.78,2362900,83.834,84.258,,49.733,0.065,0.192,-0.127,84.258,85.575,82.941
2021-11-16,83.72,83.92,82.42,82.52,3758800,83.52,84.214,,42.21,-0.049,0.143,-0.192,84.214,85.701,82.726
2021-11-17,82.45,82.66,81.96,82.44,2368600,83.082,84.119,,41.778,-0.144,0.086,-0.23,84.119,85.803,82.436
2021-11-18,82.1,82.17,81.6,81.92,2809800,82.768,83.968,83.179,38.985,-0.259,0.017,-0.276,83.968,85.868,82.068
2021-11-19,81.99,82.25,81.58,81.97,2986300,82.526,83.786,83.116,39.404,-0.341,-0.055,-0.287,83.786,85.723,81.85
2021-11-22,82.03,83.74,81.88,83.49,3913900,82.468,83.72,83.092,50.539,-0.281,-0.1,-0.181,83.72,85.598,81.842
2021-11-23,83.69,84.17,82.77,83.9,3174100,82.744,83.655,83.093,53.045,-0.198,-0.119,-0.078,83.655,85.405,81.906
2021-11-24,84.11,84.27,83.22,83.43,2236800,82.942,83.59,83.079,49.922,-0.168,-0.129,-0.039,83.59,85.263,81.916
2021-11-26,82.6,83.83,82.57,82.68,1805400,83.094,83.497,83.06,45.335,-0.202,-0.144,-0.058,83.497,85.156,81.838
2021-11-29,83.22,83.69,82.54,83.47,2128900,83.394,83.464,83.085,50.495,-0.164,-0.148,-0.016,83.464,85.095,81.832
2021-11-30,82.99,83.05,80.58,80.79,3873200,82.854,83.284,83.057,37.548,-0.346,-0.187,-0.158,83.284,85.247,81.321
2021-12-01,81.15,82.45,80.43,80.47,2825600,82.168,83.083,83.035,36.349,-0.51,-0.252,-0.258,83.083,85.327,80.838
2021-12-02,80.87,82.18,80.73,81.32,2956200,81.746,82.92,83.036,41.675,-0.565,-0.314,-0.25,82.92,85.182,80.658
2021-12-03,81.7,83.24,81.04,83.18,3106800,81.846,82.913,83.076,51.28,-0.453,-0.342,-0.111,82.913,85.17,80.656
2021-12-06,83.72,85.53,83.5,84.29,2972500,82.01,82.934,83.138,55.944,-0.272,-0.328,0.056,82.934,85.238,80.631
2021-12-07,84.01,84.57,83.7,84.26,4402500,82.704,82.965,83.213,55.788,-0.129,-0.288,0.159,82.965,85.324,80.606
2021-12-08,84.11,84.65,83.45,83.99,4819400,83.408,82.96,83.292,54.325,-0.037,-0.238,0.201,82.96,85.309,80.611
2021-12-09,84.15,84.21,82.67,83.52,4020800,83.848,82.905,83.34,51.78,-0.003,-0.191,0.188,82.905,85.137,80.672
2021-12-10,83.96,84.99,83.58,84.54,3039900,84.12,82.957,83.421,56.539,0.106,-0.132,0.238,82.957,85.294,80.62
2021-12-13,84.53,86.31,84.49,85.81,3932500,84.424,83.088,83.513,61.618,0.291,-0.047,0.338,83.088,85.752,80.425
2021-12-14,85.82,86.2,85.21,85.59,2825100,84.69,83.179,83.563,60.303,0.416,0.046,0.37,83.179,86.056,80.302
2021-12-15,85.62,86.7,85.62,86.46,3378800,85.184,83.376,83.639,63.61,0.578,0.152,0.426,83.376,86.583,80.169
2021-12-16,86.61,87.54,86.31,87.06,3066600,85.892,83.607,83.701,65.73,0.746,0.271,0.475,83.607,87.176,80.038
