Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,121.65,124.09,121.65,123.7,403100,,,,,0.0,0.0,0.0,,,
2021-07-13,123.34,124.07,121.13,121.46,529500,,,,,-0.179,-0.036,-0.143,,,
2021-07-14,121.72,122.02,120.16,121.05,516000,,,,,-0.349,-0.098,-0.251,,,
2021-07-15,120.46,121.91,116.05,119.81,1447400,,,,,-0.578,-0.194,-0.384,,,
2021-07-16,120.1,120.88,119.3,119.37,480800,121.078,,,,-0.786,-0.313,-0.473,,,
2021-07-19,118.83,120.23,117.03,117.82,676500,119.902,,,,-1.063,-0.463,-0.6,,,
2021-07-20,118.59,121.11,118.59,119.41,603900,119.492,,,,-1.141,-0.598,-0.543,,,
2021-07-21,120.0,121.22,119.67,120.1,645500,119.302,,,,-1.135,-0.706,-0.429,,,
2021-07-22,120.12,120.75,119.45,120.11,428200,119.362,,,,-1.116,-0.788,-0.328,,,
2021-07-23,121.07,121.19,120.34,120.61,465200,119.61,,,,-1.048,-0.84,-0.209,,,
2021-07-26,120.59,121.21,118.77,119.74,509400,119.994,,,,-1.053,-0.883,-0.171,,,
2021-07-27,119.96,120.9,119.57,120.35,455800,120.182,,,,-0.996,-0.905,-0.091,,,
2021-07-28,120.22,120.41,118.08,118.84,627000,119.93,,,,-1.06,-0.936,-0.124,,,
2021-07-29,119.44,119.96,118.46,119.01,533000,119.71,,,,-1.085,-0.966,-0.119,,,
2021-07-30,118.69,120.63,118.69,120.25,689700,119.638,,,43.8,-0.993,-0.971,-0.022,,,
2021-08-02,120.45,122.04,120.33,121.37,656400,119.964,,,51.12,-0.821,-0.941,0.121,,,
2021-08-03,121.94,123.32,119.55,123.15,619500,120.524,,,60.031,-0.534,-0.86,0.326,,,
2021-08-04,127.1,136.48,127.0,133.78,2133600,123.512,,,81.602,0.544,-0.579,1.123,,,
2021-08-05,134.07,134.07,128.88,130.13,1016000,125.736,,,68.026,1.092,-0.245,1.337,,,
2021-08-06,130.51,133.93,130.51,133.17,523000,128.32,122.162,,72.178,1.751,0.154,1.597,122.162,131.449,112.874
2021-08-09,133.23,133.56,131.59,132.56,555900,130.558,122.604,,70.208,2.199,0.563,1.636,122.604,132.982,112.227
2021-08-10,132.31,134.47,131.7,132.75,597900,132.478,123.169,,70.478,2.54,0.959,1.581,123.169,134.472,111.866
2021-08-11,132.91,133.63,131.82,132.75,477000,132.272,123.754,,70.478,2.778,1.323,1.456,123.754,135.783,111.725
2021-08-12,131.99,132.17,130.59,131.27,426200,132.5,124.327,,65.14,2.815,1.621,1.194,124.327,136.653,112.001
2021-08-13,131.78,132.09,130.13,130.28,328000,131.922,124.873,,61.769,2.733,1.843,0.889,124.873,137.24,112.505
2021-08-16,130.3,131.67,129.42,131.61,355900,131.732,125.562,,64.432,2.744,2.023,0.72,125.562,137.811,113.313
2021-08-17,130.89,133.0,130.25,132.61,476800,131.704,126.222,,66.33,2.8,2.179,0.621,126.222,138.498,113.946
2021-08-18,132.35,132.84,130.8,130.92,452000,131.338,126.763,,60.457,2.678,2.279,0.399,126.763,138.855,114.671
2021-08-19,130.0,132.53,130.0,132.15,391700,131.514,127.365,,63.023,2.65,2.353,0.297,127.365,139.26,115.47
2021-08-20,132.23,133.59,132.09,132.65,435600,131.988,127.967,,64.045,2.638,2.41,0.228,127.967,139.639,116.295
2021-08-23,133.09,133.29,131.61,132.43,476800,132.152,128.602,,63.217,2.58,2.444,0.136,128.602,139.759,117.444
2021-08-24,132.64,132.99,131.34,131.77,330900,131.984,129.173,,60.684,2.453,2.446,0.007,129.173,139.703,118.642
2021-08-25,131.38,131.92,130.13,130.77,394600,131.954,129.769,,56.959,2.246,2.406,-0.16,129.769,139.121,120.417
2021-08-26,130.79,130.79,129.27,129.96,435700,131.516,130.316,,54.064,1.994,2.323,-0.33,130.316,138.18,122.453
2021-08-27,129.95,131.66,129.63,130.81,571100,131.148,130.844,,56.559,1.841,2.227,-0.386,130.844,137.12,124.569
2021-08-30,130.71,132.13,130.01,131.14,322200,130.89,131.333,,57.524,1.726,2.127,-0.4,131.333,135.748,126.918
2021-08-31,130.61,132.09,130.27,130.77,634300,130.69,131.714,,56.022,1.588,2.019,-0.431,131.714,133.917,129.511
2021-09-01,130.97,131.12,128.08,130.77,393800,130.69,131.564,,56.022,1.461,1.907,-0.447,131.564,133.575,129.552
2021-09-02,131.39,133.57,130.89,133.52,488000,131.402,131.733,,64.101,1.564,1.839,-0.275,131.733,133.806,129.66
2021-09-03,133.52,133.88,132.01,132.17,438000,131.674,131.683,,58.427,1.52,1.775,-0.255,131.683,133.656,129.71
2021-09-07,131.17,132.25,130.44,130.99,473500,131.644,131.604,,53.932,1.373,1.695,-0.321,131.604,133.555,129.654
2021-09-08,130.41,131.12,128.86,129.07,661800,131.304,131.42,,47.526,1.09,1.574,-0.484,131.42,133.597,129.244
2021-09-09,129.21,130.47,129.0,129.09,467000,130.968,131.238,,47.596,0.857,1.43,-0.573,131.238,133.555,128.92
