Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-08-09,133.17,134.27,131.92,132.64,1723064.0,,,,,0.0,0.0,0.0,,,
2021-08-10,132.59,133.54,131.66,133.48,2210377.0,,,,,0.067,0.013,0.054,,,
2021-08-11,134.35,134.86,133.51,134.72,1841281.0,,,,,0.218,0.054,0.163,,,
2021-08-12,134.53,135.42,133.39,135.39,1871643.0,,,,,0.387,0.121,0.266,,,
2021-08-13,135.34,135.79,134.61,135.09,1572699.0,134.264,,,,0.491,0.195,0.296,,,
2021-08-16,134.39,136.4,133.84,136.38,1789060.0,135.012,,,,0.67,0.29,0.38,,,
2021-08-17,135.57,138.48,135.05,137.39,2340827.0,135.794,,,,0.883,0.408,0.474,,,
2021-08-18,137.29,138.23,136.21,136.37,2091059.0,136.124,,,,0.958,0.518,0.44,,,
2021-08-19,135.77,137.75,135.48,136.96,1888512.0,136.438,,,,1.053,0.625,0.428,,,
2021-08-20,137.27,138.1,136.02,136.54,2329934.0,136.728,,,,1.083,0.717,0.366,,,
2021-08-23,136.52,139.79,135.71,139.12,1895942.0,137.276,,,,1.299,0.833,0.466,,,
2021-08-24,139.45,140.61,138.48,138.88,1502193.0,137.574,,,,1.434,0.953,0.481,,,
2021-08-25,139.07,139.07,136.39,138.19,1638165.0,137.938,,,,1.469,1.057,0.413,,,
2021-08-26,138.3,139.19,137.53,137.81,1016396.0,138.108,,,,1.449,1.135,0.314,,,
2021-08-27,137.86,139.61,137.55,139.24,1143969.0,138.648,,,73.586,1.532,1.214,0.317,,,
2021-08-30,138.52,140.59,137.36,139.58,2011369.0,138.74,,,74.708,1.605,1.293,0.313,,,
2021-08-31,140.11,143.49,139.07,141.62,3467609.0,139.288,,,80.155,1.808,1.396,0.412,,,
2021-09-01,141.75,143.36,141.37,142.81,1570086.0,140.212,,,82.52,2.041,1.525,0.516,,,
2021-09-02,143.24,144.11,141.4,141.8,2240597.0,141.01,,,74.414,2.119,1.644,0.476,,,
2021-09-03,141.38,143.31,141.38,142.97,1192674.0,141.756,137.849,,77.207,2.25,1.765,0.485,137.849,143.745,131.953
2021-09-07,143.45,143.45,141.53,141.63,1495691.0,142.166,138.299,,68.046,2.22,1.856,0.364,138.299,143.885,132.712
2021-09-08,142.16,143.89,140.34,140.54,2200367.0,141.95,138.652,,61.638,2.084,1.902,0.183,138.652,143.834,133.469
2021-09-09,139.73,140.67,137.33,138.79,2624679.0,141.146,138.855,,53.008,1.815,1.884,-0.07,138.855,143.696,134.014
2021-09-10,138.51,143.3,137.97,141.54,3664201.0,141.094,139.162,,62.01,1.802,1.868,-0.066,139.162,143.855,134.47
2021-09-13,141.81,143.28,140.35,141.1,2131579.0,140.72,139.463,,60.028,1.736,1.841,-0.105,139.463,143.815,135.111
2021-09-14,141.63,142.33,140.74,141.78,1318419.0,140.75,139.733,,62.047,1.719,1.817,-0.098,139.733,143.948,135.518
2021-09-15,138.63,138.72,132.48,133.65,6358999.0,139.372,139.546,,37.601,1.038,1.661,-0.623,139.546,144.47,134.622
2021-09-16,134.5,136.25,132.17,132.6,4637594.0,138.134,139.358,,35.648,0.409,1.411,-1.002,139.358,145.026,133.689
2021-09-17,131.83,132.21,129.91,130.57,4178675.0,135.94,139.038,,32.168,-0.251,1.078,-1.329,139.038,145.875,132.201
2021-09-20,128.72,129.25,125.58,126.87,3533237.0,133.094,138.555,,26.996,-1.06,0.651,-1.711,138.555,147.251,129.858
2021-09-21,126.79,127.27,123.43,123.63,3689788.0,129.464,137.78,,23.442,-1.941,0.132,-2.073,137.78,148.731,126.829
2021-09-22,123.07,124.46,121.79,123.27,4214447.0,127.388,136.999,,23.078,-2.637,-0.422,-2.215,136.999,149.705,124.294
2021-09-23,123.85,125.93,123.0,124.73,2571710.0,125.814,136.326,,27.958,-3.036,-0.944,-2.092,136.326,150.144,122.509
2021-09-24,123.9,126.8,123.72,126.69,2327378.0,125.038,135.77,,34.011,-3.158,-1.387,-1.771,135.77,150.217,121.324
2021-09-27,126.07,129.28,125.75,128.72,3326994.0,125.408,135.245,,39.665,-3.055,-1.721,-1.334,135.245,149.923,120.566
2021-09-28,128.6,131.66,128.27,130.46,4349772.0,126.774,134.789,,44.087,-2.801,-1.937,-0.864,134.789,149.467,120.11
2021-09-29,130.54,136.14,130.5,134.53,5656553.0,129.026,134.434,,52.801,-2.246,-1.999,-0.247,134.434,148.756,120.112
2021-09-30,135.87,140.56,135.42,138.73,5018452.0,131.826,134.23,,59.769,-1.45,-1.889,0.439,134.23,148.16,120.3
2021-10-01,138.39,140.55,136.09,140.04,3196229.0,134.496,134.142,,61.67,-0.705,-1.652,0.947,134.142,147.892,120.392
2021-10-04,139.81,141.86,136.56,139.62,3215830.0,136.676,133.974,,60.68,-0.147,-1.351,1.204,133.974,147.348,120.601
2021-10-05,139.59,141.15,139.07,140.53,2682152.0,138.69,133.92,,62.1,0.364,-1.008,1.372,133.92,147.169,120.67
2021-10-06,140.03,140.03,129.57,130.75,8344344.0,137.934,133.43,,43.799,-0.019,-0.81,0.791,133.43,146.369,120.491
2021-10-07,131.43,134.7,131.08,134.19,3627336.0,137.026,133.2,,49.443,-0.045,-0.657,0.612,133.2,145.9,120.5
2021-10-08,134.08,137.08,134.01,136.53,2163164.0,136.324,132.95,,52.907,0.121,-0.502,0.623,132.95,145.144,120.755
2021-10-11,136.46,137.13,134.11,136.02,1908240.0,135.604,132.695,,52.07,0.21,-0.359,0.569,132.695,144.376,121.015
2021-10-12,136.08,136.37,132.64,133.29,3092043.0,134.156,132.271,,47.716,0.059,-0.275,0.335,132.271,143.151,121.391
2021-10-13,133.57,134.35,129.66,133.07,3097484.0,134.62,132.242,,47.372,-0.077,-0.236,0.159,132.242,143.11,121.374
2021-10-14,133.34,134.26,131.29,132.35,2434432.0,134.252,132.229,,46.199,-0.24,-0.237,-0.004,132.229,143.096,121.363
2021-10-15,132.49,133.31,129.97,131.42,3298904.0,133.23,132.272,,44.661,-0.44,-0.277,-0.162,132.272,143.118,121.426
2021-10-18,131.32,132.37,130.88,131.38,1755898.0,132.302,132.498,135.52,44.592,-0.594,-0.341,-0.253,132.498,143.054,121.941
2021-10-19,132.13,133.39,131.17,133.37,1614628.0,132.318,132.984,135.535,48.815,-0.55,-0.382,-0.167,132.984,142.682,123.287
2021-10-20,134.06,135.87,133.82,135.76,1763163.0,132.856,133.609,135.58,53.408,-0.318,-0.37,0.052,133.609,142.221,124.997
2021-10-21,135.77,137.36,134.85,137.15,1853825.0,133.816,134.23,135.629,55.887,-0.022,-0.3,0.278,134.23,141.884,126.576
2021-10-22,137.51,140.6,137.12,137.58,2495305.0,135.048,134.775,135.673,56.656,0.245,-0.191,0.436,134.775,141.683,127.866
2021-10-25,137.62,140.23,137.03,138.67,2155559.0,136.506,135.272,135.744,58.623,0.538,-0.045,0.583,135.272,141.765,128.779
2021-10-26,139.39,140.55,138.22,138.88,1542995.0,137.608,135.693,135.794,59.009,0.778,0.119,0.659,135.693,141.96,129.426
2021-10-27,139.15,139.23,136.84,136.9,1696972.0,137.836,135.812,135.784,53.903,0.799,0.255,0.544,135.812,142.076,129.547
2021-10-28,136.78,137.7,135.66,136.76,1372571.0,137.758,135.713,135.792,53.55,0.796,0.364,0.432,135.713,141.845,129.581
2021-10-29,136.95,137.36,135.47,136.78,1990465.0,137.598,135.55,135.789,53.597,0.786,0.448,0.338,135.55,141.363,129.737
2021-11-01,137.43,139.86,136.56,138.26,2068342.0,137.516,135.482,135.823,57.041,0.887,0.536,0.351,135.482,141.123,129.841
2021-11-02,138.05,138.24,135.31,136.7,2514665.0,137.08,135.29,135.775,52.608,0.831,0.595,0.237,135.29,140.45,130.131
2021-11-03,134.29,137.24,133.05,136.05,3562328.0,136.91,135.556,135.718,50.836,0.727,0.621,0.105,135.556,140.257,130.854
2021-11-04,139.83,143.09,138.49,138.96,3496280.0,137.35,135.794,135.733,57.707,0.868,0.671,0.198,135.794,140.684,130.904
2021-11-05,140.62,141.12,135.18,136.12,2757821.0,137.218,135.774,135.7,50.316,0.743,0.685,0.058,135.774,140.654,130.893
2021-11-08,136.53,136.85,134.24,134.74,2538269.0,136.514,135.71,135.61,47.156,0.526,0.653,-0.127,135.71,140.61,130.809
2021-11-09,135.9,137.51,135.24,136.33,1796079.0,136.44,135.862,135.545,50.976,0.477,0.618,-0.141,135.862,140.633,131.09
2021-11-10,136.22,138.45,135.08,135.84,2058869.0,136.398,136.0,135.429,49.782,0.395,0.573,-0.179,136.0,140.587,131.413
2021-11-11,136.68,142.2,136.29,140.88,3109450.0,136.782,136.426,135.39,60.13,0.727,0.604,0.123,136.426,141.168,131.685
2021-11-12,140.3,142.96,139.99,141.84,1613575.0,137.926,136.948,135.391,61.747,1.056,0.695,0.361,136.948,141.663,132.232
2021-11-15,140.06,140.82,134.24,137.79,3850868.0,138.536,137.268,135.288,52.14,0.979,0.751,0.227,137.268,141.196,133.34
2021-11-16,137.68,139.81,135.14,136.11,2977490.0,138.492,137.405,135.177,48.751,0.773,0.756,0.017,137.405,140.931,133.879
2021-11-17,135.19,137.22,134.2,134.72,2245866.0,138.268,137.353,135.061,46.083,0.492,0.703,-0.211,137.353,141.009,133.697
2021-11-18,133.89,134.41,131.77,133.93,4120538.0,136.878,137.192,134.964,44.589,0.203,0.603,-0.4,137.192,141.156,133.228
2021-11-19,133.87,134.02,128.92,129.12,3972541.0,134.334,136.769,134.715,36.773,-0.409,0.4,-0.81,136.769,142.122,131.416
2021-11-22,128.44,128.57,122.21,123.16,5198570.0,131.408,135.994,134.356,29.802,-1.36,0.048,-1.408,135.994,144.015,127.972
2021-11-23,122.64,126.01,122.48,125.23,3765512.0,129.232,135.311,134.025,34.45,-1.924,-0.346,-1.578,135.311,144.532,126.09
2021-11-24,125.08,125.39,121.72,123.52,2851123.0,126.992,134.642,133.823,32.533,-2.48,-0.773,-1.707,134.642,145.219,124.065
2021-11-26,127.57,127.65,122.37,122.85,2264114.0,124.776,133.946,133.628,31.787,-2.941,-1.207,-1.735,133.946,145.701,122.192
2021-11-29,122.79,122.99,120.03,121.79,2279178.0,123.31,133.197,133.452,30.592,-3.354,-1.636,-1.718,133.197,146.051,120.343
2021-11-30,122.77,125.41,120.23,121.15,5192786.0,122.908,132.342,133.338,29.862,-3.689,-2.047,-1.643,132.342,146.027,118.656
2021-12-01,122.01,122.85,117.11,117.26,3654289.0,121.314,131.37,133.21,25.827,-4.221,-2.481,-1.739,131.37,146.443,116.296
2021-12-02,117.67,120.7,117.67,119.56,3107393.0,120.522,130.545,133.136,31.703,-4.406,-2.866,-1.539,130.545,146.328,114.762
2021-12-03,120.58,122.49,120.05,122.17,3371301.0,120.386,129.706,133.085,37.731,-4.292,-3.151,-1.141,129.706,145.389,114.022
2021-12-06,124.29,124.65,121.79,123.19,2863915.0,120.666,129.059,133.015,39.962,-4.073,-3.336,-0.737,129.059,144.695,113.423
2021-12-07,124.27,125.0,122.98,123.2,2650223.0,121.076,128.482,132.905,39.984,-3.854,-3.439,-0.414,128.482,144.087,112.877
2021-12-08,123.42,124.34,122.2,123.41,2553671.0,122.306,127.836,132.764,40.493,-3.621,-3.476,-0.146,127.836,143.14,112.532
2021-12-09,123.53,123.9,121.77,122.07,2485292.0,122.808,127.148,132.514,38.264,-3.505,-3.482,-0.023,127.148,142.172,112.123
2021-12-10,123.2,124.39,121.74,122.7,2186565.0,122.914,126.238,132.194,39.938,-3.324,-3.45,0.126,126.238,139.903,112.574
2021-12-13,122.7,125.3,122.7,123.8,2292854.0,123.036,125.337,131.869,42.852,-3.056,-3.371,0.315,125.337,136.882,113.791
2021-12-14,123.03,125.33,123.03,123.88,2107833.0,123.172,124.641,131.554,43.068,-2.805,-3.258,0.453,124.641,134.594,114.688
2021-12-15,124.71,126.21,122.87,125.88,2471034.0,123.666,124.13,131.261,48.333,-2.417,-3.09,0.673,124.13,132.531,115.728
2021-12-16,125.6,126.74,125.02,126.36,1694823.0,124.524,123.712,131.173,49.539,-2.047,-2.881,0.834,123.712,130.588,116.835
2021-12-17,126.31,127.74,124.3,124.53,3514937.0,124.89,123.242,130.98,45.206,-1.88,-2.681,0.801,123.242,128.193,118.29
2021-12-20,123.5,127.08,123.5,126.88,2592145.0,125.506,123.13,130.787,51.119,-1.54,-2.453,0.913,123.13,127.599,118.66
2021-12-21,127.9,129.22,126.17,129.08,2251400.0,126.546,123.425,130.648,55.915,-1.081,-2.178,1.098,123.425,128.628,118.223
2021-12-22,128.99,130.13,127.49,128.39,2153728.0,127.048,123.584,130.55,54.121,-0.763,-1.895,1.132,123.584,129.193,117.974
2021-12-23,128.21,129.9,127.8,129.44,1594118.0,127.664,123.879,130.478,56.413,-0.422,-1.601,1.178,123.879,130.069,117.69
2021-12-27,130.15,130.62,129.2,129.92,1377314.0,128.742,124.233,130.429,57.459,-0.112,-1.303,1.191,124.233,130.96,117.506
2021-12-28,130.12,131.81,129.92,130.34,1230735.0,129.434,124.66,130.408,58.399,0.166,-1.009,1.175,124.66,131.807,117.514
2021-12-29,130.76,131.03,128.8,130.02,912350.0,129.622,125.104,130.38,57.359,0.356,-0.736,1.092,125.104,132.432,117.776
2021-12-30,130.57,132.42,130.57,131.31,1177048.0,130.206,125.806,130.339,60.421,0.604,-0.468,1.072,125.806,132.646,118.967
2021-12-31,131.31,131.83,128.57,128.81,1610904.0,130.08,126.269,130.2,52.546,0.592,-0.256,0.848,126.269,132.559,119.979
2022-01-03,128.84,132.8,128.67,131.79,2033926.0,130.454,126.75,130.093,59.347,0.813,-0.042,0.856,126.75,133.189,120.311
