Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,61.5,61.85,61.18,61.61,1154300,,,,,0.0,0.0,0.0,,,
2021-07-13,61.54,61.76,60.88,60.99,1992400,,,,,-0.049,-0.01,-0.04,,,
2021-07-14,60.85,61.66,60.52,61.46,2206600,,,,,-0.05,-0.018,-0.032,,,
2021-07-15,61.46,62.46,61.31,62.45,2135500,,,,,0.029,-0.009,0.037,,,
2021-07-16,62.56,63.2,62.35,62.93,2100100,61.888,,,,0.129,0.019,0.11,,,
2021-07-19,62.84,63.53,61.25,61.95,2450200,61.956,,,,0.127,0.041,0.087,,,
2021-07-20,60.99,62.67,60.99,61.78,3083100,62.114,,,,0.111,0.055,0.057,,,
2021-07-21,61.82,62.09,61.06,61.12,1601300,62.046,,,,0.045,0.053,-0.008,,,
2021-07-22,61.18,61.53,60.83,61.34,1754300,61.824,,,,0.01,0.044,-0.034,,,
2021-07-23,61.5,62.32,61.39,62.3,1403100,61.698,,,,0.059,0.047,0.012,,,
2021-07-26,62.35,62.57,61.83,62.11,1477600,61.73,,,,0.081,0.054,0.027,,,
2021-07-27,62.04,63.57,61.67,63.43,1625500,62.06,,,,0.203,0.084,0.119,,,
2021-07-28,63.41,63.49,62.15,62.64,1513200,62.364,,,,0.233,0.114,0.12,,,
2021-07-29,62.62,62.82,62.18,62.58,1381500,62.612,,,,0.25,0.141,0.109,,,
2021-07-30,62.72,63.25,61.69,61.95,4354200,62.542,,,49.873,0.209,0.155,0.055,,,
2021-08-02,62.12,62.79,62.09,62.56,1495600,62.632,,,55.26,0.224,0.168,0.056,,,
2021-08-03,62.56,63.37,62.31,62.86,1439900,62.518,,,57.67,0.257,0.186,0.071,,,
2021-08-04,62.58,62.93,62.09,62.87,1862900,62.564,,,57.752,0.28,0.205,0.076,,,
2021-08-05,62.74,63.25,62.3,63.25,1740000,62.698,,,60.844,0.326,0.229,0.097,,,
2021-08-06,63.24,64.08,62.45,63.42,2218200,62.992,62.28,,62.177,0.372,0.258,0.114,62.28,63.767,60.793
2021-08-09,63.65,63.91,63.29,63.88,1386300,63.256,62.394,,65.592,0.44,0.294,0.146,62.394,64.007,60.78
2021-08-10,63.99,64.46,63.61,64.16,1938500,63.516,62.552,,67.515,0.511,0.337,0.173,62.552,64.207,60.897
2021-08-11,64.28,64.94,64.22,64.76,1522200,63.894,62.717,,71.225,0.608,0.392,0.217,62.717,64.561,60.873
2021-08-12,64.9,65.38,64.69,64.87,2388600,64.218,62.838,,71.86,0.686,0.451,0.236,62.838,64.911,60.765
2021-08-13,64.94,65.51,64.72,65.29,1448600,64.592,62.956,,74.2,0.773,0.515,0.258,62.956,65.302,60.61
2021-08-16,65.44,66.14,65.18,65.71,2077600,64.958,63.144,,76.32,0.866,0.585,0.281,63.144,65.74,60.548
2021-08-17,65.69,65.79,64.77,65.51,1737700,65.228,63.33,,73.234,0.913,0.651,0.262,63.33,66.047,60.614
2021-08-18,65.51,65.63,64.68,64.97,1710200,65.27,63.523,,65.528,0.896,0.7,0.196,63.523,66.123,60.923
2021-08-19,65.11,65.79,64.94,65.05,1558600,65.306,63.708,,66.097,0.879,0.736,0.144,63.708,66.179,61.238
2021-08-20,64.9,65.52,64.52,65.27,1834000,65.302,63.857,,67.678,0.874,0.763,0.11,63.857,66.328,61.386
2021-08-23,65.27,65.27,64.14,64.28,1655700,65.016,63.966,,55.207,0.78,0.767,0.013,63.966,66.3,61.631
2021-08-24,64.22,64.25,63.39,63.63,1575400,64.64,63.976,,48.843,0.646,0.743,-0.096,63.976,66.302,61.649
2021-08-25,63.57,64.06,63.16,63.84,1674300,64.414,64.036,,50.815,0.551,0.704,-0.154,64.036,66.278,61.793
2021-08-26,63.61,63.92,63.33,63.8,1592600,64.164,64.097,,50.417,0.466,0.657,-0.19,64.097,66.236,61.957
2021-08-27,63.9,64.2,63.69,64.16,1547700,63.942,64.207,,53.922,0.424,0.61,-0.186,64.207,66.093,62.321
2021-08-30,64.22,64.49,64.04,64.21,1938000,63.928,64.29,,54.404,0.389,0.566,-0.177,64.29,66.009,62.57
2021-08-31,64.17,64.56,63.82,64.0,3234400,64.002,64.347,,51.945,0.341,0.521,-0.18,64.347,65.938,62.755
2021-09-01,64.05,65.01,64.0,64.84,2834200,64.202,64.445,,59.775,0.367,0.49,-0.123,64.445,65.888,63.002
2021-09-02,65.02,65.42,64.99,65.42,1483300,64.526,64.554,,64.121,0.429,0.478,-0.049,64.554,65.944,63.163
2021-09-03,65.42,65.47,64.7,64.72,1948000,64.638,64.619,,56.225,0.417,0.466,-0.049,64.619,65.903,63.334
2021-09-07,64.74,64.85,63.46,63.51,1828800,64.498,64.6,,45.739,0.306,0.434,-0.128,64.6,65.939,63.261
2021-09-08,63.58,65.35,63.42,65.24,2427400,64.746,64.654,,57.844,0.354,0.418,-0.064,64.654,66.005,63.303
2021-09-09,65.14,65.26,64.72,64.78,1925700,64.734,64.655,,54.371,0.35,0.404,-0.054,64.655,66.007,63.303
2021-09-10,64.53,64.69,63.33,63.35,2146200,64.32,64.579,,45.27,0.23,0.369,-0.14,64.579,66.046,63.112
2021-09-13,63.91,64.23,62.94,63.11,2416200,63.998,64.47,,43.941,0.113,0.318,-0.205,64.47,66.035,62.905
2021-09-14,63.35,63.5,62.72,62.93,2048400,63.882,64.331,,42.923,0.007,0.256,-0.249,64.331,65.926,62.736
2021-09-15,62.75,63.51,62.64,62.76,2766000,63.386,64.194,,41.935,-0.091,0.187,-0.277,64.194,65.834,62.553
2021-09-16,62.83,63.18,62.42,62.48,1979900,62.926,64.069,,40.29,-0.188,0.112,-0.3,64.069,65.834,62.304
2021-09-17,62.01,62.71,61.86,61.98,7274000,62.652,63.916,,37.463,-0.302,0.029,-0.331,63.916,65.848,61.983
2021-09-20,61.99,63.08,61.76,62.18,2743200,62.466,63.761,63.406,39.298,-0.372,-0.051,-0.321,63.761,65.731,61.791
2021-09-21,62.13,62.77,61.88,61.96,1570500,62.272,63.645,63.413,37.978,-0.441,-0.129,-0.311,63.645,65.755,61.535
2021-09-22,62.13,62.51,61.64,62.13,1865800,62.146,63.57,63.436,39.664,-0.475,-0.198,-0.277,63.57,65.786,61.354
2021-09-23,62.09,62.67,61.91,62.01,1606400,62.052,63.479,63.447,38.861,-0.507,-0.26,-0.247,63.479,65.796,61.161
2021-09-24,61.89,62.51,61.84,61.92,1734600,62.04,63.384,63.436,38.236,-0.533,-0.315,-0.218,63.384,65.798,60.971
2021-09-27,62.16,62.91,61.47,61.52,1871300,61.908,63.252,63.408,35.502,-0.579,-0.368,-0.212,63.252,65.774,60.731
2021-09-28,61.69,61.83,60.95,61.21,2258800,61.758,63.102,63.393,33.502,-0.633,-0.421,-0.213,63.102,65.738,60.467
2021-09-29,61.14,62.79,61.14,62.3,1499300,61.792,63.018,63.403,45.191,-0.582,-0.453,-0.129,63.018,65.641,60.394
2021-09-30,62.24,62.49,61.57,61.57,2752100,61.704,62.854,63.412,40.106,-0.593,-0.481,-0.112,62.854,65.406,60.302
2021-10-01,62.16,62.16,60.68,60.73,2237400,61.466,62.62,63.4,35.199,-0.662,-0.517,-0.145,62.62,65.037,60.202
2021-10-04,60.69,62.32,60.66,62.1,2150500,61.582,62.488,63.396,46.662,-0.599,-0.534,-0.066,62.488,64.702,60.275
2021-10-05,62.17,62.33,61.67,61.95,2160500,61.73,62.41,63.393,45.709,-0.555,-0.538,-0.017,62.41,64.582,60.239
2021-10-06,61.85,63.33,61.66,63.28,2696000,61.926,62.312,63.39,54.572,-0.408,-0.512,0.104,62.312,64.087,60.538
2021-10-07,63.36,63.87,62.95,63.09,1624600,62.23,62.228,63.399,53.235,-0.304,-0.47,0.167,62.228,63.629,60.827
2021-10-08,62.95,63.04,62.27,62.32,1788500,62.548,62.176,63.394,48.093,-0.28,-0.432,0.153,62.176,63.476,60.877
2021-10-11,64.19,64.93,62.69,62.7,7765700,62.668,62.156,63.409,50.627,-0.227,-0.391,0.164,62.156,63.406,60.906
2021-10-12,62.71,64.54,62.55,64.2,4354400,63.118,62.22,63.442,59.115,-0.064,-0.326,0.262,62.22,63.735,60.704
2021-10-13,64.11,64.78,63.95,64.5,3608800,63.362,62.306,63.474,60.574,0.088,-0.243,0.331,62.306,64.123,60.49
2021-10-14,64.47,64.81,64.11,64.18,3854100,63.58,62.391,63.501,58.188,0.181,-0.158,0.339,62.391,64.392,60.391
2021-10-15,64.12,64.25,62.99,63.16,16582100,63.748,62.45,63.499,51.256,0.171,-0.092,0.263,62.45,64.469,60.432
2021-10-18,61.91,62.19,61.11,61.82,6172200,63.572,62.433,63.467,43.863,0.054,-0.063,0.117,62.433,64.468,60.397
2021-10-19,62.21,62.56,61.82,62.54,1986600,63.24,62.462,63.44,48.188,0.019,-0.047,0.065,62.462,64.485,60.438
2021-10-20,62.77,64.13,62.63,64.05,2198600,63.15,62.557,63.438,55.866,0.112,-0.015,0.127,62.557,64.694,60.421
2021-10-21,64.15,64.32,63.66,63.99,1519600,63.112,62.656,63.422,55.514,0.178,0.024,0.155,62.656,64.868,60.445
2021-10-22,64.23,64.74,64.14,64.54,1248900,63.388,62.788,63.416,58.119,0.272,0.073,0.199,62.788,65.122,60.453
2021-10-25,64.38,64.7,64.04,64.36,1637500,63.896,62.93,63.397,56.944,0.329,0.124,0.204,62.93,65.285,60.574
2021-10-26,64.36,65.13,64.25,64.7,1625200,64.328,63.104,63.377,58.645,0.396,0.179,0.217,63.104,65.44,60.768
2021-10-27,65.0,65.0,64.22,64.45,1581700,64.408,63.212,63.356,56.866,0.424,0.228,0.197,63.212,65.59,60.833
2021-10-28,64.56,64.89,64.33,64.71,1320000,64.552,63.368,63.351,58.283,0.463,0.275,0.188,63.368,65.705,61.032
2021-10-29,64.71,64.96,63.76,63.95,2475800,64.434,63.53,63.329,52.819,0.427,0.305,0.121,63.53,65.518,61.541
2021-11-01,63.95,65.03,63.72,64.56,1659800,64.474,63.652,63.314,56.356,0.442,0.333,0.11,63.652,65.572,61.733
2021-11-02,64.62,65.06,63.95,64.84,1976500,64.502,63.797,63.326,57.915,0.472,0.36,0.111,63.797,65.609,61.985
2021-11-03,64.6,65.5,64.41,65.29,2173500,64.67,63.898,63.359,60.366,0.525,0.393,0.132,63.898,65.809,61.986
2021-11-04,65.2,65.56,64.06,64.7,2128100,64.668,63.978,63.376,55.779,0.514,0.418,0.097,63.978,65.882,62.074
2021-11-05,65.56,66.83,65.56,66.34,3651700,65.146,64.179,63.427,63.974,0.631,0.46,0.17,64.179,66.191,62.167
2021-11-08,66.16,66.2,65.1,65.35,2418800,65.304,64.311,63.451,57.096,0.636,0.495,0.14,64.311,66.262,62.361
2021-11-09,65.56,66.18,65.5,66.01,1688300,65.538,64.402,63.487,60.17,0.685,0.533,0.152,64.402,66.493,62.311
2021-11-10,66.16,66.7,65.56,66.12,2345300,65.704,64.483,63.529,60.676,0.725,0.571,0.153,64.483,66.711,62.255
2021-11-11,65.89,66.06,65.3,65.8,1566800,65.924,64.564,63.548,58.354,0.722,0.602,0.12,64.564,66.863,62.265
2021-11-12,65.83,65.83,65.33,65.44,3386200,65.744,64.678,63.549,55.769,0.683,0.618,0.065,64.678,66.909,62.447
2021-11-15,65.9,66.85,65.69,66.81,1880400,66.036,64.927,63.59,62.566,0.754,0.645,0.109,64.927,66.915,62.94
2021-11-16,66.88,67.22,66.39,66.4,1560000,66.114,65.121,63.648,59.614,0.768,0.669,0.098,65.121,66.867,63.374
2021-11-17,66.28,66.52,65.83,66.39,1603500,66.168,65.238,63.671,59.54,0.769,0.689,0.08,65.238,66.995,63.48
2021-11-18,66.22,66.62,65.46,66.52,1739900,66.312,65.364,63.706,60.229,0.772,0.706,0.066,65.364,67.108,63.62
2021-11-19,66.59,67.18,66.52,66.84,1841000,66.592,65.479,63.776,61.947,0.791,0.723,0.068,65.479,67.296,63.662
2021-11-22,66.74,67.99,66.47,67.3,1899300,66.69,65.626,63.86,64.333,0.834,0.745,0.089,65.626,67.535,63.717
2021-11-23,67.4,68.18,67.29,67.82,1552300,66.974,65.782,63.957,66.862,0.899,0.776,0.123,65.782,67.874,63.69
2021-11-24,67.97,68.15,67.54,67.86,1295500,67.268,65.953,64.059,67.056,0.943,0.809,0.134,65.953,68.141,63.764
2021-11-26,67.54,68.43,67.35,67.39,1337400,67.442,66.086,64.158,62.441,0.929,0.833,0.096,66.086,68.283,63.89
2021-11-29,67.7,68.96,67.35,68.83,3064700,67.84,66.33,64.295,69.391,1.023,0.871,0.152,66.33,68.61,64.051
2021-11-30,68.23,68.46,66.51,66.51,5229000,67.682,66.428,64.381,52.527,0.9,0.877,0.023,66.428,68.55,64.306
2021-12-01,66.82,68.16,66.39,66.76,1775200,67.47,66.524,64.477,53.829,0.813,0.864,-0.052,66.524,68.513,64.535
2021-12-02,67.11,68.0,66.96,67.41,1830200,67.38,66.63,64.583,57.123,0.787,0.849,-0.062,66.63,68.568,64.692
2021-12-03,67.72,69.01,67.42,68.98,2618700,67.698,66.844,64.722,63.833,0.883,0.856,0.028,66.844,68.829,64.859
2021-12-06,69.39,70.28,69.24,69.69,2842800,67.87,67.012,64.878,66.394,1.005,0.886,0.12,67.012,69.351,64.672
2021-12-07,69.44,69.99,69.15,69.87,2061700,68.542,67.238,65.045,67.031,1.104,0.929,0.175,67.238,69.767,64.708
2021-12-08,70.02,70.43,69.42,69.84,1439400,69.158,67.429,65.217,66.804,1.166,0.976,0.189,67.429,70.14,64.718
2021-12-09,69.98,70.19,68.91,69.97,4671600,69.67,67.622,65.371,67.321,1.212,1.024,0.188,67.622,70.484,64.759
2021-12-10,70.17,70.92,69.87,70.76,1526200,70.026,67.87,65.554,70.346,1.297,1.078,0.219,67.87,70.921,64.818
2021-12-13,70.69,71.94,70.59,71.5,3965300,70.388,68.172,65.77,72.879,1.408,1.144,0.264,68.172,71.406,64.939
2021-12-14,71.6,71.9,71.02,71.24,1532200,70.662,68.394,65.953,70.597,1.458,1.207,0.251,68.394,71.835,64.953
2021-12-15,71.3,72.51,71.19,72.4,2603500,71.174,68.694,66.162,74.441,1.573,1.28,0.293,68.694,72.436,64.952
2021-12-16,72.17,73.0,71.63,72.55,1932100,71.69,69.002,66.347,74.898,1.657,1.355,0.302,69.002,72.954,65.05
2021-12-17,72.61,72.92,71.66,71.8,4627100,71.898,69.266,66.521,68.32,1.645,1.413,0.231,69.266,73.225,65.307
2021-12-20,71.3,72.17,70.81,71.99,1592400,71.996,69.524,66.715,69.062,1.631,1.457,0.174,69.524,73.488,65.559
2021-12-21,72.35,72.5,71.14,71.42,1368200,72.032,69.73,66.889,64.208,1.556,1.477,0.08,69.73,73.635,65.824
2021-12-22,71.4,71.9,71.22,71.83,4738800,71.918,69.93,67.042,66.056,1.513,1.484,0.029,69.93,73.835,66.025
2021-12-23,72.03,72.25,71.65,71.76,1313500,71.76,70.125,67.187,65.435,1.456,1.478,-0.022,70.125,73.984,66.266
2021-12-27,71.57,71.9,71.36,71.72,974200,71.744,70.342,67.338,65.058,1.392,1.461,-0.069,70.342,74.036,66.647
2021-12-28,71.72,72.31,71.62,72.3,786600,71.806,70.515,67.52,67.939,1.372,1.443,-0.072,70.515,74.237,66.793
2021-12-29,72.44,72.97,72.19,72.9,1343300,72.102,70.834,67.742,70.636,1.388,1.432,-0.044,70.834,74.188,67.481
2021-12-30,73.0,73.15,72.52,72.97,1396500,72.33,71.145,67.951,70.943,1.391,1.424,-0.033,71.145,74.026,68.264
2021-12-31,72.85,73.33,72.53,73.09,1048000,72.596,71.429,68.131,71.493,1.387,1.416,-0.03,71.429,73.842,69.016
2022-01-03,73.11,73.18,71.97,72.92,1450500,72.836,71.626,68.31,69.485,1.354,1.404,-0.05,71.626,73.832,69.42
2022-01-04,72.69,73.6,72.55,72.79,2844600,72.934,71.781,68.475,67.914,1.303,1.384,-0.081,71.781,73.845,69.717
2022-01-05,72.81,73.88,72.78,73.28,3592300,73.01,71.952,68.653,70.611,1.287,1.364,-0.078,71.952,73.911,69.992
2022-01-06,73.71,73.79,72.74,73.13,3841800,73.042,72.116,68.822,68.707,1.248,1.341,-0.093,72.116,73.871,70.361
2022-01-07,72.83,73.73,72.38,73.39,3727400,73.102,72.287,69.001,70.207,1.223,1.317,-0.094,72.287,73.814,70.76
2022-01-10,73.45,73.82,72.38,72.62,3870600,73.042,72.38,69.159,60.9,1.129,1.28,-0.151,72.38,73.731,71.029
2022-01-11,72.6,72.89,70.33,71.16,2965500,72.716,72.363,69.303,47.926,0.926,1.209,-0.283,72.363,73.768,70.958
2022-01-12,70.81,71.32,70.53,71.26,2147400,72.312,72.364,69.437,48.731,0.764,1.12,-0.356,72.364,73.766,70.962
2022-01-13,71.22,72.18,70.96,71.9,1584700,72.066,72.339,69.578,53.671,0.68,1.032,-0.352,72.339,73.756,70.922
2022-01-14,71.96,72.15,71.04,71.54,2202900,71.696,72.288,69.703,50.711,0.577,0.941,-0.364,72.288,73.745,70.832
2022-01-18,70.94,71.05,69.69,70.23,3263300,71.218,72.21,69.814,41.699,0.386,0.83,-0.444,72.21,73.924,70.496
2022-01-19,70.33,71.08,69.9,70.37,1976400,71.06,72.129,69.895,42.868,0.242,0.712,-0.47,72.129,74.03,70.228
2022-01-20,70.14,70.93,69.75,70.28,2727100,70.864,72.072,69.993,42.281,0.12,0.594,-0.474,72.072,74.125,70.019
2022-01-21,70.79,71.72,70.48,70.81,4222100,70.646,72.021,70.089,46.891,0.065,0.488,-0.423,72.021,74.148,69.894
2022-01-24,70.67,71.39,68.62,70.23,3852200,70.384,71.944,70.171,42.857,-0.024,0.386,-0.41,71.944,74.217,69.672
2022-01-25,69.68,70.85,69.64,70.08,3044400,70.354,71.862,70.257,41.854,-0.107,0.287,-0.394,71.862,74.282,69.443
2022-01-26,70.08,70.63,69.2,69.71,4293100,70.222,71.733,70.342,39.405,-0.199,0.19,-0.389,71.733,74.325,69.141
2022-01-27,70.37,71.47,70.16,70.89,2890800,70.344,71.633,70.424,49.546,-0.175,0.117,-0.292,71.633,74.19,69.075
2022-01-28,70.89,72.59,70.41,72.5,2515600,70.682,71.609,70.546,59.503,-0.026,0.088,-0.115,71.609,74.123,69.095
2022-01-31,72.81,74.14,72.32,74.05,5553800,71.446,71.657,70.699,66.383,0.214,0.113,0.101,71.657,74.322,68.992
2022-02-01,74.33,74.7,72.92,73.71,2343300,72.172,71.696,70.843,63.822,0.373,0.165,0.208,71.696,74.462,68.931
2022-02-02,73.42,74.73,73.27,74.65,1798400,73.16,71.79,70.999,67.549,0.569,0.246,0.323,71.79,74.822,68.757
2022-02-03,74.51,75.1,74.23,74.52,1382700,73.886,71.852,71.144,66.528,0.705,0.338,0.367,71.852,75.058,68.645
2022-02-04,73.85,74.51,73.04,73.75,2578800,74.136,71.883,71.262,60.679,0.742,0.419,0.323,71.883,75.152,68.613
2022-02-07,73.85,74.45,73.15,74.18,1759000,74.162,71.922,71.389,62.653,0.797,0.494,0.303,71.922,75.286,68.558
2022-02-08,74.4,74.62,73.83,74.03,1602400,74.226,71.992,71.521,61.493,0.819,0.559,0.26,71.992,75.475,68.51
2022-02-09,74.41,74.68,73.84,73.99,1461700,74.094,72.134,71.625,61.168,0.824,0.612,0.212,72.134,75.703,68.565
2022-02-10,73.37,73.61,71.81,71.98,1592100,73.586,72.17,71.734,47.555,0.658,0.621,0.037,72.17,75.717,68.623
2022-02-11,72.14,72.76,71.74,72.18,1671200,73.272,72.184,71.842,48.776,0.536,0.604,-0.068,72.184,75.728,68.64
2022-02-14,72.27,72.56,70.34,71.12,1902600,72.66,72.163,71.917,43.053,0.35,0.554,-0.203,72.163,75.728,68.598
2022-02-15,71.45,71.69,69.98,70.36,1268700,71.926,72.17,71.944,39.476,0.14,0.471,-0.331,72.17,75.72,68.619
2022-02-16,70.27,70.55,69.28,70.12,2466800,71.152,72.157,71.953,38.391,-0.045,0.368,-0.413,72.157,75.736,68.578
2022-02-17,70.29,70.82,69.54,70.44,1939000,70.844,72.165,71.964,40.73,-0.165,0.261,-0.426,72.165,75.727,68.603
2022-02-18,70.22,73.34,70.16,73.17,3880200,71.042,72.283,72.031,56.055,-0.038,0.201,-0.24,72.283,75.813,68.753
2022-02-22,73.27,73.76,72.03,73.3,2382100,71.478,72.436,72.097,56.63,0.071,0.175,-0.104,72.436,75.855,69.018
2022-02-23,73.52,73.88,72.89,72.99,2387200,72.004,72.582,72.142,54.789,0.132,0.167,-0.035,72.582,75.822,69.342
2022-02-24,72.6,72.99,70.52,72.05,2479300,72.39,72.699,72.153,49.53,0.102,0.154,-0.051,72.699,75.659,69.739
2022-02-25,72.89,74.66,72.65,74.32,1883800,73.166,72.87,72.215,59.611,0.259,0.175,0.085,72.87,75.786,69.955
2022-02-28,73.59,74.49,73.43,74.18,2439400,73.368,72.955,72.25,58.831,0.368,0.214,0.155,72.955,75.922,69.987
2022-03-01,74.58,75.36,72.92,73.84,2122200,73.476,72.944,72.276,56.883,0.422,0.255,0.167,72.944,75.896,69.992
2022-03-02,73.95,75.74,73.95,75.16,1728700,73.91,73.017,72.343,62.126,0.565,0.317,0.248,73.017,76.115,69.918
2022-03-03,75.24,76.46,75.22,76.36,1700500,74.772,73.102,72.431,66.155,0.766,0.407,0.359,73.102,76.473,69.731
2022-03-04,76.11,77.75,75.97,77.73,1754300,75.454,73.262,72.557,70.07,1.025,0.531,0.494,73.262,77.179,69.346
2022-03-07,77.77,78.08,76.69,77.96,1809100,76.21,73.473,72.679,70.683,1.234,0.671,0.562,73.473,77.917,69.029
2022-03-08,78.23,78.68,76.75,76.76,1546000,76.794,73.602,72.779,63.388,1.287,0.794,0.493,73.602,78.276,68.928
2022-03-09,77.43,77.69,76.24,76.44,1524200,77.05,73.722,72.874,61.563,1.289,0.893,0.396,73.722,78.565,68.88
2022-03-10,76.15,77.58,76.12,77.38,1353200,77.254,73.892,72.975,64.771,1.351,0.985,0.366,73.892,79.003,68.781
2022-03-11,77.24,78.37,77.11,77.27,1405900,77.162,74.156,73.063,64.097,1.376,1.063,0.313,74.156,79.397,68.916
2022-03-14,77.87,78.16,76.8,77.42,1443400,77.054,74.419,73.152,64.637,1.391,1.129,0.262,74.419,79.766,69.071
2022-03-15,78.21,78.54,77.62,78.18,1545200,77.338,74.772,73.254,67.322,1.448,1.193,0.255,74.772,80.134,69.409
2022-03-16,77.96,78.13,76.48,77.52,1651600,77.554,75.13,73.346,62.859,1.423,1.239,0.184,75.13,80.2,70.059
2022-03-17,77.64,78.3,77.04,77.84,1913800,77.646,75.516,73.447,64.102,1.413,1.274,0.14,75.516,80.136,70.895
2022-03-18,77.79,77.84,76.19,76.71,3430900,77.534,75.829,73.515,56.866,1.299,1.279,0.02,75.829,79.805,71.853
2022-03-21,77.14,78.18,77.1,77.46,1247600,77.542,76.044,73.602,60.087,1.255,1.274,-0.019,76.044,79.876,72.211
2022-03-22,77.69,77.72,76.5,77.22,1441400,77.35,76.239,73.678,58.579,1.187,1.256,-0.07,76.239,79.877,72.602
2022-03-23,77.41,78.29,76.67,77.78,1265100,77.402,76.479,73.782,61.035,1.164,1.238,-0.074,76.479,79.836,73.122
2022-03-24,78.23,79.07,77.7,79.06,1462800,77.646,76.83,73.94,65.998,1.236,1.237,-0.002,76.83,79.662,73.997
2022-03-25,79.29,80.39,79.13,80.15,1565300,78.334,77.121,74.117,69.554,1.364,1.263,0.102,77.121,80.064,74.178
2022-03-28,80.28,80.54,79.35,80.47,1185100,78.936,77.435,74.289,70.528,1.475,1.305,0.17,77.435,80.4,74.471
2022-03-29,80.51,81.03,80.01,80.88,1284100,79.668,77.788,74.476,71.775,1.578,1.36,0.218,77.788,80.623,74.952
2022-03-30,80.99,81.94,80.61,81.93,1352300,80.498,78.126,74.71,74.723,1.724,1.433,0.292,78.126,81.243,75.009
2022-03-31,81.88,82.8,81.68,81.88,2073600,81.062,78.402,74.94,74.325,1.815,1.509,0.306,78.402,81.824,74.98
2022-04-01,81.61,83.12,80.95,83.12,1906700,81.656,78.672,75.197,77.523,1.965,1.6,0.364,78.672,82.671,74.672
