Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-13,234.03,234.79,232.22,233.6,170700,,,,,0.0,0.0,0.0,,,
2021-09-14,235.05,235.05,228.46,230.66,193600,,,,,-0.235,-0.047,-0.188,,,
2021-09-15,230.56,231.56,229.22,230.19,188700,,,,,-0.453,-0.128,-0.325,,,
2021-09-16,231.12,231.43,228.79,229.22,199900,,,,,-0.697,-0.242,-0.455,,,
2021-09-17,228.43,233.02,228.43,232.43,517500,231.22,,,,-0.623,-0.318,-0.305,,,
2021-09-20,229.06,230.99,227.26,230.13,270200,230.526,,,,-0.742,-0.403,-0.339,,,
2021-09-21,232.02,232.69,228.25,229.74,190100,230.342,,,,-0.858,-0.494,-0.364,,,
2021-09-22,231.74,231.82,228.89,230.18,212300,230.34,,,,-0.904,-0.576,-0.328,,,
2021-09-23,231.16,234.61,231.16,231.85,209500,230.866,,,,-0.796,-0.62,-0.176,,,
2021-09-24,231.57,233.08,230.08,232.32,153200,230.844,,,,-0.666,-0.629,-0.036,,,
2021-09-27,234.18,237.12,233.86,235.19,241200,231.856,,,,-0.327,-0.569,0.242,,,
2021-09-28,235.98,236.95,230.34,231.1,184500,232.128,,,,-0.384,-0.532,0.148,,,
2021-09-29,230.72,232.41,229.62,229.87,163500,232.066,,,,-0.522,-0.53,0.008,,,
2021-09-30,229.99,234.54,227.79,227.82,272900,231.26,,,,-0.788,-0.581,-0.207,,,
2021-10-01,228.62,230.49,225.87,228.95,224000,230.586,,,40.75,-0.897,-0.644,-0.253,,,
2021-10-04,229.18,232.08,226.92,227.48,179000,229.044,,,37.045,-1.09,-0.734,-0.356,,,
2021-10-05,227.45,233.26,227.45,232.35,240300,229.294,,,52.464,-0.84,-0.755,-0.085,,,
2021-10-06,231.31,237.13,230.93,236.97,198500,230.714,,,61.978,-0.266,-0.657,0.391,,,
2021-10-07,239.54,243.02,239.54,241.71,208100,233.492,,,68.863,0.565,-0.413,0.978,,,
2021-10-08,242.81,245.5,241.81,244.01,170800,236.504,232.288,,71.555,1.393,-0.051,1.444,232.288,240.897,223.68
2021-10-11,244.23,247.1,241.04,241.14,156900,239.236,232.665,,64.107,1.797,0.318,1.479,232.665,242.133,223.198
2021-10-12,240.25,244.01,239.37,241.45,127000,241.056,233.205,,64.537,2.118,0.678,1.439,233.205,243.394,223.016
2021-10-13,240.61,242.29,236.97,241.82,231000,242.026,233.787,,65.074,2.374,1.017,1.357,233.787,244.561,223.012
2021-10-14,244.29,253.65,243.82,252.43,348000,244.17,234.947,,76.202,3.395,1.493,1.902,234.947,248.334,221.56
2021-10-15,254.28,255.7,251.8,252.96,227200,245.96,235.973,,76.603,4.198,2.034,2.164,235.973,251.522,220.425
2021-10-18,251.91,255.35,250.82,251.05,229600,247.942,237.02,,71.901,4.627,2.552,2.074,237.02,253.687,220.352
2021-10-19,253.35,254.79,250.54,251.31,174600,249.914,238.098,,72.151,4.931,3.028,1.903,238.098,255.555,220.641
2021-10-20,250.41,254.83,249.68,253.46,162400,252.242,239.262,,74.201,5.284,3.479,1.805,239.262,257.579,220.945
2021-10-21,253.08,254.89,251.92,253.98,142100,252.552,240.368,,74.686,5.543,3.892,1.651,240.368,259.458,221.279
2021-10-22,255.34,256.07,252.5,255.2,152100,253.0,241.512,,75.834,5.779,4.269,1.51,241.512,261.301,221.724
2021-10-25,254.52,257.27,253.1,256.76,141200,254.142,242.591,,77.255,6.023,4.62,1.403,242.591,263.26,221.922
2021-10-26,258.23,263.05,255.88,260.38,275300,255.956,244.055,,80.168,6.434,4.983,1.451,244.055,265.433,222.677
2021-10-27,260.6,263.16,253.85,254.53,415300,256.17,245.288,,65.554,6.216,5.23,0.987,245.288,266.057,224.519
2021-10-28,249.82,250.99,239.11,242.92,531600,253.958,246.043,,47.175,5.049,5.193,-0.145,246.043,265.171,226.915
2021-10-29,242.05,242.7,237.4,237.56,406500,250.43,246.474,,41.403,3.649,4.884,-1.236,246.474,264.327,228.62
2021-11-01,239.75,243.05,238.77,241.12,302400,247.302,247.156,,46.118,2.794,4.466,-1.672,247.156,262.868,231.443
2021-11-02,242.28,253.59,242.28,248.74,399600,244.974,247.975,,54.549,2.701,4.113,-1.412,247.975,262.061,233.889
2021-11-03,247.15,249.28,246.11,248.89,173500,243.846,248.571,,54.699,2.609,3.813,-1.203,248.571,261.671,235.471
2021-11-04,248.15,248.15,242.04,244.2,186200,244.102,248.695,,49.22,2.133,3.477,-1.344,248.695,261.566,235.825
2021-11-05,246.94,249.04,245.96,248.5,159700,246.29,248.92,,53.79,2.079,3.197,-1.118,248.92,261.602,236.238
2021-11-08,250.45,250.45,247.51,248.63,127200,247.792,249.295,,53.925,2.023,2.962,-0.939,249.295,261.44,237.149
2021-11-09,247.28,248.11,246.31,247.5,110800,247.544,249.597,,52.49,1.866,2.743,-0.877,249.597,261.209,237.985
2021-11-10,248.24,248.65,245.15,245.57,124400,246.88,249.784,,50.04,1.568,2.508,-0.94,249.784,260.982,238.587
2021-11-11,245.18,247.91,243.25,247.84,282700,247.608,249.555,,52.829,1.498,2.306,-0.808,249.555,260.712,238.398
2021-11-12,248.26,250.05,246.21,249.05,195700,247.718,249.36,,54.293,1.522,2.149,-0.627,249.36,260.402,238.317
2021-11-15,249.63,250.99,248.57,250.28,100200,248.048,249.321,,55.796,1.622,2.044,-0.422,249.321,260.344,238.298
2021-11-16,250.92,254.67,249.7,253.04,199700,249.156,249.407,,59.049,1.902,2.015,-0.114,249.407,260.523,238.292
2021-11-17,252.16,253.11,248.92,252.66,216600,250.574,249.367,,58.412,2.069,2.026,0.043,249.367,260.427,238.308
2021-11-18,252.02,254.09,247.12,249.28,161300,250.862,249.132,,52.938,1.907,2.002,-0.095,249.132,259.977,238.288
2021-11-19,249.05,249.05,242.41,242.65,333900,249.582,248.505,242.213,44.19,1.229,1.848,-0.618,248.505,259.324,237.686
2021-11-22,243.2,252.18,242.45,248.79,200000,249.284,248.106,242.517,52.087,1.174,1.713,-0.539,248.106,258.208,238.005
2021-11-23,250.39,254.35,250.07,253.9,191800,249.456,247.782,242.982,57.479,1.525,1.675,-0.15,247.782,256.555,239.01
2021-11-24,253.66,254.3,251.04,252.46,134700,249.416,247.679,243.427,55.58,1.668,1.674,-0.006,247.679,256.16,239.198
2021-11-26,243.3,246.52,240.13,243.83,139800,248.326,247.724,243.72,45.815,1.072,1.554,-0.481,247.724,256.108,239.341
2021-11-29,247.3,247.3,240.03,240.16,267200,247.828,247.854,243.874,42.403,0.301,1.303,-1.002,247.854,255.633,240.076
2021-11-30,237.15,237.63,233.93,234.28,524900,244.926,247.512,243.957,37.575,-0.776,0.887,-1.663,247.512,256.96,238.065
2021-12-01,237.89,241.36,234.6,234.75,374600,241.096,246.813,244.057,38.181,-1.574,0.395,-1.969,246.813,257.821,235.805
2021-12-02,236.42,243.14,235.69,241.09,302800,238.822,246.423,244.276,45.82,-1.675,-0.019,-1.656,246.423,257.671,235.175
2021-12-03,240.88,241.81,236.62,239.84,312900,238.024,246.205,244.435,44.649,-1.835,-0.382,-1.453,246.205,257.798,234.612
2021-12-06,243.32,245.86,242.04,243.96,176700,238.784,245.978,244.668,49.254,-1.61,-0.628,-0.983,245.978,257.56,234.396
2021-12-07,244.48,249.62,244.46,247.54,239400,241.436,245.923,244.915,52.92,-1.131,-0.728,-0.402,245.923,257.463,234.384
2021-12-08,247.78,251.41,246.21,250.23,293200,244.532,246.06,245.298,55.52,-0.527,-0.688,0.161,246.06,257.741,234.379
2021-12-09,248.78,250.8,247.3,247.81,217400,245.876,246.172,245.657,52.7,-0.242,-0.599,0.357,246.172,257.877,234.467
2021-12-10,248.92,249.77,246.2,246.7,152700,247.248,246.115,246.034,51.411,-0.104,-0.5,0.396,246.115,257.796,234.434
2021-12-13,245.87,247.27,242.61,244.42,167600,247.34,245.884,246.344,48.77,-0.176,-0.435,0.259,245.884,257.503,234.264
2021-12-14,244.92,248.57,242.6,246.46,151200,247.124,245.693,246.723,51.186,-0.068,-0.362,0.293,245.693,257.132,234.253
2021-12-15,247.73,250.68,245.32,246.62,170500,246.402,245.372,247.009,51.38,0.03,-0.283,0.313,245.372,256.292,234.451
2021-12-16,249.07,250.61,245.65,247.24,244400,246.288,245.1,247.214,52.171,0.156,-0.196,0.351,245.1,255.516,234.685
2021-12-17,250.13,251.19,243.66,243.92,608000,245.732,244.833,247.258,47.693,-0.012,-0.159,0.147,244.833,255.07,234.595
2021-12-20,241.3,241.92,237.22,239.11,318800,244.67,244.656,247.16,42.059,-0.527,-0.233,-0.295,244.656,255.17,234.141
2021-12-21,240.79,245.99,240.75,242.01,223700,243.78,244.316,247.178,46.186,-0.694,-0.325,-0.369,244.316,254.707,233.926
2021-12-22,241.17,243.13,239.48,240.39,311600,242.534,243.641,247.156,44.289,-0.945,-0.449,-0.496,243.641,253.125,234.157
2021-12-23,242.34,244.47,241.37,244.0,124200,241.886,243.218,247.2,49.289,-0.844,-0.528,-0.316,243.218,251.753,234.683
2021-12-27,245.19,248.31,243.23,247.84,110600,242.67,243.418,247.108,54.017,-0.448,-0.512,0.064,243.418,252.199,234.638
2021-12-28,248.13,251.19,248.13,250.59,129700,244.966,243.94,247.061,57.102,0.086,-0.392,0.479,243.94,253.135,234.745
2021-12-29,250.58,253.38,250.49,252.39,130100,247.042,244.846,247.088,59.039,0.648,-0.184,0.832,244.846,253.591,236.1
2021-12-30,252.98,255.04,250.45,250.57,82600,249.078,245.636,247.073,56.272,0.935,0.04,0.895,245.636,253.336,237.937
2021-12-31,250.12,252.13,249.62,250.31,151400,250.34,246.098,247.01,55.869,1.128,0.257,0.871,246.098,253.755,238.44
2022-01-03,250.97,252.57,247.2,249.27,188200,250.626,246.569,246.916,54.198,1.184,0.443,0.742,246.569,253.751,239.387
2022-01-04,252.24,253.73,249.2,249.35,200400,250.378,246.838,246.799,54.311,1.221,0.598,0.623,246.838,254.012,239.665
2022-01-05,250.98,251.87,246.04,246.04,222400,249.108,246.764,246.584,48.923,0.972,0.673,0.299,246.764,253.938,239.589
2022-01-06,251.29,253.72,248.8,250.66,213900,249.126,246.785,246.39,55.552,1.134,0.765,0.369,246.785,254.005,239.565
2022-01-07,251.81,256.01,250.68,255.1,161800,250.084,247.15,246.401,60.815,1.602,0.933,0.67,247.15,255.268,239.031
2022-01-10,257.2,257.65,254.21,256.05,240300,251.44,247.617,246.664,61.855,2.027,1.151,0.875,247.617,256.652,238.582
2022-01-11,257.69,261.18,253.78,261.02,207200,253.774,248.447,247.133,66.82,2.733,1.468,1.265,248.447,259.142,237.752
