Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,360.19,369.02,357.85,368.59,1897400,,,,,0.0,0.0,0.0,,,
2021-07-13,369.25,374.35,369.11,370.54,1487000,,,,,0.156,0.031,0.124,,,
2021-07-14,372.3,372.95,366.78,367.69,944600,,,,,0.048,0.035,0.014,,,
2021-07-15,365.13,370.71,363.56,368.67,1180700,,,,,0.042,0.036,0.006,,,
2021-07-16,369.47,370.11,365.53,366.31,756000,368.36,,,,-0.152,-0.002,-0.15,,,
2021-07-19,363.36,365.43,355.97,357.8,1087400,366.202,,,,-0.981,-0.197,-0.783,,,
2021-07-20,359.07,366.25,358.58,362.92,1731200,364.678,,,,-1.211,-0.4,-0.811,,,
2021-07-21,368.56,370.87,354.73,357.01,1756900,362.542,,,,-1.848,-0.69,-1.159,,,
2021-07-22,358.58,360.67,354.01,357.67,944700,360.342,,,,-2.274,-1.007,-1.268,,,
2021-07-23,358.32,360.61,354.97,355.8,881200,358.24,,,,-2.731,-1.352,-1.38,,,
2021-07-26,355.08,355.9,347.77,352.27,958800,357.134,,,,-3.34,-1.749,-1.591,,,
2021-07-27,351.26,356.74,350.0,356.11,939800,355.772,,,,-3.472,-2.094,-1.378,,,
2021-07-28,355.53,355.53,350.33,353.6,778000,355.09,,,,-3.736,-2.422,-1.314,,,
2021-07-29,355.71,358.56,353.08,357.69,708100,355.094,,,,-3.575,-2.653,-0.922,,,
2021-07-30,358.13,359.61,356.14,357.4,999300,355.414,,,40.579,-3.43,-2.808,-0.622,,,
2021-08-02,358.63,364.18,357.65,363.24,803400,357.608,,,51.525,-2.812,-2.809,-0.003,,,
2021-08-03,363.43,368.54,361.65,367.89,682700,359.964,,,58.137,-1.925,-2.632,0.707,,,
2021-08-04,366.3,370.37,365.81,368.17,785100,362.878,,,58.504,-1.186,-2.343,1.157,,,
2021-08-05,365.12,365.12,348.73,350.57,1695000,361.454,,,36.714,-1.997,-2.274,0.277,,,
2021-08-06,353.29,355.0,350.05,353.15,765600,360.604,360.654,,40.228,-2.404,-2.3,-0.104,360.654,373.625,347.684
2021-08-09,353.1,355.46,350.09,350.24,743900,358.004,359.737,,37.686,-2.928,-2.425,-0.502,359.737,372.938,346.536
2021-08-10,349.78,352.67,348.01,351.22,744100,354.67,358.771,,39.082,-3.226,-2.586,-0.641,358.771,371.461,346.081
2021-08-11,351.13,351.95,340.83,342.16,1741000,349.468,357.494,,31.955,-4.146,-2.898,-1.249,357.494,371.477,343.512
2021-08-12,341.13,344.17,340.77,342.15,1504400,347.784,356.168,,31.948,-4.821,-3.282,-1.538,356.168,370.708,341.629
2021-08-13,343.31,344.36,338.72,342.02,1144000,345.558,354.954,,31.851,-5.304,-3.687,-1.618,354.954,369.976,339.932
