Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-09,93.59,93.59,90.5,90.65,4196200,,,,,0.0,0.0,0.0,,,
2021-09-10,91.52,91.92,90.51,90.66,2428000,,,,,0.001,0.0,0.001,,,
2021-09-13,91.32,91.76,89.13,89.82,3633700,,,,,-0.066,-0.013,-0.053,,,
2021-09-14,90.19,90.39,88.13,88.45,3967300,,,,,-0.226,-0.056,-0.171,,,
2021-09-15,88.46,90.17,87.99,89.98,3600200,89.912,,,,-0.227,-0.09,-0.137,,,
2021-09-16,90.16,90.17,88.96,89.48,1871700,89.678,,,,-0.266,-0.125,-0.14,,,
2021-09-17,87.97,88.97,86.96,87.38,4932800,89.022,,,,-0.46,-0.192,-0.268,,,
2021-09-20,85.74,86.03,84.47,85.75,2992300,88.208,,,,-0.737,-0.301,-0.436,,,
2021-09-21,86.19,86.44,84.78,84.88,2204400,87.494,,,,-1.015,-0.444,-0.571,,,
2021-09-22,85.66,87.14,85.62,86.51,2729400,86.8,,,,-1.091,-0.573,-0.518,,,
2021-09-23,87.22,88.56,87.07,87.83,2367500,86.47,,,,-1.034,-0.665,-0.368,,,
2021-09-24,87.42,88.22,87.11,87.24,1712200,86.442,,,,-1.023,-0.737,-0.286,,,
2021-09-27,87.38,88.43,87.38,87.62,2440000,86.816,,,,-0.974,-0.784,-0.189,,,
2021-09-28,87.26,87.81,86.54,86.66,2093700,87.172,,,,-1.0,-0.827,-0.172,,,
2021-09-29,86.84,87.14,86.31,86.63,2622800,87.196,,,37.448,-1.012,-0.864,-0.147,,,
2021-09-30,87.2,87.24,85.3,85.33,2659900,86.696,,,32.129,-1.113,-0.914,-0.199,,,
2021-10-01,85.55,86.62,84.76,86.2,2748300,86.488,,,38.431,-1.11,-0.953,-0.157,,,
2021-10-04,85.88,86.54,84.48,84.82,3906200,85.928,,,33.17,-1.205,-1.004,-0.202,,,
2021-10-05,85.08,86.96,84.81,86.49,2265100,85.894,,,43.288,-1.133,-1.03,-0.104,,,
2021-10-06,85.73,86.89,85.0,86.63,2855600,85.894,87.45,,44.053,-1.053,-1.034,-0.018,87.45,91.125,83.776
2021-10-07,87.93,89.83,87.93,88.17,3956200,86.462,87.326,,51.758,-0.854,-0.998,0.144,87.326,90.702,83.951
2021-10-08,87.51,88.34,86.95,87.54,3192400,86.73,87.17,,48.797,-0.74,-0.947,0.207,87.17,90.164,84.177
2021-10-11,83.91,86.74,83.87,85.31,4300200,86.828,86.945,,40.061,-0.819,-0.921,0.102,86.945,89.773,84.117
2021-10-12,85.73,86.14,83.44,83.63,3533500,86.256,86.704,,34.98,-1.006,-0.938,-0.068,86.704,89.801,83.607
2021-10-13,84.05,84.05,81.85,83.22,4837600,85.574,86.366,,33.852,-1.174,-0.985,-0.189,86.366,89.433,83.299
2021-10-14,84.76,86.2,84.21,85.83,4219200,85.106,86.184,,45.831,-1.084,-1.005,-0.079,86.184,88.882,83.485
2021-10-15,86.56,87.47,86.21,86.71,5417300,84.94,86.15,,49.173,-0.931,-0.99,0.059,86.15,88.803,83.497
