Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,20.05,20.3,19.76,19.99,1682300,,,,,0.0,0.0,0.0,,,
2021-07-13,20.19,20.63,19.97,19.98,1663600,,,,,-0.001,-0.0,-0.001,,,
2021-07-14,20.08,20.17,19.1,19.16,2010500,,,,,-0.067,-0.013,-0.053,,,
2021-07-15,18.95,19.33,18.54,18.64,2375000,,,,,-0.159,-0.043,-0.117,,,
2021-07-16,18.85,18.91,17.57,17.7,3387600,19.094,,,,-0.305,-0.095,-0.21,,,
2021-07-19,17.35,17.74,17.05,17.56,5205800,18.608,,,,-0.427,-0.161,-0.265,,,
2021-07-20,17.65,18.3,17.38,18.2,5379500,18.252,,,,-0.466,-0.222,-0.244,,,
2021-07-21,18.49,19.27,18.34,19.12,4783100,18.244,,,,-0.418,-0.262,-0.157,,,
2021-07-22,19.25,19.34,18.68,19.09,2702900,18.334,,,,-0.379,-0.285,-0.094,,,
2021-07-23,18.91,19.07,18.22,18.89,3292500,18.572,,,,-0.359,-0.3,-0.059,,,
2021-07-26,18.91,20.11,18.91,19.49,3187600,18.958,,,,-0.292,-0.298,0.006,,,
2021-07-27,19.23,19.47,18.54,18.98,3654700,19.114,,,,-0.276,-0.294,0.017,,,
2021-07-28,19.17,19.66,18.9,19.38,3654100,19.166,,,,-0.229,-0.281,0.052,,,
2021-07-29,17.81,18.42,16.98,17.46,17248800,18.84,,,,-0.343,-0.293,-0.05,,,
2021-07-30,17.14,17.27,16.6,17.18,8770500,18.498,,,31.273,-0.451,-0.325,-0.126,,,
2021-08-02,16.99,17.15,16.35,16.36,10886300,17.872,,,26.886,-0.595,-0.379,-0.216,,,
2021-08-03,16.41,17.02,16.19,16.71,5632900,17.418,,,31.315,-0.673,-0.438,-0.236,,,
2021-08-04,16.7,17.15,16.43,17.0,6584800,16.942,,,34.837,-0.704,-0.491,-0.213,,,
2021-08-05,16.95,17.4,16.81,16.92,5606100,16.834,,,34.314,-0.727,-0.538,-0.188,,,
2021-08-06,17.08,17.36,16.73,17.33,6543300,16.864,18.257,,39.339,-0.703,-0.571,-0.132,18.257,20.546,15.968
2021-08-09,17.06,17.91,16.93,17.88,8372300,17.168,18.152,,45.375,-0.633,-0.584,-0.049,18.152,20.294,16.009
2021-08-10,17.95,18.19,17.78,18.09,3986800,17.444,18.057,,47.522,-0.554,-0.578,0.024,18.057,20.019,16.095
2021-08-11,17.77,17.99,17.49,17.91,4100200,17.626,17.994,,45.858,-0.5,-0.562,0.062,17.994,19.887,16.102
2021-08-12,17.75,17.92,17.17,17.5,4265700,17.742,17.938,,42.231,-0.485,-0.547,0.062,17.938,19.817,16.058
2021-08-13,17.52,17.6,16.72,16.76,3073400,17.628,17.89,,36.604,-0.526,-0.543,0.016,17.89,19.841,15.94
2021-08-16,16.5,16.65,16.12,16.22,5563200,17.296,17.824,,33.134,-0.596,-0.553,-0.043,17.824,19.909,15.738
2021-08-17,16.0,16.39,15.64,15.91,6735300,16.86,17.709,,31.3,-0.669,-0.576,-0.092,17.709,19.953,15.465
2021-08-18,15.9,16.05,15.31,15.34,7070100,16.346,17.52,,28.208,-0.763,-0.614,-0.15,17.52,19.896,15.144
2021-08-19,15.11,15.28,14.67,15.18,7729400,15.882,17.324,,27.39,-0.842,-0.659,-0.182,17.324,19.798,14.851
2021-08-20,15.08,15.51,14.96,15.12,4487000,15.554,17.136,,27.073,-0.898,-0.707,-0.191,17.136,19.681,14.591
2021-08-23,15.47,15.77,15.22,15.47,7390800,15.404,16.935,,32.016,-0.904,-0.747,-0.158,16.935,19.328,14.542
2021-08-24,15.65,15.77,15.33,15.5,5640900,15.322,16.761,,32.439,-0.896,-0.776,-0.12,16.761,19.03,14.492
2021-08-25,15.43,16.34,15.28,16.31,5202600,15.516,16.607,,42.784,-0.815,-0.784,-0.031,16.607,18.518,14.697
2021-08-26,16.27,16.89,16.15,16.21,8644700,15.722,16.545,,41.93,-0.75,-0.777,0.027,16.545,18.419,14.671
2021-08-27,16.52,17.68,16.52,17.39,7383300,16.176,16.556,,53.675,-0.597,-0.741,0.144,16.556,18.447,14.664
2021-08-30,17.39,17.5,16.83,16.92,4579200,16.466,16.584,,49.39,-0.507,-0.695,0.187,16.584,18.48,14.687
2021-08-31,16.79,17.48,16.67,17.12,6152200,16.79,16.604,,51.177,-0.416,-0.639,0.223,16.604,18.515,14.693
2021-09-01,17.16,17.71,17.04,17.51,4180000,17.03,16.63,,54.545,-0.308,-0.573,0.265,16.63,18.576,14.683
2021-09-02,17.64,18.63,17.58,18.52,7102200,17.492,16.71,,61.881,-0.139,-0.486,0.347,16.71,18.83,14.589
2021-09-03,18.47,19.38,18.34,19.18,7236700,17.85,16.802,,65.769,0.047,-0.379,0.426,16.802,19.182,14.422
2021-09-07,19.26,19.5,18.64,18.98,7872500,18.262,16.857,,63.65,0.177,-0.268,0.445,16.857,19.388,14.326
2021-09-08,19.38,19.9,18.85,19.12,10385800,18.662,16.908,,64.512,0.287,-0.157,0.444,16.908,19.583,14.234
2021-09-09,18.6,19.01,18.3,18.56,9614100,18.872,16.941,,58.535,0.326,-0.06,0.386,16.941,19.681,14.201
2021-09-10,18.86,19.13,18.06,18.12,10191000,18.792,16.972,,54.279,0.317,0.015,0.302,16.972,19.753,14.191
2021-09-13,18.54,19.19,18.47,18.65,14294400,18.686,17.066,,58.219,0.349,0.082,0.267,17.066,19.944,14.189
2021-09-14,18.86,18.91,18.08,18.24,9187800,18.538,17.168,,54.319,0.338,0.133,0.205,17.168,20.061,14.274
2021-09-15,18.53,19.47,18.44,19.22,10348700,18.558,17.333,,61.038,0.403,0.187,0.216,17.333,20.302,14.364
2021-09-16,18.87,18.94,18.08,18.08,8359000,18.462,17.47,,51.541,0.359,0.221,0.137,17.47,20.301,14.639
2021-09-17,17.96,18.14,17.53,17.59,14395300,18.356,17.59,,48.079,0.281,0.233,0.047,17.59,20.208,14.973
2021-09-20,17.29,17.85,17.19,17.52,8672900,18.13,17.71,17.705,47.587,0.211,0.229,-0.018,17.71,20.058,15.363
2021-09-21,17.67,17.74,16.84,17.18,6920200,17.918,17.796,17.649,45.17,0.126,0.208,-0.082,17.796,19.913,15.679
2021-09-22,17.5,17.96,17.42,17.66,6763900,17.606,17.904,17.603,49.101,0.097,0.186,-0.089,17.904,19.728,16.08
