Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,67.47,67.76,67.11,67.61,950400,,,,,0.0,0.0,0.0,,,
2021-07-13,67.51,68.37,67.39,67.96,2198500,,,,,0.028,0.006,0.022,,,
2021-07-14,67.83,69.21,67.49,68.87,1661200,,,,,0.122,0.029,0.093,,,
2021-07-15,68.79,70.77,68.75,70.57,2875900,,,,,0.33,0.089,0.241,,,
2021-07-16,70.77,71.84,70.57,71.59,2194000,69.32,,,,0.571,0.185,0.385,,,
2021-07-19,71.51,72.28,69.93,70.66,2312600,69.93,,,,0.678,0.284,0.394,,,
2021-07-20,70.92,71.94,69.99,70.43,1777400,70.424,,,,0.737,0.375,0.362,,,
2021-07-21,70.16,70.29,68.3,68.66,2331000,70.382,,,,0.633,0.426,0.207,,,
2021-07-22,68.83,69.7,68.63,69.5,1329500,70.168,,,,0.611,0.463,0.148,,,
2021-07-23,69.6,70.69,69.44,70.66,834500,69.982,,,,0.68,0.507,0.173,,,
2021-07-26,70.47,70.81,69.69,70.33,1145000,69.916,,,,0.7,0.545,0.154,,,
2021-07-27,70.5,71.96,69.94,71.79,1339400,70.188,,,,0.824,0.601,0.223,,,
2021-07-28,71.52,72.02,70.27,70.79,1465600,70.614,,,,0.832,0.647,0.185,,,
2021-07-29,70.96,71.04,70.16,70.8,1456100,70.874,,,,0.829,0.683,0.146,,,
2021-07-30,71.18,72.2,70.46,70.7,2082900,70.882,,,59.804,0.81,0.709,0.101,,,
2021-08-02,70.71,71.58,70.43,71.54,1267400,71.124,,,64.33,0.852,0.737,0.115,,,
2021-08-03,71.48,72.9,71.25,71.95,1671400,71.156,,,66.323,0.909,0.772,0.137,,,
2021-08-04,71.55,72.29,71.06,72.25,1209600,71.448,,,67.744,0.967,0.811,0.156,,,
2021-08-05,72.51,73.06,72.02,72.96,1045200,71.88,,,70.874,1.057,0.86,0.197,,,
2021-08-06,72.91,73.64,72.54,72.9,1072200,72.32,70.626,,70.254,1.112,0.91,0.201,70.626,73.626,67.626
2021-08-09,73.16,73.27,72.39,72.89,872900,72.59,70.89,,70.144,1.141,0.956,0.184,70.89,73.695,68.085
2021-08-10,72.98,73.15,72.43,72.87,863200,72.774,71.136,,69.907,1.149,0.995,0.154,71.136,73.711,68.56
2021-08-11,73.14,73.74,72.91,73.69,1061700,73.062,71.376,,73.803,1.208,1.038,0.17,71.376,73.961,68.792
2021-08-12,73.7,74.1,73.39,73.43,1197800,73.156,71.52,,70.679,1.219,1.074,0.145,71.52,74.23,68.809
2021-08-13,73.58,74.13,73.41,74.11,1401400,73.398,71.646,,73.803,1.269,1.113,0.156,71.646,74.594,68.697
2021-08-16,74.25,74.97,74.14,74.42,1272900,73.704,71.834,,75.105,1.318,1.154,0.164,71.834,74.989,68.678
2021-08-17,74.24,74.47,73.58,74.44,1348500,74.018,72.034,,75.191,1.343,1.192,0.151,72.034,75.321,68.747
2021-08-18,74.56,74.62,73.51,73.93,1151400,74.066,72.298,,68.698,1.306,1.215,0.092,72.298,75.276,69.319
2021-08-19,73.99,75.25,73.85,74.72,1567300,74.324,72.559,,72.639,1.326,1.237,0.089,72.559,75.418,69.699
