Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,266.71,271.13,266.0,270.47,391500,,,,,0.0,0.0,0.0,,,
2021-07-13,270.27,270.27,265.95,267.47,330100,,,,,-0.239,-0.048,-0.191,,,
2021-07-14,267.92,272.01,267.05,271.62,266800,,,,,-0.093,-0.057,-0.036,,,
2021-07-15,270.43,273.61,269.91,272.85,211200,,,,,0.121,-0.021,0.142,,,
2021-07-16,273.87,275.0,273.31,273.98,227900,271.278,,,,0.377,0.058,0.319,,,
2021-07-19,272.03,272.03,266.63,269.29,383200,271.042,,,,0.199,0.087,0.113,,,
2021-07-20,270.52,277.5,270.52,275.98,312700,272.744,,,,0.592,0.188,0.404,,,
2021-07-21,276.54,279.04,275.76,275.81,304300,273.582,,,,0.879,0.326,0.553,,,
2021-07-22,274.88,276.29,272.6,273.29,237500,273.67,,,,0.892,0.439,0.453,,,
2021-07-23,274.06,277.21,273.18,276.97,133900,274.268,,,,1.187,0.589,0.598,,,
2021-07-26,276.26,278.38,273.94,276.31,281200,275.672,,,,1.351,0.741,0.61,,,
2021-07-27,275.45,279.84,274.66,276.87,237300,275.85,,,,1.509,0.895,0.614,,,
2021-07-28,277.8,278.03,275.31,276.32,302100,275.952,,,,1.572,1.03,0.542,,,
2021-07-29,276.77,278.48,274.35,275.87,308800,276.468,,,,1.567,1.137,0.43,,,
2021-07-30,277.44,281.0,271.57,273.79,690700,275.832,,,52.042,1.38,1.186,0.194,,,
2021-08-02,274.54,278.61,272.45,273.95,366600,275.36,,,52.492,1.23,1.195,0.035,,,
2021-08-03,273.7,274.49,269.46,273.44,354400,274.674,,,50.855,1.058,1.167,-0.11,,,
2021-08-04,273.69,273.69,269.0,270.36,351900,273.482,,,42.281,0.665,1.067,-0.402,,,
2021-08-05,271.84,272.27,268.13,271.71,296200,272.65,,,46.536,0.458,0.945,-0.487,,,
2021-08-06,272.2,274.6,271.87,272.75,274900,272.442,273.455,,49.617,0.373,0.831,-0.458,273.455,278.84,268.07
2021-08-09,271.77,271.77,267.43,268.26,219600,271.304,273.345,,39.132,-0.056,0.653,-0.709,273.345,279.067,267.622
2021-08-10,268.08,268.08,265.09,265.23,201300,269.662,273.232,,33.922,-0.633,0.396,-1.029,273.232,279.501,266.964
2021-08-11,266.57,267.5,262.43,262.99,236700,268.188,272.801,,30.671,-1.257,0.066,-1.322,272.801,280.55,265.052
2021-08-12,263.79,264.07,261.33,262.76,239200,266.398,272.297,,30.349,-1.749,-0.297,-1.452,272.297,281.252,263.341
2021-08-13,263.32,264.94,262.21,264.48,150900,264.744,271.822,,35.773,-1.978,-0.634,-1.344,271.822,281.388,262.255
2021-08-16,264.52,266.67,262.8,263.91,269400,263.874,271.552,,34.806,-2.18,-0.943,-1.237,271.552,281.703,261.402
2021-08-17,262.8,266.58,262.1,265.98,354200,264.024,271.052,,41.041,-2.149,-1.184,-0.965,271.052,281.27,260.835
2021-08-18,265.46,265.93,263.04,263.75,225900,264.176,270.45,,36.942,-2.277,-1.403,-0.875,270.45,280.906,259.993
2021-08-19,262.05,265.95,261.59,265.9,207000,264.804,270.08,,42.867,-2.181,-1.558,-0.622,270.08,280.635,259.525
2021-08-20,265.75,268.37,262.97,266.6,203000,265.228,269.561,,44.689,-2.024,-1.651,-0.373,269.561,279.702,259.421
2021-08-23,266.98,268.27,263.21,264.57,136900,265.36,268.975,,40.641,-2.041,-1.729,-0.311,268.975,278.826,259.123
2021-08-24,264.87,264.87,261.97,262.86,229700,264.736,268.274,,37.555,-2.166,-1.817,-0.35,268.274,277.746,258.802
2021-08-25,263.15,268.2,262.62,265.32,325700,265.05,267.724,,44.128,-2.044,-1.862,-0.182,267.724,276.479,258.969
2021-08-26,263.49,267.59,263.49,265.85,163800,265.04,267.223,,45.46,-1.883,-1.866,-0.017,267.223,275.121,259.325
2021-08-27,267.08,269.03,266.42,267.66,159800,265.252,266.916,,49.856,-1.591,-1.811,0.221,266.916,274.192,259.641
2021-08-30,267.87,273.16,267.87,272.7,432900,266.878,266.854,,59.618,-0.941,-1.637,0.696,266.854,273.893,259.815
2021-08-31,272.78,276.76,272.28,275.99,471300,269.504,266.982,,64.479,-0.16,-1.342,1.182,266.982,274.592,259.371
2021-09-01,276.57,280.83,276.02,280.63,431000,272.566,267.495,,69.969,0.825,-0.908,1.733,267.495,277.171,257.819
2021-09-02,280.34,281.57,276.53,281.21,374600,275.638,267.97,,70.581,1.633,-0.4,2.033,267.97,279.307,256.633
2021-09-03,280.01,280.17,276.43,280.03,294100,278.112,268.334,,67.564,2.153,0.111,2.043,268.334,280.735,255.933
2021-09-07,279.14,279.14,270.87,273.3,328900,278.232,268.586,,53.513,2.0,0.488,1.511,268.586,281.184,255.988
2021-09-08,272.86,278.2,271.37,276.79,155200,278.392,269.164,,58.35,2.135,0.818,1.317,269.164,282.168,256.16
