Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,164.54,165.52,162.56,165.3,1702600,,,,,0.0,0.0,0.0,,,
2021-07-13,164.73,164.92,159.65,160.03,2902600,,,,,-0.42,-0.084,-0.336,,,
2021-07-14,161.63,165.19,158.37,159.02,2202700,,,,,-0.826,-0.232,-0.593,,,
2021-07-15,157.56,158.66,155.87,157.34,2239400,,,,,-1.268,-0.439,-0.828,,,
2021-07-16,158.99,159.59,155.04,155.68,2217600,159.474,,,,-1.732,-0.698,-1.034,,,
2021-07-19,151.27,152.07,148.18,149.78,4174500,156.37,,,,-2.547,-1.068,-1.479,,,
2021-07-20,150.75,155.68,148.26,154.21,2143600,155.206,,,,-2.802,-1.415,-1.388,,,
2021-07-21,155.66,161.69,155.66,160.43,2467300,155.488,,,,-2.475,-1.627,-0.848,,,
2021-07-22,159.25,160.18,156.73,158.07,1260400,155.634,,,,-2.378,-1.777,-0.601,,,
2021-07-23,159.54,160.68,158.39,159.57,1418400,156.412,,,,-2.156,-1.853,-0.303,,,
2021-07-26,159.0,161.93,158.22,160.71,1614600,158.598,,,,-1.866,-1.855,-0.011,,,
2021-07-27,160.03,162.04,158.86,161.71,1899700,160.098,,,,-1.538,-1.792,0.254,,,
2021-07-28,162.39,164.54,159.04,161.19,1018000,160.25,,,,-1.305,-1.694,0.39,,,
2021-07-29,161.96,163.58,160.21,161.72,1139900,160.98,,,,-1.065,-1.568,0.504,,,
2021-07-30,161.17,163.28,158.3,158.9,1426600,160.846,,,44.21,-1.09,-1.473,0.383,,,
2021-08-02,160.28,164.16,156.9,157.24,1782500,160.152,,,40.756,-1.229,-1.424,0.195,,,
2021-08-03,157.06,157.3,151.07,152.88,2979200,158.386,,,33.381,-1.673,-1.474,-0.199,,,
2021-08-04,151.35,154.07,150.63,151.37,1396700,156.422,,,31.27,-2.121,-1.603,-0.518,,,
2021-08-05,153.54,160.62,152.61,159.71,4336500,156.02,,,50.054,-1.783,-1.639,-0.144,,,
2021-08-06,147.73,149.1,143.62,147.07,12102400,153.654,157.597,,34.614,-2.506,-1.813,-0.694,157.597,166.662,148.531
2021-08-09,145.25,147.91,144.26,146.98,3423200,151.602,156.68,,34.532,-3.052,-2.06,-0.991,156.68,166.162,147.199
2021-08-10,147.21,149.73,145.32,146.78,1850400,150.382,156.018,,34.338,-3.46,-2.34,-1.12,156.018,166.329,145.707
2021-08-11,146.11,148.49,144.88,148.23,1697400,149.754,155.478,,37.096,-3.625,-2.597,-1.027,155.478,166.247,144.71
2021-08-12,147.57,149.05,144.19,148.49,1759700,147.51,155.036,,37.602,-3.692,-2.816,-0.876,155.036,166.202,143.87
2021-08-13,148.48,148.98,145.52,146.81,1727300,147.458,154.593,,35.609,-3.836,-3.02,-0.816,154.593,166.341,142.844
2021-08-16,145.45,145.73,141.38,142.37,3610900,146.536,154.222,,30.94,-4.26,-3.268,-0.992,154.222,167.029,141.415
2021-08-17,141.47,141.68,138.9,140.82,2006000,145.344,153.552,,29.486,-4.667,-3.548,-1.119,153.552,167.693,139.412
2021-08-18,139.92,141.46,138.1,138.63,1607700,143.424,152.462,,27.519,-5.107,-3.86,-1.248,152.462,167.69,137.235
2021-08-19,137.17,139.86,135.64,136.36,2631900,140.998,151.377,,25.612,-5.575,-4.203,-1.372,151.377,167.956,134.798
2021-08-20,135.82,137.32,135.09,136.1,1784000,138.856,150.204,,25.395,-5.899,-4.542,-1.357,150.204,167.641,132.766
2021-08-23,137.37,141.16,137.29,141.09,1971200,138.6,149.223,,36.517,-5.688,-4.771,-0.916,149.223,166.377,132.068
2021-08-24,142.15,145.17,141.6,144.83,2961900,139.402,148.378,,43.335,-5.159,-4.849,-0.31,148.378,164.58,132.177
2021-08-25,145.23,145.92,142.68,145.81,1714000,140.838,147.61,,45.002,-4.607,-4.8,0.193,147.61,162.671,132.548
2021-08-26,145.51,145.91,141.9,142.1,1714700,141.986,146.628,,40.183,-4.419,-4.724,0.305,146.628,160.313,132.944
2021-08-27,142.62,146.23,142.24,144.94,1556000,143.754,145.93,,45.035,-3.994,-4.578,0.584,145.93,158.345,133.516
2021-08-30,144.38,145.04,141.95,142.42,1254200,144.02,145.19,,41.795,-3.817,-4.426,0.609,145.19,156.48,133.899
2021-08-31,142.62,143.68,141.41,142.73,2280600,143.6,144.682,,42.345,-3.61,-4.263,0.653,144.682,155.415,133.949
2021-09-01,144.21,146.28,142.89,144.38,2067400,143.314,144.332,,45.305,-3.275,-4.065,0.79,144.332,154.594,134.071
2021-09-02,145.13,145.73,141.62,142.01,2066000,143.296,143.448,,41.972,-3.164,-3.885,0.721,143.448,150.751,136.144
2021-09-03,141.15,142.78,140.06,140.89,1420100,142.486,143.138,,40.457,-3.131,-3.734,0.603,143.138,150.319,135.958
2021-09-07,140.93,146.13,140.75,145.68,1967700,143.138,143.074,,48.943,-2.687,-3.525,0.838,143.074,150.13,136.017
2021-09-08,145.1,146.67,142.55,143.89,2245900,143.37,142.929,,46.288,-2.451,-3.31,0.859,142.929,149.781,136.077
2021-09-09,144.24,147.78,143.4,144.94,1964800,143.482,142.764,,48.068,-2.155,-3.079,0.924,142.764,149.228,136.301
2021-09-10,145.66,145.89,143.0,143.61,1486600,143.802,142.521,,45.989,-2.004,-2.864,0.86,142.521,148.418,136.623
2021-09-13,146.23,147.4,141.8,146.97,2382000,145.018,142.528,,51.675,-1.595,-2.61,1.015,142.528,148.451,136.606
2021-09-14,146.95,148.93,145.6,148.75,2002500,145.632,142.848,,54.413,-1.115,-2.311,1.196,142.848,149.389,136.306
2021-09-15,147.9,149.55,146.4,149.47,1870300,146.748,143.28,,55.51,-0.668,-1.983,1.314,143.28,150.377,136.183
2021-09-16,149.45,150.91,147.26,148.33,2317700,147.426,143.765,,53.321,-0.401,-1.666,1.265,143.765,150.85,136.68
2021-09-17,148.85,151.69,148.69,150.41,4094100,148.786,144.468,,56.679,-0.022,-1.337,1.315,144.468,151.24,137.695
2021-09-20,149.74,152.74,148.55,151.71,2454200,149.734,145.248,149.769,58.679,0.379,-0.994,1.373,145.248,151.541,138.955
2021-09-21,152.89,153.62,149.55,151.08,1932800,150.2,145.748,149.485,57.298,0.639,-0.668,1.306,145.748,152.234,139.261
2021-09-22,152.16,158.02,152.16,157.0,2635600,151.706,146.356,149.424,65.512,1.307,-0.273,1.58,146.356,154.541,138.171
2021-09-23,158.04,165.07,157.65,164.8,3607500,155.0,147.306,149.54,72.906,2.438,0.27,2.169,147.306,158.914,135.697
2021-09-24,164.8,170.44,163.98,169.88,3354100,158.894,148.694,149.791,76.448,3.702,0.956,2.746,148.694,163.801,133.588
2021-09-27,170.74,173.22,167.12,167.57,3329200,162.066,149.826,150.028,71.849,4.465,1.658,2.808,149.826,166.997,132.655
2021-09-28,165.94,167.76,165.06,166.71,2357900,165.192,151.04,150.367,70.156,4.944,2.315,2.629,151.04,169.401,132.68
2021-09-29,166.98,168.15,164.05,164.23,1564000,166.638,152.116,150.567,65.374,5.065,2.865,2.2,152.116,170.939,133.292
2021-09-30,164.31,164.66,161.65,161.89,1535100,166.056,152.991,150.597,61.14,4.915,3.275,1.64,152.991,171.928,134.054
2021-10-01,167.23,172.59,166.34,167.71,2941700,165.622,154.276,150.789,66.885,5.206,3.661,1.545,154.276,173.561,134.991
2021-10-04,167.52,170.12,165.95,168.7,1908800,165.848,155.666,150.972,67.758,5.454,4.02,1.434,155.666,174.898,136.435
2021-10-05,169.64,169.89,166.04,167.03,1741200,165.912,156.734,151.098,64.661,5.453,4.307,1.146,156.734,176.001,137.467
2021-10-06,164.99,169.27,164.26,168.12,1558900,166.69,157.945,151.227,65.761,5.476,4.541,0.936,157.945,176.856,139.035
2021-10-07,169.62,171.8,168.62,170.19,1515900,168.35,159.208,151.407,67.811,5.598,4.752,0.846,159.208,177.832,140.584
2021-10-08,171.36,171.87,167.56,167.9,1279900,168.388,160.422,151.53,63.297,5.446,4.891,0.556,160.422,177.896,142.949
2021-10-11,168.27,169.69,166.36,166.45,850800,167.938,161.396,151.681,60.548,5.15,4.943,0.207,161.396,177.855,144.938
2021-10-12,166.69,168.67,165.74,167.47,1016800,168.026,162.332,151.886,61.805,4.94,4.942,-0.002,162.332,177.866,146.799
2021-10-13,167.2,167.63,163.88,166.45,1041200,167.692,163.181,152.157,59.755,4.639,4.882,-0.243,163.181,177.569,148.794
2021-10-14,167.6,168.61,166.26,166.82,1032500,167.018,164.106,152.466,60.27,4.379,4.781,-0.402,164.106,176.745,151.467
2021-10-15,168.9,172.71,168.14,169.88,2118100,167.414,165.08,152.67,64.332,4.369,4.699,-0.329,165.08,176.183,153.976
2021-10-18,168.72,169.77,167.12,167.84,1279500,167.692,165.886,153.085,59.933,4.15,4.589,-0.439,165.886,175.079,156.693
2021-10-19,167.78,168.52,163.93,164.16,1845800,167.03,166.54,153.429,52.904,3.636,4.398,-0.762,166.54,172.638,160.442
2021-10-20,164.24,164.47,159.31,161.72,2768900,166.084,166.776,153.727,48.816,2.998,4.118,-1.12,166.776,171.539,162.013
2021-10-21,161.26,162.91,159.58,160.76,2356500,164.872,166.574,153.978,47.268,2.388,3.772,-1.385,166.574,171.988,161.16
2021-10-22,160.28,161.81,158.28,159.69,1468500,162.834,166.064,154.202,45.536,1.797,3.377,-1.58,166.064,172.056,160.073
2021-10-25,159.35,160.78,157.06,159.46,1203500,161.158,165.659,154.455,45.153,1.295,2.961,-1.666,165.659,172.285,159.033
2021-10-26,160.96,162.15,159.36,160.76,1322100,160.478,165.362,154.823,47.825,0.991,2.567,-1.576,165.362,172.315,158.408
2021-10-27,161.0,162.95,159.93,162.13,1274100,160.56,165.257,155.249,50.559,0.85,2.223,-1.373,165.257,172.344,158.169
2021-10-28,161.89,164.09,160.88,162.25,1248700,160.858,165.275,155.721,50.802,0.74,1.927,-1.187,165.275,172.328,158.221
