Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,141.65,143.24,141.45,143.07,543400,,,,,0.0,0.0,0.0,,,
2021-07-13,142.82,143.07,140.3,140.54,591000,,,,,-0.202,-0.04,-0.161,,,
2021-07-14,140.71,142.22,140.71,141.17,746200,,,,,-0.307,-0.094,-0.214,,,
2021-07-15,141.26,142.22,141.03,141.47,1108000,,,,,-0.363,-0.148,-0.215,,,
2021-07-16,141.82,142.29,140.68,140.82,1073800,141.414,,,,-0.454,-0.209,-0.245,,,
2021-07-19,140.32,140.8,136.49,137.99,1381300,140.398,,,,-0.746,-0.316,-0.429,,,
2021-07-20,138.71,140.66,138.71,139.77,1138900,140.244,,,,-0.824,-0.418,-0.406,,,
2021-07-21,139.4,139.74,137.02,137.15,1088600,139.44,,,,-1.085,-0.551,-0.534,,,
2021-07-22,137.14,138.38,136.86,138.23,754000,138.792,,,,-1.191,-0.679,-0.512,,,
2021-07-23,138.42,140.84,137.96,140.39,433300,138.706,,,,-1.088,-0.761,-0.327,,,
2021-07-26,140.06,140.7,138.77,139.86,737400,139.08,,,,-1.037,-0.816,-0.221,,,
2021-07-27,139.87,141.95,138.87,140.71,861100,139.268,,,,-0.918,-0.836,-0.081,,,
2021-07-28,141.25,142.31,139.37,141.34,871700,140.106,,,,-0.763,-0.822,0.058,,,
2021-07-29,141.97,143.05,141.31,142.3,524000,140.92,,,,-0.557,-0.769,0.212,,,
2021-07-30,142.82,144.97,142.6,142.63,765500,141.368,,,56.19,-0.363,-0.688,0.325,,,
2021-08-02,144.33,144.88,143.48,143.57,995500,142.11,,,59.981,-0.132,-0.576,0.445,,,
2021-08-03,143.93,144.66,143.0,144.6,1408600,142.888,,,63.689,0.133,-0.435,0.568,,,
2021-08-04,144.72,145.97,143.22,143.93,722400,143.406,,,59.807,0.286,-0.29,0.576,,,
2021-08-05,144.5,144.77,142.04,144.03,638700,143.752,,,60.197,0.41,-0.15,0.56,,,
2021-08-06,144.38,145.26,143.16,143.75,583400,143.976,141.366,,58.486,0.48,-0.024,0.504,141.366,145.628,137.104
2021-08-09,143.7,144.31,142.86,143.61,617600,143.984,141.393,,57.605,0.519,0.084,0.434,141.393,145.707,137.079
2021-08-10,142.16,143.99,142.08,142.23,740100,143.51,141.478,,49.658,0.433,0.154,0.279,141.478,145.787,137.168
2021-08-11,142.96,143.19,141.68,142.04,629500,143.132,141.521,,48.663,0.345,0.192,0.153,141.521,145.835,137.207
2021-08-12,142.42,143.54,142.03,143.05,555300,142.936,141.6,,53.947,0.354,0.225,0.129,141.6,145.968,137.232
2021-08-13,143.5,144.35,142.72,143.89,617800,142.964,141.753,,57.835,0.423,0.264,0.159,141.753,146.221,137.286
2021-08-16,143.73,144.46,143.07,143.58,918700,142.958,142.033,,55.957,0.448,0.301,0.147,142.033,146.198,137.868
2021-08-17,143.11,144.49,142.98,144.46,827700,143.404,142.267,,59.933,0.532,0.347,0.185,142.267,146.424,138.111
2021-08-18,144.63,144.85,142.73,142.9,915900,143.576,142.555,,51.123,0.468,0.371,0.097,142.555,145.946,139.164
2021-08-19,142.24,144.62,141.89,144.56,781300,143.878,142.872,,58.169,0.545,0.406,0.139,142.872,145.697,140.046
2021-08-20,144.74,146.84,143.96,145.43,737000,144.186,143.124,,61.317,0.668,0.459,0.21,143.124,145.916,140.331
2021-08-23,145.32,146.44,144.56,145.3,509000,144.53,143.396,,60.584,0.747,0.516,0.231,143.396,145.894,140.897
2021-08-24,145.7,146.13,143.99,145.62,743900,144.762,143.641,,61.795,0.825,0.578,0.247,143.641,145.989,141.293
2021-08-25,145.62,148.45,145.4,147.61,718800,145.704,143.954,,68.318,1.036,0.67,0.367,143.954,146.657,141.252
2021-08-26,148.02,150.42,148.01,148.65,883200,146.522,144.272,,71.095,1.273,0.79,0.482,144.272,147.58,140.964
2021-08-27,149.51,150.6,148.95,150.25,484800,147.486,144.653,,74.761,1.571,0.946,0.625,144.653,148.811,140.495
2021-08-30,150.28,152.05,150.01,152.05,521200,148.836,145.077,,78.122,1.931,1.143,0.787,145.077,150.35,139.804
2021-08-31,151.93,153.43,150.86,153.09,841700,150.33,145.502,,79.797,2.273,1.369,0.904,145.502,151.867,139.136
2021-09-01,153.36,155.72,152.62,155.44,866000,151.896,146.077,,82.968,2.703,1.636,1.067,146.077,153.784,138.37
2021-09-02,155.79,157.23,155.09,156.94,886200,153.554,146.722,,84.627,3.129,1.935,1.194,146.722,155.756,137.689
2021-09-03,156.96,158.81,155.84,158.66,896800,155.236,147.468,,86.278,3.564,2.26,1.303,147.468,157.831,137.105
2021-09-07,157.95,158.65,154.54,156.35,596900,156.096,148.105,,74.681,3.68,2.544,1.136,148.105,159.021,137.189
2021-09-08,156.03,159.44,155.85,157.58,597700,156.994,148.872,,76.493,3.827,2.801,1.026,148.872,160.2,137.545
2021-09-09,157.47,157.91,153.13,153.27,961000,156.56,149.434,,60.228,3.555,2.952,0.603,149.434,160.445,138.423
2021-09-10,153.68,154.86,152.79,153.2,751100,155.812,149.942,,60.005,3.295,3.02,0.275,149.942,160.645,139.238
2021-09-13,154.39,155.44,152.68,152.71,529100,154.622,150.382,,58.375,3.016,3.019,-0.004,150.382,160.758,140.007
2021-09-14,153.2,154.04,150.73,151.36,472800,153.624,150.772,,54.019,2.654,2.946,-0.292,150.772,160.644,140.899
2021-09-15,151.64,153.0,151.15,151.84,403800,152.476,151.141,,55.297,2.379,2.833,-0.454,151.141,160.561,141.72
2021-09-16,152.31,152.89,150.41,150.85,428800,151.992,151.538,,52.083,2.058,2.678,-0.62,151.538,160.129,142.947
2021-09-17,151.31,152.78,148.22,148.51,1301000,151.054,151.736,,45.373,1.596,2.461,-0.866,151.736,159.817,143.654
2021-09-20,147.4,150.06,146.58,148.56,664700,150.224,151.892,146.018,45.534,1.219,2.213,-0.994,151.892,159.571,144.213
2021-09-21,148.83,150.15,148.0,148.21,448800,149.594,152.038,146.121,44.542,0.883,1.947,-1.064,152.038,159.289,144.786
2021-09-22,148.98,149.21,147.38,147.75,549800,148.776,152.144,146.265,43.208,0.572,1.672,-1.1,152.144,159.053,145.235
2021-09-23,147.93,148.8,145.65,146.11,525800,147.828,152.069,146.364,38.755,0.192,1.376,-1.184,152.069,159.214,144.924
2021-09-24,145.58,146.37,142.21,142.33,1026500,146.592,151.753,146.381,30.859,-0.41,1.019,-1.429,151.753,160.007,143.499
2021-09-27,142.44,143.61,139.7,139.75,700400,144.83,151.228,146.36,26.84,-1.083,0.598,-1.681,151.228,161.068,141.388
2021-09-28,138.72,141.79,137.58,141.28,788100,143.444,150.69,146.426,32.458,-1.476,0.184,-1.659,150.69,161.474,139.905
2021-09-29,141.85,142.91,141.26,141.83,425800,142.26,150.127,146.467,34.408,-1.722,-0.198,-1.525,150.127,161.54,138.713
2021-09-30,142.59,142.9,138.34,138.52,808300,140.742,149.281,146.494,28.985,-2.16,-0.59,-1.57,149.281,161.515,137.046
2021-10-01,139.59,140.33,137.62,139.3,514300,140.136,148.398,146.516,31.716,-2.417,-0.955,-1.461,148.398,160.849,135.948
2021-10-04,138.97,140.2,137.38,138.77,633300,139.94,147.404,146.483,30.848,-2.632,-1.291,-1.341,147.404,159.578,135.23
