Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,10.64,10.93,10.56,10.83,49205200,,,,,0.0,0.0,0.0,,,
2021-07-13,10.75,10.84,10.6,10.69,45360600,,,,,-0.011,-0.002,-0.009,,,
2021-07-14,10.7,10.84,10.53,10.56,39056200,,,,,-0.03,-0.008,-0.022,,,
2021-07-15,10.49,10.6,10.33,10.39,44952300,,,,,-0.058,-0.018,-0.04,,,
2021-07-16,10.47,10.48,10.07,10.09,48065200,10.512,,,,-0.104,-0.035,-0.069,,,
2021-07-19,9.82,9.87,9.48,9.84,99949200,10.314,,,,-0.158,-0.06,-0.098,,,
2021-07-20,9.91,10.35,9.84,10.31,70731800,10.238,,,,-0.161,-0.08,-0.081,,,
2021-07-21,10.41,10.63,10.4,10.52,53817500,10.23,,,,-0.145,-0.093,-0.052,,,
2021-07-22,10.44,10.48,10.21,10.31,40440100,10.214,,,,-0.147,-0.104,-0.044,,,
2021-07-23,10.36,10.41,10.18,10.24,37927900,10.244,,,,-0.153,-0.114,-0.04,,,
2021-07-26,10.3,10.44,10.28,10.4,43838000,10.356,,,,-0.143,-0.12,-0.024,,,
2021-07-27,10.33,10.35,10.12,10.22,41963200,10.338,,,,-0.148,-0.125,-0.023,,,
2021-07-28,10.27,10.37,10.06,10.27,70653500,10.288,,,,-0.147,-0.13,-0.017,,,
2021-07-29,10.76,10.96,10.6,10.67,111154800,10.36,,,,-0.112,-0.126,0.014,,,
2021-07-30,10.55,10.6,10.28,10.34,74955700,10.38,,,45.264,-0.109,-0.123,0.013,,,
2021-08-02,10.39,10.62,10.29,10.31,64673700,10.362,,,44.555,-0.108,-0.12,0.011,,,
2021-08-03,10.36,10.44,10.11,10.39,53257700,10.396,,,46.943,-0.1,-0.116,0.016,,,
2021-08-04,10.27,10.33,9.86,9.87,81502700,10.316,,,36.067,-0.134,-0.12,-0.015,,,
2021-08-05,10.04,10.24,9.97,10.16,60524400,10.214,,,43.877,-0.136,-0.123,-0.013,,,
2021-08-06,10.24,10.31,10.18,10.23,44450600,10.192,10.332,,45.604,-0.131,-0.124,-0.006,10.332,10.828,9.836
2021-08-09,10.17,10.24,10.04,10.19,38760400,10.168,10.3,,44.756,-0.128,-0.125,-0.003,10.3,10.74,9.86
2021-08-10,10.21,10.31,10.13,10.24,32120800,10.138,10.278,,46.105,-0.12,-0.124,0.004,10.278,10.678,9.877
2021-08-11,10.27,10.34,10.13,10.33,42795600,10.23,10.266,,48.54,-0.106,-0.12,0.015,10.266,10.645,9.887
2021-08-12,10.32,10.41,10.22,10.3,38547900,10.258,10.262,,47.765,-0.096,-0.116,0.02,10.262,10.637,9.886
