Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,24.28,24.28,23.81,23.95,13730000,,,,,0.0,0.0,0.0,,,
2021-07-13,23.47,23.82,23.31,23.57,12645200,,,,,-0.03,-0.006,-0.024,,,
2021-07-14,23.61,23.67,23.22,23.6,6968800,,,,,-0.051,-0.015,-0.036,,,
2021-07-15,23.51,23.83,23.46,23.74,7230000,,,,,-0.056,-0.023,-0.033,,,
2021-07-16,23.77,23.91,23.61,23.76,6364800,23.724,,,,-0.057,-0.03,-0.027,,,
2021-07-19,23.66,23.82,23.51,23.72,11786400,23.678,,,,-0.061,-0.036,-0.025,,,
2021-07-20,23.82,24.1,23.66,24.01,6408000,23.766,,,,-0.04,-0.037,-0.003,,,
2021-07-21,24.1,24.26,23.91,24.05,4741400,23.856,,,,-0.02,-0.034,0.014,,,
2021-07-22,24.07,24.12,23.88,23.9,2808600,23.888,,,,-0.016,-0.03,0.014,,,
2021-07-23,24.01,24.27,23.96,24.23,3756400,23.982,,,,0.013,-0.021,0.035,,,
2021-07-26,24.23,24.29,24.05,24.22,3791000,24.082,,,,0.036,-0.01,0.046,,,
2021-07-27,24.17,24.3,24.01,24.24,9519000,24.128,,,,0.054,0.003,0.052,,,
2021-07-28,24.21,24.21,23.91,24.08,5024400,24.134,,,,0.056,0.013,0.042,,,
2021-07-29,24.16,24.54,24.11,24.45,4833400,24.244,,,,0.085,0.028,0.058,,,
2021-07-30,24.48,24.53,24.31,24.41,7671200,24.28,,,65.672,0.105,0.043,0.061,,,
2021-08-02,24.51,24.65,24.3,24.38,5381800,24.312,,,64.083,0.116,0.058,0.058,,,
2021-08-03,24.48,25.01,24.48,24.93,5437800,24.45,,,75.697,0.168,0.08,0.088,,,
2021-08-04,24.84,24.93,24.58,24.65,3711000,24.564,,,64.298,0.184,0.101,0.083,,,
2021-08-05,24.78,24.9,24.62,24.71,3508000,24.616,,,65.497,0.199,0.12,0.079,,,
2021-08-06,24.71,24.79,24.54,24.63,4243600,24.66,24.162,,62.484,0.202,0.137,0.066,24.162,24.944,23.379
2021-08-09,24.61,24.62,24.45,24.5,2804600,24.684,24.189,,57.828,0.192,0.148,0.045,24.189,24.979,23.399
2021-08-10,24.46,24.66,24.39,24.46,5237600,24.59,24.234,,56.435,0.179,0.154,0.025,24.234,24.976,23.491
2021-08-11,24.58,24.82,24.52,24.81,3664400,24.622,24.294,,64.496,0.195,0.162,0.032,24.294,25.016,23.572
2021-08-12,24.89,24.89,24.62,24.66,3566600,24.612,24.34,,59.421,0.193,0.168,0.024,24.34,25.03,23.65
2021-08-13,24.69,24.73,24.54,24.63,2548200,24.612,24.383,,58.431,0.186,0.172,0.015,24.383,25.027,23.74
2021-08-16,24.66,24.87,24.52,24.79,4265800,24.67,24.437,,62.062,0.192,0.176,0.016,24.437,25.024,23.85
2021-08-17,24.71,24.79,24.28,24.46,4381200,24.67,24.46,,51.977,0.168,0.174,-0.006,24.46,25.011,23.908
2021-08-18,24.34,24.5,24.14,24.16,3875600,24.54,24.465,,44.843,0.124,0.164,-0.041,24.465,25.001,23.929
2021-08-19,24.04,24.64,24.0,24.54,5697600,24.516,24.497,,53.542,0.118,0.155,-0.037,24.497,24.963,24.031
2021-08-20,24.48,24.99,24.48,24.72,11282600,24.534,24.522,,57.001,0.126,0.149,-0.023,24.522,24.98,24.063
2021-08-23,24.72,25.03,24.69,24.76,4295800,24.528,24.548,,57.754,0.134,0.146,-0.012,24.548,24.996,24.101
2021-08-24,24.75,24.77,24.51,24.56,3786800,24.548,24.564,,52.778,0.123,0.141,-0.018,24.564,24.987,24.142
2021-08-25,24.63,24.8,24.55,24.74,4516800,24.664,24.598,,56.417,0.127,0.139,-0.011,24.598,24.96,24.235
2021-08-26,24.72,24.83,24.42,24.77,4312400,24.71,24.614,,57.012,0.132,0.137,-0.006,24.614,24.977,24.25
2021-08-27,24.86,25.04,24.76,24.81,3322600,24.728,24.633,,57.838,0.137,0.137,-0.0,24.633,24.994,24.273
2021-08-30,24.81,25.13,24.78,25.02,2684600,24.78,24.666,,61.969,0.156,0.141,0.015,24.666,25.044,24.287
2021-08-31,25.05,25.09,24.82,24.89,4046600,24.846,24.664,,58.169,0.159,0.144,0.014,24.664,25.036,24.291
2021-09-01,24.9,24.91,24.55,24.72,4766800,24.842,24.667,,53.545,0.146,0.145,0.001,24.667,25.041,24.293
2021-09-02,24.84,25.08,24.83,25.05,6954000,24.898,24.684,,60.165,0.16,0.148,0.012,24.684,25.095,24.273
2021-09-03,24.99,25.06,24.79,24.91,3342400,24.918,24.698,,56.487,0.158,0.15,0.008,24.698,25.12,24.276
2021-09-07,24.87,24.9,24.04,24.07,8821200,24.728,24.676,,40.494,0.088,0.138,-0.049,24.676,25.178,24.175
2021-09-08,23.85,24.14,23.8,24.01,5046800,24.552,24.654,,39.631,0.027,0.115,-0.088,24.654,25.231,24.077
2021-09-09,24.1,24.11,23.68,23.8,4650600,24.368,24.604,,36.684,-0.037,0.085,-0.122,24.604,25.289,23.918
2021-09-10,23.87,24.04,23.85,23.88,5923200,24.134,24.565,,38.559,-0.081,0.052,-0.133,24.565,25.322,23.807
2021-09-13,24.07,24.11,23.61,23.79,4532000,23.91,24.522,,37.223,-0.122,0.017,-0.139,24.522,25.354,23.691
2021-09-14,23.93,23.99,23.52,23.64,5565800,23.824,24.465,,35.045,-0.164,-0.019,-0.145,24.465,25.374,23.556
2021-09-15,23.65,24.14,23.58,23.96,5489800,23.814,24.44,,42.743,-0.17,-0.049,-0.121,24.44,25.377,23.503
