Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-07-12,33.6,34.27,33.38,34.11,11999800,,,,,0.0,0.0,0.0,,,
2021-07-13,33.84,33.9,33.05,33.36,14532700,,,,,-0.06,-0.012,-0.048,,,
2021-07-14,33.4,33.82,32.09,32.3,19482500,,,,,-0.191,-0.048,-0.143,,,
2021-07-15,32.19,32.94,31.73,32.17,15838100,,,,,-0.301,-0.098,-0.203,,,
2021-07-16,32.13,32.19,30.85,31.06,25881000,32.6,,,,-0.473,-0.173,-0.3,,,
2021-07-19,29.66,30.36,29.34,30.31,31431700,31.84,,,,-0.662,-0.271,-0.391,,,
2021-07-20,30.3,31.28,30.02,30.83,20933300,31.334,,,,-0.761,-0.369,-0.392,,,
2021-07-21,31.42,32.53,31.32,32.42,24349400,31.358,,,,-0.703,-0.436,-0.267,,,
2021-07-22,32.17,32.79,31.4,32.56,20607000,31.436,,,,-0.639,-0.476,-0.162,,,
2021-07-23,32.56,32.99,32.07,32.92,15945500,31.808,,,,-0.552,-0.492,-0.061,,,
2021-07-26,33.77,34.48,33.55,34.29,22801000,32.604,,,,-0.369,-0.467,0.098,,,
2021-07-27,33.89,34.39,33.37,34.01,17933500,33.24,,,,-0.243,-0.422,0.179,,,
2021-07-28,34.12,34.43,33.51,34.32,14851500,33.62,,,,-0.117,-0.361,0.244,,,
2021-07-29,35.07,36.09,34.78,35.99,23065900,34.306,,,,0.116,-0.266,0.382,,,
2021-07-30,35.65,36.27,35.07,35.65,15910600,34.852,,,66.135,0.27,-0.159,0.429,,,
2021-08-02,36.17,36.56,34.2,34.26,21801100,34.846,,,54.008,0.277,-0.072,0.349,,,
2021-08-03,34.05,34.45,33.38,34.28,17245400,34.9,,,54.138,0.281,-0.001,0.282,,,
2021-08-04,34.06,34.3,33.33,33.35,11763600,34.706,,,47.411,0.206,0.04,0.166,,,
2021-08-05,33.06,34.09,33.04,33.54,10531000,34.216,,,48.81,0.161,0.065,0.096,,,
2021-08-06,34.28,34.86,33.75,34.49,13856000,33.984,33.311,,55.226,0.199,0.091,0.108,33.311,36.323,30.299
2021-08-09,33.98,34.48,33.55,34.11,9479600,33.954,33.311,,52.397,0.197,0.113,0.084,33.311,36.323,30.299
2021-08-10,34.34,35.99,34.19,35.76,17807400,34.25,33.431,,61.596,0.324,0.155,0.169,33.431,36.637,30.225
2021-08-11,36.03,36.67,35.43,36.24,16883100,34.828,33.628,,63.788,0.458,0.216,0.243,33.628,37.02,30.236
2021-08-12,36.04,36.09,35.12,35.92,11489500,35.304,33.816,,61.277,0.533,0.279,0.254,33.816,37.282,30.349
2021-08-13,36.02,36.21,35.56,35.65,12872600,35.536,34.045,,59.161,0.564,0.336,0.228,34.045,37.347,30.743
2021-08-16,34.47,34.74,33.8,34.47,13430700,35.608,34.253,,50.888,0.487,0.366,0.121,34.253,37.05,31.456
2021-08-17,33.58,33.63,31.87,32.47,23492800,34.95,34.335,,40.541,0.262,0.345,-0.083,34.335,36.784,31.886
2021-08-18,31.94,32.38,31.66,31.7,18157900,34.042,34.299,,37.389,0.022,0.281,-0.259,34.299,36.884,31.714
2021-08-19,30.52,30.68,29.61,30.33,32408600,32.924,34.188,,32.541,-0.276,0.169,-0.446,34.188,37.238,31.137
2021-08-20,30.59,31.01,30.13,30.69,21881100,31.932,34.076,,34.929,-0.478,0.04,-0.518,34.076,37.466,30.686
2021-08-23,31.53,32.18,31.46,32.0,16189600,31.438,33.961,,42.855,-0.526,-0.073,-0.453,33.961,37.474,30.449
2021-08-24,32.7,33.11,32.56,32.94,15470700,31.532,33.908,,47.771,-0.483,-0.155,-0.328,33.908,37.449,30.367
2021-08-25,32.98,33.17,32.38,32.85,9923500,31.762,33.835,,47.351,-0.451,-0.214,-0.236,33.835,37.401,30.268
2021-08-26,32.61,33.0,32.24,32.31,11336100,32.158,33.65,,44.805,-0.463,-0.264,-0.199,33.65,37.127,30.174
2021-08-27,32.62,34.46,32.62,34.21,18805800,32.862,33.579,,54.146,-0.316,-0.275,-0.042,33.579,36.939,30.218
