Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2021-09-07,74.49,74.66,73.02,73.02,101200,,,,,0.0,0.0,0.0,,,
2021-09-08,72.73,73.37,71.8,72.13,128600,,,,,-0.071,-0.014,-0.057,,,
2021-09-09,71.72,72.14,71.13,71.26,104700,,,,,-0.195,-0.05,-0.145,,,
2021-09-10,71.62,72.2,70.15,70.25,116600,,,,,-0.371,-0.114,-0.256,,,
2021-09-13,70.55,71.29,69.35,70.36,152300,71.404,,,,-0.496,-0.191,-0.305,,,
2021-09-14,70.8,70.8,67.98,68.19,103700,70.438,,,,-0.761,-0.305,-0.456,,,
2021-09-15,67.99,69.49,67.7,69.06,144700,69.824,,,,-0.89,-0.422,-0.468,,,
2021-09-16,69.06,69.49,68.14,68.39,96800,69.25,,,,-1.035,-0.544,-0.491,,,
2021-09-17,68.8,70.05,67.04,68.11,480000,68.822,,,,-1.159,-0.667,-0.492,,,
2021-09-20,66.54,68.88,66.54,68.41,156300,68.432,,,,-1.219,-0.778,-0.441,,,
2021-09-21,68.74,68.74,67.15,67.75,122900,68.344,,,,-1.305,-0.883,-0.422,,,
2021-09-22,68.09,69.9,68.09,68.73,122800,68.278,,,,-1.279,-0.962,-0.317,,,
2021-09-23,69.52,71.62,69.52,71.03,164000,68.806,,,,-1.061,-0.982,-0.079,,,
2021-09-24,70.97,71.64,70.6,70.71,126400,69.326,,,,-0.903,-0.966,0.063,,,
2021-09-27,70.78,73.02,70.78,72.62,127000,70.168,,,59.921,-0.617,-0.896,0.279,,,
2021-09-28,72.82,72.82,70.66,70.69,151700,70.756,,,48.722,-0.54,-0.825,0.285,,,
2021-09-29,70.99,72.09,70.08,71.52,265100,71.314,,,52.807,-0.407,-0.742,0.335,,,
2021-09-30,72.13,72.51,69.68,69.88,123000,71.084,,,45.153,-0.429,-0.679,0.25,,,
2021-10-01,70.15,72.92,69.61,72.57,160600,71.456,,,56.333,-0.227,-0.589,0.362,,,
2021-10-04,72.39,74.13,72.0,73.76,166800,71.684,70.422,,60.198,0.029,-0.465,0.494,70.422,74.075,66.769
2021-10-05,74.15,75.57,73.46,74.98,171000,72.542,70.52,,63.742,0.326,-0.307,0.633,70.52,74.552,66.488
2021-10-06,74.15,75.61,72.54,75.2,122100,73.278,70.673,,64.358,0.573,-0.131,0.704,70.673,75.17,66.177
2021-10-07,76.06,76.96,75.81,76.51,149500,74.604,70.936,,67.861,0.865,0.068,0.796,70.936,76.135,65.737
2021-10-08,76.51,77.0,75.64,76.88,87900,75.466,71.268,,68.793,1.113,0.277,0.836,71.268,77.09,65.445
2021-10-11,76.88,77.63,76.24,76.52,99900,76.018,71.576,,66.763,1.266,0.475,0.791,71.576,77.832,65.319
2021-10-12,76.49,77.46,76.08,76.79,120300,76.38,72.006,,67.537,1.393,0.658,0.734,72.006,78.461,65.55
2021-10-13,77.2,77.67,75.62,76.9,81500,76.72,72.398,,67.865,1.485,0.824,0.661,72.398,79.049,65.746
2021-10-14,77.66,79.83,77.66,79.71,101100,77.36,72.964,,74.859,1.764,1.012,0.753,72.964,80.089,65.838
2021-10-15,81.14,81.14,78.67,78.76,209000,77.736,73.496,,69.363,1.888,1.187,0.701,73.496,80.686,66.306
2021-10-18,78.27,79.54,78.19,79.08,123700,78.248,74.03,,70.158,1.988,1.347,0.641,74.03,81.214,66.845
2021-10-19,79.38,80.01,78.2,79.45,90000,78.78,74.614,,71.092,2.074,1.493,0.581,74.614,81.547,67.682
2021-10-20,79.37,80.47,78.55,80.47,75600,79.494,75.202,,73.549,2.199,1.634,0.565,75.202,82.023,68.38
2021-10-21,80.3,82.34,79.89,81.48,189000,79.848,75.724,,75.747,2.352,1.777,0.574,75.724,82.796,68.652
2021-10-22,81.54,83.4,81.06,82.46,107300,80.588,76.312,,77.685,2.523,1.927,0.597,76.312,83.58,69.043
2021-10-25,82.7,84.16,82.34,83.92,136800,81.556,76.876,,80.221,2.745,2.09,0.655,76.876,84.674,69.079
2021-10-26,84.27,84.56,82.58,83.8,92900,82.426,77.532,,79.422,2.878,2.248,0.631,77.532,85.344,69.72
2021-10-27,83.6,84.57,80.91,81.17,155400,82.566,78.014,,64.307,2.74,2.346,0.394,78.014,85.446,70.583
2021-10-28,81.63,88.86,81.27,87.3,275100,83.73,78.886,,75.846,3.09,2.495,0.595,78.886,86.385,71.386
2021-10-29,88.08,90.0,87.93,89.62,239500,85.162,79.738,,78.658,3.513,2.699,0.815,79.738,88.048,71.428
2021-11-01,89.96,91.8,89.39,90.7,177900,86.518,80.585,,79.835,3.891,2.937,0.954,80.585,89.739,71.431
2021-11-02,90.91,93.03,89.91,92.23,127500,88.204,81.447,,81.4,4.265,3.203,1.062,81.447,91.577,71.318
2021-11-03,91.86,93.77,91.07,93.46,132500,90.662,82.36,,82.571,4.608,3.484,1.124,82.36,93.372,71.349
2021-11-04,93.69,94.6,91.79,92.19,218400,91.64,83.144,,77.169,4.722,3.731,0.991,83.144,94.625,71.664
2021-11-05,93.72,97.52,93.51,97.02,139400,93.12,84.152,,81.994,5.143,4.014,1.129,84.152,96.793,71.51
