Date,Open,High,Low,Close,Volume,SMA5,SMA20,SMA50,RSI,MACD,MACD_signal,MACD_hist,BB_mid,BB_upper,BB_lower
2024-03-27,114.52,134.43,114.52,130.7,4960400.0,,,,,0.0,0.0,0.0,,,
2024-03-28,137.35,137.35,129.41,136.17,2239100.0,,,,,0.436,0.087,0.349,,,
2024-04-01,140.42,143.72,136.49,141.42,1029500.0,,,,,1.192,0.308,0.884,,,
2024-04-02,142.25,151.84,138.06,139.41,18246100.0,,,,,1.61,0.569,1.042,,,
2024-04-03,141.7,143.39,135.23,136.76,8866900.0,136.892,,,,1.708,0.797,0.912,,,
2024-04-04,135.43,138.76,124.73,125.53,14207700.0,135.858,,,,0.869,0.811,0.058,,,
2024-04-05,124.97,127.64,118.5,122.18,16054800.0,133.06,,,,-0.065,0.636,-0.701,,,
2024-04-08,125.6,131.39,125.33,129.41,12195000.0,130.658,,,,-0.219,0.465,-0.684,,,
2024-04-09,130.32,133.04,127.71,131.61,9143500.0,129.098,,,,-0.162,0.339,-0.502,,,
2024-04-10,128.96,139.34,128.4,137.79,8376800.0,129.304,,,,0.377,0.347,0.03,,,
2024-04-11,138.61,138.73,135.84,136.0,5326900.0,131.398,,,,0.653,0.408,0.245,,,
2024-04-12,134.43,137.53,132.99,133.44,3765200.0,133.65,,,,0.657,0.458,0.199,,,
2024-04-15,134.03,134.75,129.3,131.2,3724900.0,134.008,,,,0.474,0.461,0.013,,,
2024-04-16,131.94,132.49,127.71,129.52,5870900.0,133.59,,,,0.192,0.407,-0.216,,,
2024-04-17,131.48,137.6,130.7,134.18,6154600.0,132.868,,,53.16,0.34,0.394,-0.054,,,
2024-04-18,137.57,137.83,134.86,136.64,5022300.0,132.996,,,56.411,0.648,0.445,0.203,,,
2024-04-19,136.67,140.0,134.34,134.53,4518800.0,133.214,,,53.012,0.714,0.499,0.215,,,
2024-04-22,134.95,136.56,131.55,136.11,2435000.0,134.196,,,55.189,0.884,0.576,0.308,,,
2024-04-23,137.88,147.73,137.29,147.21,4682800.0,137.734,,,66.819,1.892,0.839,1.053,,,
2024-04-24,146.38,149.27,143.74,145.56,4684600.0,140.01,134.768,,64.154,2.529,1.177,1.352,134.768,146.912,122.625
2024-04-25,142.4,151.5,138.09,147.69,6069300.0,142.22,135.618,,66.037,3.169,1.575,1.593,135.618,148.888,122.348
2024-04-26,152.99,156.59,149.57,152.43,4230500.0,145.8,136.431,,69.836,4.012,2.063,1.949,136.431,151.687,121.175
2024-04-29,152.93,158.88,152.93,158.34,5416300.0,150.246,137.277,,73.774,5.098,2.67,2.429,137.277,155.32,119.234
2024-04-30,157.47,162.41,151.61,153.06,3490100.0,151.416,137.96,,65.541,5.47,3.23,2.241,137.96,157.326,118.593
2024-05-01,153.54,156.04,148.79,151.03,3396800.0,152.51,138.673,,62.646,5.538,3.691,1.846,138.673,158.886,118.46
2024-05-02,152.88,154.79,151.02,153.18,2530700.0,153.608,140.056,,64.438,5.699,4.093,1.606,140.056,160.266,119.845
2024-05-03,154.98,166.47,154.49,165.56,4635100.0,156.234,142.224,,72.59,6.747,4.624,2.124,142.224,163.633,120.816
2024-05-06,166.46,170.45,163.82,168.43,4007000.0,158.252,144.176,,74.073,7.721,5.243,2.478,144.176,167.677,120.674
2024-05-07,167.95,172.77,166.46,166.66,2884800.0,160.972,145.928,,71.503,8.255,5.846,2.409,145.928,170.678,121.178
2024-05-08,166.3,166.31,162.54,163.31,3679700.0,163.428,147.204,,66.779,8.312,6.339,1.973,147.204,172.805,121.603
2024-05-09,164.31,168.01,163.96,165.7,4022600.0,165.932,148.689,,68.384,8.452,6.761,1.691,148.689,174.989,122.389
2024-05-10,168.29,170.08,165.29,166.57,3459600.0,166.134,150.346,,68.971,8.535,7.116,1.419,150.346,176.775,123.916
2024-05-13,164.31,166.84,159.51,160.85,4413800.0,164.618,151.828,,60.951,8.047,7.302,0.745,151.828,177.033,126.623
2024-05-14,160.01,165.85,158.19,164.93,3855400.0,164.272,153.598,,64.153,7.898,7.422,0.477,153.598,177.125,130.072
2024-05-15,167.65,171.62,166.25,167.16,2572000.0,165.042,155.248,,65.804,7.869,7.511,0.358,155.248,177.639,132.856
2024-05-16,167.32,169.28,165.65,165.7,1604400.0,165.042,156.7,,63.734,7.641,7.537,0.104,156.7,177.738,135.663
2024-05-17,166.18,166.93,160.26,161.94,1937200.0,164.116,158.071,,58.622,7.074,7.444,-0.37,158.071,176.428,139.714
